,state,id,city
81,Delhi,2,Delhi
282,Maharashtra,3,Mumbai
385,Tamil Nadu,5,Chennai
178,Karnataka,6,Bengaluru
186,Karnataka,368,Gadag
291,Maharashtra,7,Pune
5,Andhra Pradesh,8,Hyderabad
423,Tripura,9,Agartala
92,Gujarat,10,Ahmedabad
110,Gujarat,10,Rajkot
304,Mizoram,11,Aizwal
114,Haryana,12,Ambala
221,Madhya Pradesh,13,Bhind
222,Madhya Pradesh,13,Bhopal
230,Madhya Pradesh,13,Dindori
235,Madhya Pradesh,13,Indore
247,Madhya Pradesh,13,Raisen
249,Madhya Pradesh,13,Ratlam
314,Odisha,14,Bhubhaneswar
60,Chandigarh,15,Chandigarh
489,Uttarakhand,16,Dehradun
381,Sikkim,17,Gangtok
19,Assam,18,Guwahati
299,Manipur,19,Imphal
15,Arunachal Pradesh,20,Itanagar
367,Rajasthan,21,Jaipur
145,Jammu and Kashmir,22,Jammu
146,Jammu and Kashmir,22,Kargil
154,Jammu and Kashmir,22,Shopian
339,Punjab,23,Jalandhar
306,Nagaland,24,Kohima
441,Uttar Pradesh,25,Deoria
463,Uttar Pradesh,25,Lucknow
91,Goa,26,Panjim
26,Bihar,27,Araria
27,Bihar,27,Arrah
51,Bihar,27,Patna
328,Pondicherry,28,Pondicherry
0,Andaman and Nicobar Islands,29,Port Blair
76,Chhattisgarh,30,Raipur
173,Jharkhand,31,Ranchi
302,Meghalaya,32,Shillong
139,Himachal Pradesh,33,Shimla
155,Jammu and Kashmir,34,Srinagar
215,Kerala,35,Trivandrum
94,Gujarat,36,Anand
99,Gujarat,36,Gandhinagar
474,Uttar Pradesh,37,Noida
448,Uttar Pradesh,39,Ghaziabad
452,Uttar Pradesh,39,Hardoi
82,Delhi,40,Gurgaon
296,Maharashtra,41,Thane
286,Maharashtra,42,Nashik
287,Maharashtra,42,Navi Mumbai
288,Maharashtra,42,Osmanabad
373,Rajasthan,45,Kota
228,Madhya Pradesh,46,Dewas
262,Madhya Pradesh,47,Ujjain
232,Madhya Pradesh,48,Gwalior
195,Karnataka,49,Mysore
111,Gujarat,51,Surat
109,Gujarat,52,Porbandar
113,Gujarat,53,Vadodara
96,Gujarat,58,Bhavnagar
106,Gujarat,62,Navsari
79,Dadra and Nagar Haveli,65,Silvassa
116,Haryana,68,Faridabad
424,Uttar Pradesh,72,Agra
341,Punjab,73,Ludhiana
193,Karnataka,75,Mandya
194,Karnataka,75,Mangalore
283,Maharashtra,76,Nagpur
446,Uttar Pradesh,77,Firozabad
280,Maharashtra,78,Kolhapur
290,Maharashtra,81,Pimpri
281,Maharashtra,83,Latur
322,Odisha,84,Nayagarh
4,Andhra Pradesh,85,Guntur
307,Odisha,86,Angul
321,Odisha,86,Malkangiri
320,Odisha,87,Koraput
317,Odisha,88,Gajapati
325,Odisha,89,Rayagada
313,Odisha,90,Bhawanipatna
324,Odisha,91,Puri
315,Odisha,92,Cuttack
316,Odisha,93,Dhenkanal
323,Odisha,95,Phulbani
308,Odisha,96,Balangir
310,Odisha,97,Bargarh
326,Odisha,98,Sambalpur
318,Odisha,99,Jharsuguda
327,Odisha,100,Sundargarh
312,Odisha,101,Bhadrak
309,Odisha,102,Balasore
319,Odisha,103,Kendujhar
311,Odisha,104,Baripada
330,Puducherry,105,Yanam
329,Puducherry,106,Karaikal
305,Nagaland,107,Dimapur
342,Punjab,108,Mansa
348,Punjab,108,Sangrur
333,Punjab,109,Bathinda
335,Punjab,110,Fazilka
303,Meghalaya,111,Tura
345,Punjab,112,Muktsar
2,Andhra Pradesh,113,Chittoor
301,Meghalaya,114,Nongstoin
334,Punjab,115,Faridkot
343,Punjab,116,Moga
10,Andhra Pradesh,117,Nellore
336,Punjab,118,Firozpur
300,Meghalaya,119,Jowai
332,Punjab,120,Barnala
6,Andhra Pradesh,121,Kadapa
1,Andhra Pradesh,123,Anantapur
347,Punjab,124,Patiala
8,Andhra Pradesh,125,Kurnool
11,Andhra Pradesh,126,Ongole
9,Andhra Pradesh,127,Machilipatnam
344,Punjab,128,Mohali
3,Andhra Pradesh,130,Eluru
7,Andhra Pradesh,132,Kakinada
206,Kerala,133,Kasaragod
13,Andhra Pradesh,134,Vizag
14,Andhra Pradesh,135,Vizianagaram
12,Andhra Pradesh,136,Srikakulam
24,Assam,137,Silchar
16,Assam,138,Barpeta
205,Kerala,139,Kannur
22,Assam,140,Nalbari
21,Assam,141,Nagaon
25,Assam,142,Tezpur
18,Assam,143,Golaghat
20,Assam,144,Jorhat
204,Kerala,145,Kalpetta
23,Assam,146,Sibsagar
17,Assam,147,Dibrugarh
209,Kerala,148,Kozhikode
210,Kerala,149,Malappuram
28,Bihar,150,Aurangabad
37,Bihar,151,Gaya
54,Bihar,152,Sasaram
211,Kerala,153,Palakkad
214,Kerala,154,Thrissur
349,Punjab,155,Shahid Bhagat Singh Nagar
350,Punjab,155,Tarn Taran Sahib
340,Punjab,156,Kapurthala
351,Rajasthan,157,Ajmer
338,Punjab,158,Hoshiarpur
331,Punjab,159,Amritsar
337,Punjab,160,Gurdaspur
346,Punjab,161,Pathankot
382,Sikkim,162,Geyzing
383,Sikkim,163,Namchi
203,Kerala,164,Kakkanad
492,Uttarakhand,165,New Tehri
207,Kerala,166,Kollam
490,Uttarakhand,167,Haridwar
208,Kerala,168,Kottayam
488,Uttarakhand,169,Almora
491,Uttarakhand,170,Nainital
202,Kerala,171,Alappuzha
494,Uttarakhand,172,Rudrapur
493,Uttarakhand,173,Pithoragarh
40,Bihar,174,Jehanabad
50,Bihar,175,Nawada
33,Bihar,176,Bihar Sharif
34,Bihar,176,Buxar
213,Kerala,177,Pathanamthitta
42,Bihar,178,Khagaria
55,Bihar,178,Sheikhpura
39,Bihar,179,Jamui
29,Bihar,180,Banka
32,Bihar,181,Bhagalpur
44,Bihar,182,Lakhisarai
30,Bihar,183,Begusarai
48,Bihar,184,Munger
41,Bihar,186,Katihar
52,Bihar,187,Purnia
43,Bihar,188,Kishanganj
59,Bihar,190,Supaul
45,Bihar,191,Madhepura
53,Bihar,192,Samastipur
36,Bihar,193,Darbhanga
171,Jharkhand,194,Pakur
46,Bihar,195,Madhubani
57,Bihar,196,Sitamarhi
56,Bihar,197,Sheohar
49,Bihar,198,Muzaffarpur
38,Bihar,199,Hajipur
47,Bihar,200,Motihari
165,Jharkhand,201,Godda
31,Bihar,202,Bettiah
58,Bihar,203,Siwan
35,Bihar,204,Chapra
162,Jharkhand,206,Dumka
160,Jharkhand,208,Deoghar
164,Jharkhand,209,Giridih
161,Jharkhand,210,Dhanbad
157,Jharkhand,211,Bokaro
169,Jharkhand,212,Koderma
167,Jharkhand,213,Hazaribagh
172,Jharkhand,214,Ramgarh
170,Jharkhand,215,Lohardaga
166,Jharkhand,216,Gumla
159,Jharkhand,217,Daltonganj
163,Jharkhand,218,Garhwa
158,Jharkhand,219,Chaibasa
168,Jharkhand,220,Jamshedpur
371,Rajasthan,221,Jodhpur
375,Rajasthan,222,Pali
369,Rajasthan,223,Jalore
378,Rajasthan,224,Sirohi
380,Rajasthan,225,Udaipur
374,Rajasthan,226,Nagaur
358,Rajasthan,227,Bikaner
365,Rajasthan,228,Ganganagar
366,Rajasthan,229,Hanumangarh
364,Rajasthan,230,Dungarpur
353,Rajasthan,231,Banswara
361,Rajasthan,232,Churu
370,Rajasthan,233,Jhunjhunu
357,Rajasthan,237,Bhilwara
360,Rajasthan,238,Chittorgarh
354,Rajasthan,239,Baran
359,Rajasthan,241,Bundi
376,Rajasthan,242,Sawai Madhopur
377,Rajasthan,242,Sikar
379,Rajasthan,243,Tonk
372,Rajasthan,244,Karauli
363,Rajasthan,245,Dholpur
356,Rajasthan,246,Bharatpur
352,Rajasthan,247,Alwar
362,Rajasthan,248,Dausa
67,Chhattisgarh,249,Jagdalpur
64,Chhattisgarh,250,Dantewada
70,Chhattisgarh,251,Kanker
65,Chhattisgarh,252,Dhamtari
77,Chhattisgarh,253,Rajnandgaon
66,Chhattisgarh,254,Durg
426,Uttar Pradesh,255,Aligarh
73,Chhattisgarh,257,Mahasamund
71,Chhattisgarh,258,Kawardha
