,date,price
0,2022-05-01,91.45
1,2022-04-30,91.45
2,2022-04-29,91.45
3,2022-04-28,91.45
4,2022-04-27,91.45
5,2022-04-26,91.45
6,2022-04-25,91.45
7,2022-04-24,91.45
8,2022-04-23,91.45
9,2022-04-22,91.45
10,2022-04-21,91.45
11,2022-04-20,91.45
12,2022-04-19,91.45
13,2022-04-18,91.45
14,2022-04-17,91.45
15,2022-04-16,91.45
16,2022-04-15,91.45
17,2022-04-14,91.45
18,2022-04-13,91.45
19,2022-04-12,91.45
20,2022-04-11,91.45
21,2022-04-10,91.45
22,2022-04-09,91.45
23,2022-04-08,91.45
24,2022-04-07,91.45
25,2022-04-06,91.45
26,2022-04-05,90.72
27,2022-04-04,90.04
28,2022-04-03,89.71
29,2022-04-02,89.03
30,2022-04-01,88.35
31,2022-03-31,88.35
32,2022-03-30,87.68
33,2022-03-29,87
34,2022-03-28,86.33
35,2022-03-27,86.07
36,2022-03-26,85.65
37,2022-03-25,84.98
38,2022-03-24,84.3
39,2022-03-23,84.3
40,2022-03-22,83.63
41,2022-03-21,82.96
42,2022-03-20,82.96
43,2022-03-19,82.96
44,2022-03-18,82.96
45,2022-03-17,82.96
46,2022-03-16,82.96
47,2022-03-15,82.96
48,2022-03-14,82.96
49,2022-03-13,82.96
50,2022-03-12,82.96
51,2022-03-11,82.96
52,2022-03-10,82.96
53,2022-03-09,82.96
54,2022-03-08,82.96
55,2022-03-07,82.96
56,2022-03-06,82.96
57,2022-03-05,82.96
58,2022-03-04,82.96
59,2022-03-03,82.96
60,2022-03-02,82.96
61,2022-03-01,82.96
62,2022-02-28,82.96
63,2022-02-27,82.96
64,2022-02-26,82.96
65,2022-02-25,82.96
66,2022-02-24,82.96
67,2022-02-23,82.96
68,2022-02-22,82.96
69,2022-02-21,82.96
70,2022-02-20,82.96
71,2022-02-19,82.96
72,2022-02-18,82.96
73,2022-02-17,82.96
74,2022-02-16,82.96
75,2022-02-15,82.96
76,2022-02-14,82.96
77,2022-02-13,82.96
78,2022-02-12,82.96
79,2022-02-11,82.96
80,2022-02-10,82.96
81,2022-02-09,82.96
82,2022-02-08,82.96
