,date,price
0,2022-05-01,121.1
1,2022-04-30,121.1
2,2022-04-29,121.1
3,2022-04-28,121.1
4,2022-04-27,121.1
5,2022-04-26,121.1
6,2022-04-25,121.1
7,2022-04-24,121.1
8,2022-04-23,121.1
9,2022-04-22,121.1
10,2022-04-21,121.1
11,2022-04-20,121.1
12,2022-04-19,121.1
13,2022-04-18,121.1
14,2022-04-17,121.1
15,2022-04-16,121.1
16,2022-04-15,121.1
17,2022-04-14,121.1
18,2022-04-13,121.1
19,2022-04-12,121.1
20,2022-04-11,121.1
21,2022-04-10,121.1
22,2022-04-09,121.1
23,2022-04-08,121.1
24,2022-04-07,121.1
25,2022-04-06,121.1
26,2022-04-05,120.22
27,2022-04-04,119.35
28,2022-04-03,118.91
29,2022-04-02,118.03
30,2022-04-01,117.16
31,2022-03-31,117.16
32,2022-03-30,116.28
33,2022-03-29,115.4
34,2022-03-28,114.53
35,2022-03-27,114.2
36,2022-03-26,113.65
37,2022-03-25,112.8
38,2022-03-24,111.92
39,2022-03-23,111.92
40,2022-03-22,111.05
41,2022-03-21,110.17
42,2022-03-20,110.17
43,2022-03-19,110.17
44,2022-03-18,110.17
45,2022-03-17,110.17
46,2022-03-16,110.17
47,2022-03-15,110.17
48,2022-03-14,110.17
49,2022-03-13,110.17
50,2022-03-12,110.17
51,2022-03-11,110.17
52,2022-03-10,110.17
53,2022-03-09,110.17
54,2022-03-08,110.17
55,2022-03-07,110.17
56,2022-03-06,110.17
57,2022-03-05,110.17
58,2022-03-04,110.17
59,2022-03-03,110.17
60,2022-03-02,110.17
61,2022-03-01,110.17
62,2022-02-28,110.17
63,2022-02-27,110.17
64,2022-02-26,110.17
65,2022-02-25,110.17
66,2022-02-24,110.17
67,2022-02-23,110.17
68,2022-02-22,110.17
69,2022-02-21,110.17
70,2022-02-20,110.17
71,2022-02-19,110.17
72,2022-02-18,110.17
73,2022-02-17,110.17
74,2022-02-16,110.17
75,2022-02-15,110.17
76,2022-02-14,110.17
77,2022-02-13,110.17
78,2022-02-12,110.17
79,2022-02-11,110.17
80,2022-02-10,110.17
81,2022-02-09,110.17
82,2022-02-08,110.17
83,2022-02-07,110.17
84,2022-02-06,110.17
85,2022-02-05,110.17
86,2022-02-04,110.17
87,2022-02-03,110.17
88,2022-02-02,110.17
89,2022-02-01,110.17
90,2022-01-31,110.17
91,2022-01-30,110.17
92,2022-01-29,110.17
93,2022-01-28,110.17
94,2022-01-27,110.17
95,2022-01-26,110.17
96,2022-01-25,110.17
97,2022-01-24,110.17
98,2022-01-23,110.17
99,2022-01-22,110.17
100,2022-01-21,110.17
101,2022-01-20,110.17
102,2022-01-19,110.17
103,2022-01-18,110.17
104,2022-01-17,110.17
105,2022-01-16,110.17
106,2022-01-15,110.17
107,2022-01-14,110.17
108,2022-01-13,110.17
109,2022-01-12,110.17
110,2022-01-11,110.17
111,2022-01-10,110.17
112,2022-01-09,110.17
113,2022-01-08,110.17
114,2022-01-07,110.17
115,2022-01-06,110.17
116,2022-01-05,110.17
117,2022-01-04,110.17
118,2022-01-03,110.17
119,2022-01-02,110.17
120,2022-01-01,110.17
121,2021-12-31,110.17
122,2021-12-30,110.17
123,2021-12-29,110.17
124,2021-12-28,110.17
125,2021-12-27,110.17
126,2021-12-26,110.17
127,2021-12-25,110.17
128,2021-12-24,110.17
129,2021-12-23,110.17
130,2021-12-22,110.17
131,2021-12-21,110.17
132,2021-12-20,110.17
133,2021-12-19,110.17
134,2021-12-18,110.17
135,2021-12-17,110.17
136,2021-12-16,110.17
137,2021-12-15,110.17
138,2021-12-14,110.17
139,2021-12-13,110.17
140,2021-12-12,110.17
141,2021-12-11,110.17
142,2021-12-10,110.17
143,2021-12-09,110.17
144,2021-12-08,110.17
145,2021-12-07,110.17
146,2021-12-06,110.17
147,2021-12-05,110.17
148,2021-12-04,110.17
149,2021-12-03,110.17
150,2021-12-02,110.17
151,2021-11-30,110.17
152,2021-11-29,110.17
153,2021-11-28,110.17
154,2021-11-27,110.17
155,2021-11-26,110.17
156,2021-11-25,110.17
157,2021-11-24,110.17
158,2021-11-23,110.17
159,2021-11-22,110.17
160,2021-11-21,110.17
161,2021-11-20,110.17
162,2021-11-19,110.17
163,2021-11-18,110.17
164,2021-11-17,110.17
165,2021-11-16,110.17
166,2021-11-15,110.17
167,2021-11-14,110.17
168,2021-11-13,110.17
169,2021-11-12,110.17
170,2021-11-11,110.17
171,2021-11-10,110.17
172,2021-11-09,110.17
173,2021-11-08,110.17
174,2021-11-07,110.17
175,2021-11-06,110.17
176,2021-11-05,110.17
177,2021-11-04,110.17
178,2021-11-03,116.27
179,2021-11-02,116.27
180,2021-11-01,115.9
181,2021-10-31,115.48
182,2021-10-30,115.13
183,2021-10-29,114.78
184,2021-10-28,114.43
185,2021-10-27,114.08
186,2021-10-26,113.72
187,2021-10-25,113.72
188,2021-10-24,113.72
189,2021-10-23,113.37
190,2021-10-22,113.02
191,2021-10-20,112.32
192,2021-10-19,111.97
193,2021-10-18,111.97
194,2021-10-15,111.26
195,2021-10-14,110.91
196,2021-10-13,110.56
197,2021-10-12,110.56
198,2021-10-11,110.56
199,2021-10-10,110.26
200,2021-10-09,109.96
201,2021-10-08,109.65
202,2021-10-07,109.35
203,2021-10-06,109.05
204,2021-10-05,108.75
205,2021-10-04,108.5
206,2021-10-03,108.5
207,2021-10-02,108.25
208,2021-10-01,108
209,2021-09-30,107.76
210,2021-09-29,107.52
211,2021-09-28,107.52
212,2021-09-27,107.33
213,2021-09-26,107.33
214,2021-09-25,107.33
215,2021-09-24,107.33
216,2021-09-23,107.33
217,2021-09-22,107.33
218,2021-09-21,107.33
219,2021-09-20,107.33
220,2021-09-19,107.33
221,2021-09-18,107.33
222,2021-09-17,107.33
223,2021-09-16,107.33
224,2021-09-15,107.33
225,2021-09-14,107.33
226,2021-09-13,107.33
227,2021-09-12,107.33
228,2021-09-11,107.33
229,2021-09-10,107.33
230,2021-09-09,107.33
231,2021-09-08,107.33
232,2021-09-07,107.33
233,2021-09-06,107.33
234,2021-09-05,107.33
235,2021-09-03,107.49
236,2021-09-02,107.49
237,2021-09-01,107.49
238,2021-08-31,107.65
239,2021-08-30,107.65
240,2021-08-29,107.65
241,2021-08-28,107.65
242,2021-08-27,107.65
243,2021-08-26,107.65
244,2021-08-25,107.65
245,2021-08-24,107.65
246,2021-08-23,107.8
247,2021-08-22,107.8
248,2021-08-21,107.9
249,2021-08-20,107.9
250,2021-08-19,107.9
251,2021-08-18,107.92
252,2021-08-17,107.92
253,2021-08-16,107.92
254,2021-08-15,107.92
255,2021-08-14,107.92
256,2021-08-13,107.92
257,2021-08-12,107.92
258,2021-08-11,107.92
259,2021-08-10,107.92
260,2021-08-09,107.92
261,2021-08-08,107.92
262,2021-08-07,107.92
263,2021-08-06,107.92
264,2021-08-05,107.92
265,2021-08-04,107.92
266,2021-08-03,107.92
267,2021-08-02,107.92
268,2021-08-01,107.92
269,2021-07-31,107.92
270,2021-07-30,107.92
271,2021-07-29,107.92
272,2021-07-28,107.92
273,2021-07-27,107.92
274,2021-07-26,107.92
275,2021-07-25,107.92
276,2021-07-24,107.92
277,2021-07-23,107.92
278,2021-07-22,107.92
279,2021-07-21,107.92
280,2021-07-20,107.92
281,2021-07-19,107.92
282,2021-07-18,107.92
283,2021-07-17,107.92
284,2021-07-16,107.62
285,2021-07-15,107.62
286,2021-07-14,107.27
287,2021-07-13,107.27
288,2021-07-12,107.27
289,2021-07-11,106.99
290,2021-07-10,106.99
291,2021-07-09,106.63
292,2021-07-08,106.63
293,2021-07-07,106.28
294,2021-07-06,105.93
295,2021-07-05,105.93
296,2021-07-04,105.58
297,2021-07-03,105.23
298,2021-07-02,105.23
299,2021-07-01,104.88
300,2021-06-30,104.88
301,2021-06-29,104.88
302,2021-06-28,104.52
303,2021-06-27,104.52
304,2021-06-26,104.17
305,2021-06-25,103.82
306,2021-06-24,103.82
307,2021-06-23,103.56
308,2021-06-22,103.56
309,2021-06-21,103.28
310,2021-06-20,103.28
311,2021-06-19,102.99
312,2021-06-18,102.99
313,2021-06-17,102.71
314,2021-06-16,102.71
315,2021-06-15,102.46
316,2021-06-14,102.46
317,2021-06-13,102.17
318,2021-06-12,102.17
319,2021-06-11,101.9
320,2021-06-10,101.61
321,2021-06-09,101.61
322,2021-06-08,101.36
323,2021-06-07,101.36
324,2021-06-06,101.08
325,2021-06-05,100.8
326,2021-06-04,100.8
327,2021-06-03,100.53
328,2021-06-02,100.53
329,2021-06-01,100.53
330,2021-05-31,100.27
331,2021-05-30,99.98
332,2021-05-29,99.98
333,2021-05-28,99.72
334,2021-05-27,99.72
335,2021-05-26,99.48
336,2021-05-25,99.48
337,2021-05-24,99.25
338,2021-05-23,99.25
339,2021-05-22,99.08
340,2021-05-21,99.08
341,2021-05-20,98.88
342,2021-05-19,98.88
343,2021-05-18,98.88
344,2021-05-17,98.61
345,2021-05-16,98.61
346,2021-05-15,98.37
347,2021-05-14,98.37
348,2021-05-13,98.08
349,2021-05-12,98.08
350,2021-05-11,97.83
351,2021-05-10,97.56
352,2021-05-09,97.3
353,2021-05-08,97.3
354,2021-05-07,97.3
355,2021-05-06,97.02
356,2021-05-05,96.76
357,2021-05-04,96.57
358,2021-05-03,96.35
359,2021-05-02,96.35
360,2021-05-01,96.35
361,2021-04-30,96.35
362,2021-04-29,96.35
363,2021-04-28,96.35
364,2021-04-27,96.35
