,date,price
0,2022-05-01,122.12
1,2022-04-30,122.12
2,2022-04-29,122.12
3,2022-04-28,122.12
4,2022-04-27,122.12
5,2022-04-26,122.12
6,2022-04-25,122.12
7,2022-04-24,122.12
8,2022-04-23,122.12
9,2022-04-22,122.12
10,2022-04-21,122.12
11,2022-04-20,122.12
12,2022-04-19,122.12
13,2022-04-18,122.12
14,2022-04-17,122.12
15,2022-04-16,122.12
16,2022-04-15,122.12
17,2022-04-14,122.12
18,2022-04-13,122.12
19,2022-04-12,122.12
20,2022-04-11,122.12
21,2022-04-10,122.12
22,2022-04-09,122.12
23,2022-04-08,122.12
24,2022-04-07,122.12
25,2022-04-06,122.12
26,2022-04-05,121.24
27,2022-04-04,120.36
28,2022-04-03,119.92
29,2022-04-02,119.05
30,2022-04-01,118.17
31,2022-03-31,118.17
32,2022-03-30,117.3
33,2022-03-29,116.42
34,2022-03-28,115.54
35,2022-03-27,115.21
36,2022-03-26,114.67
37,2022-03-25,113.86
38,2022-03-24,112.98
39,2022-03-23,112.98
40,2022-03-22,112.11
41,2022-03-21,111.23
42,2022-03-20,111.23
43,2022-03-19,111.23
44,2022-03-18,111.23
45,2022-03-17,111.23
46,2022-03-16,111.23
47,2022-03-15,111.23
48,2022-03-14,111.23
49,2022-03-13,111.23
50,2022-03-12,111.23
51,2022-03-11,111.23
52,2022-03-10,111.23
53,2022-03-09,111.23
54,2022-03-08,111.23
55,2022-03-07,111.23
56,2022-03-06,111.23
57,2022-03-05,111.23
58,2022-03-04,111.23
59,2022-03-03,111.23
60,2022-03-02,111.23
61,2022-03-01,111.23
62,2022-02-28,111.23
63,2022-02-27,111.23
64,2022-02-26,111.23
65,2022-02-25,111.23
66,2022-02-24,111.23
67,2022-02-23,111.23
68,2022-02-22,111.23
69,2022-02-21,111.23
70,2022-02-20,111.23
71,2022-02-19,111.23
72,2022-02-18,111.23
73,2022-02-17,111.23
74,2022-02-16,111.23
75,2022-02-15,111.23
76,2022-02-14,111.23
77,2022-02-13,111.23
78,2022-02-12,111.23
79,2022-02-11,111.23
80,2022-02-10,111.23
81,2022-02-09,111.23
82,2022-02-08,111.23
83,2022-02-07,111.23
84,2022-02-06,111.23
85,2022-02-05,111.23
86,2022-02-04,111.23
87,2022-02-03,111.23
88,2022-02-02,111.23
89,2022-02-01,111.23
90,2022-01-31,111.23
91,2022-01-30,111.23
92,2022-01-29,111.23
93,2022-01-28,111.23
94,2022-01-27,111.23
95,2022-01-26,111.23
96,2022-01-25,111.23
97,2022-01-24,111.23
98,2022-01-23,111.23
99,2022-01-22,111.23
100,2022-01-21,111.23
101,2022-01-20,111.23
102,2022-01-19,111.23
103,2022-01-18,111.23
104,2022-01-17,111.23
105,2022-01-16,111.23
106,2022-01-15,111.23
107,2022-01-14,111.23
108,2022-01-13,111.23
109,2022-01-12,111.23
110,2022-01-11,111.23
111,2022-01-10,111.23
112,2022-01-09,111.23
113,2022-01-08,111.23
114,2022-01-07,111.23
115,2022-01-06,111.23
116,2022-01-05,111.23
117,2022-01-04,111.23
118,2022-01-03,111.23
119,2022-01-02,111.23
120,2022-01-01,111.23
121,2021-12-31,111.23
122,2021-12-30,111.23
123,2021-12-29,111.23
124,2021-12-28,111.23
125,2021-12-27,111.23
126,2021-12-26,111.23
127,2021-12-25,111.23
128,2021-12-24,111.23
129,2021-12-23,111.23
130,2021-12-22,111.23
131,2021-12-21,111.23
132,2021-12-20,111.23
133,2021-12-19,111.23
134,2021-12-18,111.23
135,2021-12-17,111.23
136,2021-12-16,111.23
137,2021-12-15,111.23
138,2021-12-14,111.23
139,2021-12-13,111.23
140,2021-12-12,111.23
141,2021-12-11,111.23
142,2021-12-10,111.23
143,2021-12-09,111.23
144,2021-12-08,111.23
145,2021-12-07,111.23
146,2021-12-06,111.23
147,2021-12-05,111.23
148,2021-12-04,111.23
149,2021-12-03,111.23
150,2021-12-02,111.23
151,2021-11-30,111.23
152,2021-11-29,111.23
153,2021-11-28,111.23
154,2021-11-27,111.23
155,2021-11-26,111.23
156,2021-11-25,111.23
157,2021-11-24,111.23
158,2021-11-23,111.23
159,2021-11-22,111.23
160,2021-11-21,111.23
161,2021-11-20,111.23
162,2021-11-19,111.23
163,2021-11-18,111.23
164,2021-11-17,111.23
165,2021-11-16,111.23
166,2021-11-15,111.23
167,2021-11-14,111.23
168,2021-11-13,111.23
169,2021-11-12,111.23
170,2021-11-11,111.23
171,2021-11-10,111.23
172,2021-11-09,111.23
173,2021-11-08,111.23
174,2021-11-07,111.23
175,2021-11-06,111.23
176,2021-11-05,111.23
177,2021-11-04,111.23
178,2021-11-03,117.33
179,2021-11-02,117.33
180,2021-11-01,116.96
181,2021-10-31,116.46
182,2021-10-30,116.11
183,2021-10-29,115.76
184,2021-10-28,115.4
185,2021-10-27,115.05
186,2021-10-26,114.7
187,2021-10-25,114.7
188,2021-10-24,114.7
189,2021-10-23,114.35
190,2021-10-22,114
191,2021-10-20,113.29
192,2021-10-19,112.94
193,2021-10-18,112.94
194,2021-10-15,112.24
195,2021-10-14,111.89
196,2021-10-13,111.53
197,2021-10-12,111.53
198,2021-10-11,111.53
199,2021-10-10,111.23
200,2021-10-09,110.93
201,2021-10-08,110.63
202,2021-10-07,110.33
203,2021-10-06,110.03
204,2021-10-05,109.73
205,2021-10-04,109.47
206,2021-10-03,109.47
207,2021-10-02,109.22
208,2021-10-01,108.97
209,2021-09-30,108.73
210,2021-09-29,108.5
211,2021-09-28,108.5
212,2021-09-27,108.31
213,2021-09-26,108.31
214,2021-09-25,108.31
215,2021-09-24,108.31
216,2021-09-23,108.31
217,2021-09-22,108.31
218,2021-09-21,108.31
219,2021-09-20,108.31
220,2021-09-19,108.31
221,2021-09-18,108.31
222,2021-09-17,108.31
223,2021-09-16,108.31
224,2021-09-15,108.31
225,2021-09-14,108.31
226,2021-09-13,108.31
227,2021-09-12,108.31
228,2021-09-11,108.31
229,2021-09-10,108.31
230,2021-09-09,108.31
231,2021-09-08,108.31
232,2021-09-07,108.31
233,2021-09-06,108.31
234,2021-09-05,108.31
235,2021-09-03,108.47
236,2021-09-02,108.47
237,2021-09-01,108.47
238,2021-08-31,108.63
239,2021-08-30,108.63
240,2021-08-29,108.63
241,2021-08-28,108.63
242,2021-08-27,108.63
243,2021-08-26,108.63
244,2021-08-25,108.63
245,2021-08-24,108.63
246,2021-08-23,108.77
247,2021-08-22,108.77
248,2021-08-21,108.75
249,2021-08-20,108.75
250,2021-08-19,108.75
251,2021-08-18,108.75
252,2021-08-17,108.75
253,2021-08-16,108.75
254,2021-08-15,108.75
255,2021-08-14,108.75
256,2021-08-13,108.75
257,2021-08-12,108.75
258,2021-08-11,108.75
259,2021-08-10,108.75
260,2021-08-09,108.75
261,2021-08-08,108.75
262,2021-08-07,108.75
263,2021-08-06,108.75
264,2021-08-05,108.75
265,2021-08-04,108.75
266,2021-08-03,108.75
267,2021-08-02,108.75
268,2021-08-01,108.75
269,2021-07-31,108.75
270,2021-07-30,108.75
271,2021-07-29,108.75
272,2021-07-28,108.75
273,2021-07-27,108.75
274,2021-07-26,108.75
275,2021-07-25,108.75
276,2021-07-24,108.75
277,2021-07-23,108.75
278,2021-07-22,108.75
279,2021-07-21,108.75
280,2021-07-20,108.75
281,2021-07-19,108.75
282,2021-07-18,108.75
283,2021-07-17,108.75
284,2021-07-16,108.45
285,2021-07-15,108.45
286,2021-07-14,108.1
287,2021-07-13,108.1
288,2021-07-12,108.1
289,2021-07-11,107.82
290,2021-07-10,107.82
291,2021-07-09,107.47
292,2021-07-08,107.47
293,2021-07-07,107.11
294,2021-07-06,106.76
295,2021-07-05,106.76
296,2021-07-04,106.41
297,2021-07-03,106.06
298,2021-07-02,106.06
299,2021-07-01,105.71
300,2021-06-30,105.71
301,2021-06-29,105.71
302,2021-06-28,105.35
303,2021-06-27,105.35
304,2021-06-26,105
305,2021-06-25,104.65
306,2021-06-24,104.65
307,2021-06-23,104.39
308,2021-06-22,104.39
309,2021-06-21,104.11
310,2021-06-20,104.11
311,2021-06-19,103.82
312,2021-06-18,103.82
313,2021-06-17,103.55
314,2021-06-16,103.55
315,2021-06-15,103.29
316,2021-06-14,103.29
317,2021-06-13,103
318,2021-06-12,103
319,2021-06-11,102.73
320,2021-06-10,102.44
321,2021-06-09,102.44
322,2021-06-08,102.19
323,2021-06-07,102.19
324,2021-06-06,101.91
325,2021-06-05,101.64
326,2021-06-04,101.64
327,2021-06-03,101.36
328,2021-06-02,101.36
329,2021-06-01,101.36
330,2021-05-31,101.1
331,2021-05-30,100.81
332,2021-05-29,100.81
333,2021-05-28,100.55
334,2021-05-27,100.55
335,2021-05-26,100.31
336,2021-05-25,100.31
337,2021-05-24,100.08
338,2021-05-23,100.08
339,2021-05-22,99.91
