,date,price
0,2022-05-01,119.98
1,2022-04-30,119.98
2,2022-04-29,119.98
3,2022-04-28,119.98
4,2022-04-27,119.98
5,2022-04-26,119.98
6,2022-04-25,119.98
7,2022-04-24,119.98
8,2022-04-23,119.98
9,2022-04-22,119.98
10,2022-04-21,119.98
11,2022-04-20,119.98
12,2022-04-19,119.98
13,2022-04-18,119.98
14,2022-04-17,119.98
15,2022-04-16,119.98
16,2022-04-15,119.98
17,2022-04-14,119.98
18,2022-04-13,119.98
19,2022-04-12,119.98
20,2022-04-11,119.98
21,2022-04-10,119.98
22,2022-04-09,119.98
23,2022-04-08,119.98
24,2022-04-07,119.98
25,2022-04-06,119.98
26,2022-04-05,119.1
27,2022-04-04,118.23
28,2022-04-03,117.79
29,2022-04-02,116.91
30,2022-04-01,116.04
31,2022-03-31,116.04
32,2022-03-30,115.16
33,2022-03-29,114.28
34,2022-03-28,113.41
35,2022-03-27,113.08
36,2022-03-26,112.53
37,2022-03-25,111.66
38,2022-03-24,110.78
39,2022-03-23,110.78
40,2022-03-22,109.91
41,2022-03-21,109.03
42,2022-03-20,109.03
43,2022-03-19,109.03
44,2022-03-18,109.03
45,2022-03-17,109.03
46,2022-03-16,109.03
47,2022-03-15,109.03
48,2022-03-14,109.03
49,2022-03-13,109.03
50,2022-03-12,109.03
51,2022-03-11,109.03
52,2022-03-10,109.03
53,2022-03-09,109.03
54,2022-03-08,109.03
55,2022-03-07,109.03
56,2022-03-06,109.03
57,2022-03-05,109.03
58,2022-03-04,109.03
59,2022-03-03,109.03
60,2022-03-02,109.03
61,2022-03-01,109.03
62,2022-02-28,109.03
63,2022-02-27,109.03
64,2022-02-26,109.03
65,2022-02-25,109.03
66,2022-02-24,109.03
67,2022-02-23,109.03
68,2022-02-22,109.03
69,2022-02-21,109.03
70,2022-02-20,109.03
71,2022-02-19,109.03
72,2022-02-18,109.03
73,2022-02-17,109.03
74,2022-02-16,109.03
75,2022-02-15,109.03
76,2022-02-14,109.03
77,2022-02-13,109.03
78,2022-02-12,109.03
79,2022-02-11,109.03
