,date,price
0,2022-05-01,106.58
1,2022-04-30,106.58
2,2022-04-29,106.58
3,2022-04-28,106.58
4,2022-04-27,106.58
5,2022-04-26,106.58
6,2022-04-25,106.58
7,2022-04-24,106.58
8,2022-04-23,106.58
9,2022-04-22,106.58
10,2022-04-21,106.58
11,2022-04-20,106.58
12,2022-04-19,106.58
13,2022-04-18,106.58
14,2022-04-17,106.58
15,2022-04-16,106.58
16,2022-04-15,106.58
17,2022-04-14,106.58
18,2022-04-13,106.58
19,2022-04-12,106.58
20,2022-04-11,106.58
21,2022-04-10,106.58
22,2022-04-09,106.58
23,2022-04-08,106.58
24,2022-04-07,106.58
25,2022-04-06,106.58
26,2022-04-05,105.69
27,2022-04-04,104.81
28,2022-04-03,104.36
29,2022-04-02,103.48
30,2022-04-01,102.59
31,2022-03-31,102.59
32,2022-03-30,101.7
33,2022-03-29,100.81
34,2022-03-28,99.93
35,2022-03-27,99.59
36,2022-03-26,99.04
37,2022-03-25,98.18
38,2022-03-24,97.3
39,2022-03-23,97.3
40,2022-03-22,96.41
41,2022-03-21,95.52
42,2022-03-20,95.52
43,2022-03-19,95.52
44,2022-03-18,95.52
45,2022-03-17,95.52
46,2022-03-16,95.52
47,2022-03-15,95.52
48,2022-03-14,95.52
49,2022-03-13,95.52
50,2022-03-12,95.52
51,2022-03-11,95.52
52,2022-03-10,95.52
53,2022-03-09,95.52
54,2022-03-08,95.52
55,2022-03-07,95.52
56,2022-03-06,95.52
57,2022-03-05,95.52
58,2022-03-04,95.52
59,2022-03-03,95.52
60,2022-03-02,95.52
61,2022-03-01,95.52
62,2022-02-28,95.52
63,2022-02-27,95.52
64,2022-02-26,95.52
65,2022-02-25,95.52
66,2022-02-24,95.52
67,2022-02-23,95.52
68,2022-02-22,95.52
69,2022-02-21,95.52
70,2022-02-20,95.52
71,2022-02-19,95.52
72,2022-02-18,95.52
73,2022-02-17,95.52
74,2022-02-16,95.52
75,2022-02-15,95.52
76,2022-02-14,95.52
