,date,price
0,2022-05-01,106.25
1,2022-04-30,106.25
2,2022-04-29,106.25
3,2022-04-28,106.25
4,2022-04-27,106.25
5,2022-04-26,106.25
6,2022-04-25,106.25
7,2022-04-24,106.25
8,2022-04-23,106.25
9,2022-04-22,106.25
10,2022-04-21,106.25
11,2022-04-20,106.25
12,2022-04-19,106.25
13,2022-04-18,106.25
14,2022-04-17,106.25
15,2022-04-16,106.25
16,2022-04-15,106.25
17,2022-04-14,106.25
18,2022-04-13,106.25
19,2022-04-12,106.25
20,2022-04-11,106.25
21,2022-04-10,106.25
22,2022-04-09,106.25
23,2022-04-08,106.25
24,2022-04-07,106.25
25,2022-04-06,106.25
26,2022-04-05,105.37
27,2022-04-04,104.48
28,2022-04-03,104.04
29,2022-04-02,103.15
30,2022-04-01,102.26
31,2022-03-31,102.26
32,2022-03-30,101.37
33,2022-03-29,100.49
34,2022-03-28,99.6
35,2022-03-27,99.27
36,2022-03-26,98.71
37,2022-03-25,97.85
38,2022-03-24,96.96
39,2022-03-23,96.96
40,2022-03-22,96.07
41,2022-03-21,95.18
42,2022-03-20,95.18
43,2022-03-19,95.18
44,2022-03-18,95.18
45,2022-03-17,95.18
46,2022-03-16,95.18
47,2022-03-15,95.18
48,2022-03-14,95.18
49,2022-03-13,95.18
50,2022-03-12,95.18
51,2022-03-11,95.18
52,2022-03-10,95.18
53,2022-03-09,95.18
54,2022-03-08,95.18
55,2022-03-07,95.18
56,2022-03-06,95.18
57,2022-03-05,95.18
58,2022-03-04,95.18
59,2022-03-03,95.18
60,2022-03-02,95.18
61,2022-03-01,95.18
62,2022-02-28,95.18
63,2022-02-27,95.18
64,2022-02-26,95.18
65,2022-02-25,95.18
66,2022-02-24,95.18
67,2022-02-23,95.18
68,2022-02-22,95.18
69,2022-02-21,95.18
70,2022-02-20,95.18
71,2022-02-19,95.18
72,2022-02-18,95.18
73,2022-02-17,95.18
74,2022-02-16,95.18
75,2022-02-15,95.18
76,2022-02-14,95.18
77,2022-02-13,95.18
78,2022-02-12,95.18
79,2022-02-11,95.18
80,2022-02-10,95.18
81,2022-02-09,95.18
82,2022-02-08,95.18
83,2022-02-07,95.18
84,2022-02-06,95.18
85,2022-02-05,95.18
86,2022-02-04,95.18
87,2022-02-03,95.18
88,2022-02-02,95.18
89,2022-02-01,95.18
90,2022-01-31,95.18
91,2022-01-30,95.18
92,2022-01-29,95.18
93,2022-01-28,95.18
94,2022-01-27,95.18
95,2022-01-26,95.18
96,2022-01-25,95.18
97,2022-01-24,95.18
98,2022-01-23,95.18
99,2022-01-22,95.18
100,2022-01-21,95.18
101,2022-01-20,95.18
102,2022-01-19,95.18
103,2022-01-18,95.18
104,2022-01-17,95.18
105,2022-01-16,95.18
106,2022-01-15,95.18
107,2022-01-14,95.18
108,2022-01-13,95.18
109,2022-01-12,95.18
110,2022-01-11,95.18
111,2022-01-10,95.18
112,2022-01-09,95.18
113,2022-01-08,95.18
114,2022-01-07,95.18
115,2022-01-06,95.18
116,2022-01-05,95.18
117,2022-01-04,95.18
118,2022-01-03,95.18
119,2022-01-02,95.18
120,2022-01-01,95.18
121,2021-12-31,95.18
122,2021-12-30,95.18
123,2021-12-29,95.18
124,2021-12-28,95.18
125,2021-12-27,95.18
126,2021-12-26,95.18
127,2021-12-25,95.18
128,2021-12-24,95.18
129,2021-12-23,95.18
130,2021-12-22,95.18
131,2021-12-21,95.18
132,2021-12-20,95.18
133,2021-12-19,95.18
134,2021-12-18,95.18
135,2021-12-17,95.18
136,2021-12-16,95.18
137,2021-12-15,95.18
138,2021-12-14,95.18
139,2021-12-13,95.18
140,2021-12-12,95.18
141,2021-12-11,95.18
142,2021-12-10,95.18
143,2021-12-09,95.18
144,2021-12-08,95.18
145,2021-12-07,95.18
146,2021-12-06,95.18
147,2021-12-05,95.18
148,2021-12-04,95.18
149,2021-12-03,95.18
150,2021-12-02,95.18
151,2021-11-30,95.18
152,2021-11-29,95.18
153,2021-11-28,95.18
154,2021-11-27,95.18
155,2021-11-26,95.18
156,2021-11-25,95.18
157,2021-11-24,95.18
158,2021-11-23,95.18
159,2021-11-22,95.18
160,2021-11-21,95.18
161,2021-11-20,95.18
162,2021-11-19,95.18
163,2021-11-18,95.18
164,2021-11-17,95.18
165,2021-11-16,95.18
166,2021-11-15,95.18
167,2021-11-14,95.18
