,date,price
0,2022-05-01,107
1,2022-04-30,107
2,2022-04-29,107
3,2022-04-28,107
4,2022-04-27,107
5,2022-04-26,107
6,2022-04-25,107
7,2022-04-24,107
8,2022-04-23,107
9,2022-04-22,107
10,2022-04-21,107
11,2022-04-20,107
12,2022-04-19,107
13,2022-04-18,107
14,2022-04-17,107
15,2022-04-16,107
16,2022-04-15,107
17,2022-04-14,107
18,2022-04-13,107
19,2022-04-12,107
20,2022-04-11,107
21,2022-04-10,107
22,2022-04-09,107
23,2022-04-08,107
24,2022-04-07,107
25,2022-04-06,107
26,2022-04-05,106.11
27,2022-04-04,105.23
28,2022-04-03,104.78
29,2022-04-02,103.89
30,2022-04-01,103.01
31,2022-03-31,103.01
32,2022-03-30,102.12
33,2022-03-29,101.23
34,2022-03-28,100.35
35,2022-03-27,100.01
36,2022-03-26,99.46
37,2022-03-25,98.62
38,2022-03-24,97.73
39,2022-03-23,97.73
40,2022-03-22,96.84
41,2022-03-21,95.95
42,2022-03-20,95.95
43,2022-03-19,95.95
44,2022-03-18,95.95
45,2022-03-17,95.95
46,2022-03-16,95.95
47,2022-03-15,95.95
48,2022-03-14,95.95
49,2022-03-13,95.95
50,2022-03-12,95.95
51,2022-03-11,95.95
52,2022-03-10,95.95
53,2022-03-09,95.95
54,2022-03-08,95.95
55,2022-03-07,95.95
56,2022-03-06,95.95
57,2022-03-05,95.95
58,2022-03-04,95.95
59,2022-03-03,95.95
60,2022-03-02,95.95
61,2022-03-01,95.95
62,2022-02-28,95.95
63,2022-02-27,95.95
64,2022-02-26,95.95
65,2022-02-25,95.95
66,2022-02-24,95.95
67,2022-02-23,95.95
68,2022-02-22,95.95
69,2022-02-21,95.95
70,2022-02-20,95.95
71,2022-02-19,95.95
72,2022-02-18,95.95
73,2022-02-17,95.95
74,2022-02-16,95.95
75,2022-02-15,95.95
76,2022-02-14,95.95
77,2022-02-13,95.95
78,2022-02-12,95.95
79,2022-02-11,95.95
80,2022-02-10,95.95
81,2022-02-09,95.95
82,2022-02-08,95.95
83,2022-02-07,95.95
84,2022-02-06,95.95
85,2022-02-05,95.95
86,2022-02-04,95.95
87,2022-02-03,95.95
88,2022-02-02,95.95
89,2022-02-01,95.95
90,2022-01-31,95.95
91,2022-01-30,95.95
92,2022-01-29,95.95
93,2022-01-28,95.95
94,2022-01-27,95.95
95,2022-01-26,95.95
96,2022-01-25,95.95
97,2022-01-24,95.95
98,2022-01-23,95.95
99,2022-01-22,95.95
100,2022-01-21,95.95
101,2022-01-20,95.95
102,2022-01-19,95.95
103,2022-01-18,95.95
104,2022-01-17,95.95
105,2022-01-16,95.95
106,2022-01-15,95.95
107,2022-01-14,95.95
108,2022-01-13,95.95
109,2022-01-12,95.95
110,2022-01-11,95.95
111,2022-01-10,95.95
112,2022-01-09,95.95
113,2022-01-08,95.95
114,2022-01-07,95.95
115,2022-01-06,95.95
116,2022-01-05,95.95
117,2022-01-04,95.95
118,2022-01-03,95.95
119,2022-01-02,95.95
120,2022-01-01,95.95
121,2021-12-31,95.95
122,2021-12-30,95.95
123,2021-12-29,95.95
124,2021-12-28,95.95
125,2021-12-27,95.95
126,2021-12-26,95.95
127,2021-12-25,95.95
128,2021-12-24,95.95
129,2021-12-23,95.95
130,2021-12-22,95.95
131,2021-12-21,95.95
132,2021-12-20,95.95
133,2021-12-19,95.95
134,2021-12-18,95.95
135,2021-12-17,95.95
136,2021-12-16,95.95
137,2021-12-15,95.95
138,2021-12-14,95.95
139,2021-12-13,95.95
140,2021-12-12,95.95
141,2021-12-11,95.95
142,2021-12-10,95.95
143,2021-12-09,95.95
144,2021-12-08,95.95
145,2021-12-07,95.95
146,2021-12-06,95.95
147,2021-12-05,95.95
148,2021-12-04,95.95
149,2021-12-03,95.95
150,2021-12-02,95.95
151,2021-11-30,95.95
152,2021-11-29,95.95
153,2021-11-28,95.95
154,2021-11-27,95.95
155,2021-11-26,95.95
156,2021-11-25,95.95
157,2021-11-24,95.95
158,2021-11-23,95.95
159,2021-11-22,95.95
160,2021-11-21,95.95
161,2021-11-20,95.95
162,2021-11-19,95.95
163,2021-11-18,95.95
164,2021-11-17,95.95
165,2021-11-16,95.95
166,2021-11-15,95.95
167,2021-11-14,95.95
168,2021-11-13,95.95
169,2021-11-12,95.95
170,2021-11-11,95.95
171,2021-11-10,95.95
172,2021-11-09,95.95
173,2021-11-08,95.95
174,2021-11-07,95.95
175,2021-11-06,95.95
176,2021-11-05,95.95
177,2021-11-04,101.3
178,2021-11-03,107.48
179,2021-11-02,107.48
180,2021-11-01,107.1
181,2021-10-31,106.64
182,2021-10-30,106.28
183,2021-10-29,105.93
184,2021-10-28,105.57
185,2021-10-27,105.22
186,2021-10-26,104.86
187,2021-10-25,104.86
188,2021-10-24,104.86
189,2021-10-23,104.5
190,2021-10-22,104.15
191,2021-10-20,103.43
192,2021-10-19,103.08
193,2021-10-18,103.08
194,2021-10-15,102.37
195,2021-10-14,102.01
196,2021-10-13,101.65
197,2021-10-12,101.65
