,date,price
0,2022-05-01,106.34
1,2022-04-30,106.34
2,2022-04-29,106.34
3,2022-04-28,106.34
4,2022-04-27,106.34
5,2022-04-26,106.34
6,2022-04-25,106.34
7,2022-04-24,106.34
8,2022-04-23,106.34
9,2022-04-22,106.34
10,2022-04-21,106.34
11,2022-04-20,106.34
12,2022-04-19,106.34
13,2022-04-18,106.34
14,2022-04-17,106.34
15,2022-04-16,106.34
16,2022-04-15,106.34
17,2022-04-14,106.34
18,2022-04-13,106.34
19,2022-04-12,106.34
20,2022-04-11,106.34
21,2022-04-10,106.34
22,2022-04-09,106.34
23,2022-04-08,106.34
24,2022-04-07,106.34
25,2022-04-06,106.34
26,2022-04-05,105.45
27,2022-04-04,104.56
28,2022-04-03,104.12
29,2022-04-02,103.23
30,2022-04-01,102.34
31,2022-03-31,102.34
32,2022-03-30,101.46
33,2022-03-29,100.57
34,2022-03-28,99.68
35,2022-03-27,99.35
36,2022-03-26,98.79
37,2022-03-25,97.93
38,2022-03-24,97.04
39,2022-03-23,97.04
40,2022-03-22,96.16
41,2022-03-21,95.27
42,2022-03-20,95.27
43,2022-03-19,95.27
44,2022-03-18,95.27
45,2022-03-17,95.27
46,2022-03-16,95.27
47,2022-03-15,95.27
48,2022-03-14,95.27
49,2022-03-13,95.27
50,2022-03-12,95.27
51,2022-03-11,95.27
52,2022-03-10,95.27
53,2022-03-09,95.27
54,2022-03-08,95.27
55,2022-03-07,95.27
56,2022-03-06,95.27
57,2022-03-05,95.27
58,2022-03-04,95.27
59,2022-03-03,95.27
60,2022-03-02,95.27
61,2022-03-01,95.27
62,2022-02-28,95.27
63,2022-02-27,95.27
64,2022-02-26,95.27
65,2022-02-25,95.27
66,2022-02-24,95.27
67,2022-02-23,95.27
68,2022-02-22,95.27
69,2022-02-21,95.27
70,2022-02-20,95.27
71,2022-02-19,95.27
72,2022-02-18,95.27
73,2022-02-17,95.27
74,2022-02-16,95.27
75,2022-02-15,95.27
76,2022-02-14,95.27
77,2022-02-13,95.27
78,2022-02-12,95.27
79,2022-02-11,95.27
80,2022-02-10,95.27
81,2022-02-09,95.27
82,2022-02-08,95.27
83,2022-02-07,95.27
84,2022-02-06,95.27
85,2022-02-05,95.27
86,2022-02-04,95.27
87,2022-02-03,95.27
88,2022-02-02,95.27
89,2022-02-01,95.27
90,2022-01-31,95.27
91,2022-01-30,95.27
92,2022-01-29,95.27
93,2022-01-28,95.27
94,2022-01-27,95.27
95,2022-01-26,95.27
96,2022-01-25,95.27
97,2022-01-24,95.27
98,2022-01-23,95.27
99,2022-01-22,95.27
100,2022-01-21,95.27
101,2022-01-20,95.27
102,2022-01-19,95.27
103,2022-01-18,95.27
104,2022-01-17,95.27
105,2022-01-16,95.27
106,2022-01-15,95.27
107,2022-01-14,95.27
108,2022-01-13,95.27
109,2022-01-12,95.27
110,2022-01-11,95.27
111,2022-01-10,95.27
112,2022-01-09,95.27
113,2022-01-08,95.27
114,2022-01-07,95.27
115,2022-01-06,95.27
116,2022-01-05,95.27
117,2022-01-04,95.27
118,2022-01-03,95.27
119,2022-01-02,95.27
120,2022-01-01,95.27
121,2021-12-31,95.27
122,2021-12-30,95.27
123,2021-12-29,95.27
124,2021-12-28,95.27
125,2021-12-27,95.27
126,2021-12-26,95.27
127,2021-12-25,95.27
128,2021-12-24,95.27
129,2021-12-23,95.27
130,2021-12-22,95.27
131,2021-12-21,95.27
132,2021-12-20,95.27
133,2021-12-19,95.27
134,2021-12-18,95.27
135,2021-12-17,95.27
136,2021-12-16,95.27
137,2021-12-15,95.27
138,2021-12-14,95.27
139,2021-12-13,95.27
140,2021-12-12,95.27
141,2021-12-11,95.27
142,2021-12-10,95.27
143,2021-12-09,95.27
144,2021-12-08,95.27
145,2021-12-07,95.27
