,date,price
0,2022-05-01,106.23
1,2022-04-30,106.23
2,2022-04-29,106.23
3,2022-04-28,106.23
4,2022-04-27,106.23
5,2022-04-26,106.23
6,2022-04-25,106.23
7,2022-04-24,106.23
8,2022-04-23,106.23
9,2022-04-22,106.23
10,2022-04-21,106.23
11,2022-04-20,106.23
12,2022-04-19,106.23
13,2022-04-18,106.23
14,2022-04-17,106.23
15,2022-04-16,106.23
16,2022-04-15,106.23
17,2022-04-14,106.23
18,2022-04-13,106.23
19,2022-04-12,106.23
20,2022-04-11,106.23
21,2022-04-10,106.23
22,2022-04-09,106.23
23,2022-04-08,106.23
24,2022-04-07,106.23
25,2022-04-06,106.23
26,2022-04-05,105.35
27,2022-04-04,104.46
28,2022-04-03,104.02
29,2022-04-02,103.13
30,2022-04-01,102.24
31,2022-03-31,102.24
32,2022-03-30,101.35
33,2022-03-29,100.47
34,2022-03-28,99.58
35,2022-03-27,99.25
36,2022-03-26,98.69
37,2022-03-25,97.8
38,2022-03-24,96.92
39,2022-03-23,96.92
40,2022-03-22,96.03
41,2022-03-21,95.14
42,2022-03-20,95.14
43,2022-03-19,95.14
44,2022-03-18,95.14
45,2022-03-17,95.14
46,2022-03-16,95.14
47,2022-03-15,95.14
48,2022-03-14,95.14
49,2022-03-13,95.14
50,2022-03-12,95.14
51,2022-03-11,95.14
52,2022-03-10,95.14
53,2022-03-09,95.14
54,2022-03-08,95.14
55,2022-03-07,95.14
56,2022-03-06,95.14
57,2022-03-05,95.14
58,2022-03-04,95.14
59,2022-03-03,95.14
60,2022-03-02,95.14
61,2022-03-01,95.14
62,2022-02-28,95.14
63,2022-02-27,95.14
64,2022-02-26,95.14
65,2022-02-25,95.14
66,2022-02-24,95.14
67,2022-02-23,95.14
68,2022-02-22,95.14
69,2022-02-21,95.14
70,2022-02-20,95.14
71,2022-02-19,95.14
72,2022-02-18,95.14
73,2022-02-17,95.14
74,2022-02-16,95.14
75,2022-02-15,95.14
76,2022-02-14,95.14
77,2022-02-13,95.14
78,2022-02-12,95.14
79,2022-02-11,95.14
80,2022-02-10,95.14
81,2022-02-09,95.14
82,2022-02-08,95.14
83,2022-02-07,95.14
84,2022-02-06,95.14
85,2022-02-05,95.14
86,2022-02-04,95.14
87,2022-02-03,95.14
88,2022-02-02,95.14
89,2022-02-01,95.14
90,2022-01-31,95.14
91,2022-01-30,95.14
92,2022-01-29,95.14
93,2022-01-28,95.14
94,2022-01-27,95.14
95,2022-01-26,95.14
96,2022-01-25,95.14
97,2022-01-24,95.14
98,2022-01-23,95.14
99,2022-01-22,95.14
100,2022-01-21,95.14
101,2022-01-20,95.14
102,2022-01-19,95.14
103,2022-01-18,95.14
104,2022-01-17,95.14
105,2022-01-16,95.14
106,2022-01-15,95.14
107,2022-01-14,95.14
108,2022-01-13,95.14
109,2022-01-12,95.14
110,2022-01-11,95.14
111,2022-01-10,95.14
112,2022-01-09,95.14
113,2022-01-08,95.14
114,2022-01-07,95.14
115,2022-01-06,95.14
116,2022-01-05,95.14
117,2022-01-04,95.14
