,date,price
0,2022-05-01,117.13
1,2022-04-30,117.13
2,2022-04-29,117.13
3,2022-04-28,117.13
4,2022-04-27,117.13
5,2022-04-26,117.13
6,2022-04-25,117.13
7,2022-04-24,117.13
8,2022-04-23,117.13
9,2022-04-22,117.13
10,2022-04-21,117.13
11,2022-04-20,117.13
12,2022-04-19,117.13
13,2022-04-18,117.13
14,2022-04-17,117.13
15,2022-04-16,117.13
16,2022-04-15,117.13
17,2022-04-14,117.13
18,2022-04-13,117.13
19,2022-04-12,117.13
20,2022-04-11,117.13
21,2022-04-10,117.13
22,2022-04-09,117.13
23,2022-04-08,117.13
24,2022-04-07,117.13
25,2022-04-06,117.13
26,2022-04-05,116.3
27,2022-04-04,115.48
28,2022-04-03,115.06
29,2022-04-02,114.24
30,2022-04-01,113.41
31,2022-03-31,113.41
32,2022-03-30,112.58
33,2022-03-29,111.76
34,2022-03-28,110.93
35,2022-03-27,110.62
36,2022-03-26,110.1
37,2022-03-25,109.31
38,2022-03-24,108.48
39,2022-03-23,108.48
40,2022-03-22,107.65
41,2022-03-21,106.83
42,2022-03-20,106.83
43,2022-03-19,106.83
44,2022-03-18,106.83
45,2022-03-17,106.83
46,2022-03-16,106.83
47,2022-03-15,106.83
48,2022-03-14,106.83
49,2022-03-13,106.83
50,2022-03-12,106.83
51,2022-03-11,106.83
52,2022-03-10,106.83
53,2022-03-09,106.83
54,2022-03-08,106.83
55,2022-03-07,106.83
56,2022-03-06,106.83
57,2022-03-05,106.83
58,2022-03-04,106.83
59,2022-03-03,106.83
60,2022-03-02,106.83
61,2022-03-01,106.83
62,2022-02-28,106.83
63,2022-02-27,106.83
64,2022-02-26,106.83
65,2022-02-25,106.83
66,2022-02-24,106.83
67,2022-02-23,106.83
68,2022-02-22,106.83
69,2022-02-21,106.83
70,2022-02-20,106.83
71,2022-02-19,106.83
72,2022-02-18,106.83
73,2022-02-17,106.83
74,2022-02-16,106.83
75,2022-02-15,106.83
76,2022-02-14,106.83
77,2022-02-13,106.83
78,2022-02-12,106.83
79,2022-02-11,106.83
80,2022-02-10,106.83
81,2022-02-09,106.83
82,2022-02-08,106.83
83,2022-02-07,106.83
84,2022-02-06,106.83
85,2022-02-05,106.83
86,2022-02-04,106.83
87,2022-02-03,106.83
88,2022-02-02,106.83
89,2022-02-01,106.83
90,2022-01-31,106.83
91,2022-01-30,106.83
92,2022-01-29,106.83
93,2022-01-28,106.83
94,2022-01-27,106.83
95,2022-01-26,106.83
96,2022-01-25,106.83
97,2022-01-24,106.83
98,2022-01-23,106.83
99,2022-01-22,106.83
100,2022-01-21,106.83
101,2022-01-20,106.83
102,2022-01-19,106.83
103,2022-01-18,106.83
104,2022-01-17,106.83
105,2022-01-16,106.83
106,2022-01-15,106.83
107,2022-01-14,106.83
108,2022-01-13,106.83
109,2022-01-12,106.83
110,2022-01-11,106.83
111,2022-01-10,106.83
112,2022-01-09,106.83
113,2022-01-08,106.83
114,2022-01-07,106.83
115,2022-01-06,106.83
116,2022-01-05,106.83
117,2022-01-04,106.83
118,2022-01-03,106.83
119,2022-01-02,106.83
120,2022-01-01,106.83
121,2021-12-31,106.83
122,2021-12-30,106.83
123,2021-12-29,106.83
124,2021-12-28,106.83
125,2021-12-27,106.83
126,2021-12-26,106.83
127,2021-12-25,106.83
128,2021-12-24,106.83
129,2021-12-23,106.83
130,2021-12-22,106.83
131,2021-12-21,106.83
132,2021-12-20,106.83
133,2021-12-19,106.83
134,2021-12-18,106.83
135,2021-12-17,106.83
136,2021-12-16,106.83
137,2021-12-15,106.83
138,2021-12-14,106.83
139,2021-12-13,106.83
140,2021-12-12,106.83
141,2021-12-11,106.83
142,2021-12-10,106.83
143,2021-12-09,106.83
144,2021-12-08,106.83
145,2021-12-07,106.83
146,2021-12-06,106.83
147,2021-12-05,106.83
148,2021-12-04,106.83
149,2021-12-03,106.83
150,2021-12-02,106.83
151,2021-11-30,106.83
152,2021-11-29,106.83
153,2021-11-28,106.83
154,2021-11-27,106.83
155,2021-11-26,106.83
156,2021-11-25,106.83
157,2021-11-24,106.83
158,2021-11-23,106.83
159,2021-11-22,106.83
160,2021-11-21,106.83
161,2021-11-20,106.83
162,2021-11-19,106.83
163,2021-11-18,106.83
164,2021-11-17,106.83
165,2021-11-16,106.83
166,2021-11-15,106.83
167,2021-11-14,106.83
168,2021-11-13,106.83
169,2021-11-12,106.83
170,2021-11-11,106.83
171,2021-11-10,106.83
172,2021-11-09,106.83
173,2021-11-08,106.83
174,2021-11-07,106.83
175,2021-11-06,106.83
176,2021-11-05,106.83
177,2021-11-04,108.87
178,2021-11-03,114.73
179,2021-11-02,114.73
180,2021-11-01,114.38
181,2021-10-31,113.96
182,2021-10-30,113.63
183,2021-10-29,113.29
184,2021-10-28,112.91
185,2021-10-27,112.51
186,2021-10-26,112.11
187,2021-10-25,112.11
188,2021-10-24,112.11
189,2021-10-23,111.71
190,2021-10-22,111.31
191,2021-10-21,110.91
192,2021-10-20,110.51
193,2021-10-19,110.11
194,2021-10-18,110.11
195,2021-10-15,109.31
196,2021-10-14,108.91
197,2021-10-13,108.51
198,2021-10-12,108.51
199,2021-10-11,108.51
200,2021-10-10,108.16
201,2021-10-09,107.81
202,2021-10-07,107.12
203,2021-10-06,106.77
204,2021-10-05,106.42
205,2021-10-04,106.12
206,2021-10-03,106.12
207,2021-10-02,105.82
208,2021-10-01,105.52
209,2021-09-30,105.23
210,2021-09-29,104.95
211,2021-09-28,104.95
212,2021-09-27,104.72
213,2021-09-26,104.72
214,2021-09-25,104.72
215,2021-09-24,104.72
216,2021-09-23,104.72
217,2021-09-22,104.72
218,2021-09-21,104.72
219,2021-09-20,104.72
220,2021-09-19,104.72
221,2021-09-18,104.72
222,2021-09-17,104.72
223,2021-09-16,104.72
224,2021-09-15,104.72
225,2021-09-14,104.72
226,2021-09-13,104.72
227,2021-09-12,104.72
228,2021-09-11,104.72
229,2021-09-10,104.72
230,2021-09-09,104.72
231,2021-09-08,104.72
232,2021-09-07,104.72
233,2021-09-06,104.72
234,2021-09-05,104.72
235,2021-09-03,104.85
236,2021-09-02,104.85
237,2021-09-01,104.85
238,2021-08-31,104.97
239,2021-08-30,104.97
240,2021-08-29,104.97
241,2021-08-28,104.97
242,2021-08-27,104.97
243,2021-08-26,104.97
244,2021-08-25,104.97
245,2021-08-24,104.97
246,2021-08-23,105.08
247,2021-08-22,105.08
248,2021-08-21,105.14
249,2021-08-20,105.14
250,2021-08-19,105.14
251,2021-08-18,105.14
252,2021-08-17,105.14
253,2021-08-16,105.14
254,2021-08-15,105.14
255,2021-08-14,105.14
256,2021-08-13,105.14
257,2021-08-12,105.14
258,2021-08-11,105.14
259,2021-08-10,105.14
260,2021-08-09,105.14
261,2021-08-08,105.14
262,2021-08-07,105.14
263,2021-08-06,105.14
264,2021-08-05,105.14
265,2021-08-04,105.14
266,2021-08-03,105.14
267,2021-08-02,105.14
268,2021-08-01,105.14
269,2021-07-31,105.14
270,2021-07-30,105.14
271,2021-07-29,105.14
272,2021-07-28,105.14
273,2021-07-27,105.14
274,2021-07-26,105.14
275,2021-07-25,105.14
276,2021-07-24,105.14
277,2021-07-23,105.14
278,2021-07-22,105.14
279,2021-07-21,105.14
280,2021-07-20,105.14
281,2021-07-19,105.14
282,2021-07-18,105.14
283,2021-07-17,105.14
284,2021-07-16,104.8
285,2021-07-15,104.8
286,2021-07-14,104.41
287,2021-07-13,104.41
288,2021-07-12,104.41
289,2021-07-11,104.07
290,2021-07-10,104.07
291,2021-07-09,103.68
292,2021-07-08,103.68
293,2021-07-07,103.29
294,2021-07-06,102.9
295,2021-07-05,102.9
296,2021-07-04,102.51
297,2021-07-03,102.1
298,2021-07-02,102.1
299,2021-07-01,101.7
300,2021-06-30,101.7
301,2021-06-29,101.7
302,2021-06-28,101.36
303,2021-06-27,101.36
304,2021-06-26,101.03
305,2021-06-25,100.69
306,2021-06-24,100.69
307,2021-06-23,100.44
308,2021-06-22,100.44
309,2021-06-21,100.17
310,2021-06-20,100.17
311,2021-06-19,99.88
312,2021-06-18,99.88
313,2021-06-17,99.62
314,2021-06-16,99.62
315,2021-06-15,99.38
316,2021-06-14,99.38
317,2021-06-13,99.1
318,2021-06-12,99.1
319,2021-06-11,98.84
320,2021-06-10,98.56
321,2021-06-09,98.56
322,2021-06-08,98.32
323,2021-06-07,98.32
324,2021-06-06,98.05
325,2021-06-05,97.79
326,2021-06-04,97.79
327,2021-06-03,97.53
328,2021-06-02,97.53
329,2021-06-01,97.53
330,2021-05-31,97.27
331,2021-05-30,96.99
332,2021-05-29,96.99
333,2021-05-28,96.74
334,2021-05-27,96.74
335,2021-05-26,96.51
336,2021-05-25,96.51
337,2021-05-24,96.29
338,2021-05-23,96.29
339,2021-05-22,96.12
340,2021-05-21,96.12
341,2021-05-20,95.94
342,2021-05-19,95.94
343,2021-05-18,95.94
344,2021-05-17,95.68
345,2021-05-16,95.68
346,2021-05-15,95.45
347,2021-05-14,95.45
348,2021-05-13,95.17
349,2021-05-12,95.17
350,2021-05-11,94.93
351,2021-05-10,94.66
352,2021-05-09,94.41
353,2021-05-08,94.41
354,2021-05-07,94.41
355,2021-05-06,94.14
356,2021-05-05,93.9
357,2021-05-04,93.72
358,2021-05-03,93.48
359,2021-05-02,93.48
360,2021-05-01,93.48
361,2021-04-30,93.48
362,2021-04-29,93.48
363,2021-04-28,93.48
364,2021-04-27,93.48
