,date,price
0,2022-05-01,115.92
1,2022-04-30,115.92
2,2022-04-29,115.92
3,2022-04-28,115.92
4,2022-04-27,115.92
5,2022-04-26,115.92
6,2022-04-25,115.92
7,2022-04-24,115.92
8,2022-04-23,115.92
9,2022-04-22,115.92
10,2022-04-21,115.92
11,2022-04-20,115.92
12,2022-04-19,115.92
13,2022-04-18,115.92
14,2022-04-17,115.92
15,2022-04-16,115.92
16,2022-04-15,115.92
17,2022-04-14,115.92
18,2022-04-13,115.92
19,2022-04-12,115.92
20,2022-04-11,115.92
21,2022-04-10,115.92
22,2022-04-09,115.92
23,2022-04-08,115.92
24,2022-04-07,115.92
25,2022-04-06,115.92
26,2022-04-05,115.09
27,2022-04-04,114.26
28,2022-04-03,113.85
29,2022-04-02,113.02
30,2022-04-01,112.2
31,2022-03-31,112.2
32,2022-03-30,111.37
33,2022-03-29,110.54
34,2022-03-28,109.72
35,2022-03-27,109.41
36,2022-03-26,108.89
37,2022-03-25,108.06
38,2022-03-24,107.24
39,2022-03-23,107.24
40,2022-03-22,106.41
41,2022-03-21,105.58
42,2022-03-20,105.58
43,2022-03-19,105.58
44,2022-03-18,105.58
45,2022-03-17,105.58
46,2022-03-16,105.58
47,2022-03-15,105.58
48,2022-03-14,105.58
49,2022-03-13,105.58
50,2022-03-12,105.58
51,2022-03-11,105.58
52,2022-03-10,105.58
53,2022-03-09,105.58
54,2022-03-08,105.58
55,2022-03-07,105.58
56,2022-03-06,105.58
57,2022-03-05,105.58
58,2022-03-04,105.58
59,2022-03-03,105.58
60,2022-03-02,105.58
61,2022-03-01,105.58
62,2022-02-28,105.58
63,2022-02-27,105.58
64,2022-02-26,105.58
65,2022-02-25,105.58
66,2022-02-24,105.58
67,2022-02-23,105.58
68,2022-02-22,105.58
69,2022-02-21,105.58
70,2022-02-20,105.58
71,2022-02-19,105.58
72,2022-02-18,105.58
73,2022-02-17,105.58
74,2022-02-16,105.58
75,2022-02-15,105.58
76,2022-02-14,105.58
77,2022-02-13,105.58
78,2022-02-12,105.58
79,2022-02-11,105.58
80,2022-02-10,105.58
81,2022-02-09,105.58
82,2022-02-08,105.58
83,2022-02-07,105.58
84,2022-02-06,105.58
85,2022-02-05,105.58
86,2022-02-04,105.58
87,2022-02-03,105.58
88,2022-02-02,105.58
89,2022-02-01,105.58
90,2022-01-31,105.58
91,2022-01-30,105.58
92,2022-01-29,105.58
93,2022-01-28,105.58
94,2022-01-27,105.58
95,2022-01-26,105.58
96,2022-01-25,105.58
97,2022-01-24,105.58
98,2022-01-23,105.58
99,2022-01-22,105.58
100,2022-01-21,105.58
101,2022-01-20,105.58
102,2022-01-19,105.58
103,2022-01-18,105.58
104,2022-01-17,105.58
105,2022-01-16,105.58
106,2022-01-15,105.58
107,2022-01-14,105.58
108,2022-01-13,105.58
109,2022-01-12,105.58
110,2022-01-11,105.58
111,2022-01-10,105.58
112,2022-01-09,105.58
113,2022-01-08,105.58
114,2022-01-07,105.58
115,2022-01-06,105.58
116,2022-01-05,105.58
117,2022-01-04,105.58
118,2022-01-03,105.58
119,2022-01-02,105.58
120,2022-01-01,105.58
121,2021-12-31,105.58
122,2021-12-30,105.58
123,2021-12-29,105.58
124,2021-12-28,105.58
125,2021-12-27,105.58
126,2021-12-26,105.58
127,2021-12-25,105.58
128,2021-12-24,105.58
129,2021-12-23,105.58
130,2021-12-22,105.58
131,2021-12-21,105.58
132,2021-12-20,105.58
133,2021-12-19,105.58
134,2021-12-18,105.58
135,2021-12-17,105.58
136,2021-12-16,105.58
137,2021-12-15,105.58
138,2021-12-14,105.58
139,2021-12-13,105.58
140,2021-12-12,105.58
141,2021-12-11,105.58
142,2021-12-10,105.58
143,2021-12-09,105.58
144,2021-12-08,105.58
145,2021-12-07,105.58
146,2021-12-06,105.58
147,2021-12-05,105.58
148,2021-12-04,105.58
149,2021-12-03,105.58
150,2021-12-02,105.58
151,2021-11-30,105.58
152,2021-11-29,105.58
153,2021-11-28,105.58
154,2021-11-27,105.58
155,2021-11-26,105.58
156,2021-11-25,105.58
157,2021-11-24,105.58
158,2021-11-23,105.58
159,2021-11-22,105.58
160,2021-11-21,105.58
161,2021-11-20,105.58
162,2021-11-19,105.58
163,2021-11-18,105.58
164,2021-11-17,105.58
165,2021-11-16,105.58
166,2021-11-15,105.58
167,2021-11-14,105.58
168,2021-11-13,105.58
169,2021-11-12,105.58
170,2021-11-11,105.58
171,2021-11-10,105.58
172,2021-11-09,105.58
173,2021-11-08,105.58
174,2021-11-07,105.58
175,2021-11-06,105.58
176,2021-11-05,105.58
177,2021-11-04,107.6
178,2021-11-03,113.47
179,2021-11-02,113.47
180,2021-11-01,113.11
181,2021-10-31,112.75
182,2021-10-30,112.42
183,2021-10-29,112.08
184,2021-10-28,111.7
185,2021-10-27,111.3
186,2021-10-26,110.9
187,2021-10-25,110.9
188,2021-10-24,110.9
189,2021-10-23,110.5
190,2021-10-22,110.1
191,2021-10-21,109.7
192,2021-10-20,109.3
193,2021-10-19,108.9
194,2021-10-18,108.9
195,2021-10-15,108.1
196,2021-10-14,107.7
197,2021-10-13,107.3
198,2021-10-12,107.3
199,2021-10-11,107.3
200,2021-10-10,106.95
201,2021-10-09,106.6
202,2021-10-07,105.91
203,2021-10-06,105.56
204,2021-10-05,105.21
205,2021-10-04,104.91
206,2021-10-03,104.91
207,2021-10-02,104.61
208,2021-10-01,104.31
209,2021-09-30,104.02
210,2021-09-29,103.74
211,2021-09-28,103.74
212,2021-09-27,103.51
213,2021-09-26,103.51
214,2021-09-25,103.51
215,2021-09-24,103.51
216,2021-09-23,103.51
217,2021-09-22,103.51
218,2021-09-21,103.51
219,2021-09-20,103.51
220,2021-09-19,103.51
221,2021-09-18,103.51
222,2021-09-17,103.51
223,2021-09-16,103.51
224,2021-09-15,103.51
225,2021-09-14,103.51
226,2021-09-13,103.51
227,2021-09-12,103.51
228,2021-09-11,103.51
229,2021-09-10,103.51
230,2021-09-09,103.51
231,2021-09-08,103.51
232,2021-09-07,103.51
233,2021-09-06,103.51
234,2021-09-05,103.51
235,2021-09-03,103.64
236,2021-09-02,103.64
237,2021-09-01,103.64
238,2021-08-31,103.76
239,2021-08-30,103.76
240,2021-08-29,103.76
241,2021-08-28,103.76
242,2021-08-27,103.76
243,2021-08-26,103.76
244,2021-08-25,103.76
245,2021-08-24,103.76
246,2021-08-23,103.87
247,2021-08-22,103.87
248,2021-08-21,104.02
249,2021-08-20,104.02
250,2021-08-19,104.02
251,2021-08-18,104.02
252,2021-08-17,104.02
253,2021-08-16,104.02
254,2021-08-15,104.02
255,2021-08-14,104.02
256,2021-08-13,104.02
257,2021-08-12,104.02
258,2021-08-11,104.02
259,2021-08-10,104.02
260,2021-08-09,104.02
261,2021-08-08,104.02
262,2021-08-07,104.02
263,2021-08-06,104.02
264,2021-08-05,104.02
265,2021-08-04,104.02
266,2021-08-03,104.02
267,2021-08-02,104.02
268,2021-08-01,104.02
269,2021-07-31,104.02
270,2021-07-30,104.02
271,2021-07-29,104.02
272,2021-07-28,104.02
273,2021-07-27,104.02
274,2021-07-26,104.02
275,2021-07-25,104.02
276,2021-07-24,104.02
277,2021-07-23,104.02
278,2021-07-22,104.02
279,2021-07-21,104.02
280,2021-07-20,104.02
281,2021-07-19,104.02
282,2021-07-18,104.02
283,2021-07-17,104.02
284,2021-07-16,103.68
285,2021-07-15,103.68
286,2021-07-14,103.29
287,2021-07-13,103.29
288,2021-07-12,103.29
289,2021-07-11,102.95
290,2021-07-10,102.95
291,2021-07-09,102.56
292,2021-07-08,102.56
293,2021-07-07,102.17
294,2021-07-06,101.78
295,2021-07-05,101.78
296,2021-07-04,101.39
297,2021-07-03,100.98
298,2021-07-02,100.98
299,2021-07-01,100.57
300,2021-06-30,100.57
301,2021-06-29,100.57
302,2021-06-28,100.24
303,2021-06-27,100.24
304,2021-06-26,99.9
305,2021-06-25,99.56
306,2021-06-24,99.56
307,2021-06-23,99.31
308,2021-06-22,99.31
309,2021-06-21,99.04
310,2021-06-20,99.04
311,2021-06-19,98.76
312,2021-06-18,98.76
313,2021-06-17,98.5
314,2021-06-16,98.5
315,2021-06-15,98.25
316,2021-06-14,98.25
317,2021-06-13,97.97
318,2021-06-12,97.97
319,2021-06-11,97.71
320,2021-06-10,97.43
321,2021-06-09,97.43
322,2021-06-08,97.19
323,2021-06-07,97.19
324,2021-06-06,96.92
325,2021-06-05,96.66
326,2021-06-04,96.66
327,2021-06-03,96.4
328,2021-06-02,96.4
329,2021-06-01,96.4
330,2021-05-31,96.15
331,2021-05-30,95.87
332,2021-05-29,95.87
333,2021-05-28,95.61
334,2021-05-27,95.61
335,2021-05-26,95.38
336,2021-05-25,95.38
337,2021-05-24,95.16
338,2021-05-23,95.16
339,2021-05-22,95
340,2021-05-21,95
341,2021-05-20,94.81
342,2021-05-19,94.81
343,2021-05-18,94.81
344,2021-05-17,94.55
345,2021-05-16,94.55
346,2021-05-15,94.32
347,2021-05-14,94.32
348,2021-05-13,94.04
349,2021-05-12,94.04
350,2021-05-11,93.8
351,2021-05-10,93.54
352,2021-05-09,93.29
353,2021-05-08,93.29
354,2021-05-07,93.29
355,2021-05-06,93.01
356,2021-05-05,92.77
357,2021-05-04,92.59
358,2021-05-03,92.42
359,2021-05-02,92.42
360,2021-05-01,92.42
361,2021-04-30,92.42
362,2021-04-29,92.42
363,2021-04-28,92.42
364,2021-04-27,92.42
