,date,price
0,2022-05-01,117.97
1,2022-04-30,117.97
2,2022-04-29,117.97
3,2022-04-28,117.97
4,2022-04-27,117.97
5,2022-04-26,117.97
6,2022-04-25,117.97
7,2022-04-24,117.97
8,2022-04-23,117.97
9,2022-04-22,117.97
10,2022-04-21,117.97
11,2022-04-20,117.97
12,2022-04-19,117.97
13,2022-04-18,117.97
14,2022-04-17,117.97
15,2022-04-16,117.97
16,2022-04-15,117.97
17,2022-04-14,117.97
18,2022-04-13,117.97
19,2022-04-12,117.97
20,2022-04-11,117.97
21,2022-04-10,117.97
22,2022-04-09,117.97
23,2022-04-08,117.97
24,2022-04-07,117.97
25,2022-04-06,117.97
26,2022-04-05,117.14
27,2022-04-04,116.31
28,2022-04-03,115.9
29,2022-04-02,115.07
30,2022-04-01,114.25
31,2022-03-31,114.25
32,2022-03-30,113.42
33,2022-03-29,112.59
34,2022-03-28,111.77
35,2022-03-27,111.46
36,2022-03-26,110.94
37,2022-03-25,110.17
38,2022-03-24,109.34
39,2022-03-23,109.34
40,2022-03-22,108.52
41,2022-03-21,107.69
42,2022-03-20,107.69
43,2022-03-19,107.69
44,2022-03-18,107.69
45,2022-03-17,107.69
46,2022-03-16,107.69
47,2022-03-15,107.69
48,2022-03-14,107.69
49,2022-03-13,107.69
50,2022-03-12,107.69
51,2022-03-11,107.69
52,2022-03-10,107.69
53,2022-03-09,107.69
54,2022-03-08,107.69
55,2022-03-07,107.69
56,2022-03-06,107.69
57,2022-03-05,107.69
58,2022-03-04,107.69
59,2022-03-03,107.69
60,2022-03-02,107.69
61,2022-03-01,107.69
62,2022-02-28,107.69
63,2022-02-27,107.69
64,2022-02-26,107.69
65,2022-02-25,107.69
66,2022-02-24,107.69
67,2022-02-23,107.69
68,2022-02-22,107.69
69,2022-02-21,107.69
70,2022-02-20,107.69
71,2022-02-19,107.69
72,2022-02-18,107.69
73,2022-02-17,107.69
74,2022-02-16,107.69
75,2022-02-15,107.69
76,2022-02-14,107.69
77,2022-02-13,107.69
78,2022-02-12,107.69
79,2022-02-11,107.69
80,2022-02-10,107.69
81,2022-02-09,107.69
82,2022-02-08,107.69
83,2022-02-07,107.69
84,2022-02-06,107.69
85,2022-02-05,107.69
86,2022-02-04,107.69
87,2022-02-03,107.69
88,2022-02-02,107.69
89,2022-02-01,107.69
90,2022-01-31,107.69
91,2022-01-30,107.69
92,2022-01-29,107.69
93,2022-01-28,107.69
94,2022-01-27,107.69
95,2022-01-26,107.69
96,2022-01-25,107.69
97,2022-01-24,107.69
98,2022-01-23,107.69
99,2022-01-22,107.69
100,2022-01-21,107.69
101,2022-01-20,107.69
102,2022-01-19,107.69
103,2022-01-18,107.69
104,2022-01-17,107.69
105,2022-01-16,107.69
106,2022-01-15,107.69
107,2022-01-14,107.69
108,2022-01-13,107.69
109,2022-01-12,107.69
110,2022-01-11,107.69
111,2022-01-10,107.69
112,2022-01-09,107.69
113,2022-01-08,107.69
114,2022-01-07,107.69
115,2022-01-06,107.69
116,2022-01-05,107.69
117,2022-01-04,107.69
118,2022-01-03,107.69
119,2022-01-02,107.69
120,2022-01-01,107.69
121,2021-12-31,107.69
122,2021-12-30,107.69
123,2021-12-29,107.69
124,2021-12-28,107.69
125,2021-12-27,107.69
126,2021-12-26,107.69
127,2021-12-25,107.69
128,2021-12-24,107.69
129,2021-12-23,107.69
130,2021-12-22,107.69
131,2021-12-21,107.69
132,2021-12-20,107.69
133,2021-12-19,107.69
134,2021-12-18,107.69
135,2021-12-17,107.69
136,2021-12-16,107.69
137,2021-12-15,107.69
138,2021-12-14,107.69
139,2021-12-13,107.69
140,2021-12-12,107.69
141,2021-12-11,107.69
142,2021-12-10,107.69
143,2021-12-09,107.69
144,2021-12-08,107.69
145,2021-12-07,107.69
146,2021-12-06,107.69
147,2021-12-05,107.69
148,2021-12-04,107.69
149,2021-12-03,107.69
150,2021-12-02,107.69
151,2021-11-30,107.69
152,2021-11-29,107.69
153,2021-11-28,107.69
154,2021-11-27,107.69
155,2021-11-26,107.69
156,2021-11-25,107.69
157,2021-11-24,107.69
158,2021-11-23,107.69
159,2021-11-22,107.69
160,2021-11-21,107.69
161,2021-11-20,107.69
162,2021-11-19,107.69
163,2021-11-18,107.69
164,2021-11-17,107.69
165,2021-11-16,107.69
166,2021-11-15,107.69
167,2021-11-14,107.69
168,2021-11-13,107.69
169,2021-11-12,107.69
170,2021-11-11,107.69
171,2021-11-10,107.69
172,2021-11-09,107.69
173,2021-11-08,107.69
174,2021-11-07,107.69
175,2021-11-06,107.69
176,2021-11-05,107.69
177,2021-11-04,109.75
178,2021-11-03,115.62
179,2021-11-02,115.62
180,2021-11-01,115.26
181,2021-10-31,114.79
182,2021-10-30,114.46
183,2021-10-29,114.12
184,2021-10-28,113.74
185,2021-10-27,113.34
186,2021-10-26,112.94
187,2021-10-25,112.94
188,2021-10-24,112.94
189,2021-10-23,112.54
190,2021-10-22,112.14
191,2021-10-21,111.74
192,2021-10-20,111.34
193,2021-10-19,110.94
194,2021-10-18,110.94
195,2021-10-15,110.14
196,2021-10-14,109.74
197,2021-10-13,109.34
198,2021-10-12,109.34
199,2021-10-11,109.34
200,2021-10-10,108.99
201,2021-10-09,108.64
202,2021-10-07,107.95
203,2021-10-06,107.6
204,2021-10-05,107.25
205,2021-10-04,106.95
206,2021-10-03,106.95
207,2021-10-02,106.65
208,2021-10-01,106.35
209,2021-09-30,106.06
210,2021-09-29,105.78
211,2021-09-28,105.78
212,2021-09-27,105.55
213,2021-09-26,105.55
214,2021-09-25,105.55
215,2021-09-24,105.55
