,date,price
0,2022-05-01,117.25
1,2022-04-30,117.25
2,2022-04-29,117.25
3,2022-04-28,117.25
4,2022-04-27,117.25
5,2022-04-26,117.25
6,2022-04-25,117.25
7,2022-04-24,117.25
8,2022-04-23,117.25
9,2022-04-22,117.25
10,2022-04-21,117.25
11,2022-04-20,117.25
12,2022-04-19,117.25
13,2022-04-18,117.25
14,2022-04-17,117.25
15,2022-04-16,117.25
16,2022-04-15,117.25
17,2022-04-14,117.25
18,2022-04-13,117.25
19,2022-04-12,117.25
20,2022-04-11,117.25
21,2022-04-10,117.25
22,2022-04-09,117.25
23,2022-04-08,117.25
24,2022-04-07,117.25
25,2022-04-06,117.25
26,2022-04-05,116.42
27,2022-04-04,115.59
28,2022-04-03,115.18
29,2022-04-02,114.35
30,2022-04-01,113.53
31,2022-03-31,113.53
32,2022-03-30,112.7
33,2022-03-29,111.87
34,2022-03-28,111.05
35,2022-03-27,110.74
36,2022-03-26,110.22
37,2022-03-25,109.44
38,2022-03-24,108.61
39,2022-03-23,108.61
40,2022-03-22,107.78
41,2022-03-21,106.96
42,2022-03-20,106.96
43,2022-03-19,106.96
44,2022-03-18,106.96
45,2022-03-17,106.96
46,2022-03-16,106.96
47,2022-03-15,106.96
48,2022-03-14,106.96
49,2022-03-13,106.96
50,2022-03-12,106.96
51,2022-03-11,106.96
52,2022-03-10,106.96
53,2022-03-09,106.96
54,2022-03-08,106.96
55,2022-03-07,106.96
56,2022-03-06,106.96
57,2022-03-05,106.96
58,2022-03-04,106.96
59,2022-03-03,106.96
60,2022-03-02,106.96
61,2022-03-01,106.96
62,2022-02-28,106.96
63,2022-02-27,106.96
64,2022-02-26,106.96
65,2022-02-25,106.96
66,2022-02-24,106.96
67,2022-02-23,106.96
68,2022-02-22,106.96
69,2022-02-21,106.96
70,2022-02-20,106.96
71,2022-02-19,106.96
72,2022-02-18,106.96
73,2022-02-17,106.96
74,2022-02-16,106.96
75,2022-02-15,106.96
76,2022-02-14,106.96
77,2022-02-13,106.96
78,2022-02-12,106.96
79,2022-02-11,106.96
80,2022-02-10,106.96
81,2022-02-09,106.96
82,2022-02-08,106.96
83,2022-02-07,106.96
84,2022-02-06,106.96
85,2022-02-05,106.96
86,2022-02-04,106.96
87,2022-02-03,106.96
88,2022-02-02,106.96
89,2022-02-01,106.96
90,2022-01-31,106.96
91,2022-01-30,106.96
92,2022-01-29,106.96
93,2022-01-28,106.96
94,2022-01-27,106.96
95,2022-01-26,106.96
96,2022-01-25,106.96
97,2022-01-24,106.96
98,2022-01-23,106.96
99,2022-01-22,106.96
100,2022-01-21,106.96
101,2022-01-20,106.96
102,2022-01-19,106.96
103,2022-01-18,106.96
104,2022-01-17,106.96
105,2022-01-16,106.96
106,2022-01-15,106.96
107,2022-01-14,106.96
108,2022-01-13,106.96
109,2022-01-12,106.96
110,2022-01-11,106.96
111,2022-01-10,106.96
112,2022-01-09,106.96
113,2022-01-08,106.96
114,2022-01-07,106.96
115,2022-01-06,106.96
116,2022-01-05,106.96
117,2022-01-04,106.96
118,2022-01-03,106.96
119,2022-01-02,106.96
120,2022-01-01,106.96
121,2021-12-31,106.96
122,2021-12-30,106.96
123,2021-12-29,106.96
124,2021-12-28,106.96
125,2021-12-27,106.96
126,2021-12-26,106.96
127,2021-12-25,106.96
128,2021-12-24,106.96
129,2021-12-23,106.96
130,2021-12-22,106.96
131,2021-12-21,106.96
132,2021-12-20,106.96
133,2021-12-19,106.96
134,2021-12-18,106.96
135,2021-12-17,106.96
136,2021-12-16,106.96
137,2021-12-15,106.96
138,2021-12-14,106.96
139,2021-12-13,106.96
