,date,price
0,2022-05-01,69.26
1,2022-04-30,69.26
2,2022-04-29,69.26
3,2022-04-28,69.26
4,2022-04-27,69.26
5,2022-04-26,69.26
6,2022-04-25,69.26
7,2022-04-24,69.26
8,2022-04-23,69.26
9,2022-04-22,69.26
10,2022-04-21,69.26
11,2022-04-20,69.26
12,2022-04-19,69.26
13,2022-04-18,69.26
14,2022-04-17,69.26
15,2022-04-16,69.26
16,2022-04-15,69.26
17,2022-04-14,69.26
18,2022-04-13,69.26
19,2022-04-12,69.26
20,2022-04-11,69.26
21,2022-04-10,69.26
22,2022-04-09,69.26
23,2022-04-08,69.26
24,2022-04-07,69.26
25,2022-04-06,69.26
26,2022-04-05,69.26
27,2022-04-04,69.26
28,2022-04-03,69.26
29,2022-04-02,69.26
30,2022-04-01,69.26
31,2022-03-31,69.26
32,2022-03-30,69.26
33,2022-03-29,69.26
34,2022-03-28,69.26
35,2022-03-27,69.26
36,2022-03-26,69.26
37,2022-03-25,69.26
38,2022-03-24,69.26
39,2022-03-23,69.26
40,2022-03-22,69.26
41,2022-03-21,69.26
42,2022-03-20,69.26
43,2022-03-19,69.26
44,2022-03-18,69.26
45,2022-03-17,69.26
46,2022-03-16,69.26
47,2022-03-15,69.26
48,2022-03-14,69.26
49,2022-03-13,69.26
50,2022-03-12,69.26
51,2022-03-11,69.26
52,2022-03-10,69.26
53,2022-03-09,69.26
54,2022-03-08,69.26
55,2022-03-07,69.26
56,2022-03-06,69.26
57,2022-03-05,69.26
58,2022-03-04,69.26
59,2022-03-03,69.26
60,2022-03-02,69.26
61,2022-03-01,69.26
62,2022-02-28,69.26
63,2022-02-27,69.26
64,2022-02-26,69.26
65,2022-02-25,69.26
66,2022-02-24,69.26
67,2022-02-23,69.26
68,2022-02-22,69.26
69,2022-02-21,69.26
70,2022-02-20,69.26
71,2022-02-19,69.26
72,2022-02-18,69.26
73,2022-02-17,69.26
74,2022-02-16,69.26
75,2022-02-15,69.26
76,2022-02-14,69.26
77,2022-02-13,69.26
78,2022-02-12,69.26
79,2022-02-11,69.26
80,2022-02-10,69.26
81,2022-02-09,69.26
82,2022-02-08,69.26
83,2022-02-07,69.26
84,2022-02-06,69.26
85,2022-02-05,69.26
86,2022-02-04,69.26
87,2022-02-03,69.26
88,2022-02-02,69.26
89,2022-02-01,69.26
90,2022-01-31,69.26
91,2022-01-30,69.26
92,2022-01-29,69.26
93,2022-01-28,69.26
94,2022-01-27,69.26
95,2022-01-26,69.26
96,2022-01-25,69.26
97,2022-01-24,69.26
98,2022-01-23,69.26
99,2022-01-22,69.26
100,2022-01-21,69.26
101,2022-01-20,69.26
102,2022-01-19,69.26
103,2022-01-18,69.26
104,2022-01-17,69.26
105,2022-01-16,69.26
106,2022-01-15,69.26
107,2022-01-14,69.26
108,2022-01-13,69.26
109,2022-01-12,69.26
110,2022-01-11,69.26
111,2022-01-10,69.26
112,2022-01-09,69.26
113,2022-01-08,69.26
114,2022-01-07,69.26
115,2022-01-06,69.26
116,2022-01-05,69.26
117,2022-01-04,69.26
118,2022-01-03,69.26
119,2022-01-02,69.26
120,2022-01-01,69.26
121,2021-12-31,69.26
122,2021-12-30,69.26
123,2021-12-29,69.26
124,2021-12-28,69.26
125,2021-12-27,69.26
126,2021-12-26,69.26
127,2021-12-25,69.26
128,2021-12-24,69.26
129,2021-12-23,69.26
130,2021-12-22,69.26
131,2021-12-21,69.26
132,2021-12-20,69.26
133,2021-12-19,69.26
134,2021-12-18,69.26
135,2021-12-17,69.26
136,2021-12-16,69.26
137,2021-12-15,69.26
138,2021-12-14,69.26
139,2021-12-13,69.26
140,2021-12-12,69.26
141,2021-12-11,69.26
142,2021-12-10,69.26
143,2021-12-09,69.26
144,2021-12-08,69.26
145,2021-12-07,69.26
146,2021-12-06,69.26
147,2021-12-05,69.26
148,2021-12-04,69.26
149,2021-12-03,69.26
150,2021-12-02,69.26
151,2021-11-30,69.26
152,2021-11-29,69.26
153,2021-11-28,69.26
154,2021-11-27,69.26
155,2021-11-26,69.26
156,2021-11-25,69.26
157,2021-11-24,69.26
158,2021-11-23,69.26
159,2021-11-22,69.26
160,2021-11-21,69.26
161,2021-11-20,69.26
162,2021-11-19,69.26
163,2021-11-18,69.26
164,2021-11-17,69.26
165,2021-11-16,69.26
166,2021-11-15,69.26
167,2021-11-14,69.26
168,2021-11-13,69.26
169,2021-11-12,69.26
170,2021-11-11,69.26
171,2021-11-10,69.26
172,2021-11-09,69.26
173,2021-11-08,69.26
174,2021-11-07,69.26
175,2021-11-06,69.26
176,2021-11-05,69.26
177,2021-11-04,69.26
178,2021-11-03,69.26
179,2021-11-02,69.26
180,2021-11-01,69.26
181,2021-10-31,69.26
182,2021-10-30,69.26
183,2021-10-29,69.26
184,2021-10-28,69.26
185,2021-10-27,69.26
186,2021-10-26,69.26
187,2021-10-25,69.26
188,2021-10-24,69.26
189,2021-10-23,69.26
190,2021-10-22,69.26
191,2021-10-21,69.26
192,2021-10-20,69.26
193,2021-10-19,69.26
194,2021-10-18,69.26
195,2021-10-15,69.26
196,2021-10-14,69.26
197,2021-10-13,69.26
198,2021-10-12,69.26
199,2021-10-11,69.26
200,2021-10-10,69.26
201,2021-10-09,69.26
202,2021-10-07,69.26
203,2021-10-06,69.26
204,2021-10-05,69.26
205,2021-10-04,69.26
206,2021-10-03,69.26
207,2021-10-02,69.26
208,2021-10-01,69.26
209,2021-09-30,69.26
210,2021-09-29,69.26
211,2021-09-28,69.26
212,2021-09-27,69.26
