,date,price
0,2022-05-01,116.91
1,2022-04-30,116.91
2,2022-04-29,116.91
3,2022-04-28,116.91
4,2022-04-27,116.91
5,2022-04-26,116.91
6,2022-04-25,116.91
7,2022-04-24,116.91
8,2022-04-23,116.91
9,2022-04-22,116.91
10,2022-04-21,116.91
11,2022-04-20,116.91
12,2022-04-19,116.91
13,2022-04-18,116.91
14,2022-04-17,116.91
15,2022-04-16,116.91
16,2022-04-15,116.91
17,2022-04-14,116.91
18,2022-04-13,116.91
19,2022-04-12,116.91
20,2022-04-11,116.91
21,2022-04-10,116.91
22,2022-04-09,116.91
23,2022-04-08,116.91
24,2022-04-07,116.91
25,2022-04-06,116.91
26,2022-04-05,116.08
27,2022-04-04,115.25
28,2022-04-03,114.84
29,2022-04-02,114.01
30,2022-04-01,113.19
31,2022-03-31,113.19
32,2022-03-30,112.36
33,2022-03-29,111.53
34,2022-03-28,110.71
35,2022-03-27,110.4
36,2022-03-26,109.88
37,2022-03-25,109.09
38,2022-03-24,108.26
39,2022-03-23,108.26
40,2022-03-22,107.43
41,2022-03-21,106.61
42,2022-03-20,106.61
43,2022-03-19,106.61
44,2022-03-18,106.61
45,2022-03-17,106.61
46,2022-03-16,106.61
47,2022-03-15,106.61
48,2022-03-14,106.61
49,2022-03-13,106.61
50,2022-03-12,106.61
51,2022-03-11,106.61
52,2022-03-10,106.61
53,2022-03-09,106.61
54,2022-03-08,106.61
55,2022-03-07,106.61
56,2022-03-06,106.61
57,2022-03-05,106.61
58,2022-03-04,106.61
59,2022-03-03,106.61
60,2022-03-02,106.61
61,2022-03-01,106.61
62,2022-02-28,106.61
63,2022-02-27,106.61
64,2022-02-26,106.61
65,2022-02-25,106.61
66,2022-02-24,106.61
67,2022-02-23,106.61
68,2022-02-22,106.61
69,2022-02-21,106.61
70,2022-02-20,106.61
71,2022-02-19,106.61
72,2022-02-18,106.61
73,2022-02-17,106.61
74,2022-02-16,106.61
75,2022-02-15,106.61
76,2022-02-14,106.61
77,2022-02-13,106.61
78,2022-02-12,106.61
79,2022-02-11,106.61
80,2022-02-10,106.61
81,2022-02-09,106.61
82,2022-02-08,106.61
83,2022-02-07,106.61
84,2022-02-06,106.61
85,2022-02-05,106.61
86,2022-02-04,106.61
87,2022-02-03,106.61
88,2022-02-02,106.61
89,2022-02-01,106.61
90,2022-01-31,106.61
91,2022-01-30,106.61
92,2022-01-29,106.61
93,2022-01-28,106.61
94,2022-01-27,106.61
95,2022-01-26,106.61
96,2022-01-25,106.61
97,2022-01-24,106.61
98,2022-01-23,106.61
99,2022-01-22,106.61
100,2022-01-21,106.61
101,2022-01-20,106.61
102,2022-01-19,106.61
103,2022-01-18,106.61
104,2022-01-17,106.61
105,2022-01-16,106.61
106,2022-01-15,106.61
107,2022-01-14,106.61
108,2022-01-13,106.61
109,2022-01-12,106.61
110,2022-01-11,106.61
111,2022-01-10,106.61
112,2022-01-09,106.61
113,2022-01-08,106.61
114,2022-01-07,106.61
115,2022-01-06,106.61
116,2022-01-05,106.61
117,2022-01-04,106.61
118,2022-01-03,106.61
119,2022-01-02,106.61
120,2022-01-01,106.61
121,2021-12-31,106.61
122,2021-12-30,106.61
123,2021-12-29,106.61
124,2021-12-28,106.61
125,2021-12-27,106.61
126,2021-12-26,106.61
127,2021-12-25,106.61
128,2021-12-24,106.61
129,2021-12-23,106.61
130,2021-12-22,106.61
131,2021-12-21,106.61
132,2021-12-20,106.61
133,2021-12-19,106.61
134,2021-12-18,106.61
135,2021-12-17,106.61
136,2021-12-16,106.61
137,2021-12-15,106.61
138,2021-12-14,106.61
139,2021-12-13,106.61
140,2021-12-12,106.61
141,2021-12-11,106.61
142,2021-12-10,106.61
143,2021-12-09,106.61
144,2021-12-08,106.61
145,2021-12-07,106.61
146,2021-12-06,106.61
147,2021-12-05,106.61
148,2021-12-04,106.61
149,2021-12-03,106.61
150,2021-12-02,106.61
151,2021-11-30,106.61
152,2021-11-29,106.61
153,2021-11-28,106.61
154,2021-11-27,106.61
155,2021-11-26,106.61
156,2021-11-25,106.61
157,2021-11-24,106.61
158,2021-11-23,106.61
159,2021-11-22,106.61
160,2021-11-21,106.61
161,2021-11-20,106.61
162,2021-11-19,106.61
163,2021-11-18,106.61
164,2021-11-17,106.61
165,2021-11-16,106.61
166,2021-11-15,106.61
167,2021-11-14,106.61
168,2021-11-13,106.61
169,2021-11-12,106.61
170,2021-11-11,106.61
171,2021-11-10,106.61
172,2021-11-09,106.61
173,2021-11-08,106.61
174,2021-11-07,106.61
175,2021-11-06,106.61
176,2021-11-05,106.61
177,2021-11-04,108.64
178,2021-11-03,114.51
179,2021-11-02,114.51
180,2021-11-01,114.15
181,2021-10-31,113.73
182,2021-10-30,113.4
183,2021-10-29,113.06
184,2021-10-28,112.68
185,2021-10-27,112.28
186,2021-10-26,111.88
187,2021-10-25,111.88
188,2021-10-24,111.88
189,2021-10-23,111.48
190,2021-10-22,111.08
191,2021-10-21,110.68
192,2021-10-20,110.28
193,2021-10-19,109.88
194,2021-10-18,109.88
195,2021-10-15,109.08
196,2021-10-14,108.68
197,2021-10-13,108.28
198,2021-10-12,108.28
199,2021-10-11,108.28
200,2021-10-10,107.93
201,2021-10-09,107.58
202,2021-10-07,106.89
203,2021-10-06,106.54
204,2021-10-05,106.19
205,2021-10-04,105.89
206,2021-10-03,105.89
207,2021-10-02,105.59
208,2021-10-01,105.29
209,2021-09-30,105
210,2021-09-29,104.72
211,2021-09-28,104.72
212,2021-09-27,104.49
213,2021-09-26,104.49
214,2021-09-25,104.49
215,2021-09-24,104.49
216,2021-09-23,104.49
217,2021-09-22,104.49
218,2021-09-21,104.49
219,2021-09-20,104.49
220,2021-09-19,104.49
221,2021-09-18,104.49
222,2021-09-17,104.49
223,2021-09-16,104.49
224,2021-09-15,104.49
225,2021-09-14,104.49
226,2021-09-13,104.49
227,2021-09-12,104.49
228,2021-09-11,104.49
229,2021-09-10,104.49
230,2021-09-09,104.49
231,2021-09-08,104.49
232,2021-09-07,104.49
233,2021-09-06,104.49
234,2021-09-05,104.49
235,2021-09-03,104.62
236,2021-09-02,104.62
237,2021-09-01,104.62
238,2021-08-31,104.74
239,2021-08-30,104.74
240,2021-08-29,104.74
241,2021-08-28,104.74
242,2021-08-27,104.74
243,2021-08-26,104.74
244,2021-08-25,104.74
245,2021-08-24,104.74
246,2021-08-23,104.85
247,2021-08-22,104.85
248,2021-08-21,104.91
249,2021-08-20,104.91
250,2021-08-19,104.91
251,2021-08-18,104.91
252,2021-08-17,104.91
253,2021-08-16,104.91
254,2021-08-15,104.91
255,2021-08-14,104.91
256,2021-08-13,104.91
257,2021-08-12,104.91
258,2021-08-11,104.91
259,2021-08-10,104.91
260,2021-08-09,104.91
261,2021-08-08,104.91
262,2021-08-07,104.91
