,date,price
0,2022-05-01,117.73
1,2022-04-30,117.73
2,2022-04-29,117.73
3,2022-04-28,117.73
4,2022-04-27,117.73
5,2022-04-26,117.73
6,2022-04-25,117.73
7,2022-04-24,117.73
8,2022-04-23,117.73
9,2022-04-22,117.73
10,2022-04-21,117.73
11,2022-04-20,117.73
12,2022-04-19,117.73
13,2022-04-18,117.73
14,2022-04-17,117.73
15,2022-04-16,117.73
16,2022-04-15,117.73
17,2022-04-14,117.73
18,2022-04-13,117.73
19,2022-04-12,117.73
20,2022-04-11,117.73
21,2022-04-10,117.73
22,2022-04-09,117.73
23,2022-04-08,117.73
24,2022-04-07,117.73
25,2022-04-06,117.73
26,2022-04-05,116.9
27,2022-04-04,116.08
28,2022-04-03,115.66
29,2022-04-02,114.84
30,2022-04-01,114.01
31,2022-03-31,114.01
32,2022-03-30,113.18
33,2022-03-29,112.36
34,2022-03-28,111.53
35,2022-03-27,111.22
36,2022-03-26,110.7
37,2022-03-25,109.83
38,2022-03-24,109
39,2022-03-23,109
40,2022-03-22,108.18
41,2022-03-21,107.35
42,2022-03-20,107.35
43,2022-03-19,107.35
44,2022-03-18,107.35
45,2022-03-17,107.35
46,2022-03-16,107.35
47,2022-03-15,107.35
48,2022-03-14,107.35
49,2022-03-13,107.35
50,2022-03-12,107.35
51,2022-03-11,107.35
52,2022-03-10,107.35
53,2022-03-09,107.35
54,2022-03-08,107.35
55,2022-03-07,107.35
56,2022-03-06,107.35
57,2022-03-05,107.35
58,2022-03-04,107.35
59,2022-03-03,107.35
60,2022-03-02,107.35
61,2022-03-01,107.35
62,2022-02-28,107.35
63,2022-02-27,107.35
64,2022-02-26,107.35
65,2022-02-25,107.35
66,2022-02-24,107.35
67,2022-02-23,107.35
68,2022-02-22,107.35
69,2022-02-21,107.35
70,2022-02-20,107.35
71,2022-02-19,107.35
72,2022-02-18,107.35
73,2022-02-17,107.35
74,2022-02-16,107.35
75,2022-02-15,107.35
76,2022-02-14,107.35
77,2022-02-13,107.35
78,2022-02-12,107.35
79,2022-02-11,107.35
80,2022-02-10,107.35
81,2022-02-09,107.35
82,2022-02-08,107.35
83,2022-02-07,107.35
84,2022-02-06,107.35
85,2022-02-05,107.35
86,2022-02-04,107.35
87,2022-02-03,107.35
88,2022-02-02,107.35
89,2022-02-01,107.35
90,2022-01-31,107.35
91,2022-01-30,107.35
92,2022-01-29,107.35
93,2022-01-28,107.35
94,2022-01-27,107.35
95,2022-01-26,107.35
96,2022-01-25,107.35
97,2022-01-24,107.35
98,2022-01-23,107.35
99,2022-01-22,107.35
100,2022-01-21,107.35
101,2022-01-20,107.35
102,2022-01-19,107.35
103,2022-01-18,107.35
104,2022-01-17,107.35
105,2022-01-16,107.35
106,2022-01-15,107.35
107,2022-01-14,107.35
108,2022-01-13,107.35
109,2022-01-12,107.35
110,2022-01-11,107.35
111,2022-01-10,107.35
112,2022-01-09,107.35
113,2022-01-08,107.35
114,2022-01-07,107.35
115,2022-01-06,107.35
116,2022-01-05,107.35
117,2022-01-04,107.35
118,2022-01-03,107.35
119,2022-01-02,107.35
120,2022-01-01,107.35
121,2021-12-31,107.35
122,2021-12-30,107.35
123,2021-12-29,107.35
124,2021-12-28,107.35
125,2021-12-27,107.35
126,2021-12-26,107.35
127,2021-12-25,107.35
128,2021-12-24,107.35
129,2021-12-23,107.35
130,2021-12-22,107.35
131,2021-12-21,107.35
132,2021-12-20,107.35
133,2021-12-19,107.35
134,2021-12-18,107.35
135,2021-12-17,107.35
136,2021-12-16,107.35
137,2021-12-15,107.35
138,2021-12-14,107.35
139,2021-12-13,107.35
140,2021-12-12,107.35
141,2021-12-11,107.35
142,2021-12-10,107.35
143,2021-12-09,107.35
144,2021-12-08,107.35
145,2021-12-07,107.35
146,2021-12-06,107.35
147,2021-12-05,107.35
148,2021-12-04,107.35
149,2021-12-03,107.35
150,2021-12-02,107.35
151,2021-11-30,107.35
152,2021-11-29,107.35
153,2021-11-28,107.35
154,2021-11-27,107.35
155,2021-11-26,107.35
156,2021-11-25,107.35
157,2021-11-24,107.35
158,2021-11-23,107.35
159,2021-11-22,107.35
160,2021-11-21,107.35
161,2021-11-20,107.35
162,2021-11-19,107.35
163,2021-11-18,107.35
164,2021-11-17,107.35
165,2021-11-16,107.35
166,2021-11-15,107.35
167,2021-11-14,107.35
168,2021-11-13,107.35
169,2021-11-12,107.35
170,2021-11-11,107.35
171,2021-11-10,107.35
172,2021-11-09,107.35
173,2021-11-08,107.35
174,2021-11-07,107.35
175,2021-11-06,107.35
176,2021-11-05,107.35
177,2021-11-04,109.4
178,2021-11-03,115.27
179,2021-11-02,115.27
180,2021-11-01,114.91
181,2021-10-31,114.45
182,2021-10-30,114.11
183,2021-10-29,113.77
184,2021-10-28,113.4
185,2021-10-27,113
186,2021-10-26,112.6
187,2021-10-25,112.6
188,2021-10-24,112.6
189,2021-10-23,112.2
190,2021-10-22,111.8
191,2021-10-21,111.4
192,2021-10-20,111
193,2021-10-19,110.6
194,2021-10-18,110.6
195,2021-10-15,109.8
196,2021-10-14,109.4
197,2021-10-13,109
198,2021-10-12,109
199,2021-10-11,109
200,2021-10-10,108.65
201,2021-10-09,108.3
202,2021-10-07,107.61
203,2021-10-06,107.26
204,2021-10-05,106.91
205,2021-10-04,106.61
206,2021-10-03,106.61
207,2021-10-02,106.31
208,2021-10-01,106.01
209,2021-09-30,105.72
210,2021-09-29,105.43
211,2021-09-28,105.43
212,2021-09-27,105.21
213,2021-09-26,105.21
214,2021-09-25,105.21
215,2021-09-24,105.21
216,2021-09-23,105.21
217,2021-09-22,105.21
218,2021-09-21,105.21
219,2021-09-20,105.21
220,2021-09-19,105.21
221,2021-09-18,105.21
222,2021-09-17,105.21
223,2021-09-16,105.21
224,2021-09-15,105.21
225,2021-09-14,105.21
226,2021-09-13,105.21
227,2021-09-12,105.21
228,2021-09-11,105.21
229,2021-09-10,105.21
230,2021-09-09,105.21
231,2021-09-08,105.21
232,2021-09-07,105.21
233,2021-09-06,105.21
234,2021-09-05,105.21
235,2021-09-03,105.33
236,2021-09-02,105.33
237,2021-09-01,105.33
238,2021-08-31,105.45
239,2021-08-30,105.45
240,2021-08-29,105.45
241,2021-08-28,105.45
242,2021-08-27,105.45
243,2021-08-26,105.45
244,2021-08-25,105.45
245,2021-08-24,105.45
246,2021-08-23,105.56
247,2021-08-22,105.56
248,2021-08-21,105.56
249,2021-08-20,105.56
250,2021-08-19,105.56
251,2021-08-18,105.56
252,2021-08-17,105.56
253,2021-08-16,105.56
254,2021-08-15,105.56
255,2021-08-14,105.56
256,2021-08-13,105.56
257,2021-08-12,105.56
258,2021-08-11,105.56
259,2021-08-10,105.56
260,2021-08-09,105.56
261,2021-08-08,105.56
262,2021-08-07,105.56
263,2021-08-06,105.56
264,2021-08-05,105.56
265,2021-08-04,105.56
266,2021-08-03,105.56
267,2021-08-02,105.56
268,2021-08-01,105.56
269,2021-07-31,105.56
270,2021-07-30,105.56
271,2021-07-29,105.56
272,2021-07-28,105.56
273,2021-07-27,105.56
274,2021-07-26,105.56
275,2021-07-25,105.56
276,2021-07-24,105.56
277,2021-07-23,105.56
278,2021-07-22,105.56
279,2021-07-21,105.56
280,2021-07-20,105.56
281,2021-07-19,105.56
282,2021-07-18,105.56
283,2021-07-17,105.56
284,2021-07-16,105.22
285,2021-07-15,105.22
286,2021-07-14,104.83
287,2021-07-13,104.83
288,2021-07-12,104.83
289,2021-07-11,104.49
290,2021-07-10,104.49
291,2021-07-09,104.1
292,2021-07-08,104.1
293,2021-07-07,103.71
294,2021-07-06,103.32
295,2021-07-05,103.32
296,2021-07-04,102.93
297,2021-07-03,102.52
298,2021-07-02,102.52
299,2021-07-01,102.12
300,2021-06-30,102.12
301,2021-06-29,102.12
302,2021-06-28,101.78
303,2021-06-27,101.78
304,2021-06-26,101.44
305,2021-06-25,101.1
306,2021-06-24,101.1
307,2021-06-23,100.85
308,2021-06-22,100.85
309,2021-06-21,100.58
310,2021-06-20,100.58
311,2021-06-19,100.3
312,2021-06-18,100.3
313,2021-06-17,100.04
314,2021-06-16,100.04
315,2021-06-15,99.8
316,2021-06-14,99.8
317,2021-06-13,99.52
318,2021-06-12,99.52
319,2021-06-11,99.25
320,2021-06-10,98.97
321,2021-06-09,98.97
322,2021-06-08,98.73
323,2021-06-07,98.73
324,2021-06-06,98.46
325,2021-06-05,98.2
326,2021-06-04,98.2
327,2021-06-03,97.94
328,2021-06-02,97.94
329,2021-06-01,97.94
330,2021-05-31,97.69
331,2021-05-30,97.41
332,2021-05-29,97.41
333,2021-05-28,97.16
334,2021-05-27,97.16
335,2021-05-26,96.92
336,2021-05-25,96.92
337,2021-05-24,96.7
338,2021-05-23,96.7
339,2021-05-22,96.54
340,2021-05-21,96.54
341,2021-05-20,96.35
342,2021-05-19,96.35
343,2021-05-18,96.35
344,2021-05-17,96.09
345,2021-05-16,96.09
346,2021-05-15,95.86
347,2021-05-14,95.86
348,2021-05-13,95.58
349,2021-05-12,95.58
350,2021-05-11,95.34
351,2021-05-10,95.08
352,2021-05-09,94.83
353,2021-05-08,94.83
354,2021-05-07,94.83
355,2021-05-06,94.56
356,2021-05-05,94.31
357,2021-05-04,94.13
358,2021-05-03,93.84
359,2021-05-02,93.84
360,2021-05-01,93.84
361,2021-04-30,93.84
362,2021-04-29,93.84
363,2021-04-28,93.84
364,2021-04-27,93.84
