,date,price
0,2022-05-01,118.39
1,2022-04-30,118.39
2,2022-04-29,118.39
3,2022-04-28,118.39
4,2022-04-27,118.39
5,2022-04-26,118.39
6,2022-04-25,118.39
7,2022-04-24,118.39
8,2022-04-23,118.39
9,2022-04-22,118.39
10,2022-04-21,118.39
11,2022-04-20,118.39
12,2022-04-19,118.39
13,2022-04-18,118.39
14,2022-04-17,118.39
15,2022-04-16,118.39
16,2022-04-15,118.39
17,2022-04-14,118.39
18,2022-04-13,118.39
19,2022-04-12,118.39
20,2022-04-11,118.39
21,2022-04-10,118.39
22,2022-04-09,118.39
23,2022-04-08,118.39
24,2022-04-07,118.39
25,2022-04-06,118.39
26,2022-04-05,117.56
27,2022-04-04,116.74
28,2022-04-03,116.32
29,2022-04-02,115.5
30,2022-04-01,114.67
31,2022-03-31,114.67
32,2022-03-30,113.84
33,2022-03-29,113.02
34,2022-03-28,112.19
35,2022-03-27,111.88
36,2022-03-26,111.36
37,2022-03-25,110.61
38,2022-03-24,109.79
39,2022-03-23,109.79
40,2022-03-22,108.96
41,2022-03-21,108.13
42,2022-03-20,108.13
43,2022-03-19,108.13
44,2022-03-18,108.13
45,2022-03-17,108.13
46,2022-03-16,108.13
47,2022-03-15,108.13
48,2022-03-14,108.13
49,2022-03-13,108.13
50,2022-03-12,108.13
51,2022-03-11,108.13
52,2022-03-10,108.13
53,2022-03-09,108.13
54,2022-03-08,108.13
55,2022-03-07,108.13
56,2022-03-06,108.13
57,2022-03-05,108.13
58,2022-03-04,108.13
59,2022-03-03,108.13
60,2022-03-02,108.13
61,2022-03-01,108.13
62,2022-02-28,108.13
63,2022-02-27,108.13
64,2022-02-26,108.13
65,2022-02-25,108.13
66,2022-02-24,108.13
67,2022-02-23,108.13
68,2022-02-22,108.13
69,2022-02-21,108.13
70,2022-02-20,108.13
71,2022-02-19,108.13
72,2022-02-18,108.13
73,2022-02-17,108.13
74,2022-02-16,108.13
75,2022-02-15,108.13
76,2022-02-14,108.13
77,2022-02-13,108.13
78,2022-02-12,108.13
79,2022-02-11,108.13
80,2022-02-10,108.13
81,2022-02-09,108.13
82,2022-02-08,108.13
83,2022-02-07,108.13
84,2022-02-06,108.13
85,2022-02-05,108.13
86,2022-02-04,108.13
87,2022-02-03,108.13
88,2022-02-02,108.13
89,2022-02-01,108.13
90,2022-01-31,108.13
91,2022-01-30,108.13
92,2022-01-29,108.13
93,2022-01-28,108.13
94,2022-01-27,108.13
95,2022-01-26,108.13
96,2022-01-25,108.13
97,2022-01-24,108.13
98,2022-01-23,108.13
99,2022-01-22,108.13
100,2022-01-21,108.13
101,2022-01-20,108.13
102,2022-01-19,108.13
103,2022-01-18,108.13
104,2022-01-17,108.13
105,2022-01-16,108.13
106,2022-01-15,108.13
107,2022-01-14,108.13
108,2022-01-13,108.13
109,2022-01-12,108.13
110,2022-01-11,108.13
111,2022-01-10,108.13
112,2022-01-09,108.13
113,2022-01-08,108.13
114,2022-01-07,108.13
115,2022-01-06,108.13
116,2022-01-05,108.13
117,2022-01-04,108.13
118,2022-01-03,108.13
119,2022-01-02,108.13
120,2022-01-01,108.13
121,2021-12-31,108.13
122,2021-12-30,108.13
123,2021-12-29,108.13
124,2021-12-28,108.13
125,2021-12-27,108.13
126,2021-12-26,108.13
127,2021-12-25,108.13
128,2021-12-24,108.13
129,2021-12-23,108.13
130,2021-12-22,108.13
131,2021-12-21,108.13
132,2021-12-20,108.13
133,2021-12-19,108.13
134,2021-12-18,108.13
135,2021-12-17,108.13
136,2021-12-16,108.13
137,2021-12-15,108.13
138,2021-12-14,108.13
139,2021-12-13,108.13
140,2021-12-12,108.13
141,2021-12-11,108.13
142,2021-12-10,108.13
143,2021-12-09,108.13
144,2021-12-08,108.13
145,2021-12-07,108.13
146,2021-12-06,108.13
147,2021-12-05,108.13
148,2021-12-04,108.13
149,2021-12-03,108.13
150,2021-12-02,108.13
151,2021-11-30,108.13
152,2021-11-29,108.13
153,2021-11-28,108.13
154,2021-11-27,108.13
155,2021-11-26,108.13
156,2021-11-25,108.13
157,2021-11-24,108.13
158,2021-11-23,108.13
159,2021-11-22,108.13
160,2021-11-21,108.13
161,2021-11-20,108.13
162,2021-11-19,108.13
163,2021-11-18,108.13
164,2021-11-17,108.13
165,2021-11-16,108.13
166,2021-11-15,108.13
167,2021-11-14,108.13
168,2021-11-13,108.13
169,2021-11-12,108.13
170,2021-11-11,108.13
171,2021-11-10,108.13
172,2021-11-09,108.13
173,2021-11-08,108.13
174,2021-11-07,108.13
175,2021-11-06,108.13
176,2021-11-05,108.13
177,2021-11-04,110.2
178,2021-11-03,116.07
179,2021-11-02,116.07
180,2021-11-01,115.71
181,2021-10-31,115.2
182,2021-10-30,114.87
183,2021-10-29,114.53
184,2021-10-28,114.15
185,2021-10-27,113.75
186,2021-10-26,113.35
187,2021-10-25,113.35
188,2021-10-24,113.35
189,2021-10-23,112.95
190,2021-10-22,112.55
191,2021-10-21,112.15
192,2021-10-20,111.75
193,2021-10-19,111.35
194,2021-10-18,111.35
195,2021-10-15,110.55
196,2021-10-14,110.15
197,2021-10-13,109.75
198,2021-10-12,109.75
199,2021-10-11,109.75
200,2021-10-10,109.4
201,2021-10-09,109.05
202,2021-10-07,108.36
203,2021-10-06,108.01
204,2021-10-05,107.66
205,2021-10-04,107.36
206,2021-10-03,107.36
207,2021-10-02,107.06
208,2021-10-01,106.76
209,2021-09-30,106.47
210,2021-09-29,106.19
211,2021-09-28,106.19
212,2021-09-27,105.96
213,2021-09-26,105.96
214,2021-09-25,105.96
215,2021-09-24,105.96
216,2021-09-23,105.96
217,2021-09-22,105.96
218,2021-09-21,105.96
219,2021-09-20,105.96
220,2021-09-19,105.96
221,2021-09-18,105.96
222,2021-09-17,105.96
223,2021-09-16,105.96
224,2021-09-15,105.96
225,2021-09-14,105.96
226,2021-09-13,105.96
227,2021-09-12,105.96
228,2021-09-11,105.96
229,2021-09-10,105.96
230,2021-09-09,105.96
231,2021-09-08,105.96
232,2021-09-07,105.96
233,2021-09-06,105.96
234,2021-09-05,105.96
235,2021-09-03,106.09
236,2021-09-02,106.09
237,2021-09-01,106.09
238,2021-08-31,106.21
239,2021-08-30,106.21
240,2021-08-29,106.21
241,2021-08-28,106.21
242,2021-08-27,106.21
243,2021-08-26,106.21
244,2021-08-25,106.21
245,2021-08-24,106.21
246,2021-08-23,106.32
247,2021-08-22,106.32
248,2021-08-21,106.24
249,2021-08-20,106.24
250,2021-08-19,106.24
251,2021-08-18,106.24
252,2021-08-17,106.24
253,2021-08-16,106.24
254,2021-08-15,106.24
255,2021-08-14,106.24
256,2021-08-13,106.24
257,2021-08-12,106.24
258,2021-08-11,106.24
259,2021-08-10,106.24
260,2021-08-09,106.24
261,2021-08-08,106.24
262,2021-08-07,106.24
263,2021-08-06,106.24
264,2021-08-05,106.24
265,2021-08-04,106.24
266,2021-08-03,106.24
267,2021-08-02,106.24
268,2021-08-01,106.24
269,2021-07-31,106.24
270,2021-07-30,106.24
271,2021-07-29,106.24
272,2021-07-28,106.24
273,2021-07-27,106.24
274,2021-07-26,106.24
275,2021-07-25,106.24
276,2021-07-24,106.24
277,2021-07-23,106.24
278,2021-07-22,106.24
279,2021-07-21,106.24
280,2021-07-20,106.24
281,2021-07-19,106.24
282,2021-07-18,106.24
283,2021-07-17,106.24
284,2021-07-16,105.9
285,2021-07-15,105.9
286,2021-07-14,105.51
287,2021-07-13,105.51
288,2021-07-12,105.51
289,2021-07-11,105.17
290,2021-07-10,105.17
291,2021-07-09,104.78
292,2021-07-08,104.78
293,2021-07-07,104.39
294,2021-07-06,104
295,2021-07-05,104
