,date,price
0,2022-05-01,118.11
1,2022-04-30,118.11
2,2022-04-29,118.11
3,2022-04-28,118.11
4,2022-04-27,118.11
5,2022-04-26,118.11
6,2022-04-25,118.11
7,2022-04-24,118.11
8,2022-04-23,118.11
9,2022-04-22,118.11
10,2022-04-21,118.11
11,2022-04-20,118.11
12,2022-04-19,118.11
13,2022-04-18,118.11
14,2022-04-17,118.11
15,2022-04-16,118.11
16,2022-04-15,118.11
17,2022-04-14,118.11
18,2022-04-13,118.11
19,2022-04-12,118.11
20,2022-04-11,118.11
21,2022-04-10,118.11
22,2022-04-09,118.11
23,2022-04-08,118.11
24,2022-04-07,118.11
25,2022-04-06,118.11
26,2022-04-05,117.29
27,2022-04-04,116.46
28,2022-04-03,116.05
29,2022-04-02,115.22
30,2022-04-01,114.39
31,2022-03-31,114.39
32,2022-03-30,113.57
33,2022-03-29,112.74
34,2022-03-28,111.91
35,2022-03-27,111.6
36,2022-03-26,111.09
37,2022-03-25,110.33
38,2022-03-24,109.5
39,2022-03-23,109.5
40,2022-03-22,108.68
41,2022-03-21,107.84
42,2022-03-20,107.84
43,2022-03-19,107.84
44,2022-03-18,107.84
45,2022-03-17,107.84
46,2022-03-16,107.84
47,2022-03-15,107.84
48,2022-03-14,107.84
49,2022-03-13,107.84
50,2022-03-12,107.84
51,2022-03-11,107.84
52,2022-03-10,107.84
53,2022-03-09,107.84
54,2022-03-08,107.84
55,2022-03-07,107.84
56,2022-03-06,107.84
57,2022-03-05,107.84
58,2022-03-04,107.84
59,2022-03-03,107.84
60,2022-03-02,107.84
61,2022-03-01,107.84
62,2022-02-28,107.84
63,2022-02-27,107.84
64,2022-02-26,107.84
65,2022-02-25,107.84
66,2022-02-24,107.84
67,2022-02-23,107.84
68,2022-02-22,107.84
69,2022-02-21,107.84
70,2022-02-20,107.84
71,2022-02-19,107.84
72,2022-02-18,107.84
73,2022-02-17,107.84
74,2022-02-16,107.84
75,2022-02-15,107.84
76,2022-02-14,107.84
77,2022-02-13,107.84
78,2022-02-12,107.84
79,2022-02-11,107.84
80,2022-02-10,107.84
81,2022-02-09,107.84
82,2022-02-08,107.84
83,2022-02-07,107.84
84,2022-02-06,107.84
85,2022-02-05,107.84
86,2022-02-04,107.84
87,2022-02-03,107.84
88,2022-02-02,107.84
89,2022-02-01,107.84
90,2022-01-31,107.84
91,2022-01-30,107.84
92,2022-01-29,107.84
93,2022-01-28,107.84
94,2022-01-27,107.84
95,2022-01-26,107.84
96,2022-01-25,107.84
97,2022-01-24,107.84
98,2022-01-23,107.84
99,2022-01-22,107.84
100,2022-01-21,107.84
101,2022-01-20,107.84
102,2022-01-19,107.84
103,2022-01-18,107.84
104,2022-01-17,107.84
105,2022-01-16,107.84
106,2022-01-15,107.84
107,2022-01-14,107.84
108,2022-01-13,107.84
109,2022-01-12,107.84
110,2022-01-11,107.84
111,2022-01-10,107.84
112,2022-01-09,107.84
113,2022-01-08,107.84
114,2022-01-07,107.84
115,2022-01-06,107.84
116,2022-01-05,107.84
117,2022-01-04,107.84
118,2022-01-03,107.84
119,2022-01-02,107.84
120,2022-01-01,107.84
121,2021-12-31,107.84
122,2021-12-30,107.84
123,2021-12-29,107.84
124,2021-12-28,107.84
125,2021-12-27,107.84
126,2021-12-26,107.84
127,2021-12-25,107.84
128,2021-12-24,107.84
129,2021-12-23,107.84
130,2021-12-22,107.84
131,2021-12-21,107.84
132,2021-12-20,107.84
133,2021-12-19,107.84
134,2021-12-18,107.84
135,2021-12-17,107.84
136,2021-12-16,107.84
137,2021-12-15,107.84
138,2021-12-14,107.84
139,2021-12-13,107.84
140,2021-12-12,107.84
141,2021-12-11,107.84
142,2021-12-10,107.84
143,2021-12-09,107.84
144,2021-12-08,107.84
145,2021-12-07,107.84
146,2021-12-06,107.84
147,2021-12-05,107.84
148,2021-12-04,107.84
149,2021-12-03,107.84
150,2021-12-02,107.84
151,2021-11-30,107.84
152,2021-11-29,107.84
153,2021-11-28,107.84
154,2021-11-27,107.84
155,2021-11-26,107.84
156,2021-11-25,107.84
157,2021-11-24,107.84
158,2021-11-23,107.84
159,2021-11-22,107.84
160,2021-11-21,107.84
161,2021-11-20,107.84
162,2021-11-19,107.84
163,2021-11-18,107.84
164,2021-11-17,107.84
165,2021-11-16,107.84
166,2021-11-15,107.84
167,2021-11-14,107.84
168,2021-11-13,107.84
169,2021-11-12,107.84
170,2021-11-11,107.84
171,2021-11-10,107.84
172,2021-11-09,107.84
173,2021-11-08,107.84
174,2021-11-07,107.84
175,2021-11-06,107.84
176,2021-11-05,107.84
177,2021-11-04,109.9
178,2021-11-03,115.77
179,2021-11-02,115.77
180,2021-11-01,115.41
181,2021-10-31,114.92
182,2021-10-30,114.58
183,2021-10-29,114.25
184,2021-10-28,113.87
185,2021-10-27,113.47
186,2021-10-26,113.07
187,2021-10-25,113.07
188,2021-10-24,113.07
189,2021-10-23,112.67
190,2021-10-22,112.27
191,2021-10-21,111.87
192,2021-10-20,111.47
193,2021-10-19,111.07
194,2021-10-18,111.07
195,2021-10-15,110.27
196,2021-10-14,109.87
197,2021-10-13,109.47
198,2021-10-12,109.47
199,2021-10-11,109.47
200,2021-10-10,109.12
201,2021-10-09,108.77
202,2021-10-07,108.08
203,2021-10-06,107.73
204,2021-10-05,107.38
205,2021-10-04,107.08
206,2021-10-03,107.08
207,2021-10-02,106.78
208,2021-10-01,106.48
209,2021-09-30,106.19
210,2021-09-29,105.9
211,2021-09-28,105.9
212,2021-09-27,105.68
213,2021-09-26,105.68
214,2021-09-25,105.68
215,2021-09-24,105.68
216,2021-09-23,105.68
217,2021-09-22,105.68
218,2021-09-21,105.68
219,2021-09-20,105.68
220,2021-09-19,105.68
221,2021-09-18,105.68
222,2021-09-17,105.68
223,2021-09-16,105.68
224,2021-09-15,105.68
225,2021-09-14,105.68
226,2021-09-13,105.68
227,2021-09-12,105.68
228,2021-09-11,105.68
229,2021-09-10,105.68
230,2021-09-09,105.68
231,2021-09-08,105.68
232,2021-09-07,105.68
233,2021-09-06,105.68
234,2021-09-05,105.68
235,2021-09-03,105.8
236,2021-09-02,105.8
237,2021-09-01,105.8
238,2021-08-31,105.93
239,2021-08-30,105.93
240,2021-08-29,105.93
241,2021-08-28,105.93
242,2021-08-27,105.93
243,2021-08-26,105.93
244,2021-08-25,105.93
245,2021-08-24,105.93
246,2021-08-23,106.03
247,2021-08-22,106.03
248,2021-08-21,105.99
249,2021-08-20,105.99
250,2021-08-19,105.99
251,2021-08-18,105.99
252,2021-08-17,105.99
253,2021-08-16,105.99
254,2021-08-15,105.99
255,2021-08-14,105.99
256,2021-08-13,105.99
257,2021-08-12,105.99
258,2021-08-11,105.99
259,2021-08-10,105.99
260,2021-08-09,105.99
261,2021-08-08,105.99
262,2021-08-07,105.99
263,2021-08-06,105.99
264,2021-08-05,105.99
265,2021-08-04,105.99
266,2021-08-03,105.99
267,2021-08-02,105.99
268,2021-08-01,105.99
269,2021-07-31,105.99
270,2021-07-30,105.99
271,2021-07-29,105.99
272,2021-07-28,105.99
273,2021-07-27,105.99
274,2021-07-26,105.99
275,2021-07-25,105.99
276,2021-07-24,105.99
277,2021-07-23,105.99
278,2021-07-22,105.99
279,2021-07-21,105.99
280,2021-07-20,105.99
281,2021-07-19,105.99
282,2021-07-18,105.99
283,2021-07-17,105.99
284,2021-07-16,105.65
285,2021-07-15,105.65
286,2021-07-14,105.26
287,2021-07-13,105.26
288,2021-07-12,105.26
289,2021-07-11,104.92
290,2021-07-10,104.92
291,2021-07-09,104.53
292,2021-07-08,104.53
293,2021-07-07,104.14
294,2021-07-06,103.75
295,2021-07-05,103.75
296,2021-07-04,103.36
297,2021-07-03,102.95
298,2021-07-02,102.95
299,2021-07-01,102.55
300,2021-06-30,102.55
301,2021-06-29,102.55
302,2021-06-28,102.21
303,2021-06-27,102.21
304,2021-06-26,101.87
305,2021-06-25,101.53
306,2021-06-24,101.53
307,2021-06-23,101.28
308,2021-06-22,101.28
309,2021-06-21,101.01
310,2021-06-20,101.01
311,2021-06-19,100.73
312,2021-06-18,100.73
313,2021-06-17,100.47
314,2021-06-16,100.47
315,2021-06-15,100.23
316,2021-06-14,100.23
317,2021-06-13,99.95
318,2021-06-12,99.95
319,2021-06-11,99.68
320,2021-06-10,99.4
321,2021-06-09,99.4
322,2021-06-08,99.16
323,2021-06-07,99.16
324,2021-06-06,98.89
325,2021-06-05,98.63
326,2021-06-04,98.63
327,2021-06-03,98.37
328,2021-06-02,98.37
329,2021-06-01,98.37
330,2021-05-31,98.12
331,2021-05-30,97.84
332,2021-05-29,97.84
333,2021-05-28,97.59
334,2021-05-27,97.59
335,2021-05-26,97.35
336,2021-05-25,97.35
337,2021-05-24,97.13
338,2021-05-23,97.13
339,2021-05-22,96.97
340,2021-05-21,96.97
341,2021-05-20,96.78
342,2021-05-19,96.78
343,2021-05-18,96.78
344,2021-05-17,96.52
345,2021-05-16,96.52
346,2021-05-15,96.29
347,2021-05-14,96.29
348,2021-05-13,96.01
349,2021-05-12,96.01
350,2021-05-11,95.77
351,2021-05-10,95.51
352,2021-05-09,95.26
353,2021-05-08,95.26
354,2021-05-07,95.26
355,2021-05-06,94.99
356,2021-05-05,94.74
357,2021-05-04,94.56
358,2021-05-03,94.23
359,2021-05-02,94.23
360,2021-05-01,94.23
361,2021-04-30,94.23
362,2021-04-29,94.23
363,2021-04-28,94.23
364,2021-04-27,94.23
