,date,price
0,2022-05-01,117.65
1,2022-04-30,117.65
2,2022-04-29,117.65
3,2022-04-28,117.65
4,2022-04-27,117.65
5,2022-04-26,117.65
6,2022-04-25,117.65
7,2022-04-24,117.65
8,2022-04-23,117.65
9,2022-04-22,117.65
10,2022-04-21,117.65
11,2022-04-20,117.65
12,2022-04-19,117.65
13,2022-04-18,117.65
14,2022-04-17,117.65
15,2022-04-16,117.65
16,2022-04-15,117.65
17,2022-04-14,117.65
18,2022-04-13,117.65
19,2022-04-12,117.65
20,2022-04-11,117.65
21,2022-04-10,117.65
22,2022-04-09,117.65
23,2022-04-08,117.65
24,2022-04-07,117.65
25,2022-04-06,117.65
26,2022-04-05,116.83
27,2022-04-04,116
28,2022-04-03,115.59
29,2022-04-02,114.76
30,2022-04-01,113.93
31,2022-03-31,113.93
32,2022-03-30,113.11
33,2022-03-29,112.28
34,2022-03-28,111.45
35,2022-03-27,111.14
36,2022-03-26,110.63
37,2022-03-25,109.85
38,2022-03-24,109.02
39,2022-03-23,109.02
40,2022-03-22,108.19
41,2022-03-21,107.37
42,2022-03-20,107.37
43,2022-03-19,107.37
44,2022-03-18,107.37
45,2022-03-17,107.37
46,2022-03-16,107.37
47,2022-03-15,107.37
48,2022-03-14,107.37
49,2022-03-13,107.37
50,2022-03-12,107.37
51,2022-03-11,107.37
52,2022-03-10,107.37
53,2022-03-09,107.37
54,2022-03-08,107.37
55,2022-03-07,107.37
56,2022-03-06,107.37
57,2022-03-05,107.37
58,2022-03-04,107.37
59,2022-03-03,107.37
60,2022-03-02,107.37
61,2022-03-01,107.37
62,2022-02-28,107.37
63,2022-02-27,107.37
64,2022-02-26,107.37
65,2022-02-25,107.37
66,2022-02-24,107.37
67,2022-02-23,107.37
68,2022-02-22,107.37
69,2022-02-21,107.37
70,2022-02-20,107.37
71,2022-02-19,107.37
72,2022-02-18,107.37
73,2022-02-17,107.37
74,2022-02-16,107.37
75,2022-02-15,107.37
76,2022-02-14,107.37
77,2022-02-13,107.37
78,2022-02-12,107.37
79,2022-02-11,107.37
80,2022-02-10,107.37
81,2022-02-09,107.37
82,2022-02-08,107.37
83,2022-02-07,107.37
84,2022-02-06,107.37
85,2022-02-05,107.37
86,2022-02-04,107.37
87,2022-02-03,107.37
88,2022-02-02,107.37
89,2022-02-01,107.37
90,2022-01-31,107.37
91,2022-01-30,107.37
92,2022-01-29,107.37
93,2022-01-28,107.37
94,2022-01-27,107.37
95,2022-01-26,107.37
96,2022-01-25,107.37
97,2022-01-24,107.37
98,2022-01-23,107.37
99,2022-01-22,107.37
100,2022-01-21,107.37
101,2022-01-20,107.37
102,2022-01-19,107.37
103,2022-01-18,107.37
104,2022-01-17,107.37
105,2022-01-16,107.37
106,2022-01-15,107.37
107,2022-01-14,107.37
108,2022-01-13,107.37
109,2022-01-12,107.37
110,2022-01-11,107.37
111,2022-01-10,107.37
112,2022-01-09,107.37
113,2022-01-08,107.37
114,2022-01-07,107.37
115,2022-01-06,107.37
116,2022-01-05,107.37
