,date,price
0,2022-05-01,69.5
1,2022-04-30,69.5
2,2022-04-29,69.5
3,2022-04-28,69.5
4,2022-04-27,69.5
5,2022-04-26,69.5
6,2022-04-25,69.5
7,2022-04-24,69.5
8,2022-04-23,69.5
9,2022-04-22,69.5
10,2022-04-21,69.5
11,2022-04-20,69.5
12,2022-04-19,69.5
13,2022-04-18,69.5
14,2022-04-17,69.5
15,2022-04-16,69.5
16,2022-04-15,69.5
17,2022-04-14,69.5
18,2022-04-13,69.5
19,2022-04-12,69.5
20,2022-04-11,69.5
21,2022-04-10,69.5
22,2022-04-09,69.5
23,2022-04-08,69.5
24,2022-04-07,69.5
25,2022-04-06,69.5
26,2022-04-05,69.5
27,2022-04-04,69.5
28,2022-04-03,69.5
29,2022-04-02,69.5
30,2022-04-01,69.5
31,2022-03-31,69.5
32,2022-03-30,69.5
33,2022-03-29,69.5
34,2022-03-28,69.5
35,2022-03-27,69.5
36,2022-03-26,69.5
37,2022-03-25,69.5
38,2022-03-24,69.5
39,2022-03-23,69.5
40,2022-03-22,69.5
41,2022-03-21,69.5
42,2022-03-20,69.5
43,2022-03-19,69.5
44,2022-03-18,69.5
45,2022-03-17,69.5
46,2022-03-16,69.5
47,2022-03-15,69.5
48,2022-03-14,69.5
49,2022-03-13,69.5
50,2022-03-12,69.5
51,2022-03-11,69.5
52,2022-03-10,69.5
53,2022-03-09,69.5
54,2022-03-08,69.5
55,2022-03-07,69.5
56,2022-03-06,69.5
57,2022-03-05,69.5
58,2022-03-04,69.5
59,2022-03-03,69.5
60,2022-03-02,69.5
61,2022-03-01,69.5
62,2022-02-28,69.5
63,2022-02-27,69.5
64,2022-02-26,69.5
65,2022-02-25,69.5
66,2022-02-24,69.5
67,2022-02-23,69.5
68,2022-02-22,69.5
69,2022-02-21,69.5
70,2022-02-20,69.5
71,2022-02-19,69.5
72,2022-02-18,69.5
73,2022-02-17,69.5
74,2022-02-16,69.5
75,2022-02-15,69.5
76,2022-02-14,69.5
77,2022-02-13,69.5
78,2022-02-12,69.5
79,2022-02-11,69.5
80,2022-02-10,69.5
81,2022-02-09,69.5
82,2022-02-08,69.5
83,2022-02-07,69.5
84,2022-02-06,69.5
85,2022-02-05,69.5
86,2022-02-04,69.5
87,2022-02-03,69.5
88,2022-02-02,69.5
89,2022-02-01,69.5
90,2022-01-31,69.5
91,2022-01-30,69.5
92,2022-01-29,69.5
93,2022-01-28,69.5
94,2022-01-27,69.5
95,2022-01-26,69.5
96,2022-01-25,69.5
97,2022-01-24,69.5
98,2022-01-23,69.5
99,2022-01-22,69.5
100,2022-01-21,69.5
101,2022-01-20,69.5
102,2022-01-19,69.5
103,2022-01-18,69.5
104,2022-01-17,69.5
105,2022-01-16,69.5
106,2022-01-15,69.5
107,2022-01-14,69.5
108,2022-01-13,69.5
109,2022-01-12,69.5
110,2022-01-11,69.5
111,2022-01-10,69.5
112,2022-01-09,69.5
113,2022-01-08,69.5
114,2022-01-07,69.5
115,2022-01-06,69.5
116,2022-01-05,69.5
117,2022-01-04,69.5
118,2022-01-03,69.5
119,2022-01-02,69.5
120,2022-01-01,69.5
121,2021-12-31,69.5
122,2021-12-30,69.5
123,2021-12-29,69.5
124,2021-12-28,69.5
125,2021-12-27,69.5
126,2021-12-26,69.5
127,2021-12-25,69.5
128,2021-12-24,69.5
129,2021-12-23,69.5
130,2021-12-22,69.5
131,2021-12-21,69.5
132,2021-12-20,69.5
133,2021-12-19,69.5
134,2021-12-18,69.5
135,2021-12-17,69.5
136,2021-12-16,69.5
137,2021-12-15,69.5
138,2021-12-14,69.5
139,2021-12-13,69.5
140,2021-12-12,69.5
141,2021-12-11,69.5
142,2021-12-10,69.5
143,2021-12-09,69.5
144,2021-12-08,69.5
145,2021-12-07,69.5
146,2021-12-06,69.5
147,2021-12-05,69.5
148,2021-12-04,69.5
149,2021-12-03,69.5
150,2021-12-02,69.5
151,2021-11-30,69.5
152,2021-11-29,69.5
153,2021-11-28,69.5
154,2021-11-27,69.5
155,2021-11-26,69.5
156,2021-11-25,69.5
157,2021-11-24,69.5
158,2021-11-23,69.5
159,2021-11-22,69.5
160,2021-11-21,69.5
161,2021-11-20,69.5
162,2021-11-19,69.5
163,2021-11-18,69.5
164,2021-11-17,69.5
165,2021-11-16,69.5
166,2021-11-15,69.5
167,2021-11-14,69.5
168,2021-11-13,69.5
169,2021-11-12,69.5
170,2021-11-11,69.5
171,2021-11-10,69.5
172,2021-11-09,69.5
173,2021-11-08,69.5
174,2021-11-07,69.5
175,2021-11-06,69.5
176,2021-11-05,69.5
177,2021-11-04,69.5
178,2021-11-03,69.5
179,2021-11-02,69.5
180,2021-11-01,69.5
181,2021-10-31,69.5
182,2021-10-30,69.5
183,2021-10-29,69.5
184,2021-10-28,69.5
185,2021-10-27,69.5
186,2021-10-26,69.5
187,2021-10-25,69.5
188,2021-10-24,69.5
189,2021-10-23,69.5
190,2021-10-22,69.5
191,2021-10-21,69.5
192,2021-10-20,69.5
193,2021-10-19,69.5
194,2021-10-18,69.5
195,2021-10-15,69.5
196,2021-10-14,69.5
197,2021-10-13,69.5
198,2021-10-12,69.5
199,2021-10-11,69.5
200,2021-10-10,69.5
201,2021-10-09,69.5
202,2021-10-07,69.5
203,2021-10-06,69.5
204,2021-10-05,69.5
205,2021-10-04,69.5
206,2021-10-03,69.5
207,2021-10-02,69.5
208,2021-10-01,69.5
209,2021-09-30,69.5
210,2021-09-29,69.5
211,2021-09-28,69.5
212,2021-09-27,69.5
213,2021-09-26,69.5
214,2021-09-25,69.5
215,2021-09-24,69.5
216,2021-09-23,69.5
217,2021-09-22,69.5
218,2021-09-21,69.5
219,2021-09-20,69.5
220,2021-09-19,69.5
221,2021-09-18,69.5
222,2021-09-17,69.5
223,2021-09-16,69.5
224,2021-09-15,69.5
225,2021-09-14,69.5
226,2021-09-13,69.5
227,2021-09-12,69.5
228,2021-09-11,69.5
229,2021-09-10,69.5
230,2021-09-09,69.5
231,2021-09-08,69.5
232,2021-09-07,69.5
233,2021-09-06,69.5
234,2021-09-05,69.5
235,2021-09-03,69.5
236,2021-09-02,69.5
237,2021-09-01,69.5
238,2021-08-31,69.5
239,2021-08-30,69.5
240,2021-08-29,69.5
241,2021-08-28,69.5
242,2021-08-27,69.5
243,2021-08-26,69.5
244,2021-08-25,69.5
245,2021-08-24,69.5
246,2021-08-23,69.5
247,2021-08-22,69.5
248,2021-08-21,69.5
249,2021-08-20,69.5
250,2021-08-19,69.5
251,2021-08-18,69.5
252,2021-08-17,69.5
253,2021-08-16,69.5
254,2021-08-15,69.5
255,2021-08-14,69.5
256,2021-08-13,69.5
257,2021-08-12,69.5
258,2021-08-11,69.5
259,2021-08-10,69.5
260,2021-08-09,69.5
261,2021-08-08,69.5
262,2021-08-07,69.5
263,2021-08-06,69.5
