,date,price
0,2022-05-01,117.53
1,2022-04-30,117.53
2,2022-04-29,117.53
3,2022-04-28,117.53
4,2022-04-27,117.53
5,2022-04-26,117.53
6,2022-04-25,117.53
7,2022-04-24,117.53
8,2022-04-23,117.53
9,2022-04-22,117.53
10,2022-04-21,117.53
11,2022-04-20,117.53
12,2022-04-19,117.53
13,2022-04-18,117.53
14,2022-04-17,117.53
15,2022-04-16,117.53
16,2022-04-15,117.53
17,2022-04-14,117.53
18,2022-04-13,117.53
19,2022-04-12,117.53
20,2022-04-11,117.53
21,2022-04-10,117.53
22,2022-04-09,117.53
23,2022-04-08,117.53
24,2022-04-07,117.53
25,2022-04-06,117.53
26,2022-04-05,116.7
27,2022-04-04,115.87
28,2022-04-03,115.46
29,2022-04-02,114.63
30,2022-04-01,113.81
31,2022-03-31,113.81
32,2022-03-30,112.98
33,2022-03-29,112.15
34,2022-03-28,111.33
35,2022-03-27,111.02
36,2022-03-26,110.5
37,2022-03-25,109.72
38,2022-03-24,108.9
39,2022-03-23,108.9
40,2022-03-22,108.07
41,2022-03-21,107.24
42,2022-03-20,107.24
43,2022-03-19,107.24
44,2022-03-18,107.24
45,2022-03-17,107.24
46,2022-03-16,107.24
47,2022-03-15,107.24
48,2022-03-14,107.24
49,2022-03-13,107.24
50,2022-03-12,107.24
51,2022-03-11,107.24
52,2022-03-10,107.24
53,2022-03-09,107.24
54,2022-03-08,107.24
55,2022-03-07,107.24
56,2022-03-06,107.24
57,2022-03-05,107.24
58,2022-03-04,107.24
59,2022-03-03,107.24
60,2022-03-02,107.24
61,2022-03-01,107.24
62,2022-02-28,107.24
63,2022-02-27,107.24
64,2022-02-26,107.24
65,2022-02-25,107.24
66,2022-02-24,107.24
67,2022-02-23,107.24
68,2022-02-22,107.24
69,2022-02-21,107.24
70,2022-02-20,107.24
71,2022-02-19,107.24
72,2022-02-18,107.24
73,2022-02-17,107.24
74,2022-02-16,107.24
75,2022-02-15,107.24
76,2022-02-14,107.24
77,2022-02-13,107.24
78,2022-02-12,107.24
79,2022-02-11,107.24
80,2022-02-10,107.24
81,2022-02-09,107.24
82,2022-02-08,107.24
83,2022-02-07,107.24
84,2022-02-06,107.24
85,2022-02-05,107.24
86,2022-02-04,107.24
87,2022-02-03,107.24
88,2022-02-02,107.24
89,2022-02-01,107.24
90,2022-01-31,107.24
91,2022-01-30,107.24
92,2022-01-29,107.24
93,2022-01-28,107.24
94,2022-01-27,107.24
95,2022-01-26,107.24
96,2022-01-25,107.24
97,2022-01-24,107.24
98,2022-01-23,107.24
99,2022-01-22,107.24
100,2022-01-21,107.24
101,2022-01-20,107.24
102,2022-01-19,107.24
103,2022-01-18,107.24
104,2022-01-17,107.24
105,2022-01-16,107.24
106,2022-01-15,107.24
107,2022-01-14,107.24
108,2022-01-13,107.24
109,2022-01-12,107.24
110,2022-01-11,107.24
111,2022-01-10,107.24
112,2022-01-09,107.24
113,2022-01-08,107.24
114,2022-01-07,107.24
115,2022-01-06,107.24
116,2022-01-05,107.24
117,2022-01-04,107.24
118,2022-01-03,107.24
119,2022-01-02,107.24
120,2022-01-01,107.24
121,2021-12-31,107.24
122,2021-12-30,107.24
123,2021-12-29,107.24
124,2021-12-28,107.24
125,2021-12-27,107.24
126,2021-12-26,107.24
127,2021-12-25,107.24
128,2021-12-24,107.24
129,2021-12-23,107.24
130,2021-12-22,107.24
131,2021-12-21,107.24
132,2021-12-20,107.24
133,2021-12-19,107.24
134,2021-12-18,107.24
135,2021-12-17,107.24
136,2021-12-16,107.24
137,2021-12-15,107.24
138,2021-12-14,107.24
139,2021-12-13,107.24
140,2021-12-12,107.24
141,2021-12-11,107.24
142,2021-12-10,107.24
143,2021-12-09,107.24
144,2021-12-08,107.24
145,2021-12-07,107.24
146,2021-12-06,107.24
147,2021-12-05,107.24
148,2021-12-04,107.24
149,2021-12-03,107.24
150,2021-12-02,107.24
151,2021-11-30,107.24
152,2021-11-29,107.24
153,2021-11-28,107.24
154,2021-11-27,107.24
155,2021-11-26,107.24
156,2021-11-25,107.24
157,2021-11-24,107.24
158,2021-11-23,107.24
159,2021-11-22,107.24
160,2021-11-21,107.24
161,2021-11-20,107.24
162,2021-11-19,107.24
163,2021-11-18,107.24
164,2021-11-17,107.24
165,2021-11-16,107.24
166,2021-11-15,107.24
167,2021-11-14,107.24
168,2021-11-13,107.24
169,2021-11-12,107.24
170,2021-11-11,107.24
171,2021-11-10,107.24
172,2021-11-09,107.24
173,2021-11-08,107.24
174,2021-11-07,107.24
175,2021-11-06,107.24
176,2021-11-05,107.24
177,2021-11-04,109.29
178,2021-11-03,115.16
179,2021-11-02,115.16
180,2021-11-01,114.8
181,2021-10-31,114.35
182,2021-10-30,114.01
183,2021-10-29,113.67
184,2021-10-28,113.3
185,2021-10-27,112.9
186,2021-10-26,112.5
187,2021-10-25,112.5
188,2021-10-24,112.5
189,2021-10-23,112.1
190,2021-10-22,111.7
191,2021-10-21,111.3
192,2021-10-20,110.9
193,2021-10-19,110.5
194,2021-10-18,110.5
195,2021-10-15,109.7
196,2021-10-14,109.3
197,2021-10-13,108.9
198,2021-10-12,108.9
199,2021-10-11,108.9
200,2021-10-10,108.55
201,2021-10-09,108.2
202,2021-10-07,107.51
203,2021-10-06,107.16
204,2021-10-05,106.81
205,2021-10-04,106.51
206,2021-10-03,106.51
207,2021-10-02,106.21
208,2021-10-01,105.91
209,2021-09-30,105.62
210,2021-09-29,105.33
211,2021-09-28,105.33
212,2021-09-27,105.11
213,2021-09-26,105.11
214,2021-09-25,105.11
215,2021-09-24,105.11
216,2021-09-23,105.11
217,2021-09-22,105.11
218,2021-09-21,105.11
219,2021-09-20,105.11
220,2021-09-19,105.11
221,2021-09-18,105.11
222,2021-09-17,105.11
223,2021-09-16,105.11
224,2021-09-15,105.11
225,2021-09-14,105.11
226,2021-09-13,105.11
227,2021-09-12,105.11
228,2021-09-11,105.11
229,2021-09-10,105.11
230,2021-09-09,105.11
231,2021-09-08,105.11
232,2021-09-07,105.11
233,2021-09-06,105.11
234,2021-09-05,105.11
235,2021-09-03,105.23
236,2021-09-02,105.23
237,2021-09-01,105.23
238,2021-08-31,105.35
239,2021-08-30,105.35
240,2021-08-29,105.35
