,date,price
0,2022-05-01,104.73
1,2022-04-30,104.73
2,2022-04-29,104.73
3,2022-04-28,104.73
4,2022-04-27,104.73
5,2022-04-26,104.73
6,2022-04-25,104.73
7,2022-04-24,104.73
8,2022-04-23,104.73
9,2022-04-22,104.73
10,2022-04-21,104.73
11,2022-04-20,104.73
12,2022-04-19,104.73
13,2022-04-18,104.73
14,2022-04-17,104.73
15,2022-04-16,104.73
16,2022-04-15,104.73
17,2022-04-14,104.73
18,2022-04-13,104.73
19,2022-04-12,104.73
20,2022-04-11,104.73
21,2022-04-10,104.73
22,2022-04-09,104.73
23,2022-04-08,104.73
24,2022-04-07,104.73
25,2022-04-06,104.73
26,2022-04-05,103.94
27,2022-04-04,103.15
28,2022-04-03,102.76
29,2022-04-02,101.97
30,2022-04-01,101.19
31,2022-03-31,101.19
32,2022-03-30,100.4
33,2022-03-29,99.61
34,2022-03-28,98.83
35,2022-03-27,98.53
36,2022-03-26,98.04
37,2022-03-25,96.57
38,2022-03-24,95.78
39,2022-03-23,95.78
40,2022-03-22,95
41,2022-03-21,94.21
42,2022-03-20,94.21
43,2022-03-19,94.21
44,2022-03-18,94.21
45,2022-03-17,94.21
46,2022-03-16,94.21
47,2022-03-15,94.21
48,2022-03-14,94.21
49,2022-03-13,94.21
50,2022-03-12,94.21
51,2022-03-11,94.21
52,2022-03-10,94.21
53,2022-03-09,94.21
54,2022-03-08,94.21
55,2022-03-07,94.21
56,2022-03-06,94.21
57,2022-03-05,94.21
58,2022-03-04,94.21
59,2022-03-03,94.21
60,2022-03-02,94.21
61,2022-03-01,94.21
62,2022-02-28,94.21
63,2022-02-27,94.21
64,2022-02-26,94.21
65,2022-02-25,94.21
66,2022-02-24,94.21
67,2022-02-23,94.21
68,2022-02-22,94.21
69,2022-02-21,94.21
70,2022-02-20,94.21
71,2022-02-19,94.21
72,2022-02-18,94.21
73,2022-02-17,94.21
74,2022-02-16,94.21
75,2022-02-15,94.21
76,2022-02-14,94.21
77,2022-02-13,94.21
78,2022-02-12,94.21
79,2022-02-11,94.21
80,2022-02-10,94.21
81,2022-02-09,94.21
82,2022-02-08,94.21
83,2022-02-07,94.21
84,2022-02-06,94.21
85,2022-02-05,94.21
86,2022-02-04,94.21
87,2022-02-03,94.21
88,2022-02-02,94.21
89,2022-02-01,94.21
90,2022-01-31,94.21
91,2022-01-30,94.21
92,2022-01-29,94.21
93,2022-01-28,94.21
94,2022-01-27,94.21
95,2022-01-26,94.21
96,2022-01-25,94.21
97,2022-01-24,94.21
98,2022-01-23,94.21
99,2022-01-22,94.21
100,2022-01-21,94.21
101,2022-01-20,94.21
102,2022-01-19,94.21
103,2022-01-18,94.21
104,2022-01-17,94.21
105,2022-01-16,94.21
106,2022-01-15,94.21
107,2022-01-14,94.21
108,2022-01-13,94.21
109,2022-01-12,94.21
110,2022-01-11,94.21
111,2022-01-10,94.21
112,2022-01-09,94.21
113,2022-01-08,94.21
114,2022-01-07,94.21
115,2022-01-06,94.21
116,2022-01-05,94.21
117,2022-01-04,94.21
118,2022-01-03,94.21
119,2022-01-02,94.21
120,2022-01-01,94.21
121,2021-12-31,94.21
122,2021-12-30,94.21
123,2021-12-29,94.21
124,2021-12-28,94.21
125,2021-12-27,94.21
126,2021-12-26,94.21
127,2021-12-25,94.21
128,2021-12-24,94.21
129,2021-12-23,94.21
130,2021-12-22,94.21
131,2021-12-21,94.21
132,2021-12-20,94.21
133,2021-12-19,94.21
134,2021-12-18,94.21
135,2021-12-17,94.21
136,2021-12-16,94.21
137,2021-12-15,94.21
138,2021-12-14,94.21
139,2021-12-13,94.21
140,2021-12-12,94.21
141,2021-12-11,94.21
142,2021-12-10,94.21
143,2021-12-09,94.21
144,2021-12-08,94.21
145,2021-12-07,94.21
146,2021-12-06,94.21
147,2021-12-05,94.21
148,2021-12-04,94.21
149,2021-12-03,94.21
150,2021-12-02,94.21
151,2021-11-30,94.21
152,2021-11-29,94.21
153,2021-11-28,94.21
154,2021-11-27,94.21
155,2021-11-26,94.21
156,2021-11-25,94.21
157,2021-11-24,94.21
158,2021-11-23,94.21
159,2021-11-22,94.21
160,2021-11-21,94.21
161,2021-11-20,94.21
162,2021-11-19,94.21
163,2021-11-18,94.21
164,2021-11-17,94.21
165,2021-11-16,94.21
166,2021-11-15,94.21
167,2021-11-14,94.21
168,2021-11-13,94.21
169,2021-11-12,94.21
170,2021-11-11,94.21
171,2021-11-10,94.21
172,2021-11-09,94.21
173,2021-11-08,94.21
174,2021-11-07,94.21
175,2021-11-06,94.21
176,2021-11-05,94.21
177,2021-11-04,100.1
178,2021-11-03,105.92
179,2021-11-02,105.92
180,2021-11-01,105.57
181,2021-10-31,105.19
182,2021-10-30,104.85
183,2021-10-29,104.52
184,2021-10-28,104.18
185,2021-10-27,103.84
186,2021-10-26,103.51
187,2021-10-25,103.51
188,2021-10-24,103.51
189,2021-10-23,103.17
190,2021-10-21,102.5
191,2021-10-20,102.17
192,2021-10-19,101.83
193,2021-10-18,101.83
194,2021-10-15,101.16
195,2021-10-14,100.83
196,2021-10-13,100.49
197,2021-10-12,100.49
198,2021-10-11,100.49
199,2021-10-10,100.2
200,2021-10-09,99.92
201,2021-10-08,99.63
202,2021-10-07,99.34
203,2021-10-06,99.05
204,2021-10-05,98.77
205,2021-10-04,98.53
206,2021-10-03,98.53
207,2021-10-02,98.29
208,2021-10-01,98.05
209,2021-09-30,97.82
210,2021-09-29,97.59
211,2021-09-28,97.59
212,2021-09-27,97.41
213,2021-09-26,97.41
214,2021-09-25,97.41
215,2021-09-24,97.41
216,2021-09-23,97.41
217,2021-09-22,97.41
218,2021-09-21,97.41
219,2021-09-20,97.41
220,2021-09-19,97.41
221,2021-09-18,97.41
222,2021-09-17,97.41
223,2021-09-16,97.41
224,2021-09-15,97.41
225,2021-09-14,97.41
226,2021-09-13,97.41
227,2021-09-12,97.41
228,2021-09-11,97.41
229,2021-09-10,97.41
230,2021-09-09,97.41
231,2021-09-08,97.41
232,2021-09-07,97.41
233,2021-09-06,97.41
234,2021-09-05,97.41
235,2021-09-03,97.57
236,2021-09-02,97.57
237,2021-09-01,97.57
238,2021-08-31,97.72
239,2021-08-30,97.72
240,2021-08-29,97.72
241,2021-08-28,97.72
242,2021-08-27,97.72
243,2021-08-26,97.72
244,2021-08-25,97.72
245,2021-08-24,97.72
246,2021-08-23,97.86
247,2021-08-22,97.86
248,2021-08-21,97.99
249,2021-08-20,97.99
250,2021-08-19,97.99
251,2021-08-18,97.99
252,2021-08-17,97.99
253,2021-08-16,97.99
254,2021-08-15,97.99
255,2021-08-14,97.99
256,2021-08-13,97.99
257,2021-08-12,97.99
258,2021-08-11,97.99
259,2021-08-10,97.99
260,2021-08-09,97.99
261,2021-08-08,97.99
262,2021-08-07,97.99
263,2021-08-06,97.99
264,2021-08-05,97.99
265,2021-08-04,97.99
266,2021-08-03,97.99
267,2021-08-02,97.99
268,2021-08-01,97.99
269,2021-07-31,97.99
270,2021-07-30,97.99
271,2021-07-29,97.99
272,2021-07-28,97.99
273,2021-07-27,97.99
274,2021-07-26,97.99
275,2021-07-25,97.99
276,2021-07-24,97.99
277,2021-07-23,97.99
278,2021-07-22,97.99
279,2021-07-21,97.99
280,2021-07-20,97.99
281,2021-07-19,97.99
282,2021-07-18,97.99
283,2021-07-17,97.99
284,2021-07-16,97.7
285,2021-07-15,97.7
286,2021-07-14,97.36
287,2021-07-13,97.36
288,2021-07-12,97.36
289,2021-07-11,97.09
290,2021-07-10,97.09
291,2021-07-09,96.76
292,2021-07-08,96.76
293,2021-07-07,96.42
294,2021-07-06,96.09
295,2021-07-05,96.09
296,2021-07-04,95.75
297,2021-07-03,95.42
298,2021-07-02,95.42
299,2021-07-01,95.08
300,2021-06-30,95.08
301,2021-06-29,95.08
302,2021-06-28,94.75
303,2021-06-27,94.75
304,2021-06-26,94.41
305,2021-06-25,94.08
306,2021-06-24,94.08
307,2021-06-23,93.83
308,2021-06-22,93.83
309,2021-06-21,93.56
310,2021-06-20,93.56
311,2021-06-19,93.28
312,2021-06-18,93.28
313,2021-06-17,93.02
314,2021-06-16,93.02
315,2021-06-15,92.78
316,2021-06-14,92.78
317,2021-06-13,92.5
318,2021-06-12,92.5
319,2021-06-11,92.25
320,2021-06-10,91.97
321,2021-06-09,91.97
322,2021-06-08,91.73
323,2021-06-07,91.73
324,2021-06-06,91.46
325,2021-06-05,91.2
326,2021-06-04,91.2
327,2021-06-03,90.94
328,2021-06-02,90.94
329,2021-06-01,90.94
330,2021-05-31,90.69
331,2021-05-30,90.41
332,2021-05-29,90.41
333,2021-05-28,90.17
334,2021-05-27,90.17
335,2021-05-26,89.94
336,2021-05-25,89.94
337,2021-05-24,89.72
338,2021-05-23,89.72
339,2021-05-22,89.55
340,2021-05-21,89.55
341,2021-05-20,89.37
342,2021-05-19,89.37
343,2021-05-18,89.37
344,2021-05-17,89.11
345,2021-05-16,89.11
346,2021-05-15,88.88
347,2021-05-14,88.88
348,2021-05-13,88.6
349,2021-05-12,88.6
350,2021-05-11,88.36
351,2021-05-10,88.11
352,2021-05-09,87.86
353,2021-05-08,87.86
354,2021-05-07,87.86
355,2021-05-06,87.59
356,2021-05-05,87.35
357,2021-05-04,87.17
358,2021-05-03,86.97
359,2021-05-02,86.97
360,2021-05-01,86.97
361,2021-04-30,86.97
362,2021-04-29,86.97
363,2021-04-28,86.97
364,2021-04-27,86.97
