,date,price
0,2022-05-01,111.77
1,2022-04-30,111.77
2,2022-04-29,111.77
3,2022-04-28,111.77
4,2022-04-27,111.77
5,2022-04-26,111.77
6,2022-04-25,111.77
7,2022-04-24,111.77
8,2022-04-23,111.77
9,2022-04-22,111.77
10,2022-04-21,111.77
11,2022-04-20,111.77
12,2022-04-19,111.77
13,2022-04-18,111.77
14,2022-04-17,111.77
15,2022-04-16,111.77
16,2022-04-15,111.77
17,2022-04-14,111.77
18,2022-04-13,111.77
19,2022-04-12,111.77
20,2022-04-11,111.77
21,2022-04-10,111.77
22,2022-04-09,111.77
23,2022-04-08,111.77
24,2022-04-07,111.77
25,2022-04-06,111.77
26,2022-04-05,110.94
27,2022-04-04,110.11
28,2022-04-03,109.7
29,2022-04-02,108.87
30,2022-04-01,108.04
31,2022-03-31,108.04
32,2022-03-30,107.21
33,2022-03-29,106.38
34,2022-03-28,105.55
35,2022-03-27,105.24
36,2022-03-26,104.72
37,2022-03-25,103.91
38,2022-03-24,103.08
39,2022-03-23,103.08
40,2022-03-22,102.25
41,2022-03-21,101.42
42,2022-03-20,101.42
43,2022-03-19,101.42
44,2022-03-18,101.42
45,2022-03-17,101.42
46,2022-03-16,101.42
47,2022-03-15,101.42
48,2022-03-14,101.42
49,2022-03-13,101.42
50,2022-03-12,101.42
51,2022-03-11,101.42
52,2022-03-10,101.42
53,2022-03-09,101.42
54,2022-03-08,101.42
55,2022-03-07,101.42
56,2022-03-06,101.42
57,2022-03-05,101.42
58,2022-03-04,101.42
59,2022-03-03,101.42
60,2022-03-02,101.42
61,2022-03-01,101.42
62,2022-02-28,101.42
63,2022-02-27,101.42
64,2022-02-26,101.42
65,2022-02-25,101.42
66,2022-02-24,101.42
67,2022-02-23,101.42
68,2022-02-22,101.42
69,2022-02-21,101.42
70,2022-02-20,101.42
71,2022-02-19,101.42
72,2022-02-18,101.42
73,2022-02-17,101.42
74,2022-02-16,101.42
75,2022-02-15,101.42
76,2022-02-14,101.42
77,2022-02-13,101.42
78,2022-02-12,101.42
79,2022-02-11,101.42
80,2022-02-10,101.42
81,2022-02-09,101.42
82,2022-02-08,101.42
83,2022-02-07,101.42
84,2022-02-06,101.42
85,2022-02-05,101.42
86,2022-02-04,101.42
87,2022-02-03,101.42
88,2022-02-02,101.42
89,2022-02-01,101.42
90,2022-01-31,101.42
91,2022-01-30,101.42
92,2022-01-29,101.42
93,2022-01-28,101.42
94,2022-01-27,101.42
95,2022-01-26,101.42
96,2022-01-25,101.42
97,2022-01-24,101.42
98,2022-01-23,101.42
99,2022-01-22,101.42
100,2022-01-21,101.42
101,2022-01-20,101.42
102,2022-01-19,101.42
103,2022-01-18,101.42
104,2022-01-17,101.42
105,2022-01-16,101.42
106,2022-01-15,101.42
107,2022-01-14,101.42
108,2022-01-13,101.42
109,2022-01-12,101.42
110,2022-01-11,101.42
111,2022-01-10,101.42
112,2022-01-09,101.42
113,2022-01-08,101.42
114,2022-01-07,101.42
115,2022-01-06,101.42
116,2022-01-05,101.42
117,2022-01-04,101.42
118,2022-01-03,101.42
119,2022-01-02,101.42
120,2022-01-01,101.42
121,2021-12-31,101.42
122,2021-12-30,101.42
123,2021-12-29,101.42
124,2021-12-28,101.42
125,2021-12-27,101.42
126,2021-12-26,101.42
127,2021-12-25,101.42
128,2021-12-24,101.42
129,2021-12-23,101.42
130,2021-12-22,101.42
131,2021-12-21,101.42
132,2021-12-20,101.42
133,2021-12-19,101.42
134,2021-12-18,101.42
135,2021-12-17,101.42
136,2021-12-16,101.42
137,2021-12-15,101.42
138,2021-12-14,101.42
139,2021-12-13,101.42
140,2021-12-12,101.42
141,2021-12-11,101.42
142,2021-12-10,101.42
143,2021-12-09,101.42
144,2021-12-08,101.42
145,2021-12-07,101.42
146,2021-12-06,101.42
147,2021-12-05,101.42
148,2021-12-04,101.42
149,2021-12-03,101.42
150,2021-12-02,101.42
151,2021-11-30,102.2
152,2021-11-29,102.2
153,2021-11-28,102.2
154,2021-11-27,102.2
155,2021-11-26,102.2
156,2021-11-25,102.2
157,2021-11-24,102.2
158,2021-11-23,102.2
159,2021-11-22,102.2
160,2021-11-21,102.2
161,2021-11-20,102.2
162,2021-11-19,102.2
163,2021-11-18,102.2
164,2021-11-17,102.2
165,2021-11-16,102.2
166,2021-11-15,102.2
167,2021-11-14,102.2
168,2021-11-13,102.2
169,2021-11-12,102.2
170,2021-11-11,102.2
171,2021-11-10,102.2
172,2021-11-09,102.2
173,2021-11-08,102.2
174,2021-11-07,102.2
175,2021-11-06,102.2
176,2021-11-05,102.2
177,2021-11-04,102.2
178,2021-11-03,108.02
179,2021-11-02,108.02
180,2021-11-01,107.67
181,2021-10-31,107.28
182,2021-10-30,106.95
183,2021-10-29,106.61
184,2021-10-28,106.28
185,2021-10-27,105.94
186,2021-10-26,105.61
187,2021-10-25,105.61
188,2021-10-24,105.61
189,2021-10-23,105.27
190,2021-10-22,104.93
191,2021-10-20,104.26
192,2021-10-19,103.93
193,2021-10-18,103.93
194,2021-10-15,103.26
195,2021-10-14,102.92
196,2021-10-13,102.58
197,2021-10-12,102.58
198,2021-10-11,102.58
199,2021-10-10,102.3
200,2021-10-09,102.01
201,2021-10-08,101.72
202,2021-10-07,101.43
203,2021-10-06,101.15
204,2021-10-05,100.86
205,2021-10-04,100.62
206,2021-10-03,100.62
207,2021-10-02,100.38
208,2021-10-01,100.14
209,2021-09-30,99.91
210,2021-09-29,99.68
211,2021-09-28,99.68
212,2021-09-27,99.5
213,2021-09-26,99.5
214,2021-09-25,99.5
215,2021-09-24,99.5
216,2021-09-23,99.5
217,2021-09-22,99.5
218,2021-09-21,99.5
219,2021-09-20,99.5
220,2021-09-19,99.5
221,2021-09-18,99.5
222,2021-09-17,99.5
223,2021-09-16,99.5
224,2021-09-15,99.5
225,2021-09-14,99.5
226,2021-09-13,99.5
227,2021-09-12,99.5
228,2021-09-11,99.5
229,2021-09-10,99.5
230,2021-09-09,99.5
231,2021-09-08,99.5
232,2021-09-07,99.5
233,2021-09-06,99.5
234,2021-09-05,99.5
235,2021-09-03,99.66
236,2021-09-02,99.66
237,2021-09-01,99.66
238,2021-08-31,99.81
239,2021-08-30,99.81
240,2021-08-29,99.81
241,2021-08-28,99.81
242,2021-08-27,99.81
243,2021-08-26,99.81
244,2021-08-25,99.81
245,2021-08-24,99.81
246,2021-08-23,99.95
247,2021-08-22,99.95
248,2021-08-21,100.15
249,2021-08-20,100.15
250,2021-08-19,100.15
251,2021-08-18,100.15
252,2021-08-17,100.15
253,2021-08-16,100.15
254,2021-08-15,100.15
255,2021-08-14,100.15
256,2021-08-13,100.15
257,2021-08-12,100.15
258,2021-08-11,100.15
259,2021-08-10,100.15
260,2021-08-09,100.15
261,2021-08-08,100.15
262,2021-08-07,100.15
263,2021-08-06,100.15
264,2021-08-05,100.15
265,2021-08-04,100.15
266,2021-08-03,100.15
267,2021-08-02,100.15
268,2021-08-01,100.15
269,2021-07-31,100.15
270,2021-07-30,100.15
271,2021-07-29,100.15
272,2021-07-28,100.15
273,2021-07-27,100.15
274,2021-07-26,100.15
275,2021-07-25,100.15
276,2021-07-24,100.15
277,2021-07-23,100.15
278,2021-07-22,100.15
279,2021-07-21,100.15
280,2021-07-20,100.15
281,2021-07-19,100.15
282,2021-07-18,100.15
283,2021-07-17,100.15
284,2021-07-16,99.86
285,2021-07-15,99.86
286,2021-07-14,99.53
287,2021-07-13,99.53
288,2021-07-12,99.53
289,2021-07-11,99.26
290,2021-07-10,99.26
291,2021-07-09,98.92
292,2021-07-08,98.92
293,2021-07-07,98.59
294,2021-07-06,98.25
295,2021-07-05,98.25
296,2021-07-04,97.92
297,2021-07-03,97.58
298,2021-07-02,97.58
299,2021-07-01,97.24
300,2021-06-30,97.24
301,2021-06-29,97.24
302,2021-06-28,96.91
303,2021-06-27,96.91
304,2021-06-26,96.57
305,2021-06-25,96.24
306,2021-06-24,96.24
307,2021-06-23,95.99
308,2021-06-22,95.99
309,2021-06-21,95.72
310,2021-06-20,95.72
311,2021-06-19,95.44
312,2021-06-18,95.44
313,2021-06-17,95.18
314,2021-06-16,95.18
315,2021-06-15,94.94
316,2021-06-14,94.94
317,2021-06-13,94.66
318,2021-06-12,94.66
319,2021-06-11,94.41
320,2021-06-10,94.13
321,2021-06-09,94.13
322,2021-06-08,93.89
323,2021-06-07,93.89
324,2021-06-06,93.62
325,2021-06-05,93.36
326,2021-06-04,93.36
327,2021-06-03,93.1
328,2021-06-02,93.1
329,2021-06-01,93.1
330,2021-05-31,92.85
331,2021-05-30,92.57
332,2021-05-29,92.57
333,2021-05-28,92.32
334,2021-05-27,92.32
335,2021-05-26,92.09
336,2021-05-25,92.09
337,2021-05-24,91.87
338,2021-05-23,91.87
339,2021-05-22,91.71
340,2021-05-21,91.71
