,date,price
0,2022-05-01,113.36
1,2022-04-30,113.36
2,2022-04-29,113.36
3,2022-04-28,113.36
4,2022-04-27,113.36
5,2022-04-26,113.36
6,2022-04-25,113.36
7,2022-04-24,113.36
8,2022-04-23,113.36
9,2022-04-22,113.36
10,2022-04-21,113.36
11,2022-04-20,113.36
12,2022-04-19,113.36
13,2022-04-18,113.36
14,2022-04-17,113.36
15,2022-04-16,113.36
16,2022-04-15,113.36
17,2022-04-14,113.36
18,2022-04-13,113.36
19,2022-04-12,113.36
20,2022-04-11,113.36
21,2022-04-10,113.36
22,2022-04-09,113.36
23,2022-04-08,113.36
24,2022-04-07,113.36
25,2022-04-06,113.36
26,2022-04-05,112.53
27,2022-04-04,111.7
28,2022-04-03,111.29
29,2022-04-02,110.46
30,2022-04-01,109.63
31,2022-03-31,109.63
32,2022-03-30,108.8
33,2022-03-29,107.97
34,2022-03-28,107.14
35,2022-03-27,106.83
36,2022-03-26,106.31
37,2022-03-25,105.55
38,2022-03-24,104.72
39,2022-03-23,104.72
40,2022-03-22,103.89
41,2022-03-21,103.06
42,2022-03-20,103.06
43,2022-03-19,103.06
44,2022-03-18,103.06
45,2022-03-17,103.06
46,2022-03-16,103.06
47,2022-03-15,103.06
48,2022-03-14,103.06
49,2022-03-13,103.06
50,2022-03-12,103.06
51,2022-03-11,103.06
52,2022-03-10,103.06
53,2022-03-09,103.06
54,2022-03-08,103.06
55,2022-03-07,103.06
56,2022-03-06,103.06
57,2022-03-05,103.06
58,2022-03-04,103.06
59,2022-03-03,103.06
60,2022-03-02,103.06
61,2022-03-01,103.06
62,2022-02-28,103.06
63,2022-02-27,103.06
64,2022-02-26,103.06
65,2022-02-25,103.06
66,2022-02-24,103.06
67,2022-02-23,103.06
68,2022-02-22,103.06
69,2022-02-21,103.06
70,2022-02-20,103.06
71,2022-02-19,103.06
72,2022-02-18,103.06
73,2022-02-17,103.06
74,2022-02-16,103.06
75,2022-02-15,103.06
76,2022-02-14,103.06
77,2022-02-13,103.06
78,2022-02-12,103.06
79,2022-02-11,103.06
80,2022-02-10,103.06
81,2022-02-09,103.06
82,2022-02-08,103.06
83,2022-02-07,103.06
84,2022-02-06,103.06
85,2022-02-05,103.06
86,2022-02-04,103.06
87,2022-02-03,103.06
88,2022-02-02,103.06
89,2022-02-01,103.06
90,2022-01-31,103.06
91,2022-01-30,103.06
92,2022-01-29,103.06
93,2022-01-28,103.06
94,2022-01-27,103.06
95,2022-01-26,103.06
96,2022-01-25,103.06
97,2022-01-24,103.06
98,2022-01-23,103.06
99,2022-01-22,103.06
100,2022-01-21,103.06
101,2022-01-20,103.06
102,2022-01-19,103.06
103,2022-01-18,103.06
104,2022-01-17,103.06
105,2022-01-16,103.06
106,2022-01-15,103.06
107,2022-01-14,103.06
108,2022-01-13,103.06
109,2022-01-12,103.06
110,2022-01-11,103.06
111,2022-01-10,103.06
112,2022-01-09,103.06
113,2022-01-08,103.06
114,2022-01-07,103.06
115,2022-01-06,103.06
116,2022-01-05,103.06
117,2022-01-04,103.06
118,2022-01-03,103.06
119,2022-01-02,103.06
120,2022-01-01,103.06
121,2021-12-31,103.06
122,2021-12-30,103.06
123,2021-12-29,103.06
124,2021-12-28,103.06
125,2021-12-27,103.06
126,2021-12-26,103.06
127,2021-12-25,103.06
128,2021-12-24,103.06
129,2021-12-23,103.06
130,2021-12-22,103.06
131,2021-12-21,103.06
132,2021-12-20,103.06
133,2021-12-19,103.06
134,2021-12-18,103.06
135,2021-12-17,103.06
136,2021-12-16,103.06
137,2021-12-15,103.06
138,2021-12-14,103.06
139,2021-12-13,103.06
140,2021-12-12,103.06
141,2021-12-11,103.06
142,2021-12-10,103.06
143,2021-12-09,103.06
144,2021-12-08,103.06
145,2021-12-07,103.06
146,2021-12-06,103.06
147,2021-12-05,103.06
148,2021-12-04,103.06
149,2021-12-03,103.06
150,2021-12-02,103.06
151,2021-11-30,103.86
152,2021-11-29,103.86
153,2021-11-28,103.86
154,2021-11-27,103.86
155,2021-11-26,103.86
156,2021-11-25,103.86
157,2021-11-24,103.86
158,2021-11-23,103.86
159,2021-11-22,103.86
160,2021-11-21,103.86
161,2021-11-20,103.86
162,2021-11-19,103.86
163,2021-11-18,103.86
164,2021-11-17,103.86
165,2021-11-16,103.86
166,2021-11-15,103.86
167,2021-11-14,103.86
168,2021-11-13,103.86
169,2021-11-12,103.86
170,2021-11-11,103.86
171,2021-11-10,103.86
172,2021-11-09,103.86
173,2021-11-08,103.86
174,2021-11-07,103.86
175,2021-11-06,103.86
176,2021-11-05,103.86
177,2021-11-04,103.86
178,2021-11-03,109.68
179,2021-11-02,109.68
180,2021-11-01,109.32
181,2021-10-31,108.84
182,2021-10-30,108.5
183,2021-10-29,108.17
184,2021-10-28,107.83
185,2021-10-27,107.49
186,2021-10-26,107.16
187,2021-10-25,107.16
188,2021-10-24,107.16
189,2021-10-23,106.82
190,2021-10-22,106.49
191,2021-10-20,105.82
192,2021-10-19,105.48
193,2021-10-18,105.48
194,2021-10-15,104.81
195,2021-10-14,104.47
196,2021-10-13,104.14
197,2021-10-12,104.14
198,2021-10-11,104.14
199,2021-10-10,103.85
200,2021-10-09,103.56
201,2021-10-08,103.27
202,2021-10-07,102.99
203,2021-10-06,102.7
204,2021-10-05,102.41
205,2021-10-04,102.17
206,2021-10-03,102.17
207,2021-10-02,101.93
208,2021-10-01,101.69
209,2021-09-30,101.46
210,2021-09-29,101.24
211,2021-09-28,101.24
212,2021-09-27,101.06
213,2021-09-26,101.06
214,2021-09-25,101.06
215,2021-09-24,101.06
216,2021-09-23,101.06
217,2021-09-22,101.06
218,2021-09-21,101.06
219,2021-09-20,101.06
220,2021-09-19,101.06
221,2021-09-18,101.06
222,2021-09-17,101.06
223,2021-09-16,101.06
224,2021-09-15,101.06
225,2021-09-14,101.06
226,2021-09-13,101.06
227,2021-09-12,101.06
228,2021-09-11,101.06
229,2021-09-10,101.06
230,2021-09-09,101.06
231,2021-09-08,101.06
232,2021-09-07,101.06
233,2021-09-06,101.06
234,2021-09-05,101.06
235,2021-09-03,101.21
236,2021-09-02,101.21
237,2021-09-01,101.21
238,2021-08-31,101.36
239,2021-08-30,101.36
240,2021-08-29,101.36
241,2021-08-28,101.36
242,2021-08-27,101.36
243,2021-08-26,101.36
244,2021-08-25,101.36
245,2021-08-24,101.36
246,2021-08-23,101.5
247,2021-08-22,101.5
248,2021-08-21,101.47
249,2021-08-20,101.47
250,2021-08-19,101.47
251,2021-08-18,101.47
252,2021-08-17,101.47
253,2021-08-16,101.47
254,2021-08-15,101.47
255,2021-08-14,101.47
256,2021-08-13,101.47
257,2021-08-12,101.47
258,2021-08-11,101.47
259,2021-08-10,101.47
260,2021-08-09,101.47
261,2021-08-08,101.47
262,2021-08-07,101.47
263,2021-08-06,101.47
264,2021-08-05,101.47
265,2021-08-04,101.47
266,2021-08-03,101.47
267,2021-08-02,101.47
268,2021-08-01,101.47
269,2021-07-31,101.47
270,2021-07-30,101.47
271,2021-07-29,101.47
272,2021-07-28,101.47
273,2021-07-27,101.47
274,2021-07-26,101.47
275,2021-07-25,101.47
276,2021-07-24,101.47
277,2021-07-23,101.47
278,2021-07-22,101.47
279,2021-07-21,101.47
280,2021-07-20,101.47
281,2021-07-19,101.47
282,2021-07-18,101.47
283,2021-07-17,101.47
284,2021-07-16,101.18
285,2021-07-15,101.18
286,2021-07-14,100.85
287,2021-07-13,100.85
288,2021-07-12,100.85
289,2021-07-11,100.58
290,2021-07-10,100.58
291,2021-07-09,100.24
292,2021-07-08,100.24
293,2021-07-07,99.91
294,2021-07-06,99.57
295,2021-07-05,99.57
296,2021-07-04,99.23
297,2021-07-03,98.9
298,2021-07-02,98.9
299,2021-07-01,98.56
300,2021-06-30,98.56
301,2021-06-29,98.56
302,2021-06-28,98.23
303,2021-06-27,98.23
304,2021-06-26,97.89
305,2021-06-25,97.56
306,2021-06-24,97.56
307,2021-06-23,97.31
308,2021-06-22,97.31
309,2021-06-21,97.04
310,2021-06-20,97.04
311,2021-06-19,96.76
312,2021-06-18,96.76
313,2021-06-17,96.5
314,2021-06-16,96.5
315,2021-06-15,96.26
316,2021-06-14,96.26
317,2021-06-13,95.98
318,2021-06-12,95.98
319,2021-06-11,95.72
320,2021-06-10,95.45
321,2021-06-09,95.45
322,2021-06-08,95.21
323,2021-06-07,95.21
324,2021-06-06,94.94
325,2021-06-05,94.68
326,2021-06-04,94.68
327,2021-06-03,94.42
328,2021-06-02,94.42
329,2021-06-01,94.42
330,2021-05-31,94.17
331,2021-05-30,93.89
332,2021-05-29,93.89
333,2021-05-28,93.64
334,2021-05-27,93.64
335,2021-05-26,93.41
336,2021-05-25,93.41
337,2021-05-24,93.19
338,2021-05-23,93.19
339,2021-05-22,93.03
340,2021-05-21,93.03
341,2021-05-20,92.85
342,2021-05-19,92.85
343,2021-05-18,92.85
344,2021-05-17,92.59
345,2021-05-16,92.59
346,2021-05-15,92.36
347,2021-05-14,92.36
348,2021-05-13,92.08
349,2021-05-12,92.08
350,2021-05-11,91.84
351,2021-05-10,91.58
352,2021-05-09,91.33
353,2021-05-08,91.33
354,2021-05-07,91.33
355,2021-05-06,91.06
356,2021-05-05,90.82
357,2021-05-04,90.64
358,2021-05-03,90.31
359,2021-05-02,90.31
360,2021-05-01,90.31
361,2021-04-30,90.31
362,2021-04-29,90.31
363,2021-04-28,90.31
364,2021-04-27,90.31
