,date,price
0,2022-05-01,112.68
1,2022-04-30,112.68
2,2022-04-29,112.68
3,2022-04-28,112.68
4,2022-04-27,112.68
5,2022-04-26,112.68
6,2022-04-25,112.68
7,2022-04-24,112.68
8,2022-04-23,112.68
9,2022-04-22,112.68
10,2022-04-21,112.68
11,2022-04-20,112.68
12,2022-04-19,112.68
13,2022-04-18,112.68
14,2022-04-17,112.68
15,2022-04-16,112.68
16,2022-04-15,112.68
17,2022-04-14,112.68
18,2022-04-13,112.68
19,2022-04-12,112.68
20,2022-04-11,112.68
21,2022-04-10,112.68
22,2022-04-09,112.68
23,2022-04-08,112.68
24,2022-04-07,112.68
25,2022-04-06,112.68
26,2022-04-05,111.85
27,2022-04-04,111.02
28,2022-04-03,110.61
29,2022-04-02,109.78
30,2022-04-01,108.95
31,2022-03-31,108.95
32,2022-03-30,108.12
33,2022-03-29,107.29
34,2022-03-28,106.46
35,2022-03-27,106.15
36,2022-03-26,105.63
37,2022-03-25,104.85
38,2022-03-24,104.02
39,2022-03-23,104.02
40,2022-03-22,103.19
41,2022-03-21,102.36
42,2022-03-20,102.36
43,2022-03-19,102.36
44,2022-03-18,102.36
45,2022-03-17,102.36
46,2022-03-16,102.36
47,2022-03-15,102.36
48,2022-03-14,102.36
49,2022-03-13,102.36
50,2022-03-12,102.36
51,2022-03-11,102.36
52,2022-03-10,102.36
53,2022-03-09,102.36
54,2022-03-08,102.36
55,2022-03-07,102.36
56,2022-03-06,102.36
57,2022-03-05,102.36
58,2022-03-04,102.36
59,2022-03-03,102.36
60,2022-03-02,102.36
61,2022-03-01,102.36
62,2022-02-28,102.36
63,2022-02-27,102.36
64,2022-02-26,102.36
65,2022-02-25,102.36
66,2022-02-24,102.36
67,2022-02-23,102.36
68,2022-02-22,102.36
69,2022-02-21,102.36
70,2022-02-20,102.36
71,2022-02-19,102.36
72,2022-02-18,102.36
73,2022-02-17,102.36
74,2022-02-16,102.36
75,2022-02-15,102.36
76,2022-02-14,102.36
77,2022-02-13,102.36
78,2022-02-12,102.36
79,2022-02-11,102.36
80,2022-02-10,102.36
81,2022-02-09,102.36
82,2022-02-08,102.36
83,2022-02-07,102.36
84,2022-02-06,102.36
85,2022-02-05,102.36
86,2022-02-04,102.36
87,2022-02-03,102.36
88,2022-02-02,102.36
89,2022-02-01,102.36
90,2022-01-31,102.36
91,2022-01-30,102.36
92,2022-01-29,102.36
93,2022-01-28,102.36
94,2022-01-27,102.36
95,2022-01-26,102.36
96,2022-01-25,102.36
97,2022-01-24,102.36
98,2022-01-23,102.36
99,2022-01-22,102.36
100,2022-01-21,102.36
101,2022-01-20,102.36
102,2022-01-19,102.36
103,2022-01-18,102.36
104,2022-01-17,102.36
105,2022-01-16,102.36
106,2022-01-15,102.36
107,2022-01-14,102.36
108,2022-01-13,102.36
109,2022-01-12,102.36
110,2022-01-11,102.36
111,2022-01-10,102.36
