,date,price
0,2022-05-01,111.13
1,2022-04-30,111.13
2,2022-04-29,111.13
3,2022-04-28,111.13
4,2022-04-27,111.13
5,2022-04-26,111.13
6,2022-04-25,111.13
7,2022-04-24,111.13
8,2022-04-23,111.13
9,2022-04-22,111.13
10,2022-04-21,111.13
11,2022-04-20,111.13
12,2022-04-19,111.13
13,2022-04-18,111.13
14,2022-04-17,111.13
15,2022-04-16,111.13
16,2022-04-15,111.13
17,2022-04-14,111.13
18,2022-04-13,111.13
19,2022-04-12,111.13
20,2022-04-11,111.13
21,2022-04-10,111.13
22,2022-04-09,111.13
23,2022-04-08,111.13
24,2022-04-07,111.13
25,2022-04-06,111.13
26,2022-04-05,110.3
27,2022-04-04,109.47
28,2022-04-03,109.06
29,2022-04-02,108.23
30,2022-04-01,107.4
31,2022-03-31,107.4
32,2022-03-30,106.57
33,2022-03-29,105.74
34,2022-03-28,104.91
35,2022-03-27,104.6
36,2022-03-26,104.08
37,2022-03-25,103.25
38,2022-03-24,102.42
39,2022-03-23,102.42
40,2022-03-22,101.59
41,2022-03-21,100.76
42,2022-03-20,100.76
43,2022-03-19,100.76
44,2022-03-18,100.76
45,2022-03-17,100.76
46,2022-03-16,100.76
47,2022-03-15,100.76
48,2022-03-14,100.76
49,2022-03-13,100.76
50,2022-03-12,100.76
51,2022-03-11,100.76
52,2022-03-10,100.76
53,2022-03-09,100.76
54,2022-03-08,100.76
55,2022-03-07,100.76
56,2022-03-06,100.76
57,2022-03-05,100.76
58,2022-03-04,100.76
59,2022-03-03,100.76
60,2022-03-02,100.76
61,2022-03-01,100.76
62,2022-02-28,100.76
63,2022-02-27,100.76
64,2022-02-26,100.76
65,2022-02-25,100.76
66,2022-02-24,100.76
67,2022-02-23,100.76
68,2022-02-22,100.76
69,2022-02-21,100.76
70,2022-02-20,100.76
71,2022-02-19,100.76
72,2022-02-18,100.76
73,2022-02-17,100.76
74,2022-02-16,100.76
75,2022-02-15,100.76
76,2022-02-14,100.76
77,2022-02-13,100.76
78,2022-02-12,100.76
79,2022-02-11,100.76
80,2022-02-10,100.76
81,2022-02-09,100.76
82,2022-02-08,100.76
83,2022-02-07,100.76
84,2022-02-06,100.76
85,2022-02-05,100.76
86,2022-02-04,100.76
87,2022-02-03,100.76
88,2022-02-02,100.76
89,2022-02-01,100.76
90,2022-01-31,100.76
91,2022-01-30,100.76
92,2022-01-29,100.76
93,2022-01-28,100.76
94,2022-01-27,100.76
95,2022-01-26,100.76
96,2022-01-25,100.76
97,2022-01-24,100.76
98,2022-01-23,100.76
99,2022-01-22,100.76
100,2022-01-21,100.76
101,2022-01-20,100.76
102,2022-01-19,100.76
103,2022-01-18,100.76
104,2022-01-17,100.76
105,2022-01-16,100.76
106,2022-01-15,100.76
107,2022-01-14,100.76
108,2022-01-13,100.76
109,2022-01-12,100.76
110,2022-01-11,100.76
111,2022-01-10,100.76
112,2022-01-09,100.76
113,2022-01-08,100.76
114,2022-01-07,100.76
115,2022-01-06,100.76
116,2022-01-05,100.76
117,2022-01-04,100.76
118,2022-01-03,100.76
119,2022-01-02,100.76
120,2022-01-01,100.76
121,2021-12-31,100.76
122,2021-12-30,100.76
123,2021-12-29,100.76
124,2021-12-28,100.76
125,2021-12-27,100.76
126,2021-12-26,100.76
127,2021-12-25,100.76
128,2021-12-24,100.76
129,2021-12-23,100.76
130,2021-12-22,100.76
131,2021-12-21,100.76
132,2021-12-20,100.76
133,2021-12-19,100.76
134,2021-12-18,100.76
135,2021-12-17,100.76
136,2021-12-16,100.76
137,2021-12-15,100.76
138,2021-12-14,100.76
139,2021-12-13,100.76
140,2021-12-12,100.76
141,2021-12-11,100.76
142,2021-12-10,100.76
143,2021-12-09,100.76
144,2021-12-08,100.76
145,2021-12-07,100.76
146,2021-12-06,100.76
147,2021-12-05,100.76
148,2021-12-04,100.76
149,2021-12-03,100.76
150,2021-12-02,100.76
151,2021-11-30,101.54
152,2021-11-29,101.54
153,2021-11-28,101.54
154,2021-11-27,101.54
155,2021-11-26,101.54
156,2021-11-25,101.54
157,2021-11-24,101.54
158,2021-11-23,101.54
159,2021-11-22,101.54
160,2021-11-21,101.54
161,2021-11-20,101.54
162,2021-11-19,101.54
163,2021-11-18,101.54
164,2021-11-17,101.54
165,2021-11-16,101.54
166,2021-11-15,101.54
167,2021-11-14,101.54
168,2021-11-13,101.54
169,2021-11-12,101.54
170,2021-11-11,101.54
171,2021-11-10,101.54
172,2021-11-09,101.54
173,2021-11-08,101.54
174,2021-11-07,101.54
175,2021-11-06,101.54
176,2021-11-05,101.54
177,2021-11-04,101.54
178,2021-11-03,107.36
179,2021-11-02,107.36
180,2021-11-01,107
181,2021-10-31,106.65
182,2021-10-30,106.31
183,2021-10-29,105.98
184,2021-10-28,105.64
185,2021-10-27,105.31
186,2021-10-26,104.97
187,2021-10-25,104.97
188,2021-10-24,104.97
189,2021-10-23,104.64
190,2021-10-22,104.3
191,2021-10-20,103.63
192,2021-10-19,103.29
193,2021-10-18,103.29
194,2021-10-15,102.62
195,2021-10-14,102.29
196,2021-10-13,101.95
197,2021-10-12,101.95
198,2021-10-11,101.95
199,2021-10-10,101.66
200,2021-10-09,101.38
201,2021-10-08,101.09
202,2021-10-07,100.8
203,2021-10-06,100.51
204,2021-10-05,100.22
205,2021-10-04,99.98
206,2021-10-03,99.98
207,2021-10-02,99.74
208,2021-10-01,99.5
209,2021-09-30,99.28
210,2021-09-29,99.05
211,2021-09-28,99.05
212,2021-09-27,98.87
213,2021-09-26,98.87
214,2021-09-25,98.87
215,2021-09-24,98.87
216,2021-09-23,98.87
217,2021-09-22,98.87
218,2021-09-21,98.87
219,2021-09-20,98.87
220,2021-09-19,98.87
221,2021-09-18,98.87
222,2021-09-17,98.87
