,date,price
0,2022-05-01,113.88
1,2022-04-30,113.88
2,2022-04-29,113.88
3,2022-04-28,113.88
4,2022-04-27,113.88
5,2022-04-26,113.88
6,2022-04-25,113.88
7,2022-04-24,113.88
8,2022-04-23,113.88
9,2022-04-22,113.88
10,2022-04-21,113.88
11,2022-04-20,113.88
12,2022-04-19,113.88
13,2022-04-18,113.88
14,2022-04-17,113.88
15,2022-04-16,113.88
16,2022-04-15,113.88
17,2022-04-14,113.88
18,2022-04-13,113.88
19,2022-04-12,113.88
20,2022-04-11,113.88
21,2022-04-10,113.88
22,2022-04-09,113.88
23,2022-04-08,113.88
24,2022-04-07,113.88
25,2022-04-06,113.88
26,2022-04-05,113.05
27,2022-04-04,112.22
28,2022-04-03,111.81
29,2022-04-02,110.98
30,2022-04-01,110.15
31,2022-03-31,110.15
32,2022-03-30,109.32
33,2022-03-29,108.49
34,2022-03-28,107.66
35,2022-03-27,107.35
36,2022-03-26,106.83
37,2022-03-25,106.08
38,2022-03-24,105.25
39,2022-03-23,105.25
40,2022-03-22,104.42
41,2022-03-21,103.59
42,2022-03-20,103.59
43,2022-03-19,103.59
44,2022-03-18,103.59
45,2022-03-17,103.59
46,2022-03-16,103.59
47,2022-03-15,103.59
48,2022-03-14,103.59
49,2022-03-13,103.59
50,2022-03-12,103.59
51,2022-03-11,103.59
52,2022-03-10,103.59
53,2022-03-09,103.59
54,2022-03-08,103.59
55,2022-03-07,103.59
56,2022-03-06,103.59
57,2022-03-05,103.59
58,2022-03-04,103.59
59,2022-03-03,103.59
60,2022-03-02,103.59
61,2022-03-01,103.59
62,2022-02-28,103.59
63,2022-02-27,103.59
64,2022-02-26,103.59
65,2022-02-25,103.59
66,2022-02-24,103.59
67,2022-02-23,103.59
68,2022-02-22,103.59
69,2022-02-21,103.59
70,2022-02-20,103.59
71,2022-02-19,103.59
72,2022-02-18,103.59
73,2022-02-17,103.59
74,2022-02-16,103.59
75,2022-02-15,103.59
76,2022-02-14,103.59
77,2022-02-13,103.59
78,2022-02-12,103.59
79,2022-02-11,103.59
80,2022-02-10,103.59
81,2022-02-09,103.59
82,2022-02-08,103.59
83,2022-02-07,103.59
84,2022-02-06,103.59
85,2022-02-05,103.59
86,2022-02-04,103.59
87,2022-02-03,103.59
88,2022-02-02,103.59
89,2022-02-01,103.59
90,2022-01-31,103.59
91,2022-01-30,103.59
92,2022-01-29,103.59
93,2022-01-28,103.59
94,2022-01-27,103.59
95,2022-01-26,103.59
96,2022-01-25,103.59
97,2022-01-24,103.59
98,2022-01-23,103.59
99,2022-01-22,103.59
100,2022-01-21,103.59
