,date,price
0,2022-05-01,102.66
1,2022-04-30,102.66
2,2022-04-29,102.66
3,2022-04-28,102.66
4,2022-04-27,102.66
5,2022-04-26,102.66
6,2022-04-25,102.66
7,2022-04-24,102.66
8,2022-04-23,102.66
9,2022-04-22,102.66
10,2022-04-21,102.66
11,2022-04-20,102.66
12,2022-04-19,102.66
13,2022-04-18,102.66
14,2022-04-17,102.66
15,2022-04-16,102.66
16,2022-04-15,102.66
17,2022-04-14,102.66
18,2022-04-13,102.66
19,2022-04-12,102.66
20,2022-04-11,102.66
21,2022-04-10,102.66
22,2022-04-09,102.66
23,2022-04-08,102.66
24,2022-04-07,102.66
25,2022-04-06,102.66
26,2022-04-05,101.89
27,2022-04-04,101.12
28,2022-04-03,100.73
29,2022-04-02,99.96
30,2022-04-01,99.2
31,2022-03-31,99.2
32,2022-03-30,98.43
33,2022-03-29,97.66
34,2022-03-28,96.89
35,2022-03-27,96.6
36,2022-03-26,96.12
37,2022-03-25,95.39
38,2022-03-24,94.62
39,2022-03-23,94.62
40,2022-03-22,93.85
41,2022-03-21,93.08
42,2022-03-20,93.08
43,2022-03-19,93.08
44,2022-03-18,93.08
45,2022-03-17,93.08
46,2022-03-16,93.08
47,2022-03-15,93.08
48,2022-03-14,93.08
49,2022-03-13,93.08
50,2022-03-12,93.08
51,2022-03-11,93.08
52,2022-03-10,93.08
53,2022-03-09,93.08
54,2022-03-08,93.08
55,2022-03-07,93.08
56,2022-03-06,93.08
57,2022-03-05,93.08
58,2022-03-04,93.08
59,2022-03-03,93.08
60,2022-03-02,93.08
61,2022-03-01,93.08
62,2022-02-28,93.08
63,2022-02-27,93.08
64,2022-02-26,93.08
65,2022-02-25,93.08
66,2022-02-24,93.08
67,2022-02-23,93.08
68,2022-02-22,93.08
69,2022-02-21,93.08
70,2022-02-20,93.08
71,2022-02-19,93.08
72,2022-02-18,93.08
73,2022-02-17,93.08
74,2022-02-16,93.08
75,2022-02-15,93.08
76,2022-02-14,93.08
77,2022-02-13,93.08
78,2022-02-12,93.08
79,2022-02-11,93.08
80,2022-02-10,93.08
81,2022-02-09,93.08
82,2022-02-08,93.08
83,2022-02-07,93.08
84,2022-02-06,93.08
85,2022-02-05,93.08
86,2022-02-04,93.08
87,2022-02-03,93.08
88,2022-02-02,93.08
89,2022-02-01,93.08
90,2022-01-31,93.08
91,2022-01-30,93.08
92,2022-01-29,93.08
93,2022-01-28,93.08
94,2022-01-27,93.08
95,2022-01-26,93.08
96,2022-01-25,93.08
97,2022-01-24,93.08
98,2022-01-23,93.08
99,2022-01-22,93.08
100,2022-01-21,93.08
101,2022-01-20,93.08
102,2022-01-19,93.08
103,2022-01-18,93.08
104,2022-01-17,93.08
105,2022-01-16,93.08
106,2022-01-15,93.08
107,2022-01-14,93.08
108,2022-01-13,93.08
109,2022-01-12,93.08
110,2022-01-11,93.08
111,2022-01-10,93.08
112,2022-01-09,93.08
113,2022-01-08,93.08
114,2022-01-07,93.08
115,2022-01-06,93.08
116,2022-01-05,93.08
117,2022-01-04,93.08
118,2022-01-03,93.08
119,2022-01-02,93.08
120,2022-01-01,93.08
121,2021-12-31,93.08
122,2021-12-30,93.08
123,2021-12-29,93.08
124,2021-12-28,93.08
125,2021-12-27,93.08
126,2021-12-26,93.08
127,2021-12-25,93.08
128,2021-12-24,93.08
129,2021-12-23,93.08
130,2021-12-22,93.08
131,2021-12-21,93.08
132,2021-12-20,93.08
133,2021-12-19,93.08
134,2021-12-18,93.08
135,2021-12-17,93.08
136,2021-12-16,93.08
137,2021-12-15,93.08
138,2021-12-14,93.08
139,2021-12-13,93.08
140,2021-12-12,93.08
141,2021-12-11,93.08
142,2021-12-10,93.08
143,2021-12-09,93.08
144,2021-12-08,93.08
145,2021-12-07,93.08
146,2021-12-06,93.08
147,2021-12-05,93.08
148,2021-12-04,93.08
149,2021-12-03,93.08
150,2021-12-02,93.08
151,2021-11-30,93.08
152,2021-11-29,93.08
153,2021-11-28,93.08
154,2021-11-27,93.08
155,2021-11-26,93.08
156,2021-11-25,93.08
157,2021-11-24,93.08
158,2021-11-23,93.08
159,2021-11-22,93.08
160,2021-11-21,93.08
161,2021-11-20,93.08
162,2021-11-19,93.08
163,2021-11-18,93.08
164,2021-11-17,93.08
165,2021-11-16,93.08
166,2021-11-15,93.08
167,2021-11-14,93.08
168,2021-11-13,93.08
169,2021-11-12,93.08
170,2021-11-11,93.08
171,2021-11-10,93.08
172,2021-11-09,93.08
173,2021-11-08,93.08
174,2021-11-07,93.08
175,2021-11-06,93.08
176,2021-11-05,93.08
177,2021-11-04,99.06
178,2021-11-03,104.76
179,2021-11-02,104.76
180,2021-11-01,104.42
181,2021-10-31,103.99
182,2021-10-30,103.66
183,2021-10-29,103.34
184,2021-10-28,103.01
185,2021-10-27,102.68
186,2021-10-26,102.35
187,2021-10-25,102.35
188,2021-10-24,102.35
189,2021-10-23,102.02
190,2021-10-22,101.69
191,2021-10-19,100.71
192,2021-10-18,100.71
193,2021-10-15,100.05
194,2021-10-14,99.72
195,2021-10-13,99.39
196,2021-10-12,99.39
197,2021-10-11,99.39
198,2021-10-10,99.11
199,2021-10-09,98.83
200,2021-10-08,98.55
201,2021-10-07,98.26
202,2021-10-06,97.98
203,2021-10-05,97.7
204,2021-10-04,97.47
205,2021-10-03,97.47
206,2021-10-02,97.23
207,2021-10-01,97
208,2021-09-30,96.77
209,2021-09-29,96.55
210,2021-09-28,96.55
211,2021-09-27,96.38
212,2021-09-26,96.38
213,2021-09-25,96.38
214,2021-09-24,96.38
215,2021-09-23,96.38
216,2021-09-22,96.38
217,2021-09-21,96.38
218,2021-09-20,96.38
219,2021-09-19,96.38
220,2021-09-18,96.38
221,2021-09-17,96.38
222,2021-09-16,96.38
223,2021-09-15,96.38
224,2021-09-14,96.38
225,2021-09-13,96.38
226,2021-09-12,96.38
227,2021-09-11,96.38
228,2021-09-10,96.38
229,2021-09-09,96.38
230,2021-09-08,96.38
231,2021-09-07,96.38
232,2021-09-06,96.38
233,2021-09-05,96.38
234,2021-09-03,96.53
235,2021-09-02,96.53
236,2021-09-01,96.53
237,2021-08-31,96.68
238,2021-08-30,96.68
239,2021-08-29,96.68
240,2021-08-28,96.68
241,2021-08-27,96.68
242,2021-08-26,96.68
243,2021-08-25,96.68
244,2021-08-24,96.68
245,2021-08-23,96.81
246,2021-08-22,96.81
247,2021-08-21,96.98
248,2021-08-20,96.98
249,2021-08-19,96.98
250,2021-08-18,96.98
251,2021-08-17,96.98
252,2021-08-16,96.98
253,2021-08-15,96.98
254,2021-08-14,96.98
255,2021-08-13,96.98
256,2021-08-12,96.98
257,2021-08-11,96.98
258,2021-08-10,96.98
259,2021-08-09,96.98
260,2021-08-08,96.98
261,2021-08-07,96.98
262,2021-08-06,96.98
263,2021-08-05,96.98
264,2021-08-04,96.98
265,2021-08-03,96.98
266,2021-08-02,96.98
267,2021-08-01,96.98
268,2021-07-31,96.98
269,2021-07-30,96.98
270,2021-07-29,96.98
271,2021-07-28,96.98
272,2021-07-27,96.98
273,2021-07-26,96.98
274,2021-07-25,96.98
275,2021-07-24,96.98
276,2021-07-23,96.98
277,2021-07-22,96.98
278,2021-07-21,96.98
279,2021-07-20,96.98
280,2021-07-19,96.98
281,2021-07-18,96.98
282,2021-07-17,96.98
283,2021-07-16,96.7
284,2021-07-15,96.7
285,2021-07-14,96.37
286,2021-07-13,96.37
287,2021-07-12,96.37
288,2021-07-11,96.11
289,2021-07-10,96.11
290,2021-07-09,95.78
291,2021-07-08,95.78
292,2021-07-07,95.45
293,2021-07-06,95.12
294,2021-07-05,95.12
295,2021-07-04,94.79
296,2021-07-03,94.46
297,2021-07-02,94.46
298,2021-07-01,94.13
299,2021-06-30,94.13
300,2021-06-29,94.13
301,2021-06-28,93.8
302,2021-06-27,93.8
303,2021-06-26,93.48
304,2021-06-25,93.15
305,2021-06-24,93.15
306,2021-06-23,92.9
307,2021-06-22,92.9
308,2021-06-21,92.64
309,2021-06-20,92.64
310,2021-06-19,92.37
311,2021-06-18,92.37
312,2021-06-17,92.11
313,2021-06-16,92.11
314,2021-06-15,91.88
315,2021-06-14,91.88
316,2021-06-13,91.61
317,2021-06-12,91.61
318,2021-06-11,91.35
319,2021-06-10,91.08
320,2021-06-09,91.08
321,2021-06-08,90.85
322,2021-06-07,90.85
323,2021-06-06,90.58
324,2021-06-05,90.33
325,2021-06-04,90.33
326,2021-06-03,90.08
327,2021-06-02,90.08
328,2021-06-01,90.08
329,2021-05-31,89.83
330,2021-05-30,89.56
331,2021-05-29,89.56
332,2021-05-28,89.32
333,2021-05-27,89.32
334,2021-05-26,89.09
335,2021-05-25,89.09
336,2021-05-24,88.87
337,2021-05-23,88.87
338,2021-05-22,88.71
339,2021-05-21,88.71
340,2021-05-20,88.54
341,2021-05-19,88.54
342,2021-05-18,88.54
343,2021-05-17,88.28
344,2021-05-16,88.28
345,2021-05-15,88.06
346,2021-05-14,88.06
347,2021-05-13,87.78
348,2021-05-12,87.78
349,2021-05-11,87.55
350,2021-05-10,87.3
351,2021-05-09,87.05
352,2021-05-08,87.05
353,2021-05-07,87.05
354,2021-05-06,86.79
355,2021-05-05,86.55
356,2021-05-04,86.38
357,2021-05-03,86.12
358,2021-05-02,86.12
359,2021-05-01,86.12
360,2021-04-30,86.12
361,2021-04-29,86.12
362,2021-04-28,86.12
363,2021-04-27,86.12
364,2021-04-26,86.12
