,date,price
0,2022-05-01,105.84
1,2022-04-30,105.84
2,2022-04-29,105.84
3,2022-04-28,105.84
4,2022-04-27,105.84
5,2022-04-26,105.84
6,2022-04-25,105.84
7,2022-04-24,105.84
8,2022-04-23,105.84
9,2022-04-22,105.84
10,2022-04-21,105.84
11,2022-04-20,105.84
12,2022-04-19,105.84
13,2022-04-18,105.84
14,2022-04-17,105.84
15,2022-04-16,105.84
16,2022-04-15,105.84
17,2022-04-14,105.84
18,2022-04-13,105.84
19,2022-04-12,105.84
20,2022-04-11,105.84
21,2022-04-10,105.84
22,2022-04-09,105.84
23,2022-04-08,105.84
24,2022-04-07,105.84
25,2022-04-06,105.84
26,2022-04-05,105.04
27,2022-04-04,104.24
28,2022-04-03,103.85
29,2022-04-02,103.05
30,2022-04-01,102.25
31,2022-03-31,102.25
32,2022-03-30,101.45
33,2022-03-29,100.65
34,2022-03-28,99.86
35,2022-03-27,99.56
36,2022-03-26,99.06
37,2022-03-25,98.28
38,2022-03-24,97.48
39,2022-03-23,97.48
40,2022-03-22,96.68
41,2022-03-21,95.88
42,2022-03-20,95.88
43,2022-03-19,95.88
44,2022-03-18,95.88
45,2022-03-17,95.88
46,2022-03-16,95.88
47,2022-03-15,95.88
48,2022-03-14,95.88
49,2022-03-13,95.88
50,2022-03-12,95.88
51,2022-03-11,95.88
52,2022-03-10,95.88
53,2022-03-09,95.88
54,2022-03-08,95.88
55,2022-03-07,95.88
56,2022-03-06,95.88
57,2022-03-05,95.88
58,2022-03-04,95.88
59,2022-03-03,95.88
60,2022-03-02,95.88
61,2022-03-01,95.88
62,2022-02-28,95.88
63,2022-02-27,95.88
64,2022-02-26,95.88
65,2022-02-25,95.88
66,2022-02-24,95.88
67,2022-02-23,95.88
68,2022-02-22,95.88
69,2022-02-21,95.88
70,2022-02-20,95.88
71,2022-02-19,95.88
72,2022-02-18,95.88
73,2022-02-17,95.88
74,2022-02-16,95.88
75,2022-02-15,95.88
76,2022-02-14,95.88
77,2022-02-13,95.88
78,2022-02-12,95.88
79,2022-02-11,95.88
80,2022-02-10,95.88
81,2022-02-09,95.88
82,2022-02-08,95.88
83,2022-02-07,95.88
84,2022-02-06,95.88
85,2022-02-05,95.88
86,2022-02-04,95.88
87,2022-02-03,95.88
88,2022-02-02,95.88
89,2022-02-01,95.88
90,2022-01-31,95.88
91,2022-01-30,95.88
92,2022-01-29,95.88
93,2022-01-28,95.88
94,2022-01-27,95.88
95,2022-01-26,95.88
96,2022-01-25,95.88
97,2022-01-24,95.88
98,2022-01-23,95.88
99,2022-01-22,95.88
100,2022-01-21,95.88
101,2022-01-20,95.88
102,2022-01-19,95.88
103,2022-01-18,95.88
104,2022-01-17,95.88
105,2022-01-16,95.88
106,2022-01-15,95.88
107,2022-01-14,95.88
108,2022-01-13,95.88
109,2022-01-12,95.88
110,2022-01-11,95.88
111,2022-01-10,95.88
112,2022-01-09,95.88
113,2022-01-08,95.88
114,2022-01-07,95.88
115,2022-01-06,95.88
116,2022-01-05,95.88
117,2022-01-04,95.88
118,2022-01-03,95.88
119,2022-01-02,95.88
120,2022-01-01,95.88
121,2021-12-31,95.88
122,2021-12-30,95.88
123,2021-12-29,95.88
124,2021-12-28,95.88
125,2021-12-27,95.88
126,2021-12-26,95.88
127,2021-12-25,95.88
128,2021-12-24,95.88
129,2021-12-23,95.88
130,2021-12-22,95.88
131,2021-12-21,95.88
132,2021-12-20,95.88
133,2021-12-19,95.88
134,2021-12-18,95.88
135,2021-12-17,95.88
136,2021-12-16,95.88
137,2021-12-15,95.88
138,2021-12-14,95.88
139,2021-12-13,95.88
140,2021-12-12,95.88
141,2021-12-11,95.88
142,2021-12-10,95.88
143,2021-12-09,95.88
144,2021-12-08,95.88
145,2021-12-07,95.88
146,2021-12-06,95.88
147,2021-12-05,95.88
148,2021-12-04,95.88
149,2021-12-03,95.88
150,2021-12-02,95.88
151,2021-11-30,95.88
152,2021-11-29,95.88
153,2021-11-28,95.88
154,2021-11-27,95.88
155,2021-11-26,95.88
156,2021-11-25,95.88
157,2021-11-24,95.88
158,2021-11-23,95.88
159,2021-11-22,95.88
160,2021-11-21,95.88
161,2021-11-20,95.88
162,2021-11-19,95.88
163,2021-11-18,95.88
164,2021-11-17,95.88
165,2021-11-16,95.88
166,2021-11-15,95.88
167,2021-11-14,95.88
168,2021-11-13,95.88
169,2021-11-12,95.88
170,2021-11-11,95.88
171,2021-11-10,95.88
172,2021-11-09,95.88
173,2021-11-08,95.88
174,2021-11-07,95.88
175,2021-11-06,95.88
176,2021-11-05,95.88
177,2021-11-04,101.69
178,2021-11-03,107.59
179,2021-11-02,107.59
180,2021-11-01,107.23
181,2021-10-31,106.83
182,2021-10-30,106.49
183,2021-10-29,106.15
184,2021-10-28,105.81
185,2021-10-27,105.47
186,2021-10-26,105.13
