,date,price
0,2022-05-01,105.94
1,2022-04-30,105.94
2,2022-04-29,105.94
3,2022-04-28,105.94
4,2022-04-27,105.94
5,2022-04-26,105.94
6,2022-04-25,105.94
7,2022-04-24,105.94
8,2022-04-23,105.94
9,2022-04-22,105.94
10,2022-04-21,105.94
11,2022-04-20,105.94
12,2022-04-19,105.94
13,2022-04-18,105.94
14,2022-04-17,105.94
15,2022-04-16,105.94
16,2022-04-15,105.94
17,2022-04-14,105.94
18,2022-04-13,105.94
19,2022-04-12,105.94
20,2022-04-11,105.94
21,2022-04-10,105.94
22,2022-04-09,105.94
23,2022-04-08,105.94
24,2022-04-07,105.94
25,2022-04-06,105.94
26,2022-04-05,105.14
27,2022-04-04,104.33
28,2022-04-03,103.93
29,2022-04-02,103.12
30,2022-04-01,102.31
31,2022-03-31,102.31
32,2022-03-30,101.51
33,2022-03-29,100.7
34,2022-03-28,99.89
35,2022-03-27,99.59
36,2022-03-26,99.09
37,2022-03-25,98.28
38,2022-03-24,97.47
39,2022-03-23,97.47
40,2022-03-22,96.67
41,2022-03-21,95.86
42,2022-03-20,95.86
43,2022-03-19,95.86
44,2022-03-18,95.86
45,2022-03-17,95.86
46,2022-03-16,95.86
47,2022-03-15,95.86
48,2022-03-14,95.86
49,2022-03-13,95.86
50,2022-03-12,95.86
51,2022-03-11,95.86
52,2022-03-10,95.86
53,2022-03-09,95.86
54,2022-03-08,95.86
55,2022-03-07,95.86
56,2022-03-06,95.86
57,2022-03-05,95.86
58,2022-03-04,95.86
59,2022-03-03,95.86
60,2022-03-02,95.86
61,2022-03-01,95.86
62,2022-02-28,95.86
63,2022-02-27,95.86
64,2022-02-26,95.86
65,2022-02-25,95.86
66,2022-02-24,95.86
67,2022-02-23,95.86
68,2022-02-22,95.86
69,2022-02-21,95.86
70,2022-02-20,95.86
71,2022-02-19,95.86
72,2022-02-18,95.86
73,2022-02-17,95.86
74,2022-02-16,95.86
75,2022-02-15,95.86
76,2022-02-14,95.86
77,2022-02-13,95.86
78,2022-02-12,95.86
79,2022-02-11,95.86
80,2022-02-10,95.86
81,2022-02-09,95.86
82,2022-02-08,95.86
83,2022-02-07,95.86
84,2022-02-06,95.86
85,2022-02-05,95.86
86,2022-02-04,95.86
87,2022-02-03,95.86
88,2022-02-02,95.86
89,2022-02-01,95.86
90,2022-01-31,95.86
91,2022-01-30,95.86
92,2022-01-29,95.86
93,2022-01-28,95.86
94,2022-01-27,95.86
95,2022-01-26,95.86
96,2022-01-25,95.86
97,2022-01-24,95.86
98,2022-01-23,95.86
99,2022-01-22,95.86
100,2022-01-21,95.86
101,2022-01-20,95.86
102,2022-01-19,95.86
103,2022-01-18,95.86
104,2022-01-17,95.86
105,2022-01-16,95.86
106,2022-01-15,95.86
107,2022-01-14,95.86
108,2022-01-13,95.86
109,2022-01-12,95.86
110,2022-01-11,95.86
111,2022-01-10,95.86
112,2022-01-09,95.86
113,2022-01-08,95.86
114,2022-01-07,95.86
115,2022-01-06,95.86
116,2022-01-05,95.86
117,2022-01-04,95.86
118,2022-01-03,95.86
119,2022-01-02,95.86
120,2022-01-01,95.86
121,2021-12-31,95.86
122,2021-12-30,95.86
123,2021-12-29,95.86
124,2021-12-28,95.86
125,2021-12-27,95.86
126,2021-12-26,95.86
127,2021-12-25,95.86
128,2021-12-24,95.86
129,2021-12-23,95.86
130,2021-12-22,95.86
131,2021-12-21,95.86
132,2021-12-20,95.86
133,2021-12-19,95.86
134,2021-12-18,95.86
135,2021-12-17,95.86
136,2021-12-16,95.86
137,2021-12-15,95.86
138,2021-12-14,95.86
139,2021-12-13,95.86
140,2021-12-12,95.86
141,2021-12-11,95.86
142,2021-12-10,95.86
143,2021-12-09,95.86
144,2021-12-08,95.86
145,2021-12-07,95.86
146,2021-12-06,95.86
147,2021-12-05,95.86
148,2021-12-04,95.86
149,2021-12-03,95.86
150,2021-12-02,95.86
151,2021-11-30,95.86
152,2021-11-29,95.86
153,2021-11-28,95.86
154,2021-11-27,95.86
155,2021-11-26,95.86
156,2021-11-25,95.86
157,2021-11-24,95.86
158,2021-11-23,95.86
159,2021-11-22,95.86
160,2021-11-21,95.86
161,2021-11-20,95.86
162,2021-11-19,95.86
163,2021-11-18,95.86
164,2021-11-17,95.86
165,2021-11-16,95.86
166,2021-11-15,95.86
167,2021-11-14,95.86
168,2021-11-13,95.86
169,2021-11-12,95.86
170,2021-11-11,95.86
171,2021-11-10,95.86
172,2021-11-09,95.86
173,2021-11-08,95.86
174,2021-11-07,95.86
175,2021-11-06,95.86
176,2021-11-05,95.86
177,2021-11-04,95.86
178,2021-11-03,107.24
179,2021-11-02,107.24
180,2021-11-01,106.88
181,2021-10-31,106.51
182,2021-10-30,106.17
183,2021-10-29,105.83
184,2021-10-28,105.48
185,2021-10-27,105.14
186,2021-10-26,104.8
187,2021-10-25,104.8
188,2021-10-24,104.8
189,2021-10-23,104.46
190,2021-10-22,104.11
191,2021-10-21,103.77
192,2021-10-20,103.43
193,2021-10-19,103.09
194,2021-10-18,103.09
195,2021-10-15,102.4
196,2021-10-14,102.06
197,2021-10-13,101.71
198,2021-10-12,101.71
199,2021-10-11,101.71
200,2021-10-10,101.42
201,2021-10-09,101.13
202,2021-10-08,100.83
203,2021-10-07,100.54
204,2021-10-06,100.25
205,2021-10-05,99.95
206,2021-10-04,99.71
207,2021-10-03,99.71
208,2021-10-02,99.46
209,2021-10-01,99.22
210,2021-09-30,98.99
211,2021-09-29,98.75
212,2021-09-28,98.75
213,2021-09-27,98.57
214,2021-09-26,98.57
215,2021-09-25,98.57
216,2021-09-24,98.57
217,2021-09-23,98.57
218,2021-09-22,98.57
219,2021-09-21,98.57
220,2021-09-20,98.57
221,2021-09-19,98.57
222,2021-09-18,98.57
223,2021-09-17,98.57
224,2021-09-16,98.57
225,2021-09-15,98.57
226,2021-09-14,98.57
227,2021-09-13,98.57
228,2021-09-12,98.57
229,2021-09-11,98.57
230,2021-09-10,98.57
231,2021-09-09,98.57
232,2021-09-08,98.57
233,2021-09-07,98.57
234,2021-09-06,98.57
235,2021-09-05,98.57
236,2021-09-03,98.73
237,2021-09-02,98.73
238,2021-09-01,98.73
239,2021-08-31,98.88
240,2021-08-30,98.88
241,2021-08-29,98.88
242,2021-08-28,98.88
243,2021-08-27,98.88
244,2021-08-26,98.88
245,2021-08-25,98.88
246,2021-08-24,98.88
247,2021-08-23,99.02
248,2021-08-22,99.02
249,2021-08-21,99.18
250,2021-08-20,99.18
251,2021-08-19,99.18
252,2021-08-18,99.18
253,2021-08-17,99.18
254,2021-08-16,99.18
255,2021-08-15,99.18
256,2021-08-14,99.18
257,2021-08-13,99.18
258,2021-08-12,99.18
259,2021-08-11,99.18
260,2021-08-10,99.18
261,2021-08-09,99.18
262,2021-08-08,99.18
263,2021-08-07,99.18
264,2021-08-06,99.18
265,2021-08-05,99.18
266,2021-08-04,99.18
267,2021-08-03,99.18
268,2021-08-02,99.18
269,2021-08-01,99.18
270,2021-07-31,99.18
271,2021-07-30,99.18
272,2021-07-29,99.18
273,2021-07-28,99.18
274,2021-07-27,99.18
275,2021-07-26,99.18
276,2021-07-25,99.18
277,2021-07-24,99.18
278,2021-07-23,99.18
279,2021-07-22,99.18
280,2021-07-21,99.18
281,2021-07-20,99.18
282,2021-07-19,99.18
283,2021-07-18,99.18
284,2021-07-17,99.18
285,2021-07-16,98.89
286,2021-07-15,98.89
287,2021-07-14,98.55
288,2021-07-13,98.55
289,2021-07-12,98.55
290,2021-07-11,98.27
291,2021-07-10,98.27
292,2021-07-09,97.93
293,2021-07-08,97.93
294,2021-07-07,97.59
295,2021-07-06,97.25
296,2021-07-05,97.25
297,2021-07-04,96.9
298,2021-07-03,96.56
299,2021-07-02,96.56
300,2021-07-01,96.22
301,2021-06-30,96.22
302,2021-06-29,96.22
303,2021-06-28,95.87
304,2021-06-27,95.87
305,2021-06-26,95.53
306,2021-06-25,95.19
307,2021-06-24,95.19
308,2021-06-23,94.93
309,2021-06-22,94.93
310,2021-06-21,94.66
311,2021-06-20,94.66
312,2021-06-19,94.38
313,2021-06-18,94.38
314,2021-06-17,94.11
315,2021-06-16,94.11
316,2021-06-15,93.87
317,2021-06-14,93.87
318,2021-06-13,93.58
319,2021-06-12,93.58
320,2021-06-11,93.32
321,2021-06-10,93.03
322,2021-06-09,93.03
323,2021-06-08,92.79
324,2021-06-07,92.79
325,2021-06-06,92.52
326,2021-06-05,92.25
327,2021-06-04,92.25
328,2021-06-03,91.99
329,2021-06-02,91.99
330,2021-06-01,91.99
331,2021-05-31,91.73
332,2021-05-30,91.45
333,2021-05-29,91.45
334,2021-05-28,91.19
335,2021-05-27,91.19
336,2021-05-26,90.96
337,2021-05-25,90.96
338,2021-05-24,90.73
339,2021-05-23,90.73
340,2021-05-22,90.57
341,2021-05-21,90.57
342,2021-05-20,90.38
343,2021-05-19,90.38
344,2021-05-18,90.38
345,2021-05-17,90.12
346,2021-05-16,90.12
347,2021-05-15,89.88
348,2021-05-14,89.88
349,2021-05-13,89.6
350,2021-05-12,89.6
351,2021-05-11,89.35
352,2021-05-10,89.09
353,2021-05-09,88.83
354,2021-05-08,88.83
355,2021-05-07,88.83
356,2021-05-06,88.56
357,2021-05-05,88.31
358,2021-05-04,88.13
359,2021-05-03,87.96
360,2021-05-02,87.96
361,2021-05-01,87.96
362,2021-04-30,87.96
363,2021-04-29,87.96
364,2021-04-28,87.96
