,date,price
0,2022-05-01,106.43
1,2022-04-30,106.43
2,2022-04-29,106.43
3,2022-04-28,106.43
4,2022-04-27,106.43
5,2022-04-26,106.43
6,2022-04-25,106.43
7,2022-04-24,106.43
8,2022-04-23,106.43
9,2022-04-22,106.43
10,2022-04-21,106.43
11,2022-04-20,106.43
12,2022-04-19,106.43
13,2022-04-18,106.43
14,2022-04-17,106.43
15,2022-04-16,106.43
16,2022-04-15,106.43
17,2022-04-14,106.43
18,2022-04-13,106.43
19,2022-04-12,106.43
20,2022-04-11,106.43
21,2022-04-10,106.43
22,2022-04-09,106.43
23,2022-04-08,106.43
24,2022-04-07,106.43
25,2022-04-06,106.43
26,2022-04-05,105.63
27,2022-04-04,104.82
28,2022-04-03,104.42
29,2022-04-02,103.61
30,2022-04-01,102.8
31,2022-03-31,102.8
32,2022-03-30,102
33,2022-03-29,101.19
34,2022-03-28,100.38
35,2022-03-27,100.08
36,2022-03-26,99.58
37,2022-03-25,98.79
38,2022-03-24,97.98
39,2022-03-23,97.98
40,2022-03-22,97.17
41,2022-03-21,96.37
42,2022-03-20,96.37
43,2022-03-19,96.37
44,2022-03-18,96.37
45,2022-03-17,96.37
46,2022-03-16,96.37
47,2022-03-15,96.37
48,2022-03-14,96.37
49,2022-03-13,96.37
50,2022-03-12,96.37
51,2022-03-11,96.37
52,2022-03-10,96.37
53,2022-03-09,96.37
54,2022-03-08,96.37
55,2022-03-07,96.37
56,2022-03-06,96.37
57,2022-03-05,96.37
58,2022-03-04,96.37
59,2022-03-03,96.37
60,2022-03-02,96.37
61,2022-03-01,96.37
62,2022-02-28,96.37
63,2022-02-27,96.37
64,2022-02-26,96.37
65,2022-02-25,96.37
66,2022-02-24,96.37
67,2022-02-23,96.37
68,2022-02-22,96.37
69,2022-02-21,96.37
70,2022-02-20,96.37
71,2022-02-19,96.37
72,2022-02-18,96.37
73,2022-02-17,96.37
74,2022-02-16,96.37
75,2022-02-15,96.37
76,2022-02-14,96.37
77,2022-02-13,96.37
78,2022-02-12,96.37
79,2022-02-11,96.37
80,2022-02-10,96.37
81,2022-02-09,96.37
82,2022-02-08,96.37
