,date,price
0,2022-05-01,105
1,2022-04-30,105
2,2022-04-29,105
3,2022-04-28,105
4,2022-04-27,105
5,2022-04-26,105
6,2022-04-25,105
7,2022-04-24,105
8,2022-04-23,105
9,2022-04-22,105
10,2022-04-21,105
11,2022-04-20,105
12,2022-04-19,105
13,2022-04-18,105
14,2022-04-17,105
15,2022-04-16,105
16,2022-04-15,105
17,2022-04-14,105
18,2022-04-13,105
19,2022-04-12,105
20,2022-04-11,105
21,2022-04-10,105
22,2022-04-09,105
23,2022-04-08,105
24,2022-04-07,105
25,2022-04-06,105
26,2022-04-05,104.2
27,2022-04-04,103.41
28,2022-04-03,103.01
29,2022-04-02,102.21
30,2022-04-01,101.42
31,2022-03-31,101.42
32,2022-03-30,100.62
33,2022-03-29,99.83
34,2022-03-28,99.03
35,2022-03-27,98.73
36,2022-03-26,98.23
37,2022-03-25,97.45
38,2022-03-24,96.65
39,2022-03-23,96.65
40,2022-03-22,95.86
41,2022-03-21,95.06
42,2022-03-20,95.06
43,2022-03-19,95.06
44,2022-03-18,95.06
45,2022-03-17,95.06
46,2022-03-16,95.06
47,2022-03-15,95.06
48,2022-03-14,95.06
49,2022-03-13,95.06
50,2022-03-12,95.06
51,2022-03-11,95.06
52,2022-03-10,95.06
53,2022-03-09,95.06
54,2022-03-08,95.06
55,2022-03-07,95.06
56,2022-03-06,95.06
57,2022-03-05,95.06
58,2022-03-04,95.06
59,2022-03-03,95.06
60,2022-03-02,95.06
61,2022-03-01,95.06
62,2022-02-28,95.06
63,2022-02-27,95.06
64,2022-02-26,95.06
65,2022-02-25,95.06
66,2022-02-24,95.06
67,2022-02-23,95.06
68,2022-02-22,95.06
69,2022-02-21,95.06
70,2022-02-20,95.06
71,2022-02-19,95.06
72,2022-02-18,95.06
73,2022-02-17,95.06
74,2022-02-16,95.06
75,2022-02-15,95.06
76,2022-02-14,95.06
77,2022-02-13,95.06
78,2022-02-12,95.06
79,2022-02-11,95.06
80,2022-02-10,95.06
81,2022-02-09,95.06
82,2022-02-08,95.06
83,2022-02-07,95.06
84,2022-02-06,95.06
85,2022-02-05,95.06
86,2022-02-04,95.06
87,2022-02-03,95.06
88,2022-02-02,95.06
89,2022-02-01,95.06
90,2022-01-31,95.06
91,2022-01-30,95.06
92,2022-01-29,95.06
93,2022-01-28,95.06
94,2022-01-27,95.06
95,2022-01-26,95.06
96,2022-01-25,95.06
97,2022-01-24,95.06
98,2022-01-23,95.06
99,2022-01-22,95.06
100,2022-01-21,95.06
101,2022-01-20,95.06
102,2022-01-19,95.06
103,2022-01-18,95.06
104,2022-01-17,95.06
105,2022-01-16,95.06
106,2022-01-15,95.06
107,2022-01-14,95.06
108,2022-01-13,95.06
109,2022-01-12,95.06
110,2022-01-11,95.06
111,2022-01-10,95.06
112,2022-01-09,95.06
113,2022-01-08,95.06
114,2022-01-07,95.06
115,2022-01-06,95.06
116,2022-01-05,95.06
117,2022-01-04,95.06
118,2022-01-03,95.06
119,2022-01-02,95.06
120,2022-01-01,95.06
121,2021-12-31,95.06
122,2021-12-30,95.06
123,2021-12-29,95.06
124,2021-12-28,95.06
125,2021-12-27,95.06
126,2021-12-26,95.06
127,2021-12-25,95.06
128,2021-12-24,95.06
129,2021-12-23,95.06
130,2021-12-22,95.06
131,2021-12-21,95.06
132,2021-12-20,95.06
133,2021-12-19,95.06
134,2021-12-18,95.06
135,2021-12-17,95.06
136,2021-12-16,95.06
137,2021-12-15,95.06
138,2021-12-14,95.06
139,2021-12-13,95.06
140,2021-12-12,95.06
141,2021-12-11,95.06
142,2021-12-10,95.06
143,2021-12-09,95.06
144,2021-12-08,95.06
145,2021-12-07,95.06
146,2021-12-06,95.06
147,2021-12-05,95.06
148,2021-12-04,95.06
149,2021-12-03,95.06
150,2021-12-02,95.06
151,2021-11-30,95.06
152,2021-11-29,95.06
153,2021-11-28,95.06
154,2021-11-27,95.06
155,2021-11-26,95.06
156,2021-11-25,95.06
157,2021-11-24,95.06
158,2021-11-23,95.06
159,2021-11-22,95.06
160,2021-11-21,95.06
161,2021-11-20,95.06
162,2021-11-19,95.06
163,2021-11-18,95.06
164,2021-11-17,95.06
165,2021-11-16,95.06
166,2021-11-15,95.06
167,2021-11-14,95.06
168,2021-11-13,95.06
169,2021-11-12,95.06
170,2021-11-11,95.06
171,2021-11-10,95.06
172,2021-11-09,95.06
173,2021-11-08,95.06
174,2021-11-07,95.06
175,2021-11-06,95.06
176,2021-11-05,95.06
177,2021-11-04,95.06
