,date,price
0,2022-05-01,105.19
1,2022-04-30,105.19
2,2022-04-29,105.19
3,2022-04-28,105.19
4,2022-04-27,105.19
5,2022-04-26,105.19
6,2022-04-25,105.19
7,2022-04-24,105.19
8,2022-04-23,105.19
9,2022-04-22,105.19
10,2022-04-21,105.19
11,2022-04-20,105.19
12,2022-04-19,105.19
13,2022-04-18,105.19
14,2022-04-17,105.19
15,2022-04-16,105.19
16,2022-04-15,105.19
17,2022-04-14,105.19
18,2022-04-13,105.19
19,2022-04-12,105.19
20,2022-04-11,105.19
21,2022-04-10,105.19
22,2022-04-09,105.19
23,2022-04-08,105.19
24,2022-04-07,105.19
25,2022-04-06,105.19
26,2022-04-05,104.39
27,2022-04-04,103.59
28,2022-04-03,103.2
29,2022-04-02,102.4
30,2022-04-01,101.6
31,2022-03-31,101.6
32,2022-03-30,100.81
33,2022-03-29,100.01
34,2022-03-28,99.22
35,2022-03-27,98.92
36,2022-03-26,98.42
37,2022-03-25,97.63
38,2022-03-24,96.84
39,2022-03-23,96.84
40,2022-03-22,96.04
41,2022-03-21,95.24
42,2022-03-20,95.24
43,2022-03-19,95.24
44,2022-03-18,95.24
45,2022-03-17,95.24
46,2022-03-16,95.24
47,2022-03-15,95.24
48,2022-03-14,95.24
49,2022-03-13,95.24
50,2022-03-12,95.24
51,2022-03-11,95.24
52,2022-03-10,95.24
53,2022-03-09,95.24
54,2022-03-08,95.24
55,2022-03-07,95.24
56,2022-03-06,95.24
57,2022-03-05,95.24
58,2022-03-04,95.24
59,2022-03-03,95.24
60,2022-03-02,95.24
61,2022-03-01,95.24
62,2022-02-28,95.24
63,2022-02-27,95.24
64,2022-02-26,95.24
65,2022-02-25,95.24
66,2022-02-24,95.24
67,2022-02-23,95.24
68,2022-02-22,95.24
69,2022-02-21,95.24
70,2022-02-20,95.24
71,2022-02-19,95.24
72,2022-02-18,95.24
73,2022-02-17,95.24
74,2022-02-16,95.24
75,2022-02-15,95.24
76,2022-02-14,95.24
77,2022-02-13,95.24
78,2022-02-12,95.24
79,2022-02-11,95.24
80,2022-02-10,95.24
81,2022-02-09,95.24
82,2022-02-08,95.24
83,2022-02-07,95.24
84,2022-02-06,95.24
85,2022-02-05,95.24
86,2022-02-04,95.24
87,2022-02-03,95.24
88,2022-02-02,95.24
89,2022-02-01,95.24
90,2022-01-31,95.24
91,2022-01-30,95.24
92,2022-01-29,95.24
93,2022-01-28,95.24
94,2022-01-27,95.24
95,2022-01-26,95.24
96,2022-01-25,95.24
97,2022-01-24,95.24
98,2022-01-23,95.24
99,2022-01-22,95.24
100,2022-01-21,95.24
101,2022-01-20,95.24
102,2022-01-19,95.24
103,2022-01-18,95.24
104,2022-01-17,95.24
105,2022-01-16,95.24
106,2022-01-15,95.24
107,2022-01-14,95.24
108,2022-01-13,95.24
109,2022-01-12,95.24
110,2022-01-11,95.24
111,2022-01-10,95.24
