,date,price
0,2022-05-01,104.82
1,2022-04-30,104.82
2,2022-04-29,104.82
3,2022-04-28,104.82
4,2022-04-27,104.82
5,2022-04-26,104.82
6,2022-04-25,104.82
7,2022-04-24,104.82
8,2022-04-23,104.82
9,2022-04-22,104.82
10,2022-04-21,104.82
11,2022-04-20,104.82
12,2022-04-19,104.82
13,2022-04-18,104.82
14,2022-04-17,104.82
15,2022-04-16,104.82
16,2022-04-15,104.82
17,2022-04-14,104.82
18,2022-04-13,104.82
19,2022-04-12,104.82
20,2022-04-11,104.82
21,2022-04-10,104.82
22,2022-04-09,104.82
23,2022-04-08,104.82
24,2022-04-07,104.82
25,2022-04-06,104.82
26,2022-04-05,104.03
27,2022-04-04,103.23
28,2022-04-03,102.83
29,2022-04-02,102.04
30,2022-04-01,101.24
31,2022-03-31,101.24
32,2022-03-30,100.45
33,2022-03-29,99.65
34,2022-03-28,98.85
35,2022-03-27,98.55
36,2022-03-26,98.06
37,2022-03-25,97.26
38,2022-03-24,96.47
39,2022-03-23,96.47
40,2022-03-22,95.67
41,2022-03-21,94.87
42,2022-03-20,94.87
43,2022-03-19,94.87
44,2022-03-18,94.87
45,2022-03-17,94.87
46,2022-03-16,94.87
47,2022-03-15,94.87
48,2022-03-14,94.87
49,2022-03-13,94.87
50,2022-03-12,94.87
51,2022-03-11,94.87
52,2022-03-10,94.87
53,2022-03-09,94.87
54,2022-03-08,94.87
55,2022-03-07,94.87
56,2022-03-06,94.87
57,2022-03-05,94.87
58,2022-03-04,94.87
59,2022-03-03,94.87
60,2022-03-02,94.87
61,2022-03-01,94.87
62,2022-02-28,94.87
63,2022-02-27,94.87
64,2022-02-26,94.87
65,2022-02-25,94.87
66,2022-02-24,94.87
67,2022-02-23,94.87
68,2022-02-22,94.87
69,2022-02-21,94.87
70,2022-02-20,94.87
71,2022-02-19,94.87
72,2022-02-18,94.87
73,2022-02-17,94.87
74,2022-02-16,94.87
75,2022-02-15,94.87
76,2022-02-14,94.87
77,2022-02-13,94.87
78,2022-02-12,94.87
79,2022-02-11,94.87
80,2022-02-10,94.87
81,2022-02-09,94.87
82,2022-02-08,94.87
83,2022-02-07,94.87
84,2022-02-06,94.87
85,2022-02-05,94.87
86,2022-02-04,94.87
87,2022-02-03,94.87
88,2022-02-02,94.87
89,2022-02-01,94.87
90,2022-01-31,94.87
91,2022-01-30,94.87
92,2022-01-29,94.87
93,2022-01-28,94.87
94,2022-01-27,94.87
95,2022-01-26,94.87
96,2022-01-25,94.87
97,2022-01-24,94.87
98,2022-01-23,94.87
99,2022-01-22,94.87
100,2022-01-21,94.87
101,2022-01-20,94.87
102,2022-01-19,94.87
103,2022-01-18,94.87
104,2022-01-17,94.87
105,2022-01-16,94.87
106,2022-01-15,94.87
107,2022-01-14,94.87
108,2022-01-13,94.87
109,2022-01-12,94.87
110,2022-01-11,94.87
111,2022-01-10,94.87
112,2022-01-09,94.87
113,2022-01-08,94.87
114,2022-01-07,94.87
115,2022-01-06,94.87
116,2022-01-05,94.87
117,2022-01-04,94.87
118,2022-01-03,94.87
119,2022-01-02,94.87
120,2022-01-01,94.87
121,2021-12-31,94.87
122,2021-12-30,94.87
123,2021-12-29,94.87
124,2021-12-28,94.87
125,2021-12-27,94.87
126,2021-12-26,94.87
127,2021-12-25,94.87
128,2021-12-24,94.87
129,2021-12-23,94.87
130,2021-12-22,94.87
131,2021-12-21,94.87
132,2021-12-20,94.87
133,2021-12-19,94.87
134,2021-12-18,94.87
135,2021-12-17,94.87
136,2021-12-16,94.87
137,2021-12-15,94.87
138,2021-12-14,94.87
139,2021-12-13,94.87
140,2021-12-12,94.87
141,2021-12-11,94.87
142,2021-12-10,94.87
143,2021-12-09,94.87
144,2021-12-08,94.87
145,2021-12-07,94.87
146,2021-12-06,94.87
