,date,price
0,2022-05-01,106.13
1,2022-04-30,106.13
2,2022-04-29,106.13
3,2022-04-28,106.13
4,2022-04-27,106.13
5,2022-04-26,106.13
6,2022-04-25,106.13
7,2022-04-24,106.13
8,2022-04-23,106.13
9,2022-04-22,106.13
10,2022-04-21,106.13
11,2022-04-20,106.13
12,2022-04-19,106.13
13,2022-04-18,106.13
14,2022-04-17,106.13
15,2022-04-16,106.13
16,2022-04-15,106.13
17,2022-04-14,106.13
18,2022-04-13,106.13
19,2022-04-12,106.13
20,2022-04-11,106.13
21,2022-04-10,106.13
22,2022-04-09,106.13
23,2022-04-08,106.13
24,2022-04-07,106.13
25,2022-04-06,106.13
26,2022-04-05,105.33
27,2022-04-04,104.54
28,2022-04-03,104.14
29,2022-04-02,103.34
30,2022-04-01,102.54
31,2022-03-31,102.54
32,2022-03-30,101.74
33,2022-03-29,100.94
34,2022-03-28,100.15
35,2022-03-27,99.85
36,2022-03-26,99.35
37,2022-03-25,97.68
38,2022-03-24,96.88
39,2022-03-23,96.88
40,2022-03-22,96.09
41,2022-03-21,95.29
42,2022-03-20,95.29
43,2022-03-19,95.29
44,2022-03-18,95.29
45,2022-03-17,95.29
46,2022-03-16,95.29
47,2022-03-15,95.29
48,2022-03-14,95.29
49,2022-03-13,95.29
50,2022-03-12,95.29
51,2022-03-11,95.29
52,2022-03-10,95.29
53,2022-03-09,95.29
54,2022-03-08,95.29
55,2022-03-07,95.29
56,2022-03-06,95.29
57,2022-03-05,95.29
58,2022-03-04,95.29
59,2022-03-03,95.29
60,2022-03-02,95.29
61,2022-03-01,95.29
62,2022-02-28,95.29
63,2022-02-27,95.29
64,2022-02-26,95.29
65,2022-02-25,95.29
66,2022-02-24,95.29
67,2022-02-23,95.29
68,2022-02-22,95.29
69,2022-02-21,95.29
70,2022-02-20,95.29
71,2022-02-19,95.29
72,2022-02-18,95.29
73,2022-02-17,95.29
74,2022-02-16,95.29
75,2022-02-15,95.29
76,2022-02-14,95.29
77,2022-02-13,95.29
78,2022-02-12,95.29
79,2022-02-11,95.29
80,2022-02-10,95.29
81,2022-02-09,95.29
82,2022-02-08,95.29
83,2022-02-07,95.29
84,2022-02-06,95.29
85,2022-02-05,95.29
86,2022-02-04,95.29
87,2022-02-03,95.29
88,2022-02-02,95.29
89,2022-02-01,95.29
90,2022-01-31,95.29
91,2022-01-30,95.29
92,2022-01-29,95.29
93,2022-01-28,95.29
94,2022-01-27,95.29
95,2022-01-26,95.29
96,2022-01-25,95.29
97,2022-01-24,95.29
98,2022-01-23,95.29
99,2022-01-22,95.29
100,2022-01-21,95.29
101,2022-01-20,95.29
102,2022-01-19,95.29
103,2022-01-18,95.29
104,2022-01-17,95.29
105,2022-01-16,95.29
106,2022-01-15,95.29
107,2022-01-14,95.29
108,2022-01-13,95.29
109,2022-01-12,95.29
110,2022-01-11,95.29
111,2022-01-10,95.29
112,2022-01-09,95.29
113,2022-01-08,95.29
114,2022-01-07,95.29
115,2022-01-06,95.29
116,2022-01-05,95.29
117,2022-01-04,95.29
118,2022-01-03,95.29
119,2022-01-02,95.29
120,2022-01-01,95.29
121,2021-12-31,95.29
122,2021-12-30,95.29
123,2021-12-29,95.29
124,2021-12-28,95.29
125,2021-12-27,95.29
126,2021-12-26,95.29
127,2021-12-25,95.29
128,2021-12-24,95.29
129,2021-12-23,95.29
130,2021-12-22,95.29
131,2021-12-21,95.29
132,2021-12-20,95.29
133,2021-12-19,95.29
134,2021-12-18,95.29
135,2021-12-17,95.29
136,2021-12-16,95.29
137,2021-12-15,95.29
138,2021-12-14,95.29
139,2021-12-13,95.29
140,2021-12-12,95.29
141,2021-12-11,95.29
142,2021-12-10,95.29
143,2021-12-09,95.29
144,2021-12-08,95.29
145,2021-12-07,95.29
146,2021-12-06,95.29
147,2021-12-05,95.29
148,2021-12-04,95.29
149,2021-12-03,95.29
150,2021-12-02,95.29
151,2021-11-30,95.29
152,2021-11-29,95.29
153,2021-11-28,95.29
154,2021-11-27,95.29
155,2021-11-26,95.29
156,2021-11-25,95.29
157,2021-11-24,95.29
158,2021-11-23,95.29
159,2021-11-22,95.29
160,2021-11-21,95.29
161,2021-11-20,95.29
162,2021-11-19,95.29
163,2021-11-18,95.29
164,2021-11-17,95.29
165,2021-11-16,95.29
166,2021-11-15,95.29
167,2021-11-14,95.29
168,2021-11-13,95.29
169,2021-11-12,95.29
170,2021-11-11,95.29
171,2021-11-10,95.29
172,2021-11-09,95.29
173,2021-11-08,95.29
174,2021-11-07,95.29
175,2021-11-06,95.29
176,2021-11-05,95.29
177,2021-11-04,101.06
178,2021-11-03,106.95
179,2021-11-02,106.95
180,2021-11-01,106.59
181,2021-10-31,106.23
182,2021-10-30,105.89
183,2021-10-29,105.55
184,2021-10-28,105.21
185,2021-10-27,104.87
186,2021-10-26,104.53
187,2021-10-25,104.53
188,2021-10-24,104.53
189,2021-10-23,104.19
190,2021-10-22,103.85
191,2021-10-21,103.51
192,2021-10-20,103.18
193,2021-10-19,102.84
194,2021-10-18,102.84
195,2021-10-15,102.16
196,2021-10-14,101.82
197,2021-10-14,101.82
198,2021-10-13,101.48
199,2021-10-12,101.48
200,2021-10-11,101.48
201,2021-10-10,101.18
202,2021-10-09,100.89
203,2021-10-08,100.6
204,2021-10-07,100.31
205,2021-10-06,100.02
206,2021-10-05,99.73
207,2021-10-04,99.49
208,2021-10-03,99.49
209,2021-10-02,99.24
210,2021-10-01,99
211,2021-09-30,98.77
212,2021-09-29,98.54
213,2021-09-28,98.54
214,2021-09-27,98.36
215,2021-09-26,98.36
216,2021-09-25,98.36
217,2021-09-24,98.36
218,2021-09-23,98.36
219,2021-09-22,98.36
220,2021-09-21,98.36
221,2021-09-20,98.36
222,2021-09-19,98.36
223,2021-09-18,98.36
224,2021-09-17,98.36
225,2021-09-16,98.36
226,2021-09-15,98.36
227,2021-09-14,98.36
228,2021-09-13,98.36
229,2021-09-12,98.36
230,2021-09-11,98.36
231,2021-09-10,98.36
232,2021-09-09,98.36
233,2021-09-08,98.36
234,2021-09-07,98.36
235,2021-09-06,98.36
236,2021-09-05,98.36
237,2021-09-03,98.51
238,2021-09-02,98.51
239,2021-09-01,98.51
240,2021-08-31,98.67
241,2021-08-30,98.67
242,2021-08-29,98.67
243,2021-08-28,98.67
244,2021-08-27,98.67
245,2021-08-26,98.67
246,2021-08-25,98.67
247,2021-08-24,98.67
248,2021-08-23,98.81
249,2021-08-22,98.81
250,2021-08-21,98.97
251,2021-08-20,98.97
252,2021-08-19,98.97
253,2021-08-18,98.97
254,2021-08-17,98.97
255,2021-08-16,98.97
256,2021-08-15,98.97
257,2021-08-14,98.97
258,2021-08-13,98.97
259,2021-08-12,98.97
260,2021-08-11,98.97
261,2021-08-10,98.97
262,2021-08-09,98.97
263,2021-08-08,98.97
264,2021-08-07,98.97
265,2021-08-06,98.97
266,2021-08-05,98.97
267,2021-08-04,98.97
268,2021-08-03,98.97
269,2021-08-02,98.97
270,2021-08-01,98.97
271,2021-07-31,98.97
272,2021-07-30,98.97
273,2021-07-29,98.97
274,2021-07-28,98.97
275,2021-07-27,98.97
276,2021-07-26,98.97
277,2021-07-25,98.97
278,2021-07-24,98.97
279,2021-07-23,98.97
280,2021-07-22,98.97
281,2021-07-21,98.97
282,2021-07-20,98.97
283,2021-07-19,98.97
284,2021-07-18,98.97
285,2021-07-17,98.97
286,2021-07-16,98.68
287,2021-07-15,98.68
288,2021-07-14,98.34
289,2021-07-13,98.34
290,2021-07-12,98.34
291,2021-07-11,98.07
292,2021-07-10,98.07
293,2021-07-09,97.73
294,2021-07-08,97.73
295,2021-07-07,97.39
296,2021-07-06,97.05
297,2021-07-05,97.05
298,2021-07-04,96.71
299,2021-07-03,96.37
300,2021-07-02,96.37
301,2021-07-01,96.03
302,2021-06-30,96.03
303,2021-06-29,96.03
304,2021-06-28,95.69
305,2021-06-27,95.69
306,2021-06-26,95.35
307,2021-06-25,95.01
308,2021-06-24,95.01
309,2021-06-23,94.76
310,2021-06-22,94.76
311,2021-06-21,94.49
312,2021-06-20,94.49
313,2021-06-19,94.21
314,2021-06-18,94.21
315,2021-06-17,93.94
316,2021-06-16,93.94
317,2021-06-15,93.7
318,2021-06-14,93.7
319,2021-06-13,93.42
320,2021-06-12,93.42
321,2021-06-11,93.16
322,2021-06-10,92.88
323,2021-06-09,92.88
324,2021-06-08,92.63
325,2021-06-07,92.63
326,2021-06-06,92.36
327,2021-06-05,92.1
328,2021-06-04,92.1
329,2021-06-03,91.84
330,2021-06-02,91.84
331,2021-06-01,91.84
332,2021-05-31,91.58
333,2021-05-30,91.3
334,2021-05-29,91.3
335,2021-05-28,91.05
336,2021-05-27,91.05
337,2021-05-26,90.82
338,2021-05-25,90.82
339,2021-05-24,90.59
340,2021-05-23,90.59
341,2021-05-22,90.43
342,2021-05-21,90.43
343,2021-05-20,90.24
344,2021-05-19,90.24
345,2021-05-18,90.24
346,2021-05-17,89.98
347,2021-05-16,89.98
348,2021-05-15,89.75
349,2021-05-14,89.75
350,2021-05-13,89.47
351,2021-05-12,89.47
352,2021-05-11,89.23
353,2021-05-10,88.96
354,2021-05-09,88.71
355,2021-05-08,88.71
356,2021-05-07,88.71
357,2021-05-06,88.44
358,2021-05-05,88.2
359,2021-05-04,88.01
360,2021-05-03,87.84
361,2021-05-02,87.84
362,2021-05-01,87.84
363,2021-04-30,87.84
364,2021-04-29,87.84
