,date,price
0,2022-05-01,106.63
1,2022-04-30,106.63
2,2022-04-29,106.63
3,2022-04-28,106.63
4,2022-04-27,106.63
5,2022-04-26,106.63
6,2022-04-25,106.63
7,2022-04-24,106.63
8,2022-04-23,106.63
9,2022-04-22,106.63
10,2022-04-21,106.63
11,2022-04-20,106.63
12,2022-04-19,106.63
13,2022-04-18,106.63
14,2022-04-17,106.63
15,2022-04-16,106.63
16,2022-04-15,106.63
17,2022-04-14,106.63
18,2022-04-13,106.63
19,2022-04-12,106.63
20,2022-04-11,106.63
21,2022-04-10,106.63
22,2022-04-09,106.63
23,2022-04-08,106.63
24,2022-04-07,106.63
25,2022-04-06,106.63
26,2022-04-05,105.83
27,2022-04-04,105.03
28,2022-04-03,104.63
29,2022-04-02,103.83
30,2022-04-01,103.04
31,2022-03-31,103.04
32,2022-03-30,102.24
33,2022-03-29,101.44
34,2022-03-28,100.64
35,2022-03-27,100.34
36,2022-03-26,99.84
37,2022-03-25,99.09
38,2022-03-24,98.3
39,2022-03-23,98.3
40,2022-03-22,97.5
41,2022-03-21,96.7
42,2022-03-20,96.7
43,2022-03-19,96.7
44,2022-03-18,96.7
45,2022-03-17,96.7
46,2022-03-16,96.7
47,2022-03-15,96.7
48,2022-03-14,96.7
49,2022-03-13,96.7
50,2022-03-12,96.7
51,2022-03-11,96.7
52,2022-03-10,96.7
53,2022-03-09,96.7
54,2022-03-08,96.7
55,2022-03-07,96.7
56,2022-03-06,96.7
57,2022-03-05,96.7
58,2022-03-04,96.7
59,2022-03-03,96.7
60,2022-03-02,96.7
61,2022-03-01,96.7
62,2022-02-28,96.7
63,2022-02-27,96.7
64,2022-02-26,96.7
65,2022-02-25,96.7
66,2022-02-24,96.7
67,2022-02-23,96.7
68,2022-02-22,96.7
69,2022-02-21,96.7
70,2022-02-20,96.7
71,2022-02-19,96.7
72,2022-02-18,96.7
73,2022-02-17,96.7
74,2022-02-16,96.7
75,2022-02-15,96.7
76,2022-02-14,96.7
77,2022-02-13,96.7
78,2022-02-12,96.7
79,2022-02-11,96.7
80,2022-02-10,96.7
81,2022-02-09,96.7
82,2022-02-08,96.7
83,2022-02-07,96.7
84,2022-02-06,96.7
85,2022-02-05,96.7
86,2022-02-04,96.7
87,2022-02-03,96.7
88,2022-02-02,96.7
89,2022-02-01,96.7
90,2022-01-31,96.7
91,2022-01-30,96.7
92,2022-01-29,96.7
93,2022-01-28,96.7
94,2022-01-27,96.7
95,2022-01-26,96.7
96,2022-01-25,96.7
97,2022-01-24,96.7
98,2022-01-23,96.7
99,2022-01-22,96.7
100,2022-01-21,96.7
101,2022-01-20,96.7
102,2022-01-19,96.7
103,2022-01-18,96.7
104,2022-01-17,96.7
105,2022-01-16,96.7
106,2022-01-15,96.7
107,2022-01-14,96.7
108,2022-01-13,96.7
109,2022-01-12,96.7
110,2022-01-11,96.7
111,2022-01-10,96.7
112,2022-01-09,96.7
113,2022-01-08,96.7
114,2022-01-07,96.7
115,2022-01-06,96.7
116,2022-01-05,96.7
117,2022-01-04,96.7
118,2022-01-03,96.7
119,2022-01-02,96.7
120,2022-01-01,96.7
121,2021-12-31,96.7
122,2021-12-30,96.7
123,2021-12-29,96.7
124,2021-12-28,96.7
125,2021-12-27,96.7
126,2021-12-26,96.7
127,2021-12-25,96.7
128,2021-12-24,96.7
129,2021-12-23,96.7
130,2021-12-22,96.7
131,2021-12-21,96.7
132,2021-12-20,96.7
133,2021-12-19,96.7
134,2021-12-18,96.7
135,2021-12-17,96.7
136,2021-12-16,96.7
137,2021-12-15,96.7
138,2021-12-14,96.7
139,2021-12-13,96.7
140,2021-12-12,96.7
141,2021-12-11,96.7
142,2021-12-10,96.7
143,2021-12-09,96.7
144,2021-12-08,96.7
145,2021-12-07,96.7
146,2021-12-06,96.7
147,2021-12-05,96.7
148,2021-12-04,96.7
149,2021-12-03,96.7
150,2021-12-02,96.7
151,2021-11-30,96.7
152,2021-11-29,96.7
153,2021-11-28,96.7
154,2021-11-27,96.7
155,2021-11-26,96.7
156,2021-11-25,96.7
157,2021-11-24,96.7
158,2021-11-23,96.7
159,2021-11-22,96.7
160,2021-11-21,96.7
161,2021-11-20,96.7
162,2021-11-19,96.7
163,2021-11-18,96.7
164,2021-11-17,96.7
165,2021-11-16,96.7
166,2021-11-15,96.7
167,2021-11-14,96.7
168,2021-11-13,96.7
169,2021-11-12,96.7
170,2021-11-11,96.7
171,2021-11-10,96.7
172,2021-11-09,96.7
173,2021-11-08,96.7
174,2021-11-07,96.7
175,2021-11-06,96.7
176,2021-11-05,96.7
177,2021-11-04,102.56
178,2021-11-03,108.45
179,2021-11-02,108.45
180,2021-11-01,108.09
181,2021-10-31,107.64
182,2021-10-30,107.3
183,2021-10-29,106.96
184,2021-10-28,106.62
185,2021-10-27,106.28
186,2021-10-26,105.94
187,2021-10-25,105.94
188,2021-10-24,105.94
189,2021-10-23,105.6
190,2021-10-22,105.26
191,2021-10-21,104.92
192,2021-10-20,104.58
193,2021-10-19,104.24
194,2021-10-18,104.24
195,2021-10-15,103.56
196,2021-10-14,103.22
197,2021-10-13,102.88
198,2021-10-12,102.88
199,2021-10-11,102.88
200,2021-10-10,102.59
201,2021-10-09,102.3
202,2021-10-08,102.01
203,2021-10-07,101.72
204,2021-10-06,101.42
205,2021-10-05,101.13
206,2021-10-04,100.89
207,2021-10-03,100.89
208,2021-10-02,100.65
209,2021-10-01,100.4
210,2021-09-30,100.17
211,2021-09-29,99.94
212,2021-09-28,99.94
213,2021-09-27,99.76
214,2021-09-26,99.76
215,2021-09-25,99.76
216,2021-09-24,99.76
217,2021-09-23,99.76
218,2021-09-22,99.76
219,2021-09-21,99.76
220,2021-09-20,99.76
221,2021-09-19,99.76
222,2021-09-18,99.76
223,2021-09-17,99.76
224,2021-09-16,99.76
225,2021-09-15,99.76
226,2021-09-14,99.76
227,2021-09-13,99.76
228,2021-09-12,99.76
229,2021-09-11,99.76
230,2021-09-10,99.76
231,2021-09-09,99.76
232,2021-09-08,99.76
233,2021-09-07,99.76
234,2021-09-06,99.76
235,2021-09-05,99.76
236,2021-09-03,99.92
237,2021-09-02,99.92
238,2021-09-01,99.92
239,2021-08-31,100.07
240,2021-08-30,100.07
241,2021-08-29,100.07
242,2021-08-28,100.07
243,2021-08-27,100.07
244,2021-08-26,100.07
245,2021-08-25,100.07
246,2021-08-24,100.07
247,2021-08-23,100.21
248,2021-08-22,100.21
249,2021-08-21,100.24
250,2021-08-20,100.24
251,2021-08-19,100.24
252,2021-08-18,100.24
253,2021-08-17,100.24
254,2021-08-16,100.24
255,2021-08-15,100.24
256,2021-08-14,100.24
257,2021-08-13,100.24
258,2021-08-12,100.24
259,2021-08-11,100.24
260,2021-08-10,100.24
261,2021-08-09,100.24
262,2021-08-08,100.24
263,2021-08-07,100.24
264,2021-08-06,100.24
265,2021-08-05,100.24
266,2021-08-04,100.24
267,2021-08-03,100.24
268,2021-08-02,100.24
269,2021-08-01,100.24
270,2021-07-31,100.24
271,2021-07-30,100.24
272,2021-07-29,100.24
273,2021-07-28,100.24
274,2021-07-27,100.24
275,2021-07-26,100.24
276,2021-07-25,100.24
277,2021-07-24,100.24
278,2021-07-23,100.24
279,2021-07-22,100.24
280,2021-07-21,100.24
281,2021-07-20,100.24
282,2021-07-19,100.24
283,2021-07-18,100.24
284,2021-07-17,100.24
285,2021-07-16,99.94
286,2021-07-15,99.94
287,2021-07-14,99.6
288,2021-07-13,99.6
289,2021-07-12,99.6
290,2021-07-11,99.33
291,2021-07-10,99.33
292,2021-07-09,98.99
293,2021-07-08,98.99
294,2021-07-07,98.65
295,2021-07-06,98.31
296,2021-07-05,98.31
297,2021-07-04,97.97
298,2021-07-03,97.63
299,2021-07-02,97.63
300,2021-07-01,97.29
301,2021-06-30,97.29
302,2021-06-29,97.29
303,2021-06-28,96.95
304,2021-06-27,96.95
305,2021-06-26,96.61
306,2021-06-25,96.27
307,2021-06-24,96.27
308,2021-06-23,96.02
309,2021-06-22,96.02
310,2021-06-21,95.75
311,2021-06-20,95.75
312,2021-06-19,95.47
313,2021-06-18,95.47
314,2021-06-17,95.21
315,2021-06-16,95.21
316,2021-06-15,94.96
317,2021-06-14,94.96
318,2021-06-13,94.68
319,2021-06-12,94.68
320,2021-06-11,94.42
321,2021-06-10,94.14
322,2021-06-09,94.14
323,2021-06-08,93.9
324,2021-06-07,93.9
325,2021-06-06,93.62
326,2021-06-05,93.36
327,2021-06-04,93.36
328,2021-06-03,93.1
329,2021-06-02,93.1
330,2021-06-01,93.1
331,2021-05-31,92.85
332,2021-05-30,92.57
333,2021-05-29,92.57
334,2021-05-28,92.31
335,2021-05-27,92.31
336,2021-05-26,92.08
337,2021-05-25,92.08
338,2021-05-24,91.86
339,2021-05-23,91.86
340,2021-05-22,91.69
341,2021-05-21,91.69
342,2021-05-20,91.51
343,2021-05-19,91.51
344,2021-05-18,91.51
345,2021-05-17,91.24
346,2021-05-16,91.24
347,2021-05-15,91.01
348,2021-05-14,91.01
349,2021-05-13,90.73
350,2021-05-12,90.73
351,2021-05-11,90.49
352,2021-05-10,90.23
353,2021-05-09,89.97
354,2021-05-08,89.97
355,2021-05-07,89.97
356,2021-05-06,89.7
357,2021-05-05,89.46
358,2021-05-04,89.27
359,2021-05-03,88.99
360,2021-05-02,88.99
361,2021-05-01,88.99
362,2021-04-30,88.99
363,2021-04-29,88.99
364,2021-04-28,88.99
