,date,price
0,2022-05-01,105.67
1,2022-04-30,105.67
2,2022-04-29,105.67
3,2022-04-28,105.67
4,2022-04-27,105.67
5,2022-04-26,105.67
6,2022-04-25,105.67
7,2022-04-24,105.67
8,2022-04-23,105.67
9,2022-04-22,105.67
10,2022-04-21,105.67
11,2022-04-20,105.67
12,2022-04-19,105.67
13,2022-04-18,105.67
14,2022-04-17,105.67
15,2022-04-16,105.67
16,2022-04-15,105.67
17,2022-04-14,105.67
18,2022-04-13,105.67
19,2022-04-12,105.67
20,2022-04-11,105.67
21,2022-04-10,105.67
22,2022-04-09,105.67
23,2022-04-08,105.67
24,2022-04-07,105.67
25,2022-04-06,105.67
26,2022-04-05,104.87
27,2022-04-04,104.07
28,2022-04-03,103.67
29,2022-04-02,102.87
30,2022-04-01,102.08
31,2022-03-31,102.08
32,2022-03-30,101.28
33,2022-03-29,100.48
34,2022-03-28,99.68
35,2022-03-27,99.38
36,2022-03-26,98.88
37,2022-03-25,98.1
38,2022-03-24,97.31
39,2022-03-23,97.31
40,2022-03-22,96.51
41,2022-03-21,95.71
42,2022-03-20,95.71
43,2022-03-19,95.71
44,2022-03-18,95.71
45,2022-03-17,95.71
46,2022-03-16,95.71
47,2022-03-15,95.71
48,2022-03-14,95.71
49,2022-03-13,95.71
50,2022-03-12,95.71
51,2022-03-11,95.71
52,2022-03-10,95.71
53,2022-03-09,95.71
54,2022-03-08,95.71
55,2022-03-07,95.71
56,2022-03-06,95.71
57,2022-03-05,95.71
58,2022-03-04,95.71
59,2022-03-03,95.71
60,2022-03-02,95.71
61,2022-03-01,95.71
62,2022-02-28,95.71
63,2022-02-27,95.71
64,2022-02-26,95.71
65,2022-02-25,95.71
66,2022-02-24,95.71
67,2022-02-23,95.71
68,2022-02-22,95.71
69,2022-02-21,95.71
70,2022-02-20,95.71
71,2022-02-19,95.71
72,2022-02-18,95.71
73,2022-02-17,95.71
74,2022-02-16,95.71
75,2022-02-15,95.71
76,2022-02-14,95.71
77,2022-02-13,95.71
78,2022-02-12,95.71
79,2022-02-11,95.71
80,2022-02-10,95.71
81,2022-02-09,95.71
82,2022-02-08,95.71
83,2022-02-07,95.71
84,2022-02-06,95.71
85,2022-02-05,95.71
86,2022-02-04,95.71
87,2022-02-03,95.71
88,2022-02-02,95.71
89,2022-02-01,95.71
90,2022-01-31,95.71
91,2022-01-30,95.71
92,2022-01-29,95.71
93,2022-01-28,95.71
94,2022-01-27,95.71
95,2022-01-26,95.71
96,2022-01-25,95.71
97,2022-01-24,95.71
98,2022-01-23,95.71
99,2022-01-22,95.71
100,2022-01-21,95.71
101,2022-01-20,95.71
102,2022-01-19,95.71
103,2022-01-18,95.71
104,2022-01-17,95.71
105,2022-01-16,95.71
106,2022-01-15,95.71
107,2022-01-14,95.71
108,2022-01-13,95.71
109,2022-01-12,95.71
110,2022-01-11,95.71
111,2022-01-10,95.71
112,2022-01-09,95.71
113,2022-01-08,95.71
114,2022-01-07,95.71
115,2022-01-06,95.71
116,2022-01-05,95.71
117,2022-01-04,95.71
118,2022-01-03,95.71
119,2022-01-02,95.71
120,2022-01-01,95.71
121,2021-12-31,95.71
122,2021-12-30,95.71
123,2021-12-29,95.71
124,2021-12-28,95.71
125,2021-12-27,95.71
126,2021-12-26,95.71
127,2021-12-25,95.71
128,2021-12-24,95.71
129,2021-12-23,95.71
130,2021-12-22,95.71
131,2021-12-21,95.71
132,2021-12-20,95.71
133,2021-12-19,95.71
134,2021-12-18,95.71
135,2021-12-17,95.71
136,2021-12-16,95.71
137,2021-12-15,95.71
138,2021-12-14,95.71
139,2021-12-13,95.71
140,2021-12-12,95.71
141,2021-12-11,95.71
142,2021-12-10,95.71
143,2021-12-09,95.71
144,2021-12-08,95.71
145,2021-12-07,95.71
146,2021-12-06,95.71
147,2021-12-05,95.71
148,2021-12-04,95.71
149,2021-12-03,95.71
150,2021-12-02,95.71
151,2021-11-30,95.71
152,2021-11-29,95.71
153,2021-11-28,95.71
154,2021-11-27,95.71
155,2021-11-26,95.71
156,2021-11-25,95.71
157,2021-11-24,95.71
158,2021-11-23,95.71
159,2021-11-22,95.71
160,2021-11-21,95.71
161,2021-11-20,95.71
162,2021-11-19,95.71
163,2021-11-18,95.71
164,2021-11-17,95.71
165,2021-11-16,95.71
166,2021-11-15,95.71
167,2021-11-14,95.71
168,2021-11-13,95.71
169,2021-11-12,95.71
170,2021-11-11,95.71
171,2021-11-10,95.71
172,2021-11-09,95.71
173,2021-11-08,95.71
174,2021-11-07,95.71
175,2021-11-06,95.71
176,2021-11-05,95.71
177,2021-11-04,101.51
178,2021-11-03,107.4
179,2021-11-02,107.4
180,2021-11-01,107.04
181,2021-10-31,106.65
182,2021-10-30,106.31
183,2021-10-29,105.97
184,2021-10-28,105.63
185,2021-10-27,105.29
186,2021-10-26,104.95
187,2021-10-25,104.95
188,2021-10-24,104.95
189,2021-10-23,104.61
190,2021-10-22,104.27
191,2021-10-21,103.93
192,2021-10-20,103.59
193,2021-10-19,103.25
194,2021-10-18,103.25
195,2021-10-15,102.57
196,2021-10-14,102.23
197,2021-10-13,101.89
198,2021-10-12,101.89
199,2021-10-11,101.89
200,2021-10-10,101.6
201,2021-10-09,101.31
202,2021-10-08,101.02
203,2021-10-07,100.72
204,2021-10-06,100.43
205,2021-10-05,100.14
206,2021-10-04,99.9
207,2021-10-03,99.9
208,2021-10-02,99.66
209,2021-10-01,99.41
210,2021-09-30,99.18
211,2021-09-29,98.95
212,2021-09-28,98.95
213,2021-09-27,98.77
214,2021-09-26,98.77
215,2021-09-25,98.77
216,2021-09-24,98.77
217,2021-09-23,98.77
218,2021-09-22,98.77
219,2021-09-21,98.77
220,2021-09-20,98.77
221,2021-09-19,98.77
222,2021-09-18,98.77
223,2021-09-17,98.77
224,2021-09-16,98.77
225,2021-09-15,98.77
