,date,price
0,2022-05-01,106.08
1,2022-04-30,106.08
2,2022-04-29,106.08
3,2022-04-28,106.08
4,2022-04-27,106.08
5,2022-04-26,106.08
6,2022-04-25,106.08
7,2022-04-24,106.08
8,2022-04-23,106.08
9,2022-04-22,106.08
10,2022-04-21,106.08
11,2022-04-20,106.08
12,2022-04-19,106.08
13,2022-04-18,106.08
14,2022-04-17,106.08
15,2022-04-16,106.08
16,2022-04-15,106.08
17,2022-04-14,106.08
18,2022-04-13,106.08
19,2022-04-12,106.08
20,2022-04-11,106.08
21,2022-04-10,106.08
22,2022-04-09,106.08
23,2022-04-08,106.08
24,2022-04-07,106.08
25,2022-04-06,106.08
26,2022-04-05,105.28
27,2022-04-04,104.48
28,2022-04-03,104.09
29,2022-04-02,103.29
30,2022-04-01,102.49
31,2022-03-31,102.49
32,2022-03-30,101.69
33,2022-03-29,100.89
34,2022-03-28,100.05
35,2022-03-27,99.75
36,2022-03-26,99.25
37,2022-03-25,98.48
38,2022-03-24,97.68
39,2022-03-23,97.68
40,2022-03-22,96.88
41,2022-03-21,96.09
42,2022-03-20,96.09
43,2022-03-19,96.09
44,2022-03-18,96.09
45,2022-03-17,96.09
46,2022-03-16,96.09
47,2022-03-15,96.09
48,2022-03-14,96.09
49,2022-03-13,96.09
50,2022-03-12,96.09
51,2022-03-11,96.09
52,2022-03-10,96.09
53,2022-03-09,96.09
54,2022-03-08,96.09
55,2022-03-07,96.09
56,2022-03-06,96.09
57,2022-03-05,96.09
58,2022-03-04,96.09
59,2022-03-03,96.09
60,2022-03-02,96.09
61,2022-03-01,96.09
62,2022-02-28,96.09
63,2022-02-27,96.09
64,2022-02-26,96.09
65,2022-02-25,96.09
66,2022-02-24,96.09
67,2022-02-23,96.09
68,2022-02-22,96.09
69,2022-02-21,96.09
70,2022-02-20,96.09
71,2022-02-19,96.09
72,2022-02-18,96.09
73,2022-02-17,96.09
74,2022-02-16,96.09
75,2022-02-15,96.09
76,2022-02-14,96.09
77,2022-02-13,96.09
78,2022-02-12,96.09
79,2022-02-11,96.09
80,2022-02-10,96.09
81,2022-02-09,96.09
82,2022-02-08,96.09
83,2022-02-07,96.09
84,2022-02-06,96.09
85,2022-02-05,96.09
86,2022-02-04,96.09
87,2022-02-03,96.09
88,2022-02-02,96.09
89,2022-02-01,96.09
90,2022-01-31,96.09
91,2022-01-30,96.09
92,2022-01-29,96.09
93,2022-01-28,96.09
94,2022-01-27,96.09
95,2022-01-26,96.09
96,2022-01-25,96.09
97,2022-01-24,96.09
98,2022-01-23,96.09
99,2022-01-22,96.09
100,2022-01-21,96.09
101,2022-01-20,96.09
102,2022-01-19,96.09
103,2022-01-18,96.09
104,2022-01-17,96.09
105,2022-01-16,96.09
106,2022-01-15,96.09
107,2022-01-14,96.09
108,2022-01-13,96.09
109,2022-01-12,96.09
110,2022-01-11,96.09
111,2022-01-10,96.09
112,2022-01-09,96.09
113,2022-01-08,96.09
114,2022-01-07,96.09
