,date,price
0,2022-05-01,106.47
1,2022-04-30,106.47
2,2022-04-29,106.47
3,2022-04-28,106.47
4,2022-04-27,106.47
5,2022-04-26,106.47
6,2022-04-25,106.47
7,2022-04-24,106.47
8,2022-04-23,106.47
9,2022-04-22,106.47
10,2022-04-21,106.47
11,2022-04-20,106.47
12,2022-04-19,106.47
13,2022-04-18,106.47
14,2022-04-17,106.47
15,2022-04-16,106.47
16,2022-04-15,106.47
17,2022-04-14,106.47
18,2022-04-13,106.47
19,2022-04-12,106.47
20,2022-04-11,106.47
21,2022-04-10,106.47
22,2022-04-09,106.47
23,2022-04-08,106.47
24,2022-04-07,106.47
25,2022-04-06,106.47
26,2022-04-05,105.68
27,2022-04-04,104.88
28,2022-04-03,104.48
29,2022-04-02,103.68
30,2022-04-01,102.88
31,2022-03-31,102.88
32,2022-03-30,102.09
33,2022-03-29,101.29
34,2022-03-28,100.49
35,2022-03-27,100.19
36,2022-03-26,99.69
37,2022-03-25,98.05
38,2022-03-24,97.25
39,2022-03-23,97.25
40,2022-03-22,96.45
41,2022-03-21,95.66
42,2022-03-20,95.66
43,2022-03-19,95.66
44,2022-03-18,95.66
45,2022-03-17,95.66
46,2022-03-16,95.66
47,2022-03-15,95.66
48,2022-03-14,95.66
49,2022-03-13,95.66
50,2022-03-12,95.66
51,2022-03-11,95.66
52,2022-03-10,95.66
53,2022-03-09,95.66
54,2022-03-08,95.66
55,2022-03-07,95.66
56,2022-03-06,95.66
57,2022-03-05,95.66
58,2022-03-04,95.66
59,2022-03-03,95.66
60,2022-03-02,95.66
61,2022-03-01,95.66
62,2022-02-28,95.66
63,2022-02-27,95.66
64,2022-02-26,95.66
65,2022-02-25,95.66
66,2022-02-24,95.66
67,2022-02-23,95.66
68,2022-02-22,95.66
69,2022-02-21,95.66
70,2022-02-20,95.66
71,2022-02-19,95.66
72,2022-02-18,95.66
73,2022-02-17,95.66
74,2022-02-16,95.66
75,2022-02-15,95.66
76,2022-02-14,95.66
77,2022-02-13,95.66
78,2022-02-12,95.66
79,2022-02-11,95.66
80,2022-02-10,95.66
81,2022-02-09,95.66
82,2022-02-08,95.66
83,2022-02-07,95.66
84,2022-02-06,95.66
85,2022-02-05,95.66
86,2022-02-04,95.66
87,2022-02-03,95.66
88,2022-02-02,95.66
89,2022-02-01,95.66
90,2022-01-31,95.66
91,2022-01-30,95.66
92,2022-01-29,95.66
93,2022-01-28,95.66
94,2022-01-27,95.66
95,2022-01-26,95.66
96,2022-01-25,95.66
97,2022-01-24,95.66
98,2022-01-23,95.66
99,2022-01-22,95.66
100,2022-01-21,95.66
101,2022-01-20,95.66
102,2022-01-19,95.66
103,2022-01-18,95.66
104,2022-01-17,95.66
105,2022-01-16,95.66
106,2022-01-15,95.66
107,2022-01-14,95.66
108,2022-01-13,95.66
109,2022-01-12,95.66
110,2022-01-11,95.66
111,2022-01-10,95.66
112,2022-01-09,95.66
113,2022-01-08,95.66
114,2022-01-07,95.66
115,2022-01-06,95.66
116,2022-01-05,95.66
117,2022-01-04,95.66
118,2022-01-03,95.66
119,2022-01-02,95.66
120,2022-01-01,95.66
121,2021-12-31,95.66
122,2021-12-30,95.66
123,2021-12-29,95.66
124,2021-12-28,95.66
125,2021-12-27,95.66
126,2021-12-26,95.66
127,2021-12-25,95.66
128,2021-12-24,95.66
129,2021-12-23,95.66
130,2021-12-22,95.66
131,2021-12-21,95.66
132,2021-12-20,95.66
133,2021-12-19,95.66
134,2021-12-18,95.66
135,2021-12-17,95.66
136,2021-12-16,95.66
137,2021-12-15,95.66
138,2021-12-14,95.66
139,2021-12-13,95.66
140,2021-12-12,95.66
141,2021-12-11,95.66
142,2021-12-10,95.66
143,2021-12-09,95.66
144,2021-12-08,95.66
145,2021-12-07,95.66
146,2021-12-06,95.66
147,2021-12-05,95.66
148,2021-12-04,95.66
149,2021-12-03,95.66
150,2021-12-02,95.66
151,2021-11-30,95.66
152,2021-11-29,95.66
153,2021-11-28,95.66
154,2021-11-27,95.66
155,2021-11-26,95.66
156,2021-11-25,95.66
157,2021-11-24,95.66
158,2021-11-23,95.66
159,2021-11-22,95.66
160,2021-11-21,95.66
161,2021-11-20,95.66
162,2021-11-19,95.66
163,2021-11-18,95.66
164,2021-11-17,95.66
165,2021-11-16,95.66
166,2021-11-15,95.66
167,2021-11-14,95.66
168,2021-11-13,95.66
169,2021-11-12,95.66
170,2021-11-11,95.66
171,2021-11-10,95.66
172,2021-11-09,95.66
173,2021-11-08,95.66
174,2021-11-07,95.66
175,2021-11-06,95.66
