,date,price
0,2022-05-01,105.89
1,2022-04-30,105.89
2,2022-04-29,105.89
3,2022-04-28,105.89
4,2022-04-27,105.89
5,2022-04-26,105.89
6,2022-04-25,105.89
7,2022-04-24,105.89
8,2022-04-23,105.89
9,2022-04-22,105.89
10,2022-04-21,105.89
11,2022-04-20,105.89
12,2022-04-19,105.89
13,2022-04-18,105.89
14,2022-04-17,105.89
15,2022-04-16,105.89
16,2022-04-15,105.89
17,2022-04-14,105.89
18,2022-04-13,105.89
19,2022-04-12,105.89
20,2022-04-11,105.89
21,2022-04-10,105.89
22,2022-04-09,105.89
23,2022-04-08,105.89
24,2022-04-07,105.89
25,2022-04-06,105.89
26,2022-04-05,105.09
27,2022-04-04,104.3
28,2022-04-03,103.9
29,2022-04-02,103.1
30,2022-04-01,102.3
31,2022-03-31,102.3
32,2022-03-30,101.5
33,2022-03-29,100.7
34,2022-03-28,99.91
35,2022-03-27,99.61
36,2022-03-26,99.11
37,2022-03-25,98.34
38,2022-03-24,97.54
39,2022-03-23,97.54
40,2022-03-22,96.74
41,2022-03-21,95.94
42,2022-03-20,95.94
43,2022-03-19,95.94
44,2022-03-18,95.94
45,2022-03-17,95.94
46,2022-03-16,95.94
47,2022-03-15,95.94
48,2022-03-14,95.94
49,2022-03-13,95.94
50,2022-03-12,95.94
51,2022-03-11,95.94
52,2022-03-10,95.94
53,2022-03-09,95.94
54,2022-03-08,95.94
55,2022-03-07,95.94
56,2022-03-06,95.94
57,2022-03-05,95.94
58,2022-03-04,95.94
59,2022-03-03,95.94
60,2022-03-02,95.94
61,2022-03-01,95.94
62,2022-02-28,95.94
63,2022-02-27,95.94
64,2022-02-26,95.94
65,2022-02-25,95.94
66,2022-02-24,95.94
67,2022-02-23,95.94
68,2022-02-22,95.94
69,2022-02-21,95.94
70,2022-02-20,95.94
71,2022-02-19,95.94
72,2022-02-18,95.94
73,2022-02-17,95.94
74,2022-02-16,95.94
75,2022-02-15,95.94
76,2022-02-14,95.94
77,2022-02-13,95.94
78,2022-02-12,95.94
79,2022-02-11,95.94
80,2022-02-10,95.94
81,2022-02-09,95.94
82,2022-02-08,95.94
83,2022-02-07,95.94
84,2022-02-06,95.94
85,2022-02-05,95.94
86,2022-02-04,95.94
87,2022-02-03,95.94
88,2022-02-02,95.94
89,2022-02-01,95.94
90,2022-01-31,95.94
91,2022-01-30,95.94
92,2022-01-29,95.94
93,2022-01-28,95.94
94,2022-01-27,95.94
95,2022-01-26,95.94
96,2022-01-25,95.94
97,2022-01-24,95.94
98,2022-01-23,95.94
99,2022-01-22,95.94
100,2022-01-21,95.94
101,2022-01-20,95.94
102,2022-01-19,95.94
103,2022-01-18,95.94
104,2022-01-17,95.94
105,2022-01-16,95.94
106,2022-01-15,95.94
107,2022-01-14,95.94
108,2022-01-13,95.94
109,2022-01-12,95.94
110,2022-01-11,95.94
111,2022-01-10,95.94
112,2022-01-09,95.94
113,2022-01-08,95.94
114,2022-01-07,95.94
115,2022-01-06,95.94
116,2022-01-05,95.94
117,2022-01-04,95.94
118,2022-01-03,95.94
119,2022-01-02,95.94
120,2022-01-01,95.94
121,2021-12-31,95.94
122,2021-12-30,95.94
123,2021-12-29,95.94
124,2021-12-28,95.94
125,2021-12-27,95.94
126,2021-12-26,95.94
127,2021-12-25,95.94
128,2021-12-24,95.94
129,2021-12-23,95.94
130,2021-12-22,95.94
131,2021-12-21,95.94
132,2021-12-20,95.94
133,2021-12-19,95.94
134,2021-12-18,95.94
135,2021-12-17,95.94
136,2021-12-16,95.94
137,2021-12-15,95.94
138,2021-12-14,95.94
139,2021-12-13,95.94
140,2021-12-12,95.94
141,2021-12-11,95.94
142,2021-12-10,95.94
143,2021-12-09,95.94
144,2021-12-08,95.94
145,2021-12-07,95.94
146,2021-12-06,95.94
147,2021-12-05,95.94
148,2021-12-04,95.94
149,2021-12-03,95.94
150,2021-12-02,95.94
151,2021-11-30,95.94
152,2021-11-29,95.94
153,2021-11-28,95.94
154,2021-11-27,95.94
155,2021-11-26,95.94
156,2021-11-25,95.94
157,2021-11-24,95.94
158,2021-11-23,95.94
159,2021-11-22,95.94
160,2021-11-21,95.94
161,2021-11-20,95.94
162,2021-11-19,95.94
163,2021-11-18,95.94
164,2021-11-17,95.94
165,2021-11-16,95.94
166,2021-11-15,95.94
167,2021-11-14,95.94
168,2021-11-13,95.94
169,2021-11-12,95.94
170,2021-11-11,95.94
171,2021-11-10,95.94
172,2021-11-09,95.94
173,2021-11-08,95.94
174,2021-11-07,95.94
175,2021-11-06,95.94
176,2021-11-05,95.94
177,2021-11-04,101.76
178,2021-11-03,107.65
179,2021-11-02,107.65
180,2021-11-01,107.29
181,2021-10-31,106.88
182,2021-10-30,106.54
183,2021-10-29,106.2
184,2021-10-28,105.86
185,2021-10-27,105.52
186,2021-10-26,105.18
187,2021-10-25,105.18
188,2021-10-24,105.18
189,2021-10-23,104.84
190,2021-10-22,104.5
191,2021-10-21,104.16
192,2021-10-20,103.82
193,2021-10-19,103.48
194,2021-10-18,103.48
195,2021-10-15,102.8
196,2021-10-14,102.46
197,2021-10-13,102.12
198,2021-10-12,102.12
199,2021-10-11,102.12
200,2021-10-10,101.83
201,2021-10-09,101.54
202,2021-10-08,101.25
203,2021-10-07,100.96
204,2021-10-06,100.67
205,2021-10-05,100.37
206,2021-10-04,100.13
207,2021-10-03,100.13
208,2021-10-02,99.89
209,2021-10-01,99.65
210,2021-09-30,99.42
211,2021-09-29,99.19
212,2021-09-28,99.19
213,2021-09-27,99.01
214,2021-09-26,99.01
215,2021-09-25,99.01
216,2021-09-24,99.01
217,2021-09-23,99.01
218,2021-09-22,99.01
219,2021-09-21,99.01
220,2021-09-20,99.01
221,2021-09-19,99.01
222,2021-09-18,99.01
223,2021-09-17,99.01
224,2021-09-16,99.01
225,2021-09-15,99.01
226,2021-09-14,99.01
227,2021-09-13,99.01
228,2021-09-12,99.01
229,2021-09-11,99.01
230,2021-09-10,99.01
231,2021-09-09,99.01
232,2021-09-08,99.01
233,2021-09-07,99.01
234,2021-09-06,99.01
235,2021-09-05,99.01
236,2021-09-03,99.16
237,2021-09-02,99.16
238,2021-09-01,99.16
239,2021-08-31,99.32
240,2021-08-30,99.32
241,2021-08-29,99.32
242,2021-08-28,99.32
243,2021-08-27,99.32
244,2021-08-26,99.32
245,2021-08-25,99.32
246,2021-08-24,99.32
247,2021-08-23,99.45
248,2021-08-22,99.45
249,2021-08-21,99.55
250,2021-08-20,99.55
251,2021-08-19,99.55
252,2021-08-18,99.55
253,2021-08-17,99.55
254,2021-08-16,99.55
255,2021-08-15,99.55
256,2021-08-14,99.55
257,2021-08-13,99.55
258,2021-08-12,99.55
259,2021-08-11,99.55
260,2021-08-10,99.55
261,2021-08-09,99.55
262,2021-08-08,99.55
263,2021-08-07,99.55
264,2021-08-06,99.55
265,2021-08-05,99.55
266,2021-08-04,99.55
267,2021-08-03,99.55
268,2021-08-02,99.55
269,2021-08-01,99.55
270,2021-07-31,99.55
271,2021-07-30,99.55
272,2021-07-29,99.55
273,2021-07-28,99.55
274,2021-07-27,99.55
275,2021-07-26,99.55
276,2021-07-25,99.55
277,2021-07-24,99.55
278,2021-07-23,99.55
279,2021-07-22,99.55
280,2021-07-21,99.55
281,2021-07-20,99.55
282,2021-07-19,99.55
283,2021-07-18,99.55
284,2021-07-17,99.55
285,2021-07-16,99.25
286,2021-07-15,99.25
287,2021-07-14,98.91
288,2021-07-13,98.91
289,2021-07-12,98.91
290,2021-07-11,98.64
291,2021-07-10,98.64
292,2021-07-09,98.3
293,2021-07-08,98.3
294,2021-07-07,97.96
295,2021-07-06,97.62
296,2021-07-05,97.62
297,2021-07-04,97.28
298,2021-07-03,96.94
299,2021-07-02,96.94
300,2021-07-01,96.6
301,2021-06-30,96.6
302,2021-06-29,96.6
303,2021-06-28,96.26
304,2021-06-27,96.26
305,2021-06-26,95.92
306,2021-06-25,95.58
307,2021-06-24,95.58
308,2021-06-23,95.33
309,2021-06-22,95.33
310,2021-06-21,95.06
311,2021-06-20,95.06
312,2021-06-19,94.78
313,2021-06-18,94.78
314,2021-06-17,94.52
315,2021-06-16,94.52
316,2021-06-15,94.27
317,2021-06-14,94.27
318,2021-06-13,93.99
319,2021-06-12,93.99
320,2021-06-11,93.73
321,2021-06-10,93.45
322,2021-06-09,93.45
323,2021-06-08,93.21
324,2021-06-07,93.21
325,2021-06-06,92.93
326,2021-06-05,92.67
327,2021-06-04,92.67
328,2021-06-03,92.41
329,2021-06-02,92.41
330,2021-06-01,92.41
331,2021-05-31,92.16
332,2021-05-30,91.88
333,2021-05-29,91.88
334,2021-05-28,91.62
335,2021-05-27,91.62
336,2021-05-26,91.39
337,2021-05-25,91.39
338,2021-05-24,91.17
339,2021-05-23,91.17
340,2021-05-22,91
341,2021-05-21,91
342,2021-05-20,90.82
343,2021-05-19,90.82
344,2021-05-18,90.82
345,2021-05-17,90.56
346,2021-05-16,90.56
347,2021-05-15,90.32
348,2021-05-14,90.32
349,2021-05-13,90.04
350,2021-05-12,90.04
351,2021-05-11,89.8
352,2021-05-10,89.54
353,2021-05-09,89.28
354,2021-05-08,89.28
355,2021-05-07,89.28
356,2021-05-06,89.01
357,2021-05-05,88.77
358,2021-05-04,88.58
359,2021-05-03,88.36
360,2021-05-02,88.36
361,2021-05-01,88.36
362,2021-04-30,88.36
363,2021-04-29,88.36
364,2021-04-28,88.36
