,date,price
0,2022-05-01,105.58
1,2022-04-30,105.58
2,2022-04-29,105.58
3,2022-04-28,105.58
4,2022-04-27,105.58
5,2022-04-26,105.58
6,2022-04-25,105.58
7,2022-04-24,105.58
8,2022-04-23,105.58
9,2022-04-22,105.58
10,2022-04-21,105.58
11,2022-04-20,105.58
12,2022-04-19,105.58
13,2022-04-18,105.58
14,2022-04-17,105.58
15,2022-04-16,105.58
16,2022-04-15,105.58
17,2022-04-14,105.58
18,2022-04-13,105.58
19,2022-04-12,105.58
20,2022-04-11,105.58
21,2022-04-10,105.58
22,2022-04-09,105.58
23,2022-04-08,105.58
24,2022-04-07,105.58
25,2022-04-06,105.58
26,2022-04-05,104.79
27,2022-04-04,104.01
28,2022-04-03,103.62
29,2022-04-02,102.83
30,2022-04-01,102.04
31,2022-03-31,102.04
32,2022-03-30,101.26
33,2022-03-29,100.47
34,2022-03-28,99.69
35,2022-03-27,99.39
36,2022-03-26,98.9
37,2022-03-25,98.12
38,2022-03-24,97.33
39,2022-03-23,97.33
40,2022-03-22,96.55
41,2022-03-21,95.76
42,2022-03-20,95.76
43,2022-03-19,95.76
44,2022-03-18,95.76
45,2022-03-17,95.76
46,2022-03-16,95.76
47,2022-03-15,95.76
48,2022-03-14,95.76
49,2022-03-13,95.76
50,2022-03-12,95.76
51,2022-03-11,95.76
52,2022-03-10,95.76
53,2022-03-09,95.76
54,2022-03-08,95.76
55,2022-03-07,95.76
56,2022-03-06,95.76
57,2022-03-05,95.76
58,2022-03-04,95.76
59,2022-03-03,95.76
60,2022-03-02,95.76
61,2022-03-01,95.76
62,2022-02-28,95.76
63,2022-02-27,95.76
64,2022-02-26,95.76
65,2022-02-25,95.76
66,2022-02-24,95.76
67,2022-02-23,95.76
68,2022-02-22,95.76
69,2022-02-21,95.76
70,2022-02-20,95.76
71,2022-02-19,95.76
72,2022-02-18,95.76
73,2022-02-17,95.76
74,2022-02-16,95.76
75,2022-02-15,95.76
76,2022-02-14,95.76
77,2022-02-13,95.76
78,2022-02-12,95.76
79,2022-02-11,95.76
80,2022-02-10,95.76
81,2022-02-09,95.76
82,2022-02-08,95.76
83,2022-02-07,95.76
84,2022-02-06,95.76
85,2022-02-05,95.76
86,2022-02-04,95.76
87,2022-02-03,95.76
