,date,price
0,2022-05-01,104.82
1,2022-04-30,104.82
2,2022-04-29,104.82
3,2022-04-28,104.82
4,2022-04-27,104.82
5,2022-04-26,104.82
6,2022-04-25,104.82
7,2022-04-24,104.82
8,2022-04-23,104.82
9,2022-04-22,104.82
10,2022-04-21,104.82
11,2022-04-20,104.82
12,2022-04-19,104.82
13,2022-04-18,104.82
14,2022-04-17,104.82
15,2022-04-16,104.82
16,2022-04-15,104.82
17,2022-04-14,104.82
18,2022-04-13,104.82
19,2022-04-12,104.82
20,2022-04-11,104.82
21,2022-04-10,104.82
22,2022-04-09,104.82
23,2022-04-08,104.82
24,2022-04-07,104.82
25,2022-04-06,104.82
26,2022-04-05,104.03
27,2022-04-04,103.25
28,2022-04-03,102.85
29,2022-04-02,102.07
30,2022-04-01,101.28
31,2022-03-31,101.28
32,2022-03-30,100.5
33,2022-03-29,99.71
34,2022-03-28,98.92
35,2022-03-27,98.63
36,2022-03-26,98.14
37,2022-03-25,97.39
38,2022-03-24,96.61
39,2022-03-23,96.61
40,2022-03-22,95.82
41,2022-03-21,95.04
42,2022-03-20,95.04
43,2022-03-19,95.04
44,2022-03-18,95.04
45,2022-03-17,95.04
46,2022-03-16,95.04
47,2022-03-15,95.04
48,2022-03-14,95.04
49,2022-03-13,95.04
50,2022-03-12,95.04
51,2022-03-11,95.04
52,2022-03-10,95.04
53,2022-03-09,95.04
54,2022-03-08,95.04
55,2022-03-07,95.04
56,2022-03-06,95.04
57,2022-03-05,95.04
58,2022-03-04,95.04
59,2022-03-03,95.04
60,2022-03-02,95.04
61,2022-03-01,95.04
62,2022-02-28,95.04
63,2022-02-27,95.04
64,2022-02-26,95.04
65,2022-02-25,95.04
66,2022-02-24,95.04
67,2022-02-23,95.04
68,2022-02-22,95.04
69,2022-02-21,95.04
70,2022-02-20,95.04
71,2022-02-19,95.04
72,2022-02-18,95.04
73,2022-02-17,95.04
74,2022-02-16,95.04
75,2022-02-15,95.04
76,2022-02-14,95.04
77,2022-02-13,95.04
78,2022-02-12,95.04
79,2022-02-11,95.04
80,2022-02-10,95.04
81,2022-02-09,95.04
82,2022-02-08,95.04
83,2022-02-07,95.04
84,2022-02-06,95.04
85,2022-02-05,95.04
86,2022-02-04,95.04
87,2022-02-03,95.04
88,2022-02-02,95.04
89,2022-02-01,95.04
90,2022-01-31,95.04
91,2022-01-30,95.04
92,2022-01-29,95.04
93,2022-01-28,95.04
94,2022-01-27,95.04
95,2022-01-26,95.04
96,2022-01-25,95.04
97,2022-01-24,95.04
98,2022-01-23,95.04
99,2022-01-22,95.04
100,2022-01-21,95.04
101,2022-01-20,95.04
102,2022-01-19,95.04
103,2022-01-18,95.04
104,2022-01-17,95.04
105,2022-01-16,95.04
106,2022-01-15,95.04
107,2022-01-14,95.04
108,2022-01-13,95.04
109,2022-01-12,95.04
110,2022-01-11,95.04
111,2022-01-10,95.04
112,2022-01-09,95.04
113,2022-01-08,95.04
114,2022-01-07,95.04
115,2022-01-06,95.04
116,2022-01-05,95.04
117,2022-01-04,95.04
118,2022-01-03,95.04
119,2022-01-02,95.04
120,2022-01-01,95.04
121,2021-12-31,95.04
122,2021-12-30,95.04
123,2021-12-29,95.04
124,2021-12-28,95.04
125,2021-12-27,95.04
126,2021-12-26,95.04
127,2021-12-25,95.04
128,2021-12-24,95.04
129,2021-12-23,95.04
130,2021-12-22,95.04
131,2021-12-21,95.04
132,2021-12-20,95.04
133,2021-12-19,95.04
134,2021-12-18,95.04
135,2021-12-17,95.04
136,2021-12-16,95.04
137,2021-12-15,95.04
138,2021-12-14,95.04
139,2021-12-13,95.04
140,2021-12-12,95.04
141,2021-12-11,95.04
142,2021-12-10,95.04
143,2021-12-09,95.04
144,2021-12-08,95.04
145,2021-12-07,95.04
146,2021-12-06,95.04
