,date,price
0,2022-05-01,109.6
1,2022-04-30,109.6
2,2022-04-29,109.6
3,2022-04-28,109.6
4,2022-04-27,109.6
5,2022-04-26,109.6
6,2022-04-25,109.6
7,2022-04-24,109.6
8,2022-04-23,109.6
9,2022-04-22,109.6
10,2022-04-21,109.6
11,2022-04-20,109.6
12,2022-04-19,109.6
13,2022-04-18,109.6
14,2022-04-17,109.6
15,2022-04-16,109.6
16,2022-04-15,109.6
17,2022-04-14,109.6
18,2022-04-13,109.6
19,2022-04-12,109.6
20,2022-04-11,109.6
21,2022-04-10,109.6
22,2022-04-09,109.6
23,2022-04-08,109.6
24,2022-04-07,109.6
25,2022-04-06,109.6
26,2022-04-05,108.78
27,2022-04-04,107.95
28,2022-04-03,107.53
29,2022-04-02,106.7
30,2022-04-01,105.87
31,2022-03-31,105.87
32,2022-03-30,105.04
33,2022-03-29,104.21
34,2022-03-28,103.38
35,2022-03-27,103.07
36,2022-03-26,102.55
37,2022-03-25,101.8
38,2022-03-24,100.97
39,2022-03-23,100.97
40,2022-03-22,100.14
41,2022-03-21,99.31
42,2022-03-20,99.31
43,2022-03-19,99.31
44,2022-03-18,99.31
45,2022-03-17,99.31
46,2022-03-16,99.31
47,2022-03-15,99.31
48,2022-03-14,99.31
49,2022-03-13,99.31
50,2022-03-12,99.31
51,2022-03-11,99.31
52,2022-03-10,99.31
53,2022-03-09,99.31
54,2022-03-08,99.31
55,2022-03-07,99.31
56,2022-03-06,99.31
57,2022-03-05,99.31
58,2022-03-04,99.31
59,2022-03-03,99.31
60,2022-03-02,99.31
61,2022-03-01,99.31
62,2022-02-28,99.31
63,2022-02-27,99.31
64,2022-02-26,99.31
65,2022-02-25,99.31
66,2022-02-24,99.31
67,2022-02-23,99.31
68,2022-02-22,99.31
69,2022-02-21,99.31
70,2022-02-20,99.31
71,2022-02-19,99.31
72,2022-02-18,99.31
73,2022-02-17,99.31
74,2022-02-16,99.31
75,2022-02-15,99.31
76,2022-02-14,99.31
77,2022-02-13,99.31
78,2022-02-12,99.31
79,2022-02-11,99.31
80,2022-02-10,99.31
81,2022-02-09,99.31
82,2022-02-08,99.31
83,2022-02-07,99.31
84,2022-02-06,99.31
85,2022-02-05,99.31
86,2022-02-04,99.31
87,2022-02-03,99.31
88,2022-02-02,99.31
89,2022-02-01,99.31
90,2022-01-31,99.31
91,2022-01-30,99.31
92,2022-01-29,99.31
93,2022-01-28,99.31
94,2022-01-27,99.31
95,2022-01-26,99.31
96,2022-01-25,99.31
97,2022-01-24,99.31
98,2022-01-23,99.31
99,2022-01-22,99.31
100,2022-01-21,99.31
101,2022-01-20,99.31
102,2022-01-19,99.31
103,2022-01-18,99.31
104,2022-01-17,99.31
105,2022-01-16,99.31
106,2022-01-15,99.31
107,2022-01-14,99.31
108,2022-01-13,99.31
109,2022-01-12,99.31
110,2022-01-11,99.31
111,2022-01-10,99.31
112,2022-01-09,99.31
113,2022-01-08,99.31
114,2022-01-07,99.31
115,2022-01-06,99.31
116,2022-01-05,99.31
117,2022-01-04,99.31
118,2022-01-03,99.31
119,2022-01-02,99.31
120,2022-01-01,99.31
121,2021-12-31,99.31
122,2021-12-30,99.31
123,2021-12-29,99.31
124,2021-12-28,99.31
125,2021-12-27,99.31
126,2021-12-26,99.31
127,2021-12-25,99.31
128,2021-12-24,99.31
129,2021-12-23,99.31
130,2021-12-22,99.31
131,2021-12-21,99.31
132,2021-12-20,99.31
133,2021-12-19,99.31
134,2021-12-18,99.31
135,2021-12-17,99.31
136,2021-12-16,99.31
137,2021-12-15,99.31
138,2021-12-14,99.31
139,2021-12-13,99.31
140,2021-12-12,99.31
141,2021-12-11,99.31
142,2021-12-10,99.31
143,2021-12-09,99.31
144,2021-12-08,99.31
145,2021-12-07,99.31
146,2021-12-06,99.31
147,2021-12-05,99.31
148,2021-12-04,99.31
149,2021-12-03,99.31
150,2021-12-02,99.31
151,2021-11-30,99.31
152,2021-11-29,99.31
153,2021-11-28,99.31
154,2021-11-27,99.31
155,2021-11-26,99.31
