,date,price
0,2022-05-01,108.46
1,2022-04-30,108.46
2,2022-04-29,108.46
3,2022-04-28,108.46
4,2022-04-27,108.46
5,2022-04-26,108.46
6,2022-04-25,108.46
7,2022-04-24,108.46
8,2022-04-23,108.46
9,2022-04-22,108.46
10,2022-04-21,108.46
11,2022-04-20,108.46
12,2022-04-19,108.46
13,2022-04-18,108.46
14,2022-04-17,108.46
15,2022-04-16,108.46
16,2022-04-15,108.46
17,2022-04-14,108.46
18,2022-04-13,108.46
19,2022-04-12,108.46
20,2022-04-11,108.46
21,2022-04-10,108.46
22,2022-04-09,108.46
23,2022-04-08,108.46
24,2022-04-07,108.46
25,2022-04-06,108.46
26,2022-04-05,107.63
27,2022-04-04,106.81
28,2022-04-03,106.39
29,2022-04-02,105.56
30,2022-04-01,104.73
31,2022-03-31,104.73
32,2022-03-30,103.9
33,2022-03-29,103.07
34,2022-03-28,102.24
35,2022-03-27,101.93
36,2022-03-26,101.41
37,2022-03-25,100.63
38,2022-03-24,99.8
39,2022-03-23,99.8
40,2022-03-22,98.97
41,2022-03-21,98.14
42,2022-03-20,98.14
43,2022-03-19,98.14
44,2022-03-18,98.14
45,2022-03-17,98.14
46,2022-03-16,98.14
47,2022-03-15,98.14
48,2022-03-14,98.14
49,2022-03-13,98.14
50,2022-03-12,98.14
51,2022-03-11,98.14
52,2022-03-10,98.14
53,2022-03-09,98.14
54,2022-03-08,98.14
55,2022-03-07,98.14
56,2022-03-06,98.14
57,2022-03-05,98.14
58,2022-03-04,98.14
59,2022-03-03,98.14
60,2022-03-02,98.14
61,2022-03-01,98.14
62,2022-02-28,98.14
63,2022-02-27,98.14
64,2022-02-26,98.14
65,2022-02-25,98.14
66,2022-02-24,98.14
67,2022-02-23,98.14
68,2022-02-22,98.14
69,2022-02-21,98.14
70,2022-02-20,98.14
71,2022-02-19,98.14
72,2022-02-18,98.14
73,2022-02-17,98.14
74,2022-02-16,98.14
75,2022-02-15,98.14
76,2022-02-14,98.14
77,2022-02-13,98.14
78,2022-02-12,98.14
79,2022-02-11,98.14
80,2022-02-10,98.14
81,2022-02-09,98.14
82,2022-02-08,98.14
83,2022-02-07,98.14
84,2022-02-06,98.14
85,2022-02-05,98.14
86,2022-02-04,98.14
87,2022-02-03,98.14
88,2022-02-02,98.14
89,2022-02-01,98.14
90,2022-01-31,98.14
91,2022-01-30,98.14
92,2022-01-29,98.14
93,2022-01-28,98.14
94,2022-01-27,98.14
95,2022-01-26,98.14
96,2022-01-25,98.14
97,2022-01-24,98.14
98,2022-01-23,98.14
99,2022-01-22,98.14
100,2022-01-21,98.14
101,2022-01-20,98.14
102,2022-01-19,98.14
103,2022-01-18,98.14
104,2022-01-17,98.14
105,2022-01-16,98.14
106,2022-01-15,98.14
107,2022-01-14,98.14
108,2022-01-13,98.14
109,2022-01-12,98.14
110,2022-01-11,98.14
111,2022-01-10,98.14
112,2022-01-09,98.14
113,2022-01-08,98.14
114,2022-01-07,98.14
115,2022-01-06,98.14
116,2022-01-05,98.14
117,2022-01-04,98.14
118,2022-01-03,98.14
119,2022-01-02,98.14
120,2022-01-01,98.14
121,2021-12-31,98.14
122,2021-12-30,98.14
123,2021-12-29,98.14
124,2021-12-28,98.14
125,2021-12-27,98.14
126,2021-12-26,98.14
127,2021-12-25,98.14
128,2021-12-24,98.14
129,2021-12-23,98.14
130,2021-12-22,98.14
131,2021-12-21,98.14
132,2021-12-20,98.14
133,2021-12-19,98.14
134,2021-12-18,98.14
135,2021-12-17,98.14
136,2021-12-16,98.14
137,2021-12-15,98.14
138,2021-12-14,98.14
139,2021-12-13,98.14
140,2021-12-12,98.14
141,2021-12-11,98.14
142,2021-12-10,98.14
143,2021-12-09,98.14
144,2021-12-08,98.14
145,2021-12-07,98.14
146,2021-12-06,98.14
147,2021-12-05,98.14
148,2021-12-04,98.14
149,2021-12-03,98.14
150,2021-12-02,98.14
151,2021-11-30,98.14
152,2021-11-29,98.14
153,2021-11-28,98.14
154,2021-11-27,98.14
155,2021-11-26,98.14
156,2021-11-25,98.14
157,2021-11-24,98.14
158,2021-11-23,98.14
159,2021-11-22,98.14
160,2021-11-21,98.14
161,2021-11-20,98.14
162,2021-11-19,98.14
163,2021-11-18,98.14
164,2021-11-17,98.14
165,2021-11-16,98.14
166,2021-11-15,98.14
167,2021-11-14,98.14
168,2021-11-13,98.14
169,2021-11-12,98.14
170,2021-11-11,98.14
171,2021-11-10,98.14
172,2021-11-09,98.14
173,2021-11-08,98.14
174,2021-11-07,98.14
175,2021-11-06,98.14
176,2021-11-05,98.14
177,2021-11-04,105.2
178,2021-11-03,110.97
179,2021-11-02,110.97
180,2021-11-01,110.62
181,2021-10-31,110.07
182,2021-10-30,109.74
183,2021-10-29,109.41
184,2021-10-28,109.08
185,2021-10-27,108.74
186,2021-10-26,108.41
187,2021-10-25,108.41
188,2021-10-24,108.41
189,2021-10-23,108.08
190,2021-10-22,107.74
191,2021-10-21,107.41
192,2021-10-20,107.08
193,2021-10-19,106.74
194,2021-10-18,106.74
195,2021-10-15,106.08
196,2021-10-14,105.75
197,2021-10-13,105.41
198,2021-10-12,105.41
199,2021-10-11,105.41
200,2021-10-10,105.13
201,2021-10-09,104.84
202,2021-10-08,104.56
203,2021-10-07,104.27
204,2021-10-06,103.99
205,2021-10-05,103.7
206,2021-10-04,103.46
207,2021-10-03,103.46
208,2021-10-02,103.22
209,2021-10-01,102.99
210,2021-09-30,102.76
211,2021-09-29,102.54
212,2021-09-28,102.54
213,2021-09-27,102.36
214,2021-09-26,102.36
215,2021-09-25,102.36
216,2021-09-24,102.36
217,2021-09-23,102.36
218,2021-09-22,102.36
219,2021-09-21,102.36
220,2021-09-20,102.36
221,2021-09-19,102.36
222,2021-09-18,102.36
223,2021-09-17,102.36
224,2021-09-16,102.36
225,2021-09-15,102.36
226,2021-09-14,102.36
227,2021-09-13,102.36
228,2021-09-12,102.36
229,2021-09-11,102.36
230,2021-09-10,102.36
231,2021-09-09,102.36
232,2021-09-08,102.36
233,2021-09-07,102.36
234,2021-09-06,102.36
235,2021-09-05,102.36
236,2021-09-03,102.51
237,2021-09-02,102.51
238,2021-09-01,102.51
239,2021-08-31,102.66
240,2021-08-30,102.66
241,2021-08-29,102.66
242,2021-08-28,102.66
243,2021-08-27,102.66
244,2021-08-26,102.66
245,2021-08-25,102.66
246,2021-08-24,102.66
247,2021-08-23,102.8
248,2021-08-22,102.8
249,2021-08-21,102.85
250,2021-08-20,102.85
251,2021-08-19,102.85
252,2021-08-18,102.85
253,2021-08-17,102.85
254,2021-08-16,102.85
255,2021-08-15,102.85
256,2021-08-14,102.85
257,2021-08-13,102.85
258,2021-08-12,102.85
259,2021-08-11,102.85
260,2021-08-10,102.85
261,2021-08-09,102.85
262,2021-08-08,102.85
263,2021-08-07,102.85
264,2021-08-06,102.85
265,2021-08-05,102.85
266,2021-08-04,102.85
267,2021-08-03,102.85
268,2021-08-02,102.85
269,2021-08-01,102.85
270,2021-07-31,102.85
271,2021-07-30,102.85
272,2021-07-29,102.85
273,2021-07-28,102.85
