,date,price
0,2022-05-01,108.9
1,2022-04-30,108.9
2,2022-04-29,108.9
3,2022-04-28,108.9
4,2022-04-27,108.9
5,2022-04-26,108.9
6,2022-04-25,108.9
7,2022-04-24,108.9
8,2022-04-23,108.9
9,2022-04-22,108.9
10,2022-04-21,108.9
11,2022-04-20,108.9
12,2022-04-19,108.9
13,2022-04-18,108.9
14,2022-04-17,108.9
15,2022-04-16,108.9
16,2022-04-15,108.9
17,2022-04-14,108.9
18,2022-04-13,108.9
19,2022-04-12,108.9
20,2022-04-11,108.9
21,2022-04-10,108.9
22,2022-04-09,108.9
23,2022-04-08,108.9
24,2022-04-07,108.9
25,2022-04-06,108.9
26,2022-04-05,108.09
27,2022-04-04,107.27
28,2022-04-03,106.86
29,2022-04-02,106.05
30,2022-04-01,105.23
31,2022-03-31,105.23
32,2022-03-30,104.41
33,2022-03-29,103.6
34,2022-03-28,102.78
35,2022-03-27,102.48
36,2022-03-26,101.97
37,2022-03-25,101.16
38,2022-03-24,100.34
39,2022-03-23,100.34
40,2022-03-22,99.53
41,2022-03-21,98.71
42,2022-03-20,98.71
43,2022-03-19,98.71
44,2022-03-18,98.71
45,2022-03-17,98.71
46,2022-03-16,98.71
47,2022-03-15,98.71
48,2022-03-14,98.71
49,2022-03-13,98.71
50,2022-03-12,98.71
51,2022-03-11,98.71
52,2022-03-10,98.71
53,2022-03-09,98.71
54,2022-03-08,98.71
55,2022-03-07,98.71
56,2022-03-06,98.71
57,2022-03-05,98.71
58,2022-03-04,98.71
59,2022-03-03,98.71
60,2022-03-02,98.71
61,2022-03-01,98.71
62,2022-02-28,98.71
63,2022-02-27,98.71
64,2022-02-26,98.71
65,2022-02-25,98.71
66,2022-02-24,98.71
67,2022-02-23,98.71
68,2022-02-22,98.71
69,2022-02-21,98.71
70,2022-02-20,98.71
71,2022-02-19,98.71
72,2022-02-18,98.71
73,2022-02-17,98.71
74,2022-02-16,98.71
75,2022-02-15,98.71
76,2022-02-14,98.71
77,2022-02-13,98.71
78,2022-02-12,98.71
79,2022-02-11,98.71
80,2022-02-10,98.71
81,2022-02-09,98.71
82,2022-02-08,98.71
83,2022-02-07,98.71
84,2022-02-06,98.71
85,2022-02-05,98.71
86,2022-02-04,98.71
87,2022-02-03,98.71
88,2022-02-02,98.71
89,2022-02-01,98.71
90,2022-01-31,98.71
91,2022-01-30,98.71
92,2022-01-29,98.71
93,2022-01-28,98.71
94,2022-01-27,98.71
95,2022-01-26,98.71
96,2022-01-25,98.71
97,2022-01-24,98.71
98,2022-01-23,98.71
99,2022-01-22,98.71
100,2022-01-21,98.71
