,date,price
0,2022-05-01,108.61
1,2022-04-30,108.61
2,2022-04-29,108.61
3,2022-04-28,108.61
4,2022-04-27,108.61
5,2022-04-26,108.61
6,2022-04-25,108.61
7,2022-04-24,108.61
8,2022-04-23,108.61
9,2022-04-22,108.61
10,2022-04-21,108.61
11,2022-04-20,108.61
12,2022-04-19,108.61
13,2022-04-18,108.61
14,2022-04-17,108.61
15,2022-04-16,108.61
16,2022-04-15,108.61
17,2022-04-14,108.61
18,2022-04-13,108.61
19,2022-04-12,108.61
20,2022-04-11,108.61
21,2022-04-10,108.61
22,2022-04-09,108.61
23,2022-04-08,108.61
24,2022-04-07,108.61
25,2022-04-06,108.61
26,2022-04-05,107.8
27,2022-04-04,106.98
28,2022-04-03,106.57
29,2022-04-02,105.76
30,2022-04-01,104.94
31,2022-03-31,104.94
32,2022-03-30,104.12
33,2022-03-29,103.31
34,2022-03-28,102.49
35,2022-03-27,102.19
36,2022-03-26,101.68
37,2022-03-25,100.86
38,2022-03-24,100.04
39,2022-03-23,100.04
40,2022-03-22,99.23
41,2022-03-21,98.41
42,2022-03-20,98.41
43,2022-03-19,98.41
44,2022-03-18,98.41
45,2022-03-17,98.41
46,2022-03-16,98.41
47,2022-03-15,98.41
48,2022-03-14,98.41
49,2022-03-13,98.41
50,2022-03-12,98.41
51,2022-03-11,98.41
52,2022-03-10,98.41
53,2022-03-09,98.41
54,2022-03-08,98.41
55,2022-03-07,98.41
56,2022-03-06,98.41
57,2022-03-05,98.41
58,2022-03-04,98.41
59,2022-03-03,98.41
60,2022-03-02,98.41
61,2022-03-01,98.41
62,2022-02-28,98.41
63,2022-02-27,98.41
64,2022-02-26,98.41
65,2022-02-25,98.41
66,2022-02-24,98.41
67,2022-02-23,98.41
68,2022-02-22,98.41
69,2022-02-21,98.41
70,2022-02-20,98.41
71,2022-02-19,98.41
72,2022-02-18,98.41
73,2022-02-17,98.41
74,2022-02-16,98.41
75,2022-02-15,98.41
76,2022-02-14,98.41
77,2022-02-13,98.41
78,2022-02-12,98.41
79,2022-02-11,98.41
80,2022-02-10,98.41
81,2022-02-09,98.41
82,2022-02-08,98.41
83,2022-02-07,98.41
84,2022-02-06,98.41
85,2022-02-05,98.41
86,2022-02-04,98.41
87,2022-02-03,98.41
88,2022-02-02,98.41
89,2022-02-01,98.41
90,2022-01-31,98.41
91,2022-01-30,98.41
92,2022-01-29,98.41
93,2022-01-28,98.41
94,2022-01-27,98.41
95,2022-01-26,98.41
96,2022-01-25,98.41
97,2022-01-24,98.41
98,2022-01-23,98.41
99,2022-01-22,98.41
100,2022-01-21,98.41
101,2022-01-20,98.41
102,2022-01-19,98.41
103,2022-01-18,98.41
104,2022-01-17,98.41
105,2022-01-16,98.41
106,2022-01-15,98.41
107,2022-01-14,98.41
108,2022-01-13,98.41
109,2022-01-12,98.41
110,2022-01-11,98.41
111,2022-01-10,98.41
112,2022-01-09,98.41
113,2022-01-08,98.41
114,2022-01-07,98.41
115,2022-01-06,98.41
116,2022-01-05,98.41
117,2022-01-04,98.41
118,2022-01-03,98.41
119,2022-01-02,98.41
120,2022-01-01,98.41
121,2021-12-31,98.41
122,2021-12-30,98.41
123,2021-12-29,98.41
124,2021-12-28,98.41
125,2021-12-27,98.41
126,2021-12-26,98.41
127,2021-12-25,98.41
128,2021-12-24,98.41
129,2021-12-23,98.41
130,2021-12-22,98.41
131,2021-12-21,98.41
132,2021-12-20,98.41
133,2021-12-19,98.41
134,2021-12-18,98.41
135,2021-12-17,98.41
136,2021-12-16,98.41
137,2021-12-15,98.41
138,2021-12-14,98.41
139,2021-12-13,98.41
140,2021-12-12,98.41
141,2021-12-11,98.41
142,2021-12-10,98.41
143,2021-12-09,98.41
144,2021-12-08,98.41
145,2021-12-07,98.41
146,2021-12-06,98.41
147,2021-12-05,98.41
148,2021-12-04,98.41
149,2021-12-03,98.41
150,2021-12-02,98.41
151,2021-11-30,98.41
152,2021-11-29,98.41
153,2021-11-28,98.41
154,2021-11-27,98.41
155,2021-11-26,98.41
156,2021-11-25,98.41
157,2021-11-24,98.41
158,2021-11-23,98.41
159,2021-11-22,98.41
160,2021-11-21,98.41
161,2021-11-20,98.41
162,2021-11-19,98.41
163,2021-11-18,98.41
164,2021-11-17,98.41
165,2021-11-16,98.41
166,2021-11-15,98.41
167,2021-11-14,98.41
168,2021-11-13,98.41
169,2021-11-12,98.41
170,2021-11-11,98.41
171,2021-11-10,98.41
172,2021-11-09,98.41
173,2021-11-08,98.41
174,2021-11-07,98.41
175,2021-11-06,98.41
176,2021-11-05,98.41
177,2021-11-04,98.41
178,2021-11-03,104.09
179,2021-11-02,104.09
180,2021-11-01,103.75
181,2021-10-31,103.4
182,2021-10-30,103.07
183,2021-10-29,102.75
184,2021-10-28,102.42
185,2021-10-27,102.09
186,2021-10-26,101.76
187,2021-10-25,101.76
188,2021-10-24,101.76
189,2021-10-23,101.43
190,2021-10-22,101.11
191,2021-10-21,100.78
192,2021-10-20,100.45
193,2021-10-19,100.12
194,2021-10-18,100.12
195,2021-10-15,99.47
196,2021-10-14,99.14
197,2021-10-13,98.81
198,2021-10-12,98.81
199,2021-10-11,98.81
200,2021-10-10,98.53
201,2021-10-09,98.25
202,2021-10-08,97.97
203,2021-10-07,97.7
204,2021-10-06,97.47
205,2021-10-05,97.24
206,2021-10-04,97.04
207,2021-10-03,97.04
208,2021-10-02,96.85
209,2021-10-01,96.66
210,2021-09-30,96.48
211,2021-09-29,96.3
212,2021-09-28,96.3
213,2021-09-27,96.15
214,2021-09-26,96.15
215,2021-09-25,96.15
216,2021-09-24,96.15
217,2021-09-23,96.15
218,2021-09-22,96.15
219,2021-09-21,96.15
220,2021-09-20,96.15
221,2021-09-19,96.15
222,2021-09-18,96.15
223,2021-09-17,96.15
224,2021-09-16,96.15
225,2021-09-15,96.15
226,2021-09-14,96.15
227,2021-09-13,96.15
228,2021-09-12,96.15
229,2021-09-11,96.15
230,2021-09-10,96.15
231,2021-09-09,96.15
232,2021-09-08,96.15
233,2021-09-07,96.15
234,2021-09-06,96.15
235,2021-09-05,96.15
236,2021-09-03,96.28
237,2021-09-02,96.28
238,2021-09-01,96.28
239,2021-08-31,96.4
240,2021-08-30,96.4
241,2021-08-29,96.4
242,2021-08-28,96.4
243,2021-08-27,96.4
244,2021-08-26,96.4
245,2021-08-25,96.4
246,2021-08-24,96.4
247,2021-08-23,96.51
248,2021-08-22,96.51
249,2021-08-21,96.64
250,2021-08-20,96.64
251,2021-08-19,96.64
252,2021-08-18,96.67
253,2021-08-17,96.67
254,2021-08-16,96.67
255,2021-08-15,96.67
256,2021-08-14,96.67
257,2021-08-13,96.67
258,2021-08-12,96.67
259,2021-08-11,96.67
260,2021-08-10,96.67
261,2021-08-09,96.67
262,2021-08-08,96.67
263,2021-08-07,96.67
264,2021-08-06,96.67
265,2021-08-05,96.67
266,2021-08-04,96.67
267,2021-08-03,96.67
268,2021-08-02,96.67
269,2021-08-01,96.67
270,2021-07-31,96.67
271,2021-07-30,96.67
272,2021-07-29,96.67
273,2021-07-28,96.67
274,2021-07-27,96.67
275,2021-07-26,96.67
276,2021-07-25,96.67
277,2021-07-24,96.67
278,2021-07-23,96.67
279,2021-07-22,96.67
280,2021-07-21,96.67
281,2021-07-20,96.67
282,2021-07-19,96.67
283,2021-07-18,96.67
284,2021-07-17,96.67
285,2021-07-16,96.44
286,2021-07-15,96.44
287,2021-07-14,96.17
288,2021-07-13,96.17
289,2021-07-12,96.17
290,2021-07-11,95.95
291,2021-07-10,95.95
292,2021-07-09,95.69
293,2021-07-08,95.69
294,2021-07-07,95.42
295,2021-07-06,95.15
296,2021-07-05,95.15
297,2021-07-04,94.88
298,2021-07-03,94.61
299,2021-07-02,94.61
300,2021-07-01,94.34
301,2021-06-30,94.34
302,2021-06-29,94.34
303,2021-06-28,94.07
304,2021-06-27,94.07
305,2021-06-26,93.81
306,2021-06-25,93.54
307,2021-06-24,93.54
308,2021-06-23,93.34
309,2021-06-22,93.34
310,2021-06-21,93.12
311,2021-06-20,93.12
312,2021-06-19,92.9
313,2021-06-18,92.9
314,2021-06-17,92.69
315,2021-06-16,92.69
316,2021-06-15,92.5
317,2021-06-14,92.5
318,2021-06-13,92.28
319,2021-06-12,92.28
320,2021-06-11,92.07
321,2021-06-10,91.85
322,2021-06-09,91.85
323,2021-06-08,91.66
324,2021-06-07,91.66
325,2021-06-06,91.44
326,2021-06-05,91.24
327,2021-06-04,91.24
328,2021-06-03,91.03
329,2021-06-02,91.03
330,2021-06-01,91.03
331,2021-05-31,90.83
332,2021-05-30,90.61
333,2021-05-29,90.61
334,2021-05-28,90.41
335,2021-05-27,90.41
336,2021-05-26,90.22
337,2021-05-25,90.22
338,2021-05-24,90.05
339,2021-05-23,90.05
340,2021-05-22,89.92
341,2021-05-21,89.92
342,2021-05-20,89.77
343,2021-05-19,89.77
344,2021-05-18,89.77
345,2021-05-17,89.56
346,2021-05-16,89.56
347,2021-05-15,89.38
348,2021-05-14,89.38
349,2021-05-13,89.16
350,2021-05-12,89.16
351,2021-05-11,88.96
352,2021-05-10,88.76
353,2021-05-09,88.56
354,2021-05-08,88.56
355,2021-05-07,88.56
356,2021-05-06,88.34
357,2021-05-05,88.15
358,2021-05-04,88.01
359,2021-05-03,87.88
360,2021-05-02,87.88
361,2021-05-01,87.88
362,2021-04-30,87.88
363,2021-04-29,87.88
364,2021-04-28,87.88
