,date,price
0,2022-05-01,109.53
1,2022-04-30,109.53
2,2022-04-29,109.53
3,2022-04-28,109.53
4,2022-04-27,109.53
5,2022-04-26,109.53
6,2022-04-25,109.53
7,2022-04-24,109.53
8,2022-04-23,109.53
9,2022-04-22,109.53
10,2022-04-21,109.53
11,2022-04-20,109.53
12,2022-04-19,109.53
13,2022-04-18,109.53
14,2022-04-17,109.53
15,2022-04-16,109.53
16,2022-04-15,109.53
17,2022-04-14,109.53
18,2022-04-13,109.53
19,2022-04-12,109.53
20,2022-04-11,109.53
21,2022-04-10,109.53
22,2022-04-09,109.53
23,2022-04-08,109.53
24,2022-04-07,109.53
25,2022-04-06,109.53
26,2022-04-05,108.71
27,2022-04-04,107.9
28,2022-04-03,107.49
29,2022-04-02,106.67
30,2022-04-01,105.86
31,2022-03-31,105.86
32,2022-03-30,105.04
33,2022-03-29,104.23
34,2022-03-28,103.41
35,2022-03-27,103.1
36,2022-03-26,102.59
37,2022-03-25,101.81
38,2022-03-24,100.99
39,2022-03-23,100.99
40,2022-03-22,100.17
41,2022-03-21,99.36
42,2022-03-20,99.36
43,2022-03-19,99.36
44,2022-03-18,99.36
45,2022-03-17,99.36
46,2022-03-16,99.36
47,2022-03-15,99.36
48,2022-03-14,99.36
49,2022-03-13,99.36
50,2022-03-12,99.36
51,2022-03-11,99.36
52,2022-03-10,99.36
53,2022-03-09,99.36
54,2022-03-08,99.36
55,2022-03-07,99.36
56,2022-03-06,99.36
57,2022-03-05,99.36
58,2022-03-04,99.36
59,2022-03-03,99.36
60,2022-03-02,99.36
61,2022-03-01,99.36
62,2022-02-28,99.36
63,2022-02-27,99.36
64,2022-02-26,99.36
65,2022-02-25,99.36
66,2022-02-24,99.36
67,2022-02-23,99.36
68,2022-02-22,99.36
69,2022-02-21,99.36
70,2022-02-20,99.36
71,2022-02-19,99.36
72,2022-02-18,99.36
73,2022-02-17,99.36
74,2022-02-16,99.36
75,2022-02-15,99.36
76,2022-02-14,99.36
77,2022-02-13,99.36
78,2022-02-12,99.36
79,2022-02-11,99.36
80,2022-02-10,99.36
81,2022-02-09,99.36
82,2022-02-08,99.36
83,2022-02-07,99.36
84,2022-02-06,99.36
85,2022-02-05,99.36
86,2022-02-04,99.36
87,2022-02-03,99.36
88,2022-02-02,99.36
89,2022-02-01,99.36
90,2022-01-31,99.36
91,2022-01-30,99.36
92,2022-01-29,99.36
93,2022-01-28,99.36
94,2022-01-27,99.36
95,2022-01-26,99.36
96,2022-01-25,99.36
97,2022-01-24,99.36
98,2022-01-23,99.36
99,2022-01-22,99.36
100,2022-01-21,99.36
101,2022-01-20,99.36
102,2022-01-19,99.36
103,2022-01-18,99.36
104,2022-01-17,99.36
105,2022-01-16,99.36
106,2022-01-15,99.36
107,2022-01-14,99.36
108,2022-01-13,99.36
109,2022-01-12,99.36
110,2022-01-11,99.36
111,2022-01-10,99.36
112,2022-01-09,99.36
113,2022-01-08,99.36
114,2022-01-07,99.36
115,2022-01-06,99.36
116,2022-01-05,99.36
117,2022-01-04,99.36
118,2022-01-03,99.36
119,2022-01-02,99.36
120,2022-01-01,99.36
121,2021-12-31,99.36
122,2021-12-30,99.36
123,2021-12-29,99.36
124,2021-12-28,99.36
125,2021-12-27,99.36
126,2021-12-26,99.36
127,2021-12-25,99.36
128,2021-12-24,99.36
129,2021-12-23,99.36
130,2021-12-22,99.36
131,2021-12-21,99.36
132,2021-12-20,99.36
133,2021-12-19,99.36
134,2021-12-18,99.36
135,2021-12-17,99.36
136,2021-12-16,99.36
137,2021-12-15,99.36
138,2021-12-14,99.36
139,2021-12-13,99.36
140,2021-12-12,99.36
141,2021-12-11,99.36
142,2021-12-10,99.36
143,2021-12-09,99.36
144,2021-12-08,99.36
145,2021-12-07,99.36
146,2021-12-06,99.36
147,2021-12-05,99.36
148,2021-12-04,99.36
149,2021-12-03,99.36
150,2021-12-02,99.36
151,2021-11-30,99.36
152,2021-11-29,99.36
153,2021-11-28,99.36
154,2021-11-27,99.36
155,2021-11-26,99.36
156,2021-11-25,99.36
157,2021-11-24,99.36
158,2021-11-23,99.36
159,2021-11-22,99.36
160,2021-11-21,99.36
161,2021-11-20,99.36
162,2021-11-19,99.36
163,2021-11-18,99.36
164,2021-11-17,99.36
165,2021-11-16,99.36
166,2021-11-15,99.36
167,2021-11-14,99.36
168,2021-11-13,99.36
169,2021-11-12,99.36
170,2021-11-11,99.36
171,2021-11-10,99.36
172,2021-11-09,99.36
173,2021-11-08,99.36
174,2021-11-07,99.36
175,2021-11-06,99.36
176,2021-11-05,99.36
177,2021-11-04,99.36
178,2021-11-03,105.04
179,2021-11-02,105.04
180,2021-11-01,104.69
181,2021-10-31,104.29
182,2021-10-30,103.97
183,2021-10-29,103.64
184,2021-10-28,103.31
185,2021-10-27,102.98
186,2021-10-26,102.65
187,2021-10-25,102.65
188,2021-10-24,102.65
189,2021-10-23,102.33
190,2021-10-22,102
191,2021-10-21,101.67
192,2021-10-20,101.34
193,2021-10-19,101.02
194,2021-10-18,101.02
195,2021-10-15,100.36
196,2021-10-14,100.03
197,2021-10-13,99.71
198,2021-10-12,99.71
199,2021-10-11,99.71
200,2021-10-10,99.43
201,2021-10-09,99.14
202,2021-10-08,98.86
203,2021-10-07,98.58
204,2021-10-06,98.3
205,2021-10-05,98.02
206,2021-10-04,97.79
207,2021-10-03,97.79
208,2021-10-02,97.58
209,2021-10-01,97.39
210,2021-09-30,97.21
211,2021-09-29,97.03
212,2021-09-28,97.03
213,2021-09-27,96.89
214,2021-09-26,96.89
215,2021-09-25,96.89
216,2021-09-24,96.89
217,2021-09-23,96.89
218,2021-09-22,96.89
219,2021-09-21,96.89
220,2021-09-20,96.89
221,2021-09-19,96.89
222,2021-09-18,96.89
223,2021-09-17,96.89
224,2021-09-16,96.89
225,2021-09-15,96.89
226,2021-09-14,96.89
227,2021-09-13,96.89
228,2021-09-12,96.89
229,2021-09-11,96.89
230,2021-09-10,96.89
231,2021-09-09,96.89
232,2021-09-08,96.89
233,2021-09-07,96.89
234,2021-09-06,96.89
235,2021-09-05,96.89
236,2021-09-03,97.01
237,2021-09-02,97.01
238,2021-09-01,97.01
239,2021-08-31,97.13
240,2021-08-30,97.13
241,2021-08-29,97.13
242,2021-08-28,97.13
243,2021-08-27,97.13
244,2021-08-26,97.13
245,2021-08-25,97.13
246,2021-08-24,97.13
247,2021-08-23,97.24
248,2021-08-22,97.24
249,2021-08-21,97.31
250,2021-08-20,97.31
251,2021-08-19,97.31
252,2021-08-18,97.31
253,2021-08-17,97.31
254,2021-08-16,97.31
255,2021-08-15,97.31
256,2021-08-14,97.31
257,2021-08-13,97.31
258,2021-08-12,97.31
259,2021-08-11,97.31
260,2021-08-10,97.31
261,2021-08-09,97.31
262,2021-08-08,97.31
263,2021-08-07,97.31
264,2021-08-06,97.31
265,2021-08-05,97.31
266,2021-08-04,97.31
267,2021-08-03,97.31
268,2021-08-02,97.31
269,2021-08-01,97.31
270,2021-07-31,97.31
271,2021-07-30,97.31
272,2021-07-29,97.31
273,2021-07-28,97.31
274,2021-07-27,97.31
275,2021-07-26,97.31
276,2021-07-25,97.31
277,2021-07-24,97.31
278,2021-07-23,97.31
279,2021-07-22,97.31
280,2021-07-21,97.31
281,2021-07-20,97.31
282,2021-07-19,97.31
283,2021-07-18,97.31
284,2021-07-17,97.31
285,2021-07-16,97.08
286,2021-07-15,97.08
287,2021-07-14,96.81
288,2021-07-13,96.81
289,2021-07-12,96.81
290,2021-07-11,96.59
291,2021-07-10,96.59
292,2021-07-09,96.32
293,2021-07-08,96.32
294,2021-07-07,96.06
295,2021-07-06,95.79
296,2021-07-05,95.79
297,2021-07-04,95.52
298,2021-07-03,95.25
299,2021-07-02,95.25
300,2021-07-01,94.98
301,2021-06-30,94.98
302,2021-06-29,94.98
303,2021-06-28,94.71
304,2021-06-27,94.71
305,2021-06-26,94.44
306,2021-06-25,94.18
307,2021-06-24,94.18
308,2021-06-23,93.98
309,2021-06-22,93.98
310,2021-06-21,93.76
311,2021-06-20,93.76
312,2021-06-19,93.54
313,2021-06-18,93.54
314,2021-06-17,93.33
315,2021-06-16,93.33
316,2021-06-15,93.14
317,2021-06-14,93.14
318,2021-06-13,92.92
319,2021-06-12,92.92
320,2021-06-11,92.71
321,2021-06-10,92.49
322,2021-06-09,92.49
323,2021-06-08,92.3
324,2021-06-07,92.3
325,2021-06-06,92.08
326,2021-06-05,91.87
327,2021-06-04,91.87
328,2021-06-03,91.67
329,2021-06-02,91.67
330,2021-06-01,91.67
331,2021-05-31,91.47
332,2021-05-30,91.25
333,2021-05-29,91.25
334,2021-05-28,91.05
335,2021-05-27,91.05
336,2021-05-26,90.86
337,2021-05-25,90.86
338,2021-05-24,90.69
339,2021-05-23,90.69
340,2021-05-22,90.55
341,2021-05-21,90.55
342,2021-05-20,90.41
343,2021-05-19,90.41
344,2021-05-18,90.41
345,2021-05-17,90.2
346,2021-05-16,90.2
347,2021-05-15,90.02
348,2021-05-14,90.02
349,2021-05-13,89.8
350,2021-05-12,89.8
351,2021-05-11,89.6
352,2021-05-10,89.4
353,2021-05-09,89.2
354,2021-05-08,89.2
355,2021-05-07,89.2
356,2021-05-06,88.98
357,2021-05-05,88.79
358,2021-05-04,88.64
359,2021-05-03,88.46
360,2021-05-02,88.46
361,2021-05-01,88.46
362,2021-04-30,88.46
363,2021-04-29,88.46
364,2021-04-28,88.46
