,date,price
0,2022-05-01,109.93
1,2022-04-30,109.93
2,2022-04-29,109.93
3,2022-04-28,109.93
4,2022-04-27,109.93
5,2022-04-26,109.93
6,2022-04-25,109.93
7,2022-04-24,109.93
8,2022-04-23,109.93
9,2022-04-22,109.93
10,2022-04-21,109.93
11,2022-04-20,109.93
12,2022-04-19,109.93
13,2022-04-18,109.93
14,2022-04-17,109.93
15,2022-04-16,109.93
16,2022-04-15,109.93
17,2022-04-14,109.93
18,2022-04-13,109.93
19,2022-04-12,109.93
20,2022-04-11,109.93
21,2022-04-10,109.93
22,2022-04-09,109.93
23,2022-04-08,109.93
24,2022-04-07,109.93
25,2022-04-06,109.93
26,2022-04-05,109.11
27,2022-04-04,108.3
28,2022-04-03,107.89
29,2022-04-02,107.07
30,2022-04-01,106.25
31,2022-03-31,106.25
32,2022-03-30,105.44
33,2022-03-29,104.62
34,2022-03-28,103.81
35,2022-03-27,103.5
36,2022-03-26,102.99
37,2022-03-25,102.22
38,2022-03-24,101.41
39,2022-03-23,101.41
40,2022-03-22,100.59
41,2022-03-21,99.78
42,2022-03-20,99.78
43,2022-03-19,99.78
44,2022-03-18,99.78
45,2022-03-17,99.78
46,2022-03-16,99.78
47,2022-03-15,99.78
48,2022-03-14,99.78
49,2022-03-13,99.78
50,2022-03-12,99.78
51,2022-03-11,99.78
52,2022-03-10,99.78
53,2022-03-09,99.78
54,2022-03-08,99.78
55,2022-03-07,99.78
56,2022-03-06,99.78
57,2022-03-05,99.78
58,2022-03-04,99.78
59,2022-03-03,99.78
60,2022-03-02,99.78
61,2022-03-01,99.78
62,2022-02-28,99.78
63,2022-02-27,99.78
64,2022-02-26,99.78
65,2022-02-25,99.78
66,2022-02-24,99.78
67,2022-02-23,99.78
68,2022-02-22,99.78
69,2022-02-21,99.78
70,2022-02-20,99.78
71,2022-02-19,99.78
72,2022-02-18,99.78
73,2022-02-17,99.78
74,2022-02-16,99.78
75,2022-02-15,99.78
76,2022-02-14,99.78
77,2022-02-13,99.78
78,2022-02-12,99.78
79,2022-02-11,99.78
80,2022-02-10,99.78
81,2022-02-09,99.78
82,2022-02-08,99.78
83,2022-02-07,99.78
84,2022-02-06,99.78
85,2022-02-05,99.78
86,2022-02-04,99.78
87,2022-02-03,99.78
88,2022-02-02,99.78
89,2022-02-01,99.78
90,2022-01-31,99.78
91,2022-01-30,99.78
92,2022-01-29,99.78
93,2022-01-28,99.78
94,2022-01-27,99.78
95,2022-01-26,99.78
96,2022-01-25,99.78
97,2022-01-24,99.78
98,2022-01-23,99.78
99,2022-01-22,99.78
100,2022-01-21,99.78
101,2022-01-20,99.78
102,2022-01-19,99.78
