,date,price
0,2022-05-01,108.69
1,2022-04-30,108.69
2,2022-04-29,108.69
3,2022-04-28,108.69
4,2022-04-27,108.69
5,2022-04-26,108.69
6,2022-04-25,108.69
7,2022-04-24,108.69
8,2022-04-23,108.69
9,2022-04-22,108.69
10,2022-04-21,108.69
11,2022-04-20,108.69
12,2022-04-19,108.69
13,2022-04-18,108.69
14,2022-04-17,108.69
15,2022-04-16,108.69
16,2022-04-15,108.69
17,2022-04-14,108.69
18,2022-04-13,108.69
19,2022-04-12,108.69
20,2022-04-11,108.69
21,2022-04-10,108.69
22,2022-04-09,108.69
23,2022-04-08,108.69
24,2022-04-07,108.69
25,2022-04-06,108.69
26,2022-04-05,107.98
27,2022-04-04,107.16
28,2022-04-03,106.76
29,2022-04-02,105.84
30,2022-04-01,105.02
31,2022-03-31,105.02
32,2022-03-30,104.31
33,2022-03-29,103.49
34,2022-03-28,102.68
35,2022-03-27,102.26
36,2022-03-26,101.86
37,2022-03-25,100.94
38,2022-03-24,100.12
39,2022-03-23,100.12
40,2022-03-22,99.42
41,2022-03-21,98.6
42,2022-03-20,98.6
43,2022-03-19,98.6
44,2022-03-18,98.6
45,2022-03-17,98.6
46,2022-03-16,98.6
47,2022-03-15,98.6
48,2022-03-14,98.6
49,2022-03-13,98.6
50,2022-03-12,98.6
51,2022-03-11,98.6
52,2022-03-10,98.6
53,2022-03-09,98.6
54,2022-03-08,98.6
55,2022-03-07,98.6
56,2022-03-06,98.6
57,2022-03-05,98.6
58,2022-03-04,98.6
59,2022-03-03,98.6
60,2022-03-02,98.6
61,2022-03-01,98.6
62,2022-02-28,98.6
63,2022-02-27,98.6
64,2022-02-26,98.6
65,2022-02-25,98.6
66,2022-02-24,98.6
67,2022-02-23,98.6
68,2022-02-22,98.6
69,2022-02-21,98.6
70,2022-02-20,98.6
71,2022-02-19,98.6
72,2022-02-18,98.6
73,2022-02-17,98.6
74,2022-02-16,98.6
75,2022-02-15,98.6
76,2022-02-14,98.6
77,2022-02-13,98.6
78,2022-02-12,98.6
79,2022-02-11,98.6
80,2022-02-10,98.6
81,2022-02-09,98.6
82,2022-02-08,98.6
83,2022-02-07,98.6
84,2022-02-06,98.6
85,2022-02-05,98.6
86,2022-02-04,98.6
87,2022-02-03,98.6
88,2022-02-02,98.6
89,2022-02-01,98.6
90,2022-01-31,98.6
91,2022-01-30,98.6
92,2022-01-29,98.6
93,2022-01-28,98.6
94,2022-01-27,98.6
95,2022-01-26,98.6
96,2022-01-25,98.6
97,2022-01-24,98.6
98,2022-01-23,98.6
99,2022-01-22,98.6
100,2022-01-21,98.6
101,2022-01-20,98.6
102,2022-01-19,98.6
103,2022-01-18,98.6
104,2022-01-17,98.6
105,2022-01-16,98.6
106,2022-01-15,98.6
107,2022-01-14,98.6
108,2022-01-13,98.6
109,2022-01-12,98.6
110,2022-01-11,98.6
111,2022-01-10,98.6
112,2022-01-09,98.6
113,2022-01-08,98.6
114,2022-01-07,98.6
115,2022-01-06,98.6
116,2022-01-05,98.6
117,2022-01-04,98.6
118,2022-01-03,98.6
119,2022-01-02,98.6
120,2022-01-01,98.6
121,2021-12-31,98.6
122,2021-12-30,98.6
123,2021-12-29,98.6
124,2021-12-28,98.6
125,2021-12-27,98.6
126,2021-12-26,98.6
127,2021-12-25,98.6
128,2021-12-24,98.6
129,2021-12-23,98.6
130,2021-12-22,98.6
131,2021-12-21,98.6
132,2021-12-20,98.6
133,2021-12-19,98.6
134,2021-12-18,98.6
135,2021-12-17,98.6
136,2021-12-16,98.6
137,2021-12-15,98.6
138,2021-12-14,98.6
139,2021-12-13,98.6
140,2021-12-12,98.6
141,2021-12-11,98.6
142,2021-12-10,98.6
143,2021-12-09,98.6
144,2021-12-08,98.6
145,2021-12-07,98.6
146,2021-12-06,98.6
147,2021-12-05,98.6
148,2021-12-04,98.6
149,2021-12-03,98.6
