,date,price
0,2022-05-01,111.07
1,2022-04-30,111.07
2,2022-04-29,111.07
3,2022-04-28,111.07
4,2022-04-27,111.07
5,2022-04-26,111.07
6,2022-04-25,111.07
7,2022-04-24,111.07
8,2022-04-23,111.07
9,2022-04-22,111.07
10,2022-04-21,111.07
11,2022-04-20,111.07
12,2022-04-19,111.07
13,2022-04-18,111.07
14,2022-04-17,111.07
15,2022-04-16,111.07
16,2022-04-15,111.07
17,2022-04-14,111.07
18,2022-04-13,111.07
19,2022-04-12,111.07
20,2022-04-11,111.07
21,2022-04-10,111.07
22,2022-04-09,111.07
23,2022-04-08,111.07
24,2022-04-07,111.07
25,2022-04-06,111.07
26,2022-04-05,110.23
27,2022-04-04,109.39
28,2022-04-03,108.97
29,2022-04-02,108.13
30,2022-04-01,107.28
31,2022-03-31,107.28
32,2022-03-30,106.44
33,2022-03-29,105.6
34,2022-03-28,104.76
35,2022-03-27,104.44
36,2022-03-26,103.91
37,2022-03-25,103.09
38,2022-03-24,102.24
39,2022-03-23,102.24
40,2022-03-22,101.4
41,2022-03-21,100.56
42,2022-03-20,100.56
43,2022-03-19,100.56
44,2022-03-18,100.56
45,2022-03-17,100.56
46,2022-03-16,100.56
47,2022-03-15,100.56
48,2022-03-14,100.56
49,2022-03-13,100.56
50,2022-03-12,100.56
51,2022-03-11,100.56
52,2022-03-10,100.56
53,2022-03-09,100.56
54,2022-03-08,100.56
55,2022-03-07,100.56
56,2022-03-06,100.56
57,2022-03-05,100.56
58,2022-03-04,100.56
59,2022-03-03,100.56
60,2022-03-02,100.56
61,2022-03-01,100.56
62,2022-02-28,100.56
63,2022-02-27,100.56
64,2022-02-26,100.56
65,2022-02-25,100.56
66,2022-02-24,100.56
67,2022-02-23,100.56
68,2022-02-22,100.56
69,2022-02-21,100.56
70,2022-02-20,100.56
71,2022-02-19,100.56
72,2022-02-18,100.56
73,2022-02-17,100.56
74,2022-02-16,100.56
75,2022-02-15,100.56
76,2022-02-14,100.56
77,2022-02-13,100.56
78,2022-02-12,100.56
79,2022-02-11,100.56
80,2022-02-10,100.56
81,2022-02-09,100.56
82,2022-02-08,100.56
83,2022-02-07,100.56
84,2022-02-06,100.56
85,2022-02-05,100.56
86,2022-02-04,100.56
87,2022-02-03,100.56
88,2022-02-02,100.56
89,2022-02-01,100.56
90,2022-01-31,100.56
91,2022-01-30,100.56
92,2022-01-29,100.56
