,date,price
0,2022-05-01,111.88
1,2022-04-30,111.88
2,2022-04-29,111.88
3,2022-04-28,111.88
4,2022-04-27,111.88
5,2022-04-26,111.88
6,2022-04-25,111.88
7,2022-04-24,111.88
8,2022-04-23,111.88
9,2022-04-22,111.88
10,2022-04-21,111.88
11,2022-04-20,111.88
12,2022-04-19,111.88
13,2022-04-18,111.88
14,2022-04-17,111.88
15,2022-04-16,111.88
16,2022-04-15,111.88
17,2022-04-14,111.88
18,2022-04-13,111.88
19,2022-04-12,111.88
20,2022-04-11,111.88
21,2022-04-10,111.88
22,2022-04-09,111.88
23,2022-04-08,111.88
24,2022-04-07,111.88
25,2022-04-06,111.88
26,2022-04-05,111.03
27,2022-04-04,110.19
28,2022-04-03,109.77
29,2022-04-02,108.93
30,2022-04-01,108.08
31,2022-03-31,108.08
32,2022-03-30,107.24
33,2022-03-29,106.4
34,2022-03-28,105.56
35,2022-03-27,105.24
36,2022-03-26,104.72
37,2022-03-25,103.91
38,2022-03-24,103.07
39,2022-03-23,103.07
40,2022-03-22,102.22
41,2022-03-21,101.38
42,2022-03-20,101.38
43,2022-03-19,101.38
44,2022-03-18,101.38
45,2022-03-17,101.38
46,2022-03-16,101.38
47,2022-03-15,101.38
48,2022-03-14,101.38
49,2022-03-13,101.38
50,2022-03-12,101.38
51,2022-03-11,101.38
52,2022-03-10,101.38
53,2022-03-09,101.38
54,2022-03-08,101.38
55,2022-03-07,101.38
56,2022-03-06,101.38
57,2022-03-05,101.38
58,2022-03-04,101.38
59,2022-03-03,101.38
60,2022-03-02,101.38
61,2022-03-01,101.38
62,2022-02-28,101.38
63,2022-02-27,101.38
64,2022-02-26,101.38
65,2022-02-25,101.38
66,2022-02-24,101.38
67,2022-02-23,101.38
68,2022-02-22,101.38
69,2022-02-21,101.38
70,2022-02-20,101.38
71,2022-02-19,101.38
72,2022-02-18,101.38
73,2022-02-17,101.38
74,2022-02-16,101.38
75,2022-02-15,101.38
76,2022-02-14,101.38
77,2022-02-13,101.38
78,2022-02-12,101.38
79,2022-02-11,101.38
80,2022-02-10,101.38
81,2022-02-09,101.38
82,2022-02-08,101.38
83,2022-02-07,101.38
84,2022-02-06,101.38
85,2022-02-05,101.38
86,2022-02-04,101.38
87,2022-02-03,101.38
88,2022-02-02,101.38
89,2022-02-01,101.38
90,2022-01-31,101.38
91,2022-01-30,101.38
92,2022-01-29,101.38
93,2022-01-28,101.38
94,2022-01-27,101.38
95,2022-01-26,101.38
96,2022-01-25,101.38
97,2022-01-24,101.38
98,2022-01-23,101.38
99,2022-01-22,101.38
100,2022-01-21,101.38
101,2022-01-20,101.38
102,2022-01-19,101.38
103,2022-01-18,101.38
104,2022-01-17,101.38
105,2022-01-16,101.38
106,2022-01-15,101.38
107,2022-01-14,101.38
108,2022-01-13,101.38
109,2022-01-12,101.38
110,2022-01-11,101.38
111,2022-01-10,101.38
112,2022-01-09,101.38
113,2022-01-08,101.38
114,2022-01-07,101.38
115,2022-01-06,101.38
116,2022-01-05,101.38
117,2022-01-04,101.38
118,2022-01-03,101.38
119,2022-01-02,101.38
120,2022-01-01,101.38
121,2021-12-31,101.38
122,2021-12-30,101.38
123,2021-12-29,101.38
124,2021-12-28,101.38
125,2021-12-27,101.38
126,2021-12-26,101.38
127,2021-12-25,101.38
128,2021-12-24,101.38
129,2021-12-23,101.38
130,2021-12-22,101.38
131,2021-12-21,101.38
132,2021-12-20,101.38
133,2021-12-19,101.38
134,2021-12-18,101.38
135,2021-12-17,101.38
136,2021-12-16,101.38
137,2021-12-15,101.38
138,2021-12-14,101.38
139,2021-12-13,101.38
140,2021-12-12,101.38
141,2021-12-11,101.38
142,2021-12-10,101.38
143,2021-12-09,101.38
144,2021-12-08,101.38
145,2021-12-07,101.38
146,2021-12-06,101.38
147,2021-12-05,101.38
148,2021-12-04,101.38
149,2021-12-03,101.38
150,2021-12-02,101.38
151,2021-11-30,101.38
152,2021-11-29,101.38
153,2021-11-28,101.38
154,2021-11-27,101.38
155,2021-11-26,101.38
156,2021-11-25,101.38
157,2021-11-24,101.38
158,2021-11-23,101.38
159,2021-11-22,101.38
160,2021-11-21,101.38
161,2021-11-20,101.38
162,2021-11-19,101.38
163,2021-11-18,101.38
164,2021-11-17,101.38
165,2021-11-16,101.38
166,2021-11-15,101.38
167,2021-11-14,101.38
168,2021-11-13,101.38
169,2021-11-12,101.38
170,2021-11-11,101.38
171,2021-11-10,101.38
172,2021-11-09,101.38
173,2021-11-08,101.38
174,2021-11-07,101.38
175,2021-11-06,101.38
176,2021-11-05,101.38
177,2021-11-04,108.5
178,2021-11-03,114.79
179,2021-11-02,114.79
180,2021-11-01,114.4
181,2021-10-31,113.95
182,2021-10-30,113.59
183,2021-10-29,113.23
184,2021-10-28,112.87
185,2021-10-27,112.5
186,2021-10-26,112.14
187,2021-10-25,112.14
188,2021-10-24,112.14
189,2021-10-23,111.78
190,2021-10-22,111.42
191,2021-10-21,111.05
192,2021-10-20,110.69
193,2021-10-15,109.6
194,2021-10-14,109.24
195,2021-10-13,108.88
196,2021-10-12,108.88
197,2021-10-11,108.88
198,2021-10-10,108.57
199,2021-10-09,108.26
200,2021-10-08,107.95
201,2021-10-07,107.63
202,2021-10-06,107.32
203,2021-10-05,107.01
204,2021-10-04,106.75
205,2021-10-03,106.75
206,2021-10-02,106.5
207,2021-10-01,106.24
208,2021-09-30,105.99
209,2021-09-29,105.75
210,2021-09-28,105.75
211,2021-09-27,105.55
212,2021-09-26,105.55
213,2021-09-25,105.55
214,2021-09-24,105.55
215,2021-09-23,105.55
216,2021-09-22,105.55
217,2021-09-21,105.55
218,2021-09-20,105.55
219,2021-09-19,105.55
220,2021-09-18,105.55
221,2021-09-17,105.55
222,2021-09-16,105.55
223,2021-09-15,105.55
224,2021-09-14,105.55
225,2021-09-13,105.55
226,2021-09-12,105.55
227,2021-09-11,105.55
228,2021-09-10,105.55
229,2021-09-09,105.55
230,2021-09-08,105.55
231,2021-09-07,105.55
232,2021-09-06,105.55
233,2021-09-05,105.55
234,2021-09-03,105.72
235,2021-09-02,105.72
236,2021-09-01,105.72
237,2021-08-31,105.88
238,2021-08-30,105.88
239,2021-08-29,105.88
240,2021-08-28,105.88
241,2021-08-27,105.88
242,2021-08-26,105.88
243,2021-08-25,105.88
244,2021-08-24,105.88
245,2021-08-23,106.03
246,2021-08-22,106.03
247,2021-08-21,106.11
248,2021-08-20,106.11
249,2021-08-19,106.11
250,2021-08-18,106.09
251,2021-08-17,106.09
252,2021-08-16,106.09
253,2021-08-15,106.09
254,2021-08-14,106.09
255,2021-08-13,106.09
256,2021-08-12,106.09
257,2021-08-11,106.09
258,2021-08-10,106.09
259,2021-08-09,106.09
260,2021-08-08,106.09
261,2021-08-07,106.09
262,2021-08-06,106.09
263,2021-08-05,106.09
264,2021-08-04,106.09
265,2021-08-03,106.09
266,2021-08-02,106.09
267,2021-08-01,106.09
268,2021-07-31,106.09
269,2021-07-30,106.09
270,2021-07-29,106.09
271,2021-07-28,106.09
272,2021-07-27,106.09
273,2021-07-26,106.09
274,2021-07-25,106.09
275,2021-07-24,106.09
276,2021-07-23,106.09
277,2021-07-22,106.09
278,2021-07-21,106.09
279,2021-07-20,106.09
280,2021-07-19,106.09
281,2021-07-18,106.09
282,2021-07-17,106.09
283,2021-07-16,105.78
284,2021-07-15,105.78
285,2021-07-14,105.42
286,2021-07-13,105.42
287,2021-07-12,105.42
288,2021-07-11,105.13
289,2021-07-10,105.13
290,2021-07-09,104.76
291,2021-07-08,104.76
292,2021-07-07,104.4
293,2021-07-06,104.04
294,2021-07-05,104.04
295,2021-07-04,103.68
296,2021-07-03,103.31
297,2021-07-02,103.31
298,2021-07-01,102.95
299,2021-06-30,102.95
300,2021-06-29,102.95
301,2021-06-28,102.59
302,2021-06-27,102.59
303,2021-06-26,102.23
304,2021-06-25,101.86
305,2021-06-24,101.86
306,2021-06-23,101.59
307,2021-06-22,101.59
308,2021-06-21,101.3
309,2021-06-20,101.3
310,2021-06-19,101
311,2021-06-18,101
312,2021-06-17,100.72
313,2021-06-16,100.72
314,2021-06-15,100.46
315,2021-06-14,100.46
316,2021-06-13,100.16
317,2021-06-12,100.16
318,2021-06-11,99.88
319,2021-06-10,99.58
320,2021-06-09,99.58
321,2021-06-08,99.33
322,2021-06-07,99.33
323,2021-06-06,99.04
324,2021-06-05,98.76
325,2021-06-04,98.76
326,2021-06-03,98.48
327,2021-06-02,98.48
328,2021-06-01,98.48
329,2021-05-31,98.21
330,2021-05-30,97.91
331,2021-05-29,97.91
332,2021-05-28,97.64
333,2021-05-27,97.64
334,2021-05-26,97.39
335,2021-05-25,97.39
336,2021-05-24,97.15
337,2021-05-23,97.15
338,2021-05-22,96.97
339,2021-05-21,96.97
340,2021-05-20,96.78
341,2021-05-19,96.78
342,2021-05-18,96.78
343,2021-05-17,96.5
344,2021-05-16,96.5
345,2021-05-15,96.25
346,2021-05-14,96.25
347,2021-05-13,95.95
348,2021-05-12,95.95
349,2021-05-11,95.69
350,2021-05-10,95.41
351,2021-05-09,95.14
352,2021-05-08,95.14
353,2021-05-07,95.14
354,2021-05-06,94.85
355,2021-05-05,94.59
356,2021-05-04,94.39
357,2021-05-03,94.13
358,2021-05-02,94.13
359,2021-05-01,94.13
360,2021-04-30,94.13
361,2021-04-29,94.13
362,2021-04-28,94.13
363,2021-04-27,94.13
364,2021-04-26,94.13
