,date,price
0,2022-05-01,111.12
1,2022-04-30,111.12
2,2022-04-29,111.12
3,2022-04-28,111.12
4,2022-04-27,111.12
5,2022-04-26,111.12
6,2022-04-25,111.12
7,2022-04-24,111.12
8,2022-04-23,111.12
9,2022-04-22,111.12
10,2022-04-21,111.12
11,2022-04-20,111.12
12,2022-04-19,111.12
13,2022-04-18,111.12
14,2022-04-17,111.12
15,2022-04-16,111.12
16,2022-04-15,111.12
17,2022-04-14,111.12
18,2022-04-13,111.12
19,2022-04-12,111.12
20,2022-04-11,111.12
21,2022-04-10,111.12
22,2022-04-09,111.12
23,2022-04-08,111.12
24,2022-04-07,111.12
25,2022-04-06,111.12
26,2022-04-05,110.28
27,2022-04-04,109.44
28,2022-04-03,109.02
29,2022-04-02,108.18
30,2022-04-01,107.33
31,2022-03-31,107.33
32,2022-03-30,106.49
33,2022-03-29,105.65
34,2022-03-28,104.81
35,2022-03-27,104.49
36,2022-03-26,103.96
37,2022-03-25,103.14
38,2022-03-24,102.3
39,2022-03-23,102.3
40,2022-03-22,101.46
41,2022-03-21,100.61
42,2022-03-20,100.61
43,2022-03-19,100.61
44,2022-03-18,100.61
45,2022-03-17,100.61
46,2022-03-16,100.61
47,2022-03-15,100.61
48,2022-03-14,100.61
49,2022-03-13,100.61
50,2022-03-12,100.61
51,2022-03-11,100.61
52,2022-03-10,100.61
53,2022-03-09,100.61
54,2022-03-08,100.61
55,2022-03-07,100.61
56,2022-03-06,100.61
57,2022-03-05,100.61
58,2022-03-04,100.61
59,2022-03-03,100.61
60,2022-03-02,100.61
61,2022-03-01,100.61
62,2022-02-28,100.61
63,2022-02-27,100.61
64,2022-02-26,100.61
65,2022-02-25,100.61
66,2022-02-24,100.61
67,2022-02-23,100.61
68,2022-02-22,100.61
69,2022-02-21,100.61
70,2022-02-20,100.61
71,2022-02-19,100.61
72,2022-02-18,100.61
73,2022-02-17,100.61
74,2022-02-16,100.61
75,2022-02-15,100.61
76,2022-02-14,100.61
77,2022-02-13,100.61
78,2022-02-12,100.61
79,2022-02-11,100.61
80,2022-02-10,100.61
81,2022-02-09,100.61
82,2022-02-08,100.61
83,2022-02-07,100.61
84,2022-02-06,100.61
85,2022-02-05,100.61
86,2022-02-04,100.61
87,2022-02-03,100.61
88,2022-02-02,100.61
89,2022-02-01,100.61
90,2022-01-31,100.61
91,2022-01-30,100.61
92,2022-01-29,100.61
93,2022-01-28,100.61
94,2022-01-27,100.61
95,2022-01-26,100.61
96,2022-01-25,100.61
97,2022-01-24,100.61
98,2022-01-23,100.61
99,2022-01-22,100.61
100,2022-01-21,100.61
101,2022-01-20,100.61
102,2022-01-19,100.61
103,2022-01-18,100.61
104,2022-01-17,100.61
105,2022-01-16,100.61
106,2022-01-15,100.61
107,2022-01-14,100.61
108,2022-01-13,100.61
109,2022-01-12,100.61
110,2022-01-11,100.61
111,2022-01-10,100.61
112,2022-01-09,100.61
113,2022-01-08,100.61
114,2022-01-07,100.61
115,2022-01-06,100.61
116,2022-01-05,100.61
117,2022-01-04,100.61
118,2022-01-03,100.61
119,2022-01-02,100.61
120,2022-01-01,100.61
121,2021-12-31,100.61
122,2021-12-30,100.61
123,2021-12-29,100.61
124,2021-12-28,100.61
125,2021-12-27,100.61
126,2021-12-26,100.61
127,2021-12-25,100.61
128,2021-12-24,100.61
129,2021-12-23,100.61
130,2021-12-22,100.61
131,2021-12-21,100.61
132,2021-12-20,100.61
133,2021-12-19,100.61
134,2021-12-18,100.61
135,2021-12-17,100.61
136,2021-12-16,100.61
137,2021-12-15,100.61
138,2021-12-14,100.61
139,2021-12-13,100.61
140,2021-12-12,100.61
141,2021-12-11,100.61
142,2021-12-10,100.61
143,2021-12-09,100.61
144,2021-12-08,100.61
145,2021-12-07,100.61
146,2021-12-06,100.61
147,2021-12-05,100.61
148,2021-12-04,100.61
149,2021-12-03,100.61
150,2021-12-02,100.61
151,2021-11-30,100.61
152,2021-11-29,100.61
153,2021-11-28,100.61
154,2021-11-27,100.61
155,2021-11-26,100.61
156,2021-11-25,100.61
157,2021-11-24,100.61
158,2021-11-23,100.61
159,2021-11-22,100.61
160,2021-11-21,100.61
161,2021-11-20,100.61
162,2021-11-19,100.61
163,2021-11-18,100.61
164,2021-11-17,100.61
165,2021-11-16,100.61
166,2021-11-15,100.61
167,2021-11-14,100.61
168,2021-11-13,100.61
169,2021-11-12,100.61
170,2021-11-11,100.61
171,2021-11-10,100.61
172,2021-11-09,100.61
173,2021-11-08,100.61
174,2021-11-07,100.61
175,2021-11-06,100.61
176,2021-11-05,100.61
177,2021-11-04,107.68
178,2021-11-03,113.96
179,2021-11-02,113.96
180,2021-11-01,113.58
181,2021-10-31,113.16
182,2021-10-30,112.8
183,2021-10-29,112.44
184,2021-10-28,112.08
185,2021-10-27,111.71
186,2021-10-26,111.35
187,2021-10-25,111.35
188,2021-10-24,111.35
189,2021-10-23,110.99
190,2021-10-22,110.63
191,2021-10-21,110.26
192,2021-10-20,109.9
193,2021-10-15,108.81
194,2021-10-14,108.45
195,2021-10-13,108.09
196,2021-10-12,108.09
197,2021-10-11,108.09
198,2021-10-10,107.78
199,2021-10-09,107.47
200,2021-10-08,107.16
