,date,price
0,2022-05-01,111.14
1,2022-04-30,111.14
2,2022-04-29,111.14
3,2022-04-28,111.14
4,2022-04-27,111.14
5,2022-04-26,111.14
6,2022-04-25,111.14
7,2022-04-24,111.14
8,2022-04-23,111.14
9,2022-04-22,111.14
10,2022-04-21,111.14
11,2022-04-20,111.14
12,2022-04-19,111.14
13,2022-04-18,111.14
14,2022-04-17,111.14
15,2022-04-16,111.14
16,2022-04-15,111.14
17,2022-04-14,111.14
18,2022-04-13,111.14
19,2022-04-12,111.14
20,2022-04-11,111.14
21,2022-04-10,111.14
22,2022-04-09,111.14
23,2022-04-08,111.14
24,2022-04-07,111.14
25,2022-04-06,111.14
26,2022-04-05,110.29
27,2022-04-04,109.45
28,2022-04-03,109.03
29,2022-04-02,108.19
30,2022-04-01,107.34
31,2022-03-31,107.34
32,2022-03-30,106.5
33,2022-03-29,105.66
34,2022-03-28,104.82
35,2022-03-27,104.5
36,2022-03-26,103.98
37,2022-03-25,103.15
38,2022-03-24,102.31
39,2022-03-23,102.31
40,2022-03-22,101.47
41,2022-03-21,100.62
42,2022-03-20,100.62
43,2022-03-19,100.62
44,2022-03-18,100.62
45,2022-03-17,100.62
46,2022-03-16,100.62
47,2022-03-15,100.62
48,2022-03-14,100.62
49,2022-03-13,100.62
50,2022-03-12,100.62
51,2022-03-11,100.62
52,2022-03-10,100.62
53,2022-03-09,100.62
54,2022-03-08,100.62
55,2022-03-07,100.62
56,2022-03-06,100.62
57,2022-03-05,100.62
58,2022-03-04,100.62
59,2022-03-03,100.62
60,2022-03-02,100.62
61,2022-03-01,100.62
62,2022-02-28,100.62
63,2022-02-27,100.62
64,2022-02-26,100.62
65,2022-02-25,100.62
66,2022-02-24,100.62
67,2022-02-23,100.62
68,2022-02-22,100.62
69,2022-02-21,100.62
70,2022-02-20,100.62
71,2022-02-19,100.62
72,2022-02-18,100.62
73,2022-02-17,100.62
74,2022-02-16,100.62
75,2022-02-15,100.62
76,2022-02-14,100.62
77,2022-02-13,100.62
78,2022-02-12,100.62
79,2022-02-11,100.62
80,2022-02-10,100.62
81,2022-02-09,100.62
82,2022-02-08,100.62
83,2022-02-07,100.62
84,2022-02-06,100.62
85,2022-02-05,100.62
86,2022-02-04,100.62
87,2022-02-03,100.62
88,2022-02-02,100.62
89,2022-02-01,100.62
90,2022-01-31,100.62
91,2022-01-30,100.62
92,2022-01-29,100.62
93,2022-01-28,100.62
94,2022-01-27,100.62
95,2022-01-26,100.62
96,2022-01-25,100.62
97,2022-01-24,100.62
98,2022-01-23,100.62
99,2022-01-22,100.62
100,2022-01-21,100.62
101,2022-01-20,100.62
102,2022-01-19,100.62
103,2022-01-18,100.62
104,2022-01-17,100.62
105,2022-01-16,100.62
106,2022-01-15,100.62
107,2022-01-14,100.62
108,2022-01-13,100.62
109,2022-01-12,100.62
110,2022-01-11,100.62
111,2022-01-10,100.62
112,2022-01-09,100.62
113,2022-01-08,100.62
114,2022-01-07,100.62
115,2022-01-06,100.62
116,2022-01-05,100.62
117,2022-01-04,100.62
118,2022-01-03,100.62
119,2022-01-02,100.62
120,2022-01-01,100.62
121,2021-12-31,100.62
122,2021-12-30,100.62
123,2021-12-29,100.62
124,2021-12-28,100.62
125,2021-12-27,100.62
126,2021-12-26,100.62
127,2021-12-25,100.62
128,2021-12-24,100.62
129,2021-12-23,100.62
130,2021-12-22,100.62
131,2021-12-21,100.62
132,2021-12-20,100.62
133,2021-12-19,100.62
134,2021-12-18,100.62
135,2021-12-17,100.62
136,2021-12-16,100.62
137,2021-12-15,100.62
138,2021-12-14,100.62
139,2021-12-13,100.62
140,2021-12-12,100.62
141,2021-12-11,100.62
142,2021-12-10,100.62
143,2021-12-09,100.62
144,2021-12-08,100.62
145,2021-12-07,100.62
146,2021-12-06,100.62
147,2021-12-05,100.62
148,2021-12-04,100.62
149,2021-12-03,100.62
150,2021-12-02,100.62
151,2021-11-30,100.62
152,2021-11-29,100.62
153,2021-11-28,100.62
154,2021-11-27,100.62
155,2021-11-26,100.62
156,2021-11-25,100.62
157,2021-11-24,100.62
158,2021-11-23,100.62
159,2021-11-22,100.62
160,2021-11-21,100.62
161,2021-11-20,100.62
162,2021-11-19,100.62
163,2021-11-18,100.62
164,2021-11-17,100.62
165,2021-11-16,100.62
166,2021-11-15,100.62
167,2021-11-14,100.62
168,2021-11-13,100.62
169,2021-11-12,100.62
170,2021-11-11,100.62
171,2021-11-10,100.62
172,2021-11-09,100.62
173,2021-11-08,100.62
174,2021-11-07,100.62
175,2021-11-06,100.62
176,2021-11-05,100.62
177,2021-11-04,107.69
178,2021-11-03,113.98
179,2021-11-02,113.98
180,2021-11-01,113.59
181,2021-10-31,113.18
182,2021-10-30,112.81
183,2021-10-29,112.45
184,2021-10-28,112.09
185,2021-10-27,111.73
186,2021-10-26,111.36
187,2021-10-25,111.36
188,2021-10-24,111.36
189,2021-10-23,111
190,2021-10-22,110.64
191,2021-10-21,110.28
192,2021-10-20,109.91
193,2021-10-15,108.83
194,2021-10-14,108.46
195,2021-10-13,108.1
196,2021-10-12,108.1
197,2021-10-11,108.1
198,2021-10-10,107.79
199,2021-10-09,107.48
200,2021-10-08,107.17
201,2021-10-07,106.86
202,2021-10-06,106.55
203,2021-10-05,106.24
204,2021-10-04,105.98
205,2021-10-03,105.98
206,2021-10-02,105.72
207,2021-10-01,105.46
208,2021-09-30,105.21
209,2021-09-29,104.97
210,2021-09-28,104.97
211,2021-09-27,104.77
212,2021-09-26,104.77
213,2021-09-25,104.77
214,2021-09-24,104.77
215,2021-09-23,104.77
216,2021-09-22,104.77
217,2021-09-21,104.77
218,2021-09-20,104.77
219,2021-09-19,104.77
220,2021-09-18,104.77
221,2021-09-17,104.77
222,2021-09-16,104.77
223,2021-09-15,104.77
224,2021-09-14,104.77
225,2021-09-13,104.77
226,2021-09-12,104.77
227,2021-09-11,104.77
228,2021-09-10,104.77
229,2021-09-09,104.77
230,2021-09-08,104.77
231,2021-09-07,104.77
232,2021-09-06,104.77
233,2021-09-05,104.77
234,2021-09-03,104.94
235,2021-09-02,104.94
236,2021-09-01,104.94
237,2021-08-31,105.11
238,2021-08-30,105.11
