,date,price
0,2022-05-01,112.79
1,2022-04-30,112.79
2,2022-04-29,112.79
3,2022-04-28,112.79
4,2022-04-27,112.79
5,2022-04-26,112.79
6,2022-04-25,112.79
7,2022-04-24,112.79
8,2022-04-23,112.79
9,2022-04-22,112.79
10,2022-04-21,112.79
11,2022-04-20,112.79
12,2022-04-19,112.79
13,2022-04-18,112.79
14,2022-04-17,112.79
15,2022-04-16,112.79
16,2022-04-15,112.79
17,2022-04-14,112.79
18,2022-04-13,112.79
19,2022-04-12,112.79
20,2022-04-11,112.79
21,2022-04-10,112.79
22,2022-04-09,112.79
23,2022-04-08,112.79
24,2022-04-07,112.79
25,2022-04-06,112.79
26,2022-04-05,111.95
27,2022-04-04,111.11
28,2022-04-03,110.68
29,2022-04-02,109.84
30,2022-04-01,109
31,2022-03-31,109
32,2022-03-30,108.16
33,2022-03-29,107.32
34,2022-03-28,106.47
35,2022-03-27,106.16
36,2022-03-26,105.63
37,2022-03-25,104.85
38,2022-03-24,104.01
39,2022-03-23,104.01
40,2022-03-22,103.17
41,2022-03-21,102.32
42,2022-03-20,102.32
43,2022-03-19,102.32
44,2022-03-18,102.32
45,2022-03-17,102.32
46,2022-03-16,102.32
47,2022-03-15,102.32
48,2022-03-14,102.32
49,2022-03-13,102.32
50,2022-03-12,102.32
51,2022-03-11,102.32
52,2022-03-10,102.32
53,2022-03-09,102.32
54,2022-03-08,102.32
55,2022-03-07,102.32
56,2022-03-06,102.32
57,2022-03-05,102.32
58,2022-03-04,102.32
59,2022-03-03,102.32
60,2022-03-02,102.32
61,2022-03-01,102.32
62,2022-02-28,102.32
63,2022-02-27,102.32
64,2022-02-26,102.32
65,2022-02-25,102.32
66,2022-02-24,102.32
67,2022-02-23,102.32
68,2022-02-22,102.32
69,2022-02-21,102.32
70,2022-02-20,102.32
71,2022-02-19,102.32
72,2022-02-18,102.32
73,2022-02-17,102.32
74,2022-02-16,102.32
75,2022-02-15,102.32
76,2022-02-14,102.32
77,2022-02-13,102.32
78,2022-02-12,102.32
79,2022-02-11,102.32
80,2022-02-10,102.32
81,2022-02-09,102.32
82,2022-02-08,102.32
83,2022-02-07,102.32
84,2022-02-06,102.32
85,2022-02-05,102.32
86,2022-02-04,102.32
87,2022-02-03,102.32
88,2022-02-02,102.32
89,2022-02-01,102.32
90,2022-01-31,102.32
91,2022-01-30,102.32
92,2022-01-29,102.32
93,2022-01-28,102.32
94,2022-01-27,102.32
95,2022-01-26,102.32
96,2022-01-25,102.32
97,2022-01-24,102.32
98,2022-01-23,102.32
99,2022-01-22,102.32
100,2022-01-21,102.32
101,2022-01-20,102.32
102,2022-01-19,102.32
103,2022-01-18,102.32
104,2022-01-17,102.32
105,2022-01-16,102.32
106,2022-01-15,102.32
107,2022-01-14,102.32
108,2022-01-13,102.32
109,2022-01-12,102.32
110,2022-01-11,102.32
111,2022-01-10,102.32
112,2022-01-09,102.32
113,2022-01-08,102.32
114,2022-01-07,102.32
115,2022-01-06,102.32
116,2022-01-05,102.32
117,2022-01-04,102.32
118,2022-01-03,102.32
119,2022-01-02,102.32
120,2022-01-01,102.32
121,2021-12-31,102.32
122,2021-12-30,102.32
123,2021-12-29,102.32
124,2021-12-28,102.32
125,2021-12-27,102.32
126,2021-12-26,102.32
127,2021-12-25,102.32
128,2021-12-24,102.32
129,2021-12-23,102.32
130,2021-12-22,102.32
131,2021-12-21,102.32
132,2021-12-20,102.32
133,2021-12-19,102.32
134,2021-12-18,102.32
135,2021-12-17,102.32
136,2021-12-16,102.32
137,2021-12-15,102.32
138,2021-12-14,102.32
139,2021-12-13,102.32
140,2021-12-12,102.32
141,2021-12-11,102.32
142,2021-12-10,102.32
143,2021-12-09,102.32
144,2021-12-08,102.32
145,2021-12-07,102.32
146,2021-12-06,102.32
147,2021-12-05,102.32
148,2021-12-04,102.32
149,2021-12-03,102.32
150,2021-12-02,102.32
151,2021-11-30,102.32
152,2021-11-29,102.32
153,2021-11-28,102.32
154,2021-11-27,102.32
155,2021-11-26,102.32
156,2021-11-25,102.32
157,2021-11-24,102.32
158,2021-11-23,102.32
159,2021-11-22,102.32
160,2021-11-21,102.32
