,date,price
0,2022-05-01,111.34
1,2022-04-30,111.34
2,2022-04-29,111.34
3,2022-04-28,111.34
4,2022-04-27,111.34
5,2022-04-26,111.34
6,2022-04-25,111.34
7,2022-04-24,111.34
8,2022-04-23,111.34
9,2022-04-22,111.34
10,2022-04-21,111.34
11,2022-04-20,111.34
12,2022-04-19,111.34
13,2022-04-18,111.34
14,2022-04-17,111.34
15,2022-04-16,111.34
16,2022-04-15,111.34
17,2022-04-14,111.34
18,2022-04-13,111.34
19,2022-04-12,111.34
20,2022-04-11,111.34
21,2022-04-10,111.34
22,2022-04-09,111.34
23,2022-04-08,111.34
24,2022-04-07,111.34
25,2022-04-06,111.34
26,2022-04-05,110.5
27,2022-04-04,109.66
28,2022-04-03,109.23
29,2022-04-02,108.39
30,2022-04-01,107.55
31,2022-03-31,107.55
32,2022-03-30,106.71
33,2022-03-29,105.86
34,2022-03-28,105.02
35,2022-03-27,104.71
36,2022-03-26,104.18
37,2022-03-25,103.35
38,2022-03-24,102.51
39,2022-03-23,102.51
40,2022-03-22,101.67
41,2022-03-21,100.83
42,2022-03-20,100.83
43,2022-03-19,100.83
44,2022-03-18,100.83
45,2022-03-17,100.83
46,2022-03-16,100.83
47,2022-03-15,100.83
48,2022-03-14,100.83
49,2022-03-13,100.83
50,2022-03-12,100.83
51,2022-03-11,100.83
52,2022-03-10,100.83
53,2022-03-09,100.83
54,2022-03-08,100.83
55,2022-03-07,100.83
56,2022-03-06,100.83
57,2022-03-05,100.83
58,2022-03-04,100.83
59,2022-03-03,100.83
60,2022-03-02,100.83
61,2022-03-01,100.83
62,2022-02-28,100.83
63,2022-02-27,100.83
64,2022-02-26,100.83
65,2022-02-25,100.83
66,2022-02-24,100.83
67,2022-02-23,100.83
68,2022-02-22,100.83
69,2022-02-21,100.83
70,2022-02-20,100.83
71,2022-02-19,100.83
72,2022-02-18,100.83
73,2022-02-17,100.83
74,2022-02-16,100.83
75,2022-02-15,100.83
76,2022-02-14,100.83
77,2022-02-13,100.83
