,date,price
0,2022-05-01,111.52
1,2022-04-30,111.52
2,2022-04-29,111.52
3,2022-04-28,111.52
4,2022-04-27,111.52
5,2022-04-26,111.52
6,2022-04-25,111.52
7,2022-04-24,111.52
8,2022-04-23,111.52
9,2022-04-22,111.52
10,2022-04-21,111.52
11,2022-04-20,111.52
12,2022-04-19,111.52
13,2022-04-18,111.52
14,2022-04-17,111.52
15,2022-04-16,111.52
16,2022-04-15,111.52
17,2022-04-14,111.52
18,2022-04-13,111.52
19,2022-04-12,111.52
20,2022-04-11,111.52
21,2022-04-10,111.52
22,2022-04-09,111.52
23,2022-04-08,111.52
24,2022-04-07,111.52
25,2022-04-06,111.52
26,2022-04-05,110.67
27,2022-04-04,109.83
28,2022-04-03,109.41
29,2022-04-02,108.57
30,2022-04-01,107.72
31,2022-03-31,107.72
32,2022-03-30,106.88
33,2022-03-29,106.04
34,2022-03-28,105.2
35,2022-03-27,104.88
36,2022-03-26,104.36
37,2022-03-25,103.54
38,2022-03-24,102.69
39,2022-03-23,102.69
40,2022-03-22,101.85
41,2022-03-21,101.01
42,2022-03-20,101.01
43,2022-03-19,101.01
44,2022-03-18,101.01
45,2022-03-17,101.01
46,2022-03-16,101.01
47,2022-03-15,101.01
48,2022-03-14,101.01
49,2022-03-13,101.01
50,2022-03-12,101.01
51,2022-03-11,101.01
52,2022-03-10,101.01
53,2022-03-09,101.01
54,2022-03-08,101.01
55,2022-03-07,101.01
56,2022-03-06,101.01
57,2022-03-05,101.01
58,2022-03-04,101.01
59,2022-03-03,101.01
60,2022-03-02,101.01
61,2022-03-01,101.01
62,2022-02-28,101.01
63,2022-02-27,101.01
64,2022-02-26,101.01
65,2022-02-25,101.01
66,2022-02-24,101.01
67,2022-02-23,101.01
68,2022-02-22,101.01
69,2022-02-21,101.01
70,2022-02-20,101.01
71,2022-02-19,101.01
72,2022-02-18,101.01
73,2022-02-17,101.01
74,2022-02-16,101.01
75,2022-02-15,101.01
76,2022-02-14,101.01
77,2022-02-13,101.01
78,2022-02-12,101.01
79,2022-02-11,101.01
80,2022-02-10,101.01
81,2022-02-09,101.01
82,2022-02-08,101.01
83,2022-02-07,101.01
84,2022-02-06,101.01
85,2022-02-05,101.01
86,2022-02-04,101.01
87,2022-02-03,101.01
88,2022-02-02,101.01
89,2022-02-01,101.01
90,2022-01-31,101.01
91,2022-01-30,101.01
92,2022-01-29,101.01
93,2022-01-28,101.01
94,2022-01-27,101.01
95,2022-01-26,101.01
96,2022-01-25,101.01
97,2022-01-24,101.01
98,2022-01-23,101.01
99,2022-01-22,101.01
100,2022-01-21,101.01
101,2022-01-20,101.01
102,2022-01-19,101.01
103,2022-01-18,101.01
104,2022-01-17,101.01
105,2022-01-16,101.01
106,2022-01-15,101.01
107,2022-01-14,101.01
108,2022-01-13,101.01
109,2022-01-12,101.01
110,2022-01-11,101.01
111,2022-01-10,101.01
112,2022-01-09,101.01
113,2022-01-08,101.01
114,2022-01-07,101.01
115,2022-01-06,101.01
116,2022-01-05,101.01
117,2022-01-04,101.01
118,2022-01-03,101.01
119,2022-01-02,101.01
120,2022-01-01,101.01
121,2021-12-31,101.01
122,2021-12-30,101.01
123,2021-12-29,101.01
124,2021-12-28,101.01
125,2021-12-27,101.01
126,2021-12-26,101.01
127,2021-12-25,101.01
128,2021-12-24,101.01
129,2021-12-23,101.01
130,2021-12-22,101.01
131,2021-12-21,101.01
132,2021-12-20,101.01
133,2021-12-19,101.01
134,2021-12-18,101.01
135,2021-12-17,101.01
136,2021-12-16,101.01
137,2021-12-15,101.01
138,2021-12-14,101.01
139,2021-12-13,101.01
140,2021-12-12,101.01
141,2021-12-11,101.01
142,2021-12-10,101.01
143,2021-12-09,101.01
144,2021-12-08,101.01
145,2021-12-07,101.01
146,2021-12-06,101.01
147,2021-12-05,101.01
148,2021-12-04,101.01
149,2021-12-03,101.01
150,2021-12-02,101.01
151,2021-11-30,101.01
152,2021-11-29,101.01
153,2021-11-28,101.01
154,2021-11-27,101.01
155,2021-11-26,101.01
156,2021-11-25,101.01
157,2021-11-24,101.01
158,2021-11-23,101.01
159,2021-11-22,101.01
160,2021-11-21,101.01
161,2021-11-20,101.01
162,2021-11-19,101.01
163,2021-11-18,101.01
164,2021-11-17,101.01
165,2021-11-16,101.01
166,2021-11-15,101.01
167,2021-11-14,101.01
168,2021-11-13,101.01
169,2021-11-12,101.01
170,2021-11-11,101.01
171,2021-11-10,101.01
172,2021-11-09,101.01
173,2021-11-08,101.01
174,2021-11-07,101.01
175,2021-11-06,101.01
176,2021-11-05,101.01
177,2021-11-04,108.1
178,2021-11-03,114.39
179,2021-11-02,114.39
180,2021-11-01,114.01
181,2021-10-31,113.58
182,2021-10-30,113.22
183,2021-10-29,112.85
184,2021-10-28,112.49
185,2021-10-27,112.13
186,2021-10-26,111.77
187,2021-10-25,111.77
188,2021-10-24,111.77
189,2021-10-23,111.4
190,2021-10-22,111.04
191,2021-10-21,110.68
192,2021-10-20,110.32
193,2021-10-15,109.23
194,2021-10-14,108.87
195,2021-10-13,108.5
196,2021-10-12,108.5
197,2021-10-11,108.5
198,2021-10-10,108.19
199,2021-10-09,107.88
200,2021-10-08,107.57
201,2021-10-07,107.26
202,2021-10-06,106.95
203,2021-10-05,106.64
204,2021-10-04,106.38
205,2021-10-03,106.38
206,2021-10-02,106.12
207,2021-10-01,105.86
208,2021-09-30,105.62
209,2021-09-29,105.37
210,2021-09-28,105.37
211,2021-09-27,105.18
212,2021-09-26,105.18
213,2021-09-25,105.18
214,2021-09-24,105.18
215,2021-09-23,105.18
216,2021-09-22,105.18
217,2021-09-21,105.18
218,2021-09-20,105.18
219,2021-09-19,105.18
220,2021-09-18,105.18
221,2021-09-17,105.18
222,2021-09-16,105.18
223,2021-09-15,105.18
224,2021-09-14,105.18
225,2021-09-13,105.18
226,2021-09-12,105.18
227,2021-09-11,105.18
228,2021-09-10,105.18
229,2021-09-09,105.18
230,2021-09-08,105.18
231,2021-09-07,105.18
232,2021-09-06,105.18
233,2021-09-05,105.18
234,2021-09-03,105.34
235,2021-09-02,105.34
236,2021-09-01,105.34
237,2021-08-31,105.51
238,2021-08-30,105.51
239,2021-08-29,105.51
240,2021-08-28,105.51
241,2021-08-27,105.51
242,2021-08-26,105.51
243,2021-08-25,105.51
244,2021-08-24,105.51
245,2021-08-23,105.66
246,2021-08-22,105.66
247,2021-08-21,105.77
248,2021-08-20,105.77
249,2021-08-19,105.77
250,2021-08-18,105.78
251,2021-08-17,105.78
252,2021-08-16,105.78
253,2021-08-15,105.78
