,date,price
0,2022-05-01,111.97
1,2022-04-30,111.97
2,2022-04-29,111.97
3,2022-04-28,111.97
4,2022-04-27,111.97
5,2022-04-26,111.97
6,2022-04-25,111.97
7,2022-04-24,111.97
8,2022-04-23,111.97
9,2022-04-22,111.97
10,2022-04-21,111.97
11,2022-04-20,111.97
12,2022-04-19,111.97
13,2022-04-18,111.97
14,2022-04-17,111.97
15,2022-04-16,111.97
16,2022-04-15,111.97
17,2022-04-14,111.97
18,2022-04-13,111.97
19,2022-04-12,111.97
20,2022-04-11,111.97
21,2022-04-10,111.97
22,2022-04-09,111.97
23,2022-04-08,111.97
24,2022-04-07,111.97
25,2022-04-06,111.97
26,2022-04-05,111.13
27,2022-04-04,110.29
28,2022-04-03,109.86
29,2022-04-02,109.02
30,2022-04-01,108.18
31,2022-03-31,108.18
32,2022-03-30,107.34
33,2022-03-29,106.5
34,2022-03-28,105.65
35,2022-03-27,105.34
36,2022-03-26,104.81
37,2022-03-25,104.01
38,2022-03-24,103.16
39,2022-03-23,103.16
40,2022-03-22,102.32
41,2022-03-21,101.48
42,2022-03-20,101.48
43,2022-03-19,101.48
44,2022-03-18,101.48
45,2022-03-17,101.48
46,2022-03-16,101.48
47,2022-03-15,101.48
48,2022-03-14,101.48
49,2022-03-13,101.48
50,2022-03-12,101.48
51,2022-03-11,101.48
52,2022-03-10,101.48
53,2022-03-09,101.48
54,2022-03-08,101.48
55,2022-03-07,101.48
56,2022-03-06,101.48
57,2022-03-05,101.48
58,2022-03-04,101.48
59,2022-03-03,101.48
60,2022-03-02,101.48
61,2022-03-01,101.48
62,2022-02-28,101.48
63,2022-02-27,101.48
64,2022-02-26,101.48
65,2022-02-25,101.48
66,2022-02-24,101.48
67,2022-02-23,101.48
68,2022-02-22,101.48
69,2022-02-21,101.48
70,2022-02-20,101.48
71,2022-02-19,101.48
72,2022-02-18,101.48
73,2022-02-17,101.48
74,2022-02-16,101.48
75,2022-02-15,101.48
76,2022-02-14,101.48
77,2022-02-13,101.48
78,2022-02-12,101.48
79,2022-02-11,101.48
80,2022-02-10,101.48
81,2022-02-09,101.48
82,2022-02-08,101.48
83,2022-02-07,101.48
84,2022-02-06,101.48
85,2022-02-05,101.48
86,2022-02-04,101.48
87,2022-02-03,101.48
88,2022-02-02,101.48
89,2022-02-01,101.48
90,2022-01-31,101.48
91,2022-01-30,101.48
92,2022-01-29,101.48
93,2022-01-28,101.48
94,2022-01-27,101.48
95,2022-01-26,101.48
96,2022-01-25,101.48
97,2022-01-24,101.48
98,2022-01-23,101.48
99,2022-01-22,101.48
100,2022-01-21,101.48
101,2022-01-20,101.48
102,2022-01-19,101.48
103,2022-01-18,101.48
104,2022-01-17,101.48
105,2022-01-16,101.48
106,2022-01-15,101.48
107,2022-01-14,101.48
108,2022-01-13,101.48
109,2022-01-12,101.48
110,2022-01-11,101.48
111,2022-01-10,101.48
112,2022-01-09,101.48
113,2022-01-08,101.48
114,2022-01-07,101.48
115,2022-01-06,101.48
116,2022-01-05,101.48
117,2022-01-04,101.48
118,2022-01-03,101.48
119,2022-01-02,101.48
120,2022-01-01,101.48
121,2021-12-31,101.48
122,2021-12-30,101.48
123,2021-12-29,101.48
124,2021-12-28,101.48
125,2021-12-27,101.48
126,2021-12-26,101.48
127,2021-12-25,101.48
128,2021-12-24,101.48
129,2021-12-23,101.48
130,2021-12-22,101.48
131,2021-12-21,101.48
132,2021-12-20,101.48
133,2021-12-19,101.48
134,2021-12-18,101.48
135,2021-12-17,101.48
136,2021-12-16,101.48
137,2021-12-15,101.48
138,2021-12-14,101.48
139,2021-12-13,101.48
140,2021-12-12,101.48
141,2021-12-11,101.48
142,2021-12-10,101.48
143,2021-12-09,101.48
144,2021-12-08,101.48
145,2021-12-07,101.48
146,2021-12-06,101.48
147,2021-12-05,101.48
148,2021-12-04,101.48
149,2021-12-03,101.48
150,2021-12-02,101.48
151,2021-11-30,101.48
152,2021-11-29,101.48
153,2021-11-28,101.48
154,2021-11-27,101.48
155,2021-11-26,101.48
156,2021-11-25,101.48
157,2021-11-24,101.48
158,2021-11-23,101.48
159,2021-11-22,101.48
160,2021-11-21,101.48
161,2021-11-20,101.48
162,2021-11-19,101.48
163,2021-11-18,101.48
164,2021-11-17,101.48
165,2021-11-16,101.48
166,2021-11-15,101.48
167,2021-11-14,101.48
168,2021-11-13,101.48
169,2021-11-12,101.48
170,2021-11-11,101.48
171,2021-11-10,101.48
172,2021-11-09,101.48
173,2021-11-08,101.48
174,2021-11-07,101.48
175,2021-11-06,101.48
176,2021-11-05,101.48
177,2021-11-04,108.6
178,2021-11-03,114.89
