,date,price
0,2022-05-01,110.88
1,2022-04-30,110.88
2,2022-04-29,110.88
3,2022-04-28,110.88
4,2022-04-27,110.88
5,2022-04-26,110.88
6,2022-04-25,110.88
7,2022-04-24,110.88
8,2022-04-23,110.88
9,2022-04-22,110.88
10,2022-04-21,110.88
11,2022-04-20,110.88
12,2022-04-19,110.88
13,2022-04-18,110.88
14,2022-04-17,110.88
15,2022-04-16,110.88
16,2022-04-15,110.88
17,2022-04-14,110.88
18,2022-04-13,110.88
19,2022-04-12,110.88
20,2022-04-11,110.88
21,2022-04-10,110.88
22,2022-04-09,110.88
23,2022-04-08,110.88
24,2022-04-07,110.88
25,2022-04-06,110.88
26,2022-04-05,110.03
27,2022-04-04,109.19
28,2022-04-03,108.77
29,2022-04-02,107.93
30,2022-04-01,107.09
31,2022-03-31,107.09
32,2022-03-30,106.24
33,2022-03-29,105.4
34,2022-03-28,104.56
35,2022-03-27,104.24
36,2022-03-26,103.72
37,2022-03-25,102.88
38,2022-03-24,102.04
39,2022-03-23,102.04
40,2022-03-22,101.2
41,2022-03-21,100.36
42,2022-03-20,100.36
43,2022-03-19,100.36
44,2022-03-18,100.36
45,2022-03-17,100.36
46,2022-03-16,100.36
47,2022-03-15,100.36
48,2022-03-14,100.36
49,2022-03-13,100.36
50,2022-03-12,100.36
51,2022-03-11,100.36
52,2022-03-10,100.36
53,2022-03-09,100.36
54,2022-03-08,100.36
55,2022-03-07,100.36
56,2022-03-06,100.36
57,2022-03-05,100.36
58,2022-03-04,100.36
59,2022-03-03,100.36
60,2022-03-02,100.36
61,2022-03-01,100.36
62,2022-02-28,100.36
63,2022-02-27,100.36
64,2022-02-26,100.36
65,2022-02-25,100.36
66,2022-02-24,100.36
67,2022-02-23,100.36
68,2022-02-22,100.36
69,2022-02-21,100.36
70,2022-02-20,100.36
71,2022-02-19,100.36
72,2022-02-18,100.36
73,2022-02-17,100.36
74,2022-02-16,100.36
75,2022-02-15,100.36
76,2022-02-14,100.36
77,2022-02-13,100.36
78,2022-02-12,100.36
79,2022-02-11,100.36
80,2022-02-10,100.36
81,2022-02-09,100.36
82,2022-02-08,100.36
83,2022-02-07,100.36
84,2022-02-06,100.36
85,2022-02-05,100.36
86,2022-02-04,100.36
87,2022-02-03,100.36
88,2022-02-02,100.36
89,2022-02-01,100.36
90,2022-01-31,100.36
91,2022-01-30,100.36
92,2022-01-29,100.36
93,2022-01-28,100.36
94,2022-01-27,100.36
95,2022-01-26,100.36
96,2022-01-25,100.36
97,2022-01-24,100.36
98,2022-01-23,100.36
