,date,price
0,2022-05-01,110.55
1,2022-04-30,110.55
2,2022-04-29,110.55
3,2022-04-28,110.55
4,2022-04-27,110.55
5,2022-04-26,110.55
6,2022-04-25,110.55
7,2022-04-24,110.55
8,2022-04-23,110.55
9,2022-04-22,110.55
10,2022-04-21,110.55
11,2022-04-20,110.55
12,2022-04-19,110.55
13,2022-04-18,110.55
14,2022-04-17,110.55
15,2022-04-16,110.55
16,2022-04-15,110.55
17,2022-04-14,110.55
18,2022-04-13,110.55
19,2022-04-12,110.55
20,2022-04-11,110.55
21,2022-04-10,110.55
22,2022-04-09,110.55
23,2022-04-08,110.55
24,2022-04-07,110.55
25,2022-04-06,110.55
26,2022-04-05,109.7
27,2022-04-04,108.86
28,2022-04-03,108.44
29,2022-04-02,107.6
30,2022-04-01,106.76
31,2022-03-31,106.76
32,2022-03-30,105.91
33,2022-03-29,105.07
34,2022-03-28,104.23
35,2022-03-27,103.91
36,2022-03-26,103.39
37,2022-03-25,102.55
38,2022-03-24,101.71
39,2022-03-23,101.71
40,2022-03-22,100.87
41,2022-03-21,100.03
42,2022-03-20,100.03
43,2022-03-19,100.03
44,2022-03-18,100.03
45,2022-03-17,100.03
46,2022-03-16,100.03
47,2022-03-15,100.03
48,2022-03-14,100.03
49,2022-03-13,100.03
50,2022-03-12,100.03
51,2022-03-11,100.03
52,2022-03-10,100.03
53,2022-03-09,100.03
54,2022-03-08,100.03
55,2022-03-07,100.03
56,2022-03-06,100.03
57,2022-03-05,100.03
58,2022-03-04,100.03
59,2022-03-03,100.03
60,2022-03-02,100.03
61,2022-03-01,100.03
62,2022-02-28,100.03
63,2022-02-27,100.03
64,2022-02-26,100.03
65,2022-02-25,100.03
66,2022-02-24,100.03
67,2022-02-23,100.03
68,2022-02-22,100.03
69,2022-02-21,100.03
70,2022-02-20,100.03
71,2022-02-19,100.03
72,2022-02-18,100.03
73,2022-02-17,100.03
74,2022-02-16,100.03
75,2022-02-15,100.03
76,2022-02-14,100.03
77,2022-02-13,100.03
