,date,price
0,2022-05-01,115.3
1,2022-04-30,115.3
2,2022-04-29,115.3
3,2022-04-28,115.3
4,2022-04-27,115.3
5,2022-04-26,115.3
6,2022-04-25,115.3
7,2022-04-24,115.3
8,2022-04-23,115.3
9,2022-04-22,115.3
10,2022-04-21,115.3
11,2022-04-20,115.3
12,2022-04-19,115.3
13,2022-04-18,115.3
14,2022-04-17,115.3
15,2022-04-16,115.3
16,2022-04-15,115.3
17,2022-04-14,115.3
18,2022-04-13,115.3
19,2022-04-12,115.3
20,2022-04-11,115.3
21,2022-04-10,115.3
22,2022-04-09,115.3
23,2022-04-08,115.3
24,2022-04-07,115.3
25,2022-04-06,115.3
26,2022-04-05,114.43
27,2022-04-04,113.56
28,2022-04-03,113.12
29,2022-04-02,112.25
30,2022-04-01,111.38
31,2022-03-31,111.38
32,2022-03-30,110.51
33,2022-03-29,109.63
34,2022-03-28,108.76
35,2022-03-27,108.44
36,2022-03-26,107.89
37,2022-03-25,107.02
38,2022-03-24,106.15
39,2022-03-23,106.15
40,2022-03-22,105.27
41,2022-03-21,104.4
42,2022-03-20,104.4
43,2022-03-19,104.4
44,2022-03-18,104.4
45,2022-03-17,104.4
46,2022-03-16,104.4
47,2022-03-15,104.4
48,2022-03-14,104.4
49,2022-03-13,104.4
50,2022-03-12,104.4
51,2022-03-11,104.4
52,2022-03-10,104.4
53,2022-03-09,104.4
54,2022-03-08,104.4
55,2022-03-07,104.4
56,2022-03-06,104.4
57,2022-03-05,104.4
58,2022-03-04,104.4
59,2022-03-03,104.4
60,2022-03-02,104.4
61,2022-03-01,104.4
62,2022-02-28,104.4
63,2022-02-27,104.4
64,2022-02-26,104.4
65,2022-02-25,104.4
66,2022-02-24,104.4
67,2022-02-23,104.4
68,2022-02-22,104.4
69,2022-02-21,104.4
70,2022-02-20,104.4
71,2022-02-19,104.4
72,2022-02-18,104.4
73,2022-02-17,104.4
74,2022-02-16,104.4
75,2022-02-15,104.4
76,2022-02-14,104.4
77,2022-02-13,104.4
78,2022-02-12,104.4
79,2022-02-11,104.4
80,2022-02-10,104.4
81,2022-02-09,104.4
82,2022-02-08,104.4
83,2022-02-07,104.4
84,2022-02-06,104.4
