,date,price
0,2022-05-01,116.47
1,2022-04-30,116.47
2,2022-04-29,116.47
3,2022-04-28,116.47
4,2022-04-27,116.47
5,2022-04-26,116.47
6,2022-04-25,116.47
7,2022-04-24,116.47
8,2022-04-23,116.47
9,2022-04-22,116.47
10,2022-04-21,116.47
11,2022-04-20,116.47
12,2022-04-19,116.47
13,2022-04-18,116.47
14,2022-04-17,116.47
15,2022-04-16,116.47
16,2022-04-15,116.47
17,2022-04-14,116.47
18,2022-04-13,116.47
19,2022-04-12,116.47
20,2022-04-11,116.47
21,2022-04-10,116.47
22,2022-04-09,116.47
23,2022-04-08,116.47
24,2022-04-07,116.47
25,2022-04-06,116.47
26,2022-04-05,115.6
27,2022-04-04,114.73
28,2022-04-03,114.29
29,2022-04-02,113.42
30,2022-04-01,112.55
31,2022-03-31,112.55
32,2022-03-30,111.68
33,2022-03-29,110.8
34,2022-03-28,109.93
35,2022-03-27,109.61
36,2022-03-26,109.06
37,2022-03-25,108.23
38,2022-03-24,107.36
39,2022-03-23,107.36
40,2022-03-22,106.49
41,2022-03-21,105.62
42,2022-03-20,105.62
43,2022-03-19,105.62
44,2022-03-18,105.62
45,2022-03-17,105.62
46,2022-03-16,105.62
47,2022-03-15,105.62
48,2022-03-14,105.62
49,2022-03-13,105.62
50,2022-03-12,105.62
51,2022-03-11,105.62
52,2022-03-10,105.62
53,2022-03-09,105.62
54,2022-03-08,105.62
55,2022-03-07,105.62
56,2022-03-06,105.62
57,2022-03-05,105.62
58,2022-03-04,105.62
59,2022-03-03,105.62
60,2022-03-02,105.62
61,2022-03-01,105.62
62,2022-02-28,105.62
63,2022-02-27,105.62
64,2022-02-26,105.62
65,2022-02-25,105.62
66,2022-02-24,105.62
67,2022-02-23,105.62
68,2022-02-22,105.62
69,2022-02-21,105.62
70,2022-02-20,105.62
71,2022-02-19,105.62
72,2022-02-18,105.62
73,2022-02-17,105.62
74,2022-02-16,105.62
75,2022-02-15,105.62
76,2022-02-14,105.62
77,2022-02-13,105.62
78,2022-02-12,105.62
79,2022-02-11,105.62
80,2022-02-10,105.62
81,2022-02-09,105.62
82,2022-02-08,105.62
83,2022-02-07,105.62
84,2022-02-06,105.62
85,2022-02-05,105.62
86,2022-02-04,105.62
87,2022-02-03,105.62
88,2022-02-02,105.62
89,2022-02-01,105.62
90,2022-01-31,105.62
91,2022-01-30,105.62
92,2022-01-29,105.62
93,2022-01-28,105.62
94,2022-01-27,105.62
95,2022-01-26,105.62
96,2022-01-25,105.62
97,2022-01-24,105.62
98,2022-01-23,105.62
99,2022-01-22,105.62
100,2022-01-21,105.62
101,2022-01-20,105.62
102,2022-01-19,105.62
103,2022-01-18,105.62
104,2022-01-17,105.62
105,2022-01-16,105.62
106,2022-01-15,105.62
107,2022-01-14,105.62
108,2022-01-13,105.62
109,2022-01-12,105.62
110,2022-01-11,105.62
111,2022-01-10,105.62
112,2022-01-09,105.62
113,2022-01-08,105.62
114,2022-01-07,105.62
115,2022-01-06,105.62
116,2022-01-05,105.62
117,2022-01-04,105.62
118,2022-01-03,105.62
119,2022-01-02,105.62
120,2022-01-01,105.62
121,2021-12-31,105.62
122,2021-12-30,105.62
123,2021-12-29,105.62
