,date,price
0,2022-05-01,116.14
1,2022-04-30,116.14
2,2022-04-29,116.14
3,2022-04-28,116.14
4,2022-04-27,116.14
5,2022-04-26,116.14
6,2022-04-25,116.14
7,2022-04-24,116.14
8,2022-04-23,116.14
9,2022-04-22,116.14
10,2022-04-21,116.14
11,2022-04-20,116.14
12,2022-04-19,116.14
13,2022-04-18,116.14
14,2022-04-17,116.14
15,2022-04-16,116.14
16,2022-04-15,116.14
17,2022-04-14,116.14
18,2022-04-13,116.14
19,2022-04-12,116.14
20,2022-04-11,116.14
21,2022-04-10,116.14
22,2022-04-09,116.14
23,2022-04-08,116.14
24,2022-04-07,116.14
25,2022-04-06,116.14
26,2022-04-05,115.26
27,2022-04-04,114.39
28,2022-04-03,113.96
29,2022-04-02,113.08
30,2022-04-01,112.21
31,2022-03-31,112.21
32,2022-03-30,111.34
33,2022-03-29,110.47
34,2022-03-28,109.6
35,2022-03-27,109.27
36,2022-03-26,108.72
37,2022-03-25,107.89
38,2022-03-24,107.01
39,2022-03-23,107.01
40,2022-03-22,106.14
41,2022-03-21,105.27
42,2022-03-20,105.27
43,2022-03-19,105.27
44,2022-03-18,105.27
45,2022-03-17,105.27
46,2022-03-16,105.27
47,2022-03-15,105.27
48,2022-03-14,105.27
49,2022-03-13,105.27
50,2022-03-12,105.27
51,2022-03-11,105.27
52,2022-03-10,105.27
53,2022-03-09,105.27
54,2022-03-08,105.27
55,2022-03-07,105.27
56,2022-03-06,105.27
57,2022-03-05,105.27
58,2022-03-04,105.27
59,2022-03-03,105.27
60,2022-03-02,105.27
61,2022-03-01,105.27
62,2022-02-28,105.27
63,2022-02-27,105.27
64,2022-02-26,105.27
65,2022-02-25,105.27
66,2022-02-24,105.27
67,2022-02-23,105.27
68,2022-02-22,105.27
69,2022-02-21,105.27
70,2022-02-20,105.27
71,2022-02-19,105.27
72,2022-02-18,105.27
73,2022-02-17,105.27
74,2022-02-16,105.27
75,2022-02-15,105.27
76,2022-02-14,105.27
77,2022-02-13,105.27
78,2022-02-12,105.27
79,2022-02-11,105.27
80,2022-02-10,105.27
81,2022-02-09,105.27
82,2022-02-08,105.27
83,2022-02-07,105.27
84,2022-02-06,105.27
85,2022-02-05,105.27
86,2022-02-04,105.27
87,2022-02-03,105.27
88,2022-02-02,105.27
89,2022-02-01,105.27
90,2022-01-31,105.27
91,2022-01-30,105.27
92,2022-01-29,105.27
93,2022-01-28,105.27
94,2022-01-27,105.27
95,2022-01-26,105.27
96,2022-01-25,105.27
97,2022-01-24,105.27
98,2022-01-23,105.27
99,2022-01-22,105.27
100,2022-01-21,105.27
101,2022-01-20,105.27
102,2022-01-19,105.27
103,2022-01-18,105.27
104,2022-01-17,105.27
105,2022-01-16,105.27
106,2022-01-15,105.27
107,2022-01-14,105.27
108,2022-01-13,105.27
109,2022-01-12,105.27
110,2022-01-11,105.27
111,2022-01-10,105.27
112,2022-01-09,105.27
113,2022-01-08,105.27
114,2022-01-07,105.27
115,2022-01-06,105.27
116,2022-01-05,105.27
117,2022-01-04,105.27
118,2022-01-03,105.27
119,2022-01-02,105.27
120,2022-01-01,105.27
121,2021-12-31,105.27
122,2021-12-30,105.27
123,2021-12-29,105.27
124,2021-12-28,105.27
125,2021-12-27,105.27
126,2021-12-26,105.27
127,2021-12-25,105.27
128,2021-12-24,105.27
129,2021-12-23,105.27
130,2021-12-22,105.27
131,2021-12-21,105.27
132,2021-12-20,105.27
133,2021-12-19,105.27
134,2021-12-18,105.27
135,2021-12-17,105.27
136,2021-12-16,105.27
137,2021-12-15,105.27
138,2021-12-14,105.27
139,2021-12-13,105.27
140,2021-12-12,105.27
141,2021-12-11,105.27
142,2021-12-10,105.27
143,2021-12-09,105.27
144,2021-12-08,105.27
145,2021-12-07,105.27
146,2021-12-06,105.27
147,2021-12-05,105.27
148,2021-12-04,105.27
149,2021-12-03,105.27
150,2021-12-02,105.27
151,2021-11-30,105.27
152,2021-11-29,105.27
153,2021-11-28,105.27
154,2021-11-27,105.27
155,2021-11-26,105.27
156,2021-11-25,105.27
157,2021-11-24,105.27
158,2021-11-23,105.27
159,2021-11-22,105.27
160,2021-11-21,105.27
161,2021-11-20,105.27
162,2021-11-19,105.27
163,2021-11-18,105.27
164,2021-11-17,105.27
165,2021-11-16,105.27
166,2021-11-15,105.27
167,2021-11-14,105.27
168,2021-11-13,105.27
169,2021-11-12,105.27
170,2021-11-11,105.27
171,2021-11-10,105.27
172,2021-11-09,105.27
173,2021-11-08,105.27
174,2021-11-07,105.27
175,2021-11-06,105.27
176,2021-11-05,105.27
177,2021-11-04,105.27
178,2021-11-03,111.34
179,2021-11-02,111.34
180,2021-11-01,110.97
181,2021-10-31,110.54
182,2021-10-30,110.19
183,2021-10-29,109.84
184,2021-10-28,109.49
185,2021-10-27,109.14
186,2021-10-26,108.79
187,2021-10-25,108.79
188,2021-10-24,108.79
189,2021-10-23,108.44
190,2021-10-22,108.09
191,2021-10-21,107.74
192,2021-10-20,107.39
193,2021-10-19,107.04
194,2021-10-18,107.04
195,2021-10-15,106.34
196,2021-10-14,105.99
197,2021-10-13,105.64
198,2021-10-12,105.64
199,2021-10-11,105.64
200,2021-10-10,105.34
201,2021-10-09,105.04
202,2021-10-08,104.74
203,2021-10-07,104.44
204,2021-10-06,104.14
205,2021-10-05,103.83
206,2021-10-04,103.58
207,2021-10-03,103.58
208,2021-10-02,103.33
209,2021-10-01,103.08
210,2021-09-30,102.85
211,2021-09-29,102.61
212,2021-09-28,102.61
213,2021-09-27,102.42
214,2021-09-26,102.42
