,date,price
0,2022-05-01,115.69
1,2022-04-30,115.69
2,2022-04-29,115.69
3,2022-04-28,115.69
4,2022-04-27,115.69
5,2022-04-26,115.69
6,2022-04-25,115.69
7,2022-04-24,115.69
8,2022-04-23,115.69
9,2022-04-22,115.69
10,2022-04-21,115.69
11,2022-04-20,115.69
12,2022-04-19,115.69
13,2022-04-18,115.69
14,2022-04-17,115.69
15,2022-04-16,115.69
16,2022-04-15,115.69
17,2022-04-14,115.69
18,2022-04-13,115.69
19,2022-04-12,115.69
20,2022-04-11,115.69
21,2022-04-10,115.69
22,2022-04-09,115.69
23,2022-04-08,115.69
24,2022-04-07,115.69
25,2022-04-06,115.69
26,2022-04-05,114.81
27,2022-04-04,113.94
28,2022-04-03,113.51
29,2022-04-02,112.63
30,2022-04-01,111.76
31,2022-03-31,111.76
32,2022-03-30,110.89
33,2022-03-29,110.02
34,2022-03-28,109.15
35,2022-03-27,108.82
36,2022-03-26,108.27
37,2022-03-25,107.42
38,2022-03-24,106.55
39,2022-03-23,106.55
40,2022-03-22,105.68
41,2022-03-21,104.8
42,2022-03-20,104.8
43,2022-03-19,104.8
44,2022-03-18,104.8
45,2022-03-17,104.8
46,2022-03-16,104.8
47,2022-03-15,104.8
48,2022-03-14,104.8
49,2022-03-13,104.8
50,2022-03-12,104.8
51,2022-03-11,104.8
52,2022-03-10,104.8
53,2022-03-09,104.8
54,2022-03-08,104.8
55,2022-03-07,104.8
56,2022-03-06,104.8
57,2022-03-05,104.8
58,2022-03-04,104.8
59,2022-03-03,104.8
60,2022-03-02,104.8
61,2022-03-01,104.8
62,2022-02-28,104.8
63,2022-02-27,104.8
64,2022-02-26,104.8
65,2022-02-25,104.8
66,2022-02-24,104.8
67,2022-02-23,104.8
68,2022-02-22,104.8
69,2022-02-21,104.8
70,2022-02-20,104.8
71,2022-02-19,104.8
72,2022-02-18,104.8
73,2022-02-17,104.8
74,2022-02-16,104.8
75,2022-02-15,104.8
76,2022-02-14,104.8
77,2022-02-13,104.8
78,2022-02-12,104.8
79,2022-02-11,104.8
80,2022-02-10,104.8
81,2022-02-09,104.8
82,2022-02-08,104.8
83,2022-02-07,104.8
84,2022-02-06,104.8
85,2022-02-05,104.8
86,2022-02-04,104.8
87,2022-02-03,104.8
88,2022-02-02,104.8
89,2022-02-01,104.8
90,2022-01-31,104.8
91,2022-01-30,104.8
92,2022-01-29,104.8
93,2022-01-28,104.8
94,2022-01-27,104.8
95,2022-01-26,104.8
96,2022-01-25,104.8
97,2022-01-24,104.8
98,2022-01-23,104.8
99,2022-01-22,104.8
100,2022-01-21,104.8
101,2022-01-20,104.8
102,2022-01-19,104.8
103,2022-01-18,104.8
104,2022-01-17,104.8
105,2022-01-16,104.8
106,2022-01-15,104.8
107,2022-01-14,104.8
108,2022-01-13,104.8
109,2022-01-12,104.8
110,2022-01-11,104.8
111,2022-01-10,104.8
112,2022-01-09,104.8
113,2022-01-08,104.8
114,2022-01-07,104.8
115,2022-01-06,104.8
116,2022-01-05,104.8
117,2022-01-04,104.8
118,2022-01-03,104.8
119,2022-01-02,104.8
120,2022-01-01,104.8
121,2021-12-31,104.8
122,2021-12-30,104.8
123,2021-12-29,104.8
124,2021-12-28,104.8
125,2021-12-27,104.8
126,2021-12-26,104.8
127,2021-12-25,104.8
128,2021-12-24,104.8
129,2021-12-23,104.8
130,2021-12-22,104.8
131,2021-12-21,104.8
132,2021-12-20,104.8
133,2021-12-19,104.8
134,2021-12-18,104.8
135,2021-12-17,104.8
136,2021-12-16,104.8
137,2021-12-15,104.8
138,2021-12-14,104.8
139,2021-12-13,104.8
140,2021-12-12,104.8
141,2021-12-11,104.8
142,2021-12-10,104.8
143,2021-12-09,104.8
144,2021-12-08,104.8
145,2021-12-07,104.8
146,2021-12-06,104.8
147,2021-12-05,104.8
148,2021-12-04,104.8
149,2021-12-03,104.8
150,2021-12-02,104.8
151,2021-11-30,104.8
152,2021-11-29,104.8
153,2021-11-28,104.8
154,2021-11-27,104.8
155,2021-11-26,104.8
156,2021-11-25,104.8
157,2021-11-24,104.8
158,2021-11-23,104.8
159,2021-11-22,104.8
160,2021-11-21,104.8
161,2021-11-20,104.8
162,2021-11-19,104.8
163,2021-11-18,104.8
164,2021-11-17,104.8
165,2021-11-16,104.8
166,2021-11-15,104.8
167,2021-11-14,104.8
168,2021-11-13,104.8
169,2021-11-12,104.8
170,2021-11-11,104.8
171,2021-11-10,104.8
172,2021-11-09,104.8
173,2021-11-08,104.8
174,2021-11-07,104.8
175,2021-11-06,104.8
176,2021-11-05,104.8
177,2021-11-04,104.8
178,2021-11-03,110.88
179,2021-11-02,110.88
180,2021-11-01,110.51
181,2021-10-31,110.1
182,2021-10-30,109.75
183,2021-10-29,109.4
184,2021-10-28,109.05
185,2021-10-27,108.7
186,2021-10-26,108.35
187,2021-10-25,108.35
188,2021-10-24,108.35
189,2021-10-23,108
190,2021-10-22,107.65
191,2021-10-21,107.3
192,2021-10-20,106.95
193,2021-10-19,106.6
194,2021-10-18,106.6
195,2021-10-15,105.9
196,2021-10-14,105.55
197,2021-10-13,105.2
198,2021-10-12,105.2
199,2021-10-11,105.2
200,2021-10-10,104.9
201,2021-10-09,104.6
202,2021-10-08,104.3
203,2021-10-07,104
204,2021-10-06,103.7
205,2021-10-05,103.4
206,2021-10-04,103.15
207,2021-10-03,103.15
208,2021-10-02,102.9
209,2021-10-01,102.65
210,2021-09-30,102.41
211,2021-09-29,102.17
212,2021-09-28,102.17
213,2021-09-27,101.99
214,2021-09-26,101.99
215,2021-09-25,101.99
216,2021-09-24,101.99
217,2021-09-23,101.99
218,2021-09-22,101.99
219,2021-09-21,101.99
220,2021-09-20,101.99
221,2021-09-19,101.99
222,2021-09-18,101.99
223,2021-09-17,101.99
224,2021-09-16,101.99
225,2021-09-15,101.99
226,2021-09-14,101.99
227,2021-09-13,101.99
228,2021-09-12,101.99
229,2021-09-11,101.99
230,2021-09-10,101.99
231,2021-09-09,101.99
232,2021-09-08,101.99
233,2021-09-07,101.99
234,2021-09-06,101.99
235,2021-09-05,101.99
236,2021-09-03,102.15
237,2021-09-02,102.15
238,2021-09-01,102.15
239,2021-08-31,102.31
240,2021-08-30,102.31
241,2021-08-29,102.31
242,2021-08-28,102.31
243,2021-08-27,102.31
244,2021-08-26,102.31
245,2021-08-25,102.31
246,2021-08-24,102.31
247,2021-08-23,102.45
248,2021-08-22,102.45
249,2021-08-21,102.57
250,2021-08-20,102.57
251,2021-08-19,102.57
252,2021-08-18,102.57
253,2021-08-17,102.57
254,2021-08-16,102.57
255,2021-08-15,102.57
256,2021-08-14,102.57
257,2021-08-13,102.57
258,2021-08-12,102.57
259,2021-08-11,102.57
260,2021-08-10,102.57
261,2021-08-09,102.57
262,2021-08-08,102.57
263,2021-08-07,102.57
264,2021-08-06,102.57
265,2021-08-05,102.57
266,2021-08-04,102.57
267,2021-08-03,102.57
268,2021-08-02,102.57
269,2021-08-01,102.57
270,2021-07-31,102.57
271,2021-07-30,102.57
272,2021-07-29,102.57
273,2021-07-28,102.57
274,2021-07-27,102.57
275,2021-07-26,102.57
276,2021-07-25,102.57
277,2021-07-24,102.57
278,2021-07-23,102.57
279,2021-07-22,102.57
280,2021-07-21,102.57
281,2021-07-20,102.57
282,2021-07-19,102.57
283,2021-07-18,102.57
284,2021-07-17,102.57
285,2021-07-16,102.27
286,2021-07-15,102.27
287,2021-07-14,101.92
288,2021-07-13,101.92
289,2021-07-12,101.92
290,2021-07-11,101.64
291,2021-07-10,101.64
292,2021-07-09,101.29
293,2021-07-08,101.29
294,2021-07-07,100.94
295,2021-07-06,100.59
296,2021-07-05,100.59
297,2021-07-04,100.23
298,2021-07-03,99.88
299,2021-07-02,99.88
300,2021-07-01,99.53
301,2021-06-30,99.53
302,2021-06-29,99.53
303,2021-06-28,99.18
304,2021-06-27,99.18
305,2021-06-26,98.83
306,2021-06-25,98.48
307,2021-06-24,98.48
308,2021-06-23,98.22
309,2021-06-22,98.22
310,2021-06-21,97.94
311,2021-06-20,97.94
312,2021-06-19,97.65
313,2021-06-18,97.65
314,2021-06-17,97.38
315,2021-06-16,97.38
316,2021-06-15,97.13
317,2021-06-14,97.13
318,2021-06-13,96.84
319,2021-06-12,96.84
320,2021-06-11,96.57
321,2021-06-10,96.28
322,2021-06-09,96.28
323,2021-06-08,96.03
324,2021-06-07,96.03
325,2021-06-06,95.75
326,2021-06-05,95.48
327,2021-06-04,95.48
328,2021-06-03,95.21
329,2021-06-02,95.21
330,2021-06-01,95.21
331,2021-05-31,94.95
332,2021-05-30,94.66
333,2021-05-29,94.66
334,2021-05-28,94.4
335,2021-05-27,94.4
336,2021-05-26,94.16
337,2021-05-25,94.16
338,2021-05-24,93.93
339,2021-05-23,93.93
340,2021-05-22,93.76
341,2021-05-21,93.76
342,2021-05-20,93.57
343,2021-05-19,93.57
344,2021-05-18,93.57
345,2021-05-17,93.3
346,2021-05-16,93.3
347,2021-05-15,93.06
348,2021-05-14,93.06
349,2021-05-13,92.77
350,2021-05-12,92.77
351,2021-05-11,92.52
352,2021-05-10,92.25
353,2021-05-09,91.99
354,2021-05-08,91.99
355,2021-05-07,91.99
356,2021-05-06,91.71
357,2021-05-05,91.46
358,2021-05-04,91.27
359,2021-05-03,91.05
360,2021-05-02,91.05
361,2021-05-01,91.05
362,2021-04-30,91.05
363,2021-04-29,91.05
364,2021-04-28,91.05
